"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",20.2215873015873,"Up",80293000,-51115000,29178000,-14150000,-3488000,-10662000,15028000,2043000,34000,2009000,17071000,17071000,-6738000,10333000,10333000,10333000,10333000,145026000,123658000,88076000,88076000,23723000,12121000,256825000,27587000,72831000,8607000,25917000,38307000,100418000,357243000,49102000,49102000,5776000,5776000,54878000,48547000,44648000,3899000,48547000,103425000,174177000,-167036000,248089000,-1412000,253818000,253818000,357243000,10333000,1381000,-690000,-9323000,1701000,-627000,-627000,-627000,3320000,2693000,-2547000,-10070000,-5676000,-5676000,-156000,-5832000,16409000,0,13197000,0.36339,0.18716,0.12869,0.04071,0.02892,1.27717,4.67993,0.40748,0,0.19407,0.18863,1.50802,4.76707,0.24786,6,0.04748,0.04365,-8.8382,-9.65039
"22","2015_Q3",20.32921875,"Up",79864000,-45777000,34087000,-15382000,-4087000,-11295000,18705000,587000,34000,553000,19292000,19292000,-7595000,11697000,11697000,11697000,11697000,149862000,131927000,93543000,93543000,25716000,14112000,269121000,27499000,71454000,8607000,25055000,37792000,98953000,368074000,58634000,58634000,5887000,5887000,64521000,43960000,40080000,3880000,43960000,108481000,175410000,-170249000,255689000,-1257000,259593000,259593000,368074000,11697000,1324000,3932000,-3834000,13119000,-1087000,-1087000,-1087000,3235000,2148000,380000,-7108000,8159000,8159000,110000,8269000,20029000,0,22703000,0.42681,0.23421,0.14646,0.04506,0.03178,1.94093,4.17106,0.41789,0,0.21893,0.21359,1.4948,4.85874,0.42493,6,0.05166,0.07479,-7.48225,-8.01187
"23","2015_Q4",23.53390625,"Up",78994000,-42853000,36141000,-15220000,-3963000,-11257000,20921000,-2148000,47000,-2195000,18773000,18773000,-7054000,11719000,11719000,11719000,11719000,151294000,124457000,94168000,94168000,23996000,12884000,269458000,29390000,70133000,8607000,25336000,36190000,99523000,368981000,63671000,63671000,5892000,5892000,69563000,42629000,38714000,3915000,42629000,112192000,177162000,-182347000,263417000,-1443000,256789000,256789000,368981000,11719000,1329000,2662000,3780000,19490000,-2641000,-2641000,-2641000,-9e+06,-11641000,1332000,-15251000,-7402000,-7402000,-68000,-7470000,22250000,0,30443000,0.45752,0.26484,0.14835,0.04564,0.03176,2.59775,3.87358,0.4369,0,0.22032,0.21481,1.48507,4.82759,0.57232,7,0.05174,0.10167,-6.79973,-7.23168
"24","2016_Q1",22.4622950819672,"Down",73681000,-44757000,28924000,-14645000,-3757000,-10888000,14279000,1718000,92000,1626000,15997000,15997000,-6147000,9850000,9850000,9850000,9850000,171593000,125751000,88577000,88577000,12616000,12616000,272786000,28485000,86236000,8607000,39456000,38173000,114721000,387507000,72672000,72672000,7802000,7802000,80474000,44229000,40322000,3907000,44229000,124703000,179849000,-184499000,269259000,-1805000,262804000,262804000,387507000,9850000,1445000,-1709000,16593000,26179000,-1024000,-1024000,-1024000,-19211000,-20235000,2880000,-4487000,1457000,1457000,-163000,1294000,15724000,0,37440000,0.39256,0.19379,0.13368,0.03748,0.02542,3.80102,3.38974,0.47451,0,0.18591,0.18145,1.39063,4.96006,0.70663,6,0.04468,0.12194,-10.91281,-12.01716
"25","2016_Q2",24.2734375,"Up",83156000,-52017000,31139000,-14703000,-3514000,-11189000,16436000,1298000,139000,1159000,17734000,17734000,-2384000,15350000,15350000,15350000,15350000,155047000,98535000,94912000,94912000,11693000,11693000,261652000,28465000,87288000,8607000,39829000,38852000,115753000,377405000,48209000,48209000,6511000,6511000,54720000,50145000,46247000,3898000,50145000,104865000,189988000,-189247000,273524000,-1725000,272540000,272540000,377405000,15350000,1403000,5136000,-21576000,313000,-1481000,-1481000,-1481000,-10550000,-12031000,-7308000,-15436000,-27154000,-27154000,-62000,-27216000,17839000,0,-2834000,0.37446,0.19765,0.18459,0.05632,0.04067,-0.18463,4.78165,0.38477,0,0.28948,0.28177,1.56821,5.13974,-0.05345,6,0.06191,-0.00878,-8.69146,-9.43338
"26","2016_Q3",24.42046875,"Up",77295000,-47040000,30255000,-15324000,-4145000,-11179000,14931000,1746000,171000,1575000,16677000,16677000,-6224000,10453000,10453000,10453000,10453000,162061000,113543000,92309000,92309000,18232000,18232000,272602000,29041000,86712000,8607000,39031000,39074000,115753000,388355000,56202000,56202000,5792000,5792000,61994000,47311000,43385000,3926000,47311000,109305000,191637000,-189552000,279196000,-2231000,279050000,279050000,388355000,10453000,1524000,4178000,-1923000.00000001,14232000,-1901000,-1901000,-1901000,8e+06,6099000,924000,-4921000,15410000,15410000,-402000,15008000,16455000,0,18855000,0.39142,0.19317,0.13524,0.03746,0.02692,1.80379,4.39723,0.3917,0,0.19626,0.19164,1.45122,5.23919,0.354,5,0.047,0.05777,-9.84874,-10.854
"27","2016_Q4",27.2557142857143,"Up",77612000,-47797000,29815000,-14220000,-3748000,-10472000,15595000,2325000,179000,2146000,17920000,17920000,-6631000,11289000,11289000,11289000,11289000,150418000,98425000,94292000,94292000,12596000,12596000,257306000,37457000,90652000,8607000,40751000,41294000,128109000,385415000,63575000,63575000,5590000,5590000,69165000,49428000,45662000,3766000,49428000,118593000,193138000,-209496000,285616000,-2436000,266822000,266822000,385415000,11289000,1582000,1426000,8392000,22689000,-9681000,-9681000,-9681000,-3500000,-13181000,198000,-24459000,-14951000,-14951000,-167000,-15118000,17177000,0,22519000,0.38415,0.20094,0.14545,0.04231,0.02929,1.99477,3.72018,0.44446,0,0.21264,0.20759,1.46189,5.02584,0.42417,4,0.05043,0.07121,-8.75694,-9.64527
"28","2017_Q1",27.4732258064516,"Up",77013000,-46543000,30470000,-15521000,-4085000,-11436000,14949000,1842000,194000,1648000,16791000,16791000,-6403000,10388000,10388000,10388000,10388000,173722000,114967000,87409000,87409000,12913000,12913000,274044000,36710000,92990000,8607000,42166000,42217000,129700000,403744000,72612000,72612000,7624000,7624000,80236000,50162000,46503000,3659000,50162000,130398000,194665000,-209436000,291243000,-3126000,273346000,273346000,403744000,10388000,1622000,2105000,15597000,29712000,-1330000,-1330000,-1330000,-7e+06,-8330000,257000,-4350000,17032000,17032000,-490000,16542000,16571000,0,37241000,0.39565,0.19411,0.13489,0.038,0.02573,3.585,3.41547,0.47704,0,0.19777,0.19264,1.46619,5.20401,0.709,7,0.04635,0.11512,-10.4835,-11.62098
"29","2017_Q2",28.2671428571429,"Up",84122000,-54418000,29704000,-15070000,-4224000,-10846000,14634000,2776000,234000,2542000,17410000,17410000,-834000,16576000,16576000,16576000,16576000,154903000,87086000,96346000,96346000,12368000,12368000,263617000,36572000,97973000,8607000,41715000,47651000,134545000,398162000,51271000,51271000,6145000,6145000,57416000,56041000,52399000,3642000,56041000,113457000,205306000,-213672000,296025000,-2954000,284705000,284705000,398162000,16576000,1566000,6410000,-26336000,-1784000,-1307000,-1307000,-1307000,-9e+06,-10307000,-9230000,-15908000,-27999000,-27999000,118000,-27881000,16200000,0,-10609000,0.35311,0.17396,0.19705,0.05822,0.04163,-0.64002,4.59135,0.39851,0,0.31511,0.30718,1.59916,5.41223,-0.20168,3,0.06442,-0.03113,-9.56191,-10.58514
"30","2017_Q3",31.3601587301587,"Up",87840000,-51536000,36304000,-15987000,-4992000,-10995000,20317000,2031000,266000,1765000,22348000,22348000,-8557000,13791000,13791000,13791000,13791000,161996000,90233000,107444000,107444000,9283000,9283000,278723000,35892000,95060000,8607000,40945000,45508000,130952000,409675000,61514000,61514000,6602000,6602000,68116000,52160000,48467000,3693000,52160000,120276000,206785000,-219078000,304224000,-2532000,289399000,289399000,409675000,13791000,1629000,4594000,-1039000,18975000,-1219000,-1219000,-1219000,-4e+06,-5219000,348000,-10973000,2783000.00000001,2783000.00000001,364000,3147000,21946000,0,28245000,0.4133,0.2313,0.157,0.04765,0.03366,2.04807,4.09189,0.41561,0,0.26105,0.25559,1.66275,5.47814,0.53466,7,0.05683,0.08269,-7.38157,-7.97342
"31","2017_Q4",34.9579365079365,"Up",87555000,-51493000,36062000,-16757000,-4061000,-12696000,19305000,2725000,372000,2353000,22030000,22030000,-7387000,14643000,14643000,14643000,14643000,165591000,89809000,124803000,124803000,10692000,10692000,301086000,35180000,99374000,8607000,42574000,48193000,134554000,435640000,73509000,73509000,7776000,7776000,81285000,54279000,50778000,3501000,54279000,135564000,208616000,-219754000,313277000,-2063000,300076000,300076000,435640000,14643000,1567000,2646000,-9083000,9773000,-828000,-828000,-828000,-3997000,-4825000,1095000,-5756000,-808000,-808000,384000,-424000,20872000,0,18348000,0.41188,0.22049,0.16724,0.0488,0.03361,1.25302,3.70408,0.45177,0,0.27765,0.27149,1.66013,5.68972,0.3479,6,0.05663,0.05178,-7.93364,-8.57762
"32","2018_Q1",36.1095081967213,"Up",88282000,-52842000,35440000,-17645000,-4503000,-13142000,17795000,2926000,422000,2504000,20721000,20721000,-24426000,-3705000,-3705000,-3705000,-3705000,196398000,124794000,110100000,110100000,9011000,9011000,315509000,35014000,89066000,8607000,30437000,50022000,124080000,439589000,84805000,84805000,8302000,8302000,93107000,57394000,52776000,4618000,57394000,150501000,210296000,-223169000,303990000,-2029000,289088000,289088000,439589000,-3705000,1523000,16435000,26621000,40874000,-1371000,-1371000,-1371000,4e+06,2629000,292000,-8624000,34879000,34879000,106000,34985000,19318000,0,68994000,0.40144,0.20157,-0.04197,-0.01282,-0.00843,-18.62186,3.38867,0.52061,0,-0.07027,-0.06857,1.67442,5.48304,1.30859,4,0.00494,0.19913,-10.16658,-11.0367
"33","2018_Q2",43.928125,"Up",96457000,-57579000,38878000,-17280000,-4042000,-13238000,21598000,852000,530000,322000,22450000,22450000,-2110000,20340000,20340000,20340000,20340000,178637000,103152000,117239000,117239000,9585000,9585000,305461000,40420000,94578000,8607000,31265000,54706000,134998000,440459000,61732000,61732000,7912000,7912000,69644000,64190000,59501000,4689000,64190000,133834000,222005000,-225028000,310978000,-1330000,306625000,306625000,440459000,20340000,1555000,5961000,-24164000,3692000,-6810000,-6810000,-6810000,-3934000,-10744000,-8327000,-15286000,-22338000,-22338000,696000,-21642000,23153000,0,-5711000,0.40306,0.22391,0.21087,0.06634,0.04618,-0.28078,4.38603,0.43647,0,0.38564,0.37658,1.82878,5.81346,-0.10828,5,0.07362,-0.0154,-7.7155,-8.271
"34","2018_Q3",49.1915873015873,"Up",95621000,-55458000,40163000,-17685000,-4470000,-13215000,22478000,2441000,543000,1898000,24919000,24919000,-6494000,18425000,18425000,18425000,18425000,193307000,117773000,116532000,116532000,9184000,9184000,319023000,41357000,95313000,8607000,31824000,54882000,136670000,455693000,69246000,69246000,8007000,8007000,77253000,59674000,55310000,4364000,59674000,136927000,223762000,-224754000,322437000,-2679000,318766000,318766000,455693000,18425000,1594000,3303000,902000.000000007,24224000,-2139000,-2139000,-2139000,-4999.99999999814,-2144000,381999.999999998,-6391000,15689000,15689000,-1068000,14621000,24072000,0,29329000,0.42002,0.23507,0.19269,0.0578,0.04043,1.5918,4.12959,0.42955,0,0.34759,0.33988,1.8039,6.01355,0.55329,7,0.06658,0.0775,-8.03037,-8.59983
"35","2018_Q4",48.2942857142857,"Down",95302000,-55639000,39663000,-19069000,-4655000,-14414000,20594000,3395000,740000,2655000,23989000,23989000,-6536000,17453000,17453000,17453000,17453000,202350000,120977000,122911000,122911000,11243000,11243000,336504000,43969000,100420000,8607000,32966000,58847000,144389000,480893000,79281000,79281000,8864000,8864000,88145000,62114000,57998000,4116000,62114000,150259000,225520000,-224779000,332907000,-3014000,330634000,330634000,480893000,17453000,1561000,3052000,-3156000,18910000,-3221000,-3221000,-3221000,-5849000,-9070000,171000,-6594000,3246000,3246000,-42000,3204000,22155000,0,22314000,0.41618,0.21609,0.18313,0.05279,0.03629,1.27852,3.81762,0.45446,0,0.3291,0.32129,1.79707,6.23461,0.42076,6,0.06166,0.05682,-9.13338,-9.82568
"36","2019_Q1",52.1524590163934,"Up",92143000,-46376000,45767000,-18981000,-4365000,-14616000,26786000,-4827000,938000,-5765000,21959000,21959000,-5923000,16036000,16036000,16036000,16036000,208554000,127059000,105814000,105814000,12244000,12244000,326612000,46103000,96221000,8607000,34090000,53524000,142324000,468936000,89138000,89138000,9166000,9166000,98304000,56723000,52708000,4015000,56723000,155027000,227349000,-252611000,342024000,-2853000,313909000,313909000,468936000,16036000,1582000,2871000,23873000,44362000,-4128000,-4128000,-4128000,266000.000000001,-3862000,408999.999999999,-34229000,6271000,6271000,-189000,6082000,28368000,0,54036000,0.4967,0.2907,0.17403,0.05108,0.0342,3.36967,3.32247,0.49386,0,0.30348,0.29626,1.74381,5.94075,1.02263,5,0.06141,0.14579,-7.35173,-7.78593
"37","2019_Q2",55.1285714285714,"Up",99031000,-65093000,33938000,-18184000,-4546000,-13638000,15754000,7568000,1055000,6513000,23322000,23322000,-610000,22712000,22712000,22712000,22712000,171760000,79080000,118864000,118864000,13986000,13986000,304610000,50854000,133756000,8607000,33878000,91271000,184610000,489220000,58783000,58783000,13410000,7567000,72193000,87850000,66670000,21180000,87850000,160043000,238982000,-257729000,350506000,-2582000,329177000,329177000,489220000,22712000,1590000,6548000,-43103000,-12253000,-5670000,-5670000,-5670000,-10848000,-16518000,-10822000,-19415000,-48186000,-48186000,207000,-47979000,17344000,0,-30819000,0.3427,0.15908,0.22934,0.069,0.04642,-1.35695,4.21938,0.48619,0,0.43231,0.42205,1.88501,6.26574,-0.58663,3,0.07507,-0.0739,-9.90314,-10.90263
"38","2019_Q3",65.52078125,"Up",106506000,-61997000,44509000,-19686000,-5348000,-14338000,24823000,4028000,924000,3104000,28851000,28851000,-7857000,20994000,20994000,20994000,20994000,194474000,104452000,129735000,129735000,10452000,10452000,334661000,56112000,129868000,8607000,34099000,87162000,185980000,520641000,78588000,78588000,14296000,8550000,92884000,83905000,63391000,20514000,83905000,176789000,240996000,-257529000,362959000,-2574000,343852000,343852000,520641000,20994000,1642000,4540000,9896000.00000001,37072000,-6824000,-6824000,-6824000,3155000,-3669000,484000,-7822000,25581000,25581000,-209000,25372000,26465000,0,37394000,0.4179,0.23307,0.19712,0.06106,0.04032,1.78118,3.603,0.51414,0,0.39802,0.38961,2.01922,6.51902,0.70894,4,0.0685,0.08742,-7.34835,-7.83443
"39","2019_Q4",64.25015625,"Down",101548000,-58526000,43022000,-19838000,-5451000,-14387000,23184000,2027000,915000,1112000,25211000,25211000,-5578000,19633000,19633000,19633000,19633000,209968000,132843000,128333000,128333000,13231000,13231000,351532000,59318000,133641000,8607000,35639000,89395000,192959000,544491000,86078000,86078000,14956000,8900000,101034000,86178000,64808000,21370000,86178000,187212000,242822000,-256439000,374033000,-3137000,357279000,357279000,544491000,19633000,1672000,2530000,3639000,27474000,-4530000,-4530000,-4530000,1.3e+07,8470000,1124000,-7200000,28744000,28744000,-353000,28391000,24856000,0,29543000,0.42366,0.22831,0.19334,0.05495,0.03606,1.50476,3.47934,0.52399,0,0.37184,0.36344,1.92326,6.76665,0.55953,5,0.06304,0.06662,-8.44738,-9.05659
"40","2020_Q1",70.8116129032258,"Up",110114000,-66581000,43533000,-22183000,-5175000,-17008000,21350000,5456000,1018000,4438000,26806000,26806000,-7685000,19121000,19121000,19121000,19121000,231601000,176436000,120138000,120138000,12305000,12305000,364044000,61587000,137780000,8607000,36821000,92352000,199367000,563411000,105306000,105306000,18654000,12710000,123960000,89200000,68373000,20827000,89200000,213160000,245001000,-277658000,384668000,-1760000,350251000,350251000,563411000,19121000,1902000,2711000,32032000,55766000,-6014000,-6014000,-6014000,2.2e+07,15986000,1260000,-28977000,42775000,42775000,818000,43593000,23252000,0,56955000,0.39534,0.19389,0.17365,0.05459,0.03394,2.97866,2.93679,0.60859,0,0.36295,0.35529,2.09016,6.6484,1.08111,5,0.06235,0.1296,-9.96048,-10.84782
"41","2020_Q2",70.4130158730159,"Down",105953000,-49985000,55968000,-19980000,-5531000,-14449000,35988000,-11933000,875000,-12808000,24055000,24055000,2227000,26282000,26282000,26282000,26282000,152043000,105594000,127212000,127212000,14141000,14141000,293396000,60840000,129427000,8607000,35151000,85669000,190267000,483663000,59767000,59767000,17332000,11684000,77099000,83067000,64026000,19041000,83067000,160166000,257455000,-326339000,395646000,-3265000,323497000,323497000,483663000,26282000,1786000,10075000,-51978000,-13835000,-1293000,-1293000,-1293000,9e+06,7707000,-13967000,-64324000,-70452000,-70452000,-390000,-70842000,37774000,0,-17724000,0.52823,0.33966,0.24805,0.08124,0.05434,-0.67438,3.80544,0.49511,0,0.4999,0.48981,2.01527,6.15306,-0.33712,5,0.09,-0.04359,-4.02507,-4.22482
"42","2020_Q3",77.97265625,"Up",92045000,-68137000,23908000,-14788000,-2925000,-11863000,9120000,12294000,305000,11989000,21414000,21414000,-5068000,16346000,16346000,16346000,16346000,190152000,155932000,109341000,109341000,14777000,14777000,314270000,60301000,138616000,8607000,37233000,92776000,198917000,513187000,75513000,75513000,14270000,8910000,89783000,90837000,72564000,18273000,90837000,180620000,259683000,-325667000,401956000,-3405000,332567000,332567000,513187000,16346000,1701000,1832000,28155000,48034000,-1174000,-1174000,-1174000,1.2e+07,10826000,1238000,-8582000,50278000,50278000,60000,50338000,10821000,0,42870000,0.25974,0.09908,0.17759,0.04915,0.03185,2.62266,3.50033,0.54311,0,0.31279,0.30754,1.76132,6.36382,0.82034,4,0.0618,0.10125,-17.5725,-20.85
"43","2020_Q4",78.39859375,"Up",98663000,-62419000,36244000,-15837000,-2834000,-13003000,20407000,4231000,316000,3915000,24638000,24638000,-6554000,18084000,18084000,18084000,18084000,207718000,187632000,109964000,109964000,10967000,10967000,328649000,60395000,145622000,8607000,39383000,97632000,206017000,534666000,81292000,81292000,15079000,9390000,96371000,95098000,76683000,18415000,95098000,191469000,261779000,-325593000,409995000,-2984000,343197000,343197000,534666000,18084000,1689000,1654000,6821000,28248000,-1677000,-1677000,-1677000,1.4e+07,12323000,479000,-9329000,31242000,31242000,458000,31700000,22096000,0,33794000,0.36735,0.20684,0.18329,0.05269,0.03382,1.86872,3.41025,0.5579,0,0.34568,0.33981,1.88594,6.5602,0.64597,4,0.06364,0.0771,-9.40071,-10.17876
"44","2021_Q1",92.4240983606557,"Up",103239000,-69500000,33739000,-16005000,-1598000,-14407000,17734000,9095000,209000,8886000,26829000,26829000,-4989000,21840000,21840000,21840000,21840000,242526000,197525000,111565000,111565000,12741000,12741000,366832000,59823000,153441000,8607000,40539000,104295000,213264000,580096000,99521000,99521000,17787000,11800000,117308000,101290000,83961000,17329000,101290000,218598000,265394000,-323773000,421809000,-1932000,361498000,361498000,580096000,21840000,1695000,1764000,15566000,40865000,-843000,-843000,-843000,-24989000,-25832000,3719000,-6120000,8913000,8913000,980000,9893000,19429000,0,39141000,0.3268,0.17178,0.21155,0.06042,0.03765,1.79217,3.12708,0.6047,0,0.41693,0.40943,1.97085,6.90106,0.74721,6,0.06845,0.08458,-12.48268,-13.67576
"45","2021_Q2",92.4249206349206,"Up",116481000,-74538000,41943000,-17885000,-3273000,-14612000,24058000,6068000,29000,6039000,30126000,30126000,722000,30848000,30848000,30848000,30848000,214520000,184521000,124211000,124211000,14824000,14824000,353555000,60473000,162994000,8607000,39315000,115072000,223467000,577022000,72901000,72901000,15041000,8906000,87942000,111472000,95289000,16183000,111472000,199414000,274078000,-334494000,439717000,-1693000,377608000,377608000,577022000,30848000,1656000,8146000,-39365000,1285000,-2515000,-2515000,-2515000,15003000,12488000,-15091000,-27026000,-13253000,-13253000,249000,-13004000,25714000,0,-16888000,0.36008,0.20654,0.26483,0.08169,0.05346,-0.54746,4.02032,0.5281,0,0.58889,0.57831,2.22364,7.2086,-0.32239,5,0.08748,-0.03453,-8.34254,-8.91678
"46","2021_Q3",106.6959375,"Up",119877000,-71815000,48062000,-18690000,-3160000,-15530000,29372000,5295000,12000,5283000,34667000,34667000,-9267000,25400000,25400000,25400000,25400000,239953000,239953000,142743000,142743000,15113000,15113000,397809000,60329000,160733000,8607000,41090000,111036000,221062000,618871000,106023000,106023000,16943000,10984000,122966000,108138000,93483000,14655000,108138000,231104000,276347000,-341377000,454583000,-1786000,387767000,387767000,618871000,25400000,1642000,3101000,14024000,44167000,-1731000,-1731000,-1731000,3e+07,28269000,448000,-16971000,55465000,55465000,-33000,55432000,31014000,0,52574000,0.40093,0.24502,0.21188,0.0655,0.04104,2.06984,3.23511,0.59599,0,0.48246,0.47602,2.277,7.36541,0.99861,6,0.07223,0.10602,-7.73693,-8.16945
"47","2021_Q4",116.48859375,"Up",116405000,-64138000,52267000,-20148000,-4193000,-15955000,32119000,270000,13000,257000,32389000,32389000,-7815000,24574000,24574000,24574000,24574000,254783000,229785000,144039000,144039000,18738000,18738000,417560000,60082000,160663000,8607000,42561000,109495000,220745000,638305000,108622000,108622000,17796000,12192000,126418000,106898000,93111000,13787000,106898000,233316000,279316000,-340853000,468578000,-2052000,404989000,404989000,638305000,24574000,1645000,3158000,-4451000,24926000,-1191000,-1191000,-1191000,-24997000,-26188000,1652000,-8769000,-10031000,-10031000,-137000,-10168000,33764000,0,35937000,0.44901,0.27592,0.21111,0.06068,0.0385,1.4624,3.30301,0.5761,0,0.46677,0.46054,2.21105,7.69254,0.6826,6,0.06836,0.0702,-7.546,-7.93247
"48","2022_Q1",95.7614516129032,"Down",113506000,-67556000,45950000,-22572000,-4656000,-17916000,23378000,5277000,12000,5265000,28655000,28655000,-8275000,20380000,20380000,20380000,20380000,297687000,297687000,139861000,139861000,15214000,15214000,452762000,59971000,171006000,8607000,46546000,115853000,230977000,683739000,128056000,128056000,24926000,19762000,152982000,113692000,100999000,12693000,113692000,266674000,281485000,-340807000,478370000,-1983000,417065000,417065000,683739000,20380000,1544000,8e+05,31466000,54190000,-1389000,-1389000,-1389000,24998000,23609000,435999.999999999,-9987000,67812000,67812000,90000.0000000001,67902000,24922000,0,63274000,0.40482,0.20596,0.17955,0.04887,0.02981,3.10471,2.95958,0.63941,0,0.38711,0.38194,2.15598,7.92191,1.20185,4,0.05804,0.11921,-11.94475,-12.73364
"49","2022_Q2",93.7693548387097,"Down",128478000,-68757000,59721000,-23004000,-4231000,-18773000,36717000,-3910000,21000,-3931000,32807000,32807000,-3198000,29609000,29609000,29609000,29609000,215050000,215050000,147508000,147508000,14133000,14133000,376691000,61077000,179780000,8607000,46501000,124672000,240857000,617548000,88131000,88131000,20979000,15669000,109110000,121874000,107561000,14313000,121874000,230984000,293955000,-398485000,493387000,-2293000,386564000,386564000,617548000,29609000,1689000,7601000,-45251000,-6352000,-2606000,-2606000,-2606000,365447045.115274,-2606000,-12340000,-73408000,-82366000,-82366000,-271000,-82637000,38406000,0,-6253000,0.46483,0.28578,0.23046,0.0766,0.04795,-0.21119,3.4524,0.59753,0,0.56241,0.5549,2.44037,7.34256,-0.11877,2,0.08285,-0.0123,-5.59939,-5.85696
"50","2022_Q3",96.000612244898,"Up",130281000,-58446000,71835000,-26558000,-5740000,-20818000,45277000,-9845000,175000,-10020000,35432000,35432000,-9677000,25755000,25755000,25755000,25755000,165619000,165619000,161774000,161774000,15141000,15141000,342534000,63921000,160249000,8607000,46968000,104674000,224170000,566704000,107271000,107271000,20263000,15225000,127534000,101676000,87639000,14037000,101676000,229210000,296164000,-461632000,506605000,-3643000,337494000,337494000,566704000,25755000,1812000,4914000,-2313000,30168000,-3308000,-3308000,-3308000,1171336135.34582,-3308000,506000,-75128000,-48268000,-48268000,-1163000,-49431000,47089000,0,51145000,0.55139,0.34753,0.19769,0.07631,0.04545,1.98583,2.68582,0.67915,0,0.4892,0.48267,2.47461,6.41051,0.97147,6,0.08675,0.11646,-3.51715,-3.65791
