"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",31.51875,"Down",212532000,-160217000,52315000,-46105000,-9011000,-37094000,6210000,-3229000,-3225000,-4000,2981000,2981000,1581000,4562000,4562000,4562000,4562000,19633000,19633000,66050000,66050000,121705000,57459000,51349000,264847000,857639000,102541000,140728537.018109,102541000,960180000,1225027000,101582000,67069000,34513000,8400000,18587000,18587000,128569000,940527000,194754000,102633000,92121000,1135281000,1263850000,53696000,-11696000,-80823000,-38823000,-38823000,1225027000,4562000,17533000,27887000,-1716000,48266000,-29005000,-42672000,9.5e+08,0,-944184.115511509,14039000,19633000,19633000,19633000,23743000,948927000,-8559000,0.24615,0.02922,0.02147,-0.11751,0.00372,-1.87615,2.05996,-32.55416,0.77462,0.10816,0.10816,5.0391,-0.92049,-0.20293,0.00413,-0.00775,39.1397,149.64477
"2","2014_Q4",23.81234375,"Down",253694000,-198006000,55688000,-14009000,-9493000,-4515999.99999997,41679000,-9527000,-9469000,-58000,32152000,32152000,-12744000,19408000,19408000,19408000,19408000,28163000,28163000,93266000,93266000,122141000,55062000,43856000,298632000,844442000,103276000,106709845.672703,103276000,947718000,1246350000,102840000,49804000,53036000,8400000,20058000,20058000,131298000,938471000,190025000,98285000,91740000,1128496000,1259794000,57785000,4760000,-75989000,-13444000,-13444000,1246350000,19408000,23933000,3145000,-21804000,24682000,-11022000,-12005000,-2100000,457000,-92000,-4147000,8530000,8530000,8530000,65612000,946871000,45530000,0.21951,0.16429,0.0764999999999999,-1.44362,0.01557,2.34594,2.27446,-93.70678,0.75972,0.46026,0.45938,6.01641,-0.318830000000001,1.07975,0.01728,0.04053,14.0021300000001,22.04247
"3","2015_Q1",16.4590163934426,"Down",247964000,-1.87e+08,60964000,-89262000,-13239000,-76023000,-28298000,-9728000,-9684000,-44000,-38026000,-38026000,14764000,-23262000,-23262000,-23262000,-23262000,65977000,65977000,69263000,69263000,140209000,36267000,36267000,311716000,843375000,148789000,86822000,61967000,992164000,1303880000,100564000,64697000,35867000,8400000,22481000,22481000,131445000,936416000,298431000,141338000,157093000,1234847000,1366292000,62508000,-21476000,-103444000,-62412000,-62412000,1303880000,-23262000,23492000,47825000,11996000,60051000,-13049000,-14577000,-2100000,-457000,92000,-7660000,37814000,37814000,37814000,-4806000,944816000,-20623000,0.24586,-0.11412,-0.09381,0.37272,-0.01784,0.88655,2.37146,-21.8915,0.72462,-0.55193,-0.54921,5.8834,-1.48084,-0.48932,-0.01468,-0.01746,-182.86288,-31.05658
"4","2015_Q2",14.9446031746032,"Down",221348000,-184476000,36872000,-12926000,-12296000,-630000,23946000,-9295000,-9324000,29000,14651000,14651000,-4130000.00000001,10521000,10521000,10521000,10521000,77621000,77621000,51688000,51688000,131937000,40470000,31936000,301716000,840563000,139571000,78666000,60905000,980134000,1281850000,99190000,55243000,40994000,8207000,15159000,15159000,122556000,916675000,295207000,140450000,154757000,1211882000,1334438000,62485000,-13937000,-101136000,-52588000,-52588000,1281850000,10521000,21752000,3315000.00000001,20588000,56176000,-24540000,-24540000,-2e+07,8000,0,-19992000,11644000,11644000,11644000,45698000,924882000,45876000,0.16658,0.10818,0.04753,-0.20006,0.00821,4.36042,2.46186,-25.37533,0.72152,0.24939,0.24928,5.24694,-1.24657,1.08747,0.00901000000000001,0.03929,18.54044,35.38215
"5","2015_Q3",9.22484375,"Down",220892000,-175871000,45021000,-36436000,-9771000,-26665000,8585000,-9250000,-9299000,49000,-665000,-665000,352000,-313000,-313000,-313000,-313000,73348000,73348000,43449000,43449000,124794000,67069000,58514000,308660000,813139000,139185000,79179000,60006000,952324000,1260984000,96345000,61713000,31678000,8225000,15456000,15456000,120026000,899603000,292459000,139629000,152830000,1192062000,1312088000,64871000,-17235000,-98740000,-51104000,-51104000,1260984000,-313000,20690000,33476000,-21270000,32583000,-16803000,-16803000,-17100000,0,0,-20053000,-4273000,-4273000,-4273000,29275000,907828000,-9150000,0.20381,0.03887,-0.00142,0.00612,-0.00025,29.23323,2.57161,-25.67486,0.71994,-0.00742,-0.00742,5.23529,-1.2112,-0.21686,0.0023,-0.00796,28.50487,97.2021
"6","2015_Q4",8.59765625,"Down",257590000,-187421000,70169000,-12207000,-11596000,-611000,57962000,-8906000,-8961000,55000,49056000,49056000,-16765000,32291000,32291000,32291000,32291000,100355000,100355000,64242000,64242000,122325000,51056000,42529000,337978000,804315000,144639000,85962000,58677000,948954000,1286932000,105964000,48230000,54780000,8224000,15792000,15792000,129980000,884649000,289265000,138868000,150397000,1173914000,1303894000,67369000,12056000,-96387000,-16962000,-16962000,1286932000,32291000,22951000,-4201999.99999999,12235000,63275000,-18314000,-18314000,-1.5e+07,-8000.00000000003,0,-17954000,27007000,27007000,27007000,80913000,892873000,91599000,0.27241,0.22502,0.12536,-1.90373,0.02509,2.83667,2.60023,-76.87148,0.6938,0.7652,0.763,6.10408,-0.40195,2.17061,0.03025,0.07861,9.79469,13.67306
"7","2016_Q1",7.32868852459016,"Down",241554000,-191162000,50392000,-21362000,-13999000,-7363000,29030000,-9208000,-9285000,77000,19822000,19822000,-7064000,12758000,12758000,12758000,12758000,101303000,101303000,68892000,68892000,125409000,32149000,32149000,327753000,803838000,147021000,97420000,49601000,950859000,1278612000,100420000,44992000,55428000,7938000,23086000,23086000,131444000,850116000,314191000,162084000,152107000,1164307000,1295751000,70642000,21839000,-109620000,-17139000,-17139000,1278612000,12758000,23796000,18502000,-5432000,49624000,-17767000,-17767000,-2.5e+07,8000,-117526.173681265,-30909000,948000,948000,948000,52826000,858054000,36691000,0.20862,0.12018,0.05282,-0.74438,0.00998,2.87592,2.49348,-75.60249,0.67108,0.30232,0.30252,5.72391,-0.40613,0.86944,0.01616,0.03176,14.32535,26.0679
"8","2016_Q2",11.4628125,"Up",217729000,-177491000,40238000,-8318000,-7378000,-939999.999999996,31920000,-8670000,-8671000,1000.00000000001,23250000,32094000,-11201000,20893000,20893000,20893000,20893000,110070000,110070000,57997000,57997000,113307000,23530000,23530000,304904000,794737000,134191000,86065000,48126000,928928000,1233832000,87615000,40089000,47526000,7943000,26930000,26930000,122488000,796903000,311540000,161501000,150039000,1108443000,1230931000,71056000,39548000,-107703000,2901000,2901000,1233832000,20893000,22077000,5645000,25355000,73970000,-20390000,-20390000,-44732000,-81000,-81000,-44813000,8767000,8767000,8767000,53997000,804846000,70163000,0.18481,0.1466,0.09596,7.202,0.01693,3.35821,2.48926,424.31265,0.65231,0.49503,0.49425,5.15875,0.06873,1.6624,0.01867,0.06269,12.86694,21.76617
"9","2016_Q3",12.16859375,"Up",213589000,-164786000,48803000,-10234000,-9256000,-978000,38569000,-8152000,-8267000,115000,30417000,30417000,-11077000,19340000,19340000,19340000,19340000,166021000,166021000,32412000,32412000,106282000,42883000,42883000,347598000,806809000,120938000,72762000,48176000,927747000,1275345000,114379000,57626000,53795000,7949000,23651000,23651000,145979000,795146000,310438000,160727000,149711000,1105584000,1251563000,73628000,55867000,-105713000,23782000,23782000,1275345000,19340000,19426000,18780000,19297000,76843000,-18032000,-15889000,-2099000,51000,51000,-5003000,55951000,55951000,55951000,57995000,803095000,70337000,0.22849,0.18058,0.09055,0.81322,0.01516,3.63687,2.38115,52.62648,0.62971,0.45797,0.45527,5.05782,0.56316,1.66559,0.0196,0.06184,10.98498,16.51777
"10","2016_Q4",13.2085714285714,"Up",206540000,-155995000,50545000,-9108000,-9606000,498000,41437000,-8547000,-8727000,180000,32890000,32890000,-11323000,21567000,21567000,21567000,19861000,319666000,319666000,44127000,44127000,120147000,45769000,39121000,529709000,799828000,105666000,57581000,48085000,905494000,1435203000,121584000,50492000,68128000,7962000,19468000,19468000,149014000,775491000,298835000,150127000,148708000,1074326000,1223340000,241194000,74391000,-103739000,211863000,211863000,1435203000,21567000,22530000,6480000,-20190000,30387000,-20036000,-20036000,146609000,-357000,-357000,143294000,153645000,153645000,153645000,63967000,783453000,35064000,0.24472,0.20062,0.09616,0.0937400000000002,0.01384,1.76547,3.55476,5.77419999999999,0.54588,0.46886,0.40257,4.87579,5.00105,0.82776,0.01763,0.02709,7.25041,11.19258
