"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",21.7931147540984,"Down",194722000,-60592000,134130000,-84676000,-60513000,-4960000,-19203000,49454000,-12753000,-13273000,520000,36701000,36701000,-14199000,22502000,22502000,22502000,22502000,75106000,75106000,75106000,33985000,651106000,39000,255862000,369778000,685091000,760197000,57277000,57277000,57277000,494181000,54755000,47953000,6802000,548936000,606213000,294000,156861000,-3171000,153984000,153984000,760197000,22502000,22502000,4960000,69345000,-24672000,72135000,-310433000,219683000,-94176000,0,-365000,-22406000,-22406000,-6729000,-29135000,54414000,494181000,0.68883,0.25397,0.11556,0.14613,0.0296,1.31128,3.93686,0.65007,0.68188,0.68122,5.90067,4.66618,0.03201,7.7016,8.47404
"2","2015_Q2",19.4465079365079,"Down",165676000,-38570000,127106000,-73017000,-49722000,-5283000,-18012000,54089000,-14249000,-13305000,-944000,39840000,39840000,-15310000,24530000,24530000,24530000,24530000,143444000,143444000,143444000,40257000,566194000,33000.0000000009,255856000,310305000,606451000,749895000,54175000,54175000,54175000,481417000,36483000,28038000,8445000,517900000,572075000,2006000,181391000,-5577000,177820000,177820000,749895000,24530000,24530000,5283000,56634000,1418000,87865000,-226701000,221901000,-16372000,-37023676.271176,-31311096.0260176,71493000,71493000,-3155000,68338000,59372000,481417000,0.7672,0.32647,0.14806,0.13795,0.03271,2.64779,3.21716,0.64198,0.74333,0.74315,5.02048,5.38848,0.03526,5.69246,6.24846
"3","2015_Q3",14.41078125,"Down",146280000,-41536000,104744000,-74383000,-51796000,-5033000,-17554000,30361000,-12935000,-12904000,-31000,17426000,17426000,-6562000,10864000,10864000,10864000,10864000,96237000,96237000,96237000,50549000,622720000,3705000,270246000,348769000,673269000,769506000,70735000,70735000,70735000,482110000,21575000,20862000,713000,503685000,574420000,4210000,192255000,-1379000,195086000,195086000,769506000,10864000,10864000,5033000,32284000,-1124000,47057000,-282117000,196686000,-100361000,-22065501.6949013,-16345928.0346901,-53304000,-53304000,6097000,-47207000,35394000,482110000,0.71605,0.20755,0.07427,0.05569,0.01412,1.36053,2.94445,0.62652,0.32921,0.32906,4.43273,5.9117,0.01555,10.90222,12.7095
"4","2015_Q4",9.260625,"Down",165227000,-65614000,99613000,-80667000,-58195000,-3882000,-18590000,18946000,-13504000,-13292000,-212000,5442000,5442000,-1025000,4417000,4417000,4417000,4417000,34310000,34310000,34310000,48814000,697048000,3698000,271568000,421782000,745862000,780172000,79081000,79081000,79081000,482808000,19007000,19007000,0,501815000,580896000,6835000,196672000,-4231000,199276000,199276000,780172000,4417000,4417000,3882000,61790000,530000,70619000,-338570000,212392000,-128360000,18525423.728824,20855203.9739824,-57741000,-57741000,-4186000,-61927000,22828000,482808000,0.60289,0.11467,0.02673,0.02217,0.00566,0.43386,2.91503,0.61885,0.13385,0.13376,5.00688,6.03867,0.0063,19.64684,23.67244
"5","2016_Q1",5.97377049180328,"Down",175417000,-71138000,104279000,-83288000,-59242000,-4190000,-19856000,20991000,-13180000,-13382000,202000,7811000,7811000,-3630000,4181000,4181000,4181000,4181000,42066000,42066000,42066000,48055000,750416000,6540000,267008000,476868000,798471000,840537000,72141000,72141000,72141000,541909000,20519000,20519000,0,562428000,634569000,9924000,200853000,-4622000,205968000,205968000,840537000,4181000,4181000,4190000,78269000,-8260000,78380000,-342516000,218997000,-127076000,58400000.0000001,56616999.9999999,7921000,7921000,-165000,7756000,25181000,541909000,0.59446,0.11966,0.02383,0.0203,0.00497,0.58311,3.08091,0.64472,0.1266,0.12647,5.3118,6.23692,0.00544,19.85001,23.81225
"6","2016_Q2",7.0709375,"Up",174653000,-69577000,105076000,-73227000,-49106000,-3987000,-20134000,31849000,-14347000,-15915000,1568000,17502000,17502000,-7639000,9863000,9863000,9863000,9863000,112211000,112211000,112211000,45740000,757225000,6221000,267012000,483992000,802965000,915176000,74278000,74278000,74278000,594414000,28879000,28879000,0,623293000,697571000,11892000,210716000,-4758000,217605000,217605000,915176000,9863000,9863000,3987000,77151000,7591000,98592000,-276847000,197518000,-81559000,55513000,52184000,69217000,69217000,928000,70145000,35836000,594414000,0.60163,0.18236,0.05647,0.04533,0.01078,1.51069,3.20568,0.64951,0.2976,0.29719,5.26984,6.56584,0.01173,13.45583,15.14029
"7","2016_Q3",8.92765625,"Up",172535000,-65453000,107082000,-78275000,-53112000,-4228000,-20935000,28807000,-15555000,-16026000,471000,13252000,13252000,-5064000,8188000,8188000,8188000,8188000,39167000,39167000,39167000,47206000,824496000,5946000,267013000,551537000,871702000,910869000,75175000,75175000,75175000,588824000,22589000,19677000,2912000,611413000,686588000,14073000,218904000,-8447000,224281000,224281000,910869000,8188000,8188000,4228000,54682000,14817000,81915000,-328867000,190172000,-144114000,-7067000,-7070999.99999999,-69270000,-69270000,-3774000,-73044000,33035000,588824000,0.62064,0.16696,0.04746,0.03651,0.00899,0.52101,3.06128,0.64644,0.24681,0.24563,5.20075,6.76054,0.0098,16.63863,19.08067
"8","2016_Q4",10.7887301587302,"Up",195943000,-95391000,100552000,-72455000,-48029000,-3789000,-20637000,28097000,-15972000,-16117000,145000,12125000,12125000,-4288000,7837000,7837000,7837000,7837000,45681000,45681000,45681000,47486000,881912000,5675000,267012000,609225000,929398000,975079000,85433000,85433000,85433000,635179000,21382000,16233000,5149000,656561000,741994000,16338000,226741000,-9692000,233085000,233085000,975079000,7837000,7837000,3789000,96500000,12074000,120200000,-381541000,231471000,-153887000,45107000,44809000,11122000,11122000,-4608000,6514000,31886000,635179000,0.51317,0.14339,0.04,0.03362,0.00804,0.5347,3.18336,0.65141,0.23598,0.23354,5.89994,7.01831,0.00881,18.48767,20.98082
"9","2017_Q1",14.1193548387097,"Up",202438000,-97545000,104893000,-72169000,-45113000,-3560000,-23496000,32724000,-18167000,-17545000,-622000,14557000,14557000,-5843000,8714000,8714000,8714000,8714000,39934000,39934000,39934000,47100000,890845000,5404000,267010000,618431000,937945000,977879000,71671000,71671000,71671000,649911000,14598000,14316000,282000,664509000,736180000,18446000,235455000,-11578000,241699000,241699000,977879000,8714000,8714000,3560000,99784000,-19392000,92666000,-320942000,238982000,-84890000,13466000,9958000,17734000,17734000,-4554000,13180000,36284000,649911000,0.51815,0.16165,0.04305,0.03605,0.00891,0.55718,3.04585,0.66461,0.26215,0.25805,6.09019,7.27133,0.00962,16.81118,18.64005
"10","2017_Q2",14.1468253968254,"Up",192263000,-81884000,110379000,-72307000,-45279000,-3497000,-23531000,38072000,-16995000,-17222000,227000,21077000,21077000,-7225000,13852000,13852000,13852000,13852000,97030000,97030000,97030000,44279000,844104000,5136000,267011000,571957000,888383000,985413000,70485000,70485000,70485000,631117000,25338000,25338000,0,656455000,726940000,20766000,249307000,-10440000,258473000,258473000,985413000,13852000,13852000,3497000,105631000,-3115000,119865000,-273990000,230555000,-45591000,-19970000,-20506000,53768000,53768000,2632000,56400000,41569000,631117000,0.5741,0.19802,0.07205,0.05359,0.01406,1.3766,2.81244,0.64046,0.41508,0.40698,5.76121,7.74521,0.01514,12.8482,14.02834
