"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.92111111111111,"Down",605081,-199255,405826,-235892,-224493,-11399,169934,-35270,134664,134664,972824.541368468,134664,134664,134664,134664,315380,315380,197591,197591,25250,25250,538221,113529,113529,20897.8228316936,137009,675230,111988,61542,50446,-2660316.30246572,-2608554.14247812,111988,-72861.4820240579,-72883.104942271,-72860.9154618954,111988,1629120,-1065909,563242,563242,675230,134664,11399,93290,-63058,176295,-6958,-6958,-95693.9300761988,0,169337,169337,169337,181333,0,11606468.1176223,0.6707,0.28085,0.22256,0.23909,0.19943,-146.916552563068,4.80606,0.19883,0,0.07995,0.07974,0.35925,0.33439,6.61522703006922,100.939100741777,0.23909,16.7103009863894,-1.73923,-1.8559
"2","2010_Q3",5.78390625,"Up",2359650,-1913101,446549,-319178,-308997,-10181,127371,1472,128843,128843,0,128843,128843,128843,128843,1623824,1623824,836014,836014,40176,40176,2500014,106695,106695,16996.6076105645,127075,2627089,1917005,1721948,195057,-1129668.15123286,-1103787.07123906,1917005,-27157.160674686,-27164.3683140903,-27156.9718206318,1917005,1647119,-937066,710084,710084,2627089,128843,10181,33668,1135999,1308691,-247,-247,0,3.63797880709171e-12,1308444,1308444,1308444,137552,0,1273304,0.18924,0.05398,0.0546,0.18145,0.04904,9.8826,1.30412,2.69969,0,0.07364,0.07256,1.34868,0.40584,0.72777,48.8341870622812,0.18145,1.79317,-11.80516,-12.74877
"3","2010_Q4",8.5909375,"Up",403991,-191058,212933,-266147,-254803,-7344,-53214,12442,-40772,-40772,0,-40772,-40772,-40772,-40772,495325,495325,138966,138966,26003,26003,660294,113439,97863,15576,167478,827772,122644,84180,38464,-290239.050410953,-281612.023746354,122644,1918,1918,1918,124562,1681017,-977838,703210,703210,827772,-40772,7344,34179,-1093079,-1092328,-36171,-36171,7.27595761418343e-12,0,-1128499,-1128499,-1128499,-45870,0,-1175120,0.52707,-0.13172,-0.10092,-0.05798,-0.04926,28.82174,5.38383,0.17713,0,-0.02317,-0.02283,0.22957,0.39959,-0.66777,18.6878201483555,-0.05782,-1.66653,10.79845,9.30817
"4","2011_Q1",9.81661290322581,"Up",491791,-206002,285789,-301976,-291728,-10248,-16187,2058,-14129,-14129,220800,206671,206671,206671,206671,504713,504713,175336,175336,118981,16581,799030,227005,93029,15576,280380,1079410,100488,65569.9999999999,34918,51382,51382,151870,19810,19810,19810,171680,1678897,-771167,907730,907730,1079410,206671,10248,-176068,12788,53639,-4751,-4751,-39500,-39500,9388,9388,9388,-5939,3.46944695195361e-18,-218702,0.58112,-0.03291,0.42024,0.22768,0.19147,-1.05821,5.26128,0.18913,4.13590306276514e-25,0.11682,0.11537,0.27798,0.51308,-0.12362,5,0.22282,-0.23579,84.98283,31.18014
"5","2011_Q2",7.78047619047619,"Down",513556,-232096,281460,-310104,-298285,-11819,-28644,2862,-25782,-25782,5.82076609134674e-11,-25782,-25782,-25782,-25782,501893,501893,222650,222650,122910,20510,847453,222702,88196,16106,298300,1145753,123595,89367,34228,88606,88606,212201,32258,32258,32258,244459,1698243,-796949,901294,901294,1145753,-25782,11818,40528,-176,26388,-29208,-29208,-54360.7285690278,0,-2820,-2820,-2820,-16826,0,-46209.9999999999,0.54806,-0.05578,-0.0502,-0.02861,-0.0225,1.79234,3.99363,0.27123,0,-0.01458,-0.01458,0.29039,0.50963,-0.02613,2.27072661721485,-0.02762,-0.0494999999999999,29.82842,17.52175
"6","2011_Q3",5.83046875,"Down",1103871,-437115,666756,-355912,-342731,-13181,310844,1998,312842,312842,-12624,300218,300218,300218,300218,616430,616430,369452,369452,220614,52438,1206496,178802,122696,16106,247944,1454440,183485,139709,43776,35829,35829,219314,44708,44708,44708,264022,1687149,-496731,1190418,1190418,1454440,300218,13182,101031,-223330,191101,-41226,-41226,-35338,-35338,114537,114537,114537,324026,-5.55111512312578e-17,72094,0.60402,0.28159,0.27197,0.2522,0.20641,0.24014,5.50123,0.22179,0,0.1709,0.16881,0.62837,0.67764,0.04104,5,0.24307,0.05837,-1.90241,-1.98308
"7","2011_Q4",4.27301587301587,"Down",891576,-379357,512219,-395437,-380537,-14900,116782,1687,118469,118469,-47388,71081,71081,71081,71081,720423,720423,443602,443602,221391,100603,1385416,171968,115862,16106,245551,1630967,201141,147857,53284,86462,86462,287603,57157,57157,57157,344760,1711857,-425650,1286207,1286207,1630967,71081,14900,87777,-56051,117707,-12507,-12507,-1207,-1207,103993,103993,103993,131682,0,110512,0.57451,0.13098,0.07973,0.05526,0.04358,1.55473,4.81711,0.26804,0,0.04057,0.04048,0.50889,0.73414,0.06308,7,0.05291,0.08227,-5.47093,-6.16896
"8","2012_Q1",1.75306451612903,"Down",719096,-343399,375697,-526314,-305247,-14804,-150617,6164,-144453,-144453,38212,-106241,-106241,-106241,-106241,862386,862386,361191,361191,246199,111199,1469776,195103,109029,22074,261714,1731490,272890,103566,169324,177708,177708,450598,69287,69287,69287,519885,1743496,-531891,1211605,1211605,1731490,-106241,14804,15557,218842,142962,-998.999999999985,-999,3.63797880709171e-12,0,141963,141963,141963,-135813,8.88178419700125e-16,43818,0.52246,-0.20945,-0.14774,-0.08769,-0.06136,-0.41244,3.26183,0.42909,5.29395592033938e-23,-0.06064,-0.05978,0.41042,0.69152,0.02501,3,-0.08294,0.03421,6.3498,5.72569
"9","2012_Q2",1.9768253968254,"Up",796594,-356694,439900,-537908,-501840,-36068,-98008,3572,-94436,-94436,37500,-56936,-56936,-56936,-56936,752019,752019,402949,402949,247419,74919,1402387,582015,505946,12069,642860,2045247,165679,106413,59266,421732,146732,587411,81257,81257,81257,668668,1965406,-588827,1376579,1376579,2045247,-56936,36068,52611,-139892,-108149,-277218,-277218,0,275000,-110367,-110367,-110367,-61940,0,-516550,0.55223,-0.12303,-0.07147,-0.04136,-0.02784,9.07247,2.3874,0.48575,0,-0.0313,-0.0313,0.43791,0.75674,-0.28396,1,-0.03906,-0.35433,12.14109,7.67304
"10","2012_Q3",2.36269841269841,"Up",1108440,-409441,698999,-639505,-604076,-35429,59494,455,59949,59949,-24000,35949,35949,35949,35949,813291,813291,442388,442388,221526,50432,1477205,558764,482695,12069,614350,2091555,116515,83305,33210,316071,51071,432586,93226,93226,93226,525812,2118621,-552878,1565743,1565743,2091555,35949,35429,223048,-184756,109670,-6920,-6920,26375,-41477.9999999999,61272,61272,61272,94923,0,-72753,0.63062,0.05367,0.03243,0.02296,0.01719,-2.02378,3.41482,0.33582,8.470329472543e-22,0.01867,0.01867,0.57563,0.81311,-0.03778,5,0.05654,-0.04385,-8.5679,-13.67013
"11","2012_Q4",2.94048387096774,"Up",1215510,-340831,874679,-523410,-490887,-32523,351269,-679,350590,350590,-137000,213590,213590,213590,213590,1099088,1099088,565157,565157,93398,59304,1757643,534181,458112,12069,587754,2345397,112883,48759,64124,340176,85176,453059,105198,105198,105198,558257,2126428,-339288,1787140,1787140,2345397,213590,32523,213924,-104865,355172,-5927,-5927,4450,-63448,285797,285797,285797,383792,0,410000,0.7196,0.28899,0.17572,0.11951,0.09107,1.91957,3.8795,0.31237,0,0.11047,0.10056,0.62869,0.92435,0.21206,5,0.14347,0.21666,-2.86376,-3.12891
"12","2013_Q1",3.7615,"Up",1185022,-394192,790830,-546452,-512123,-34329,244378,-3749,240629,240629,-127500,113129,113129,113129,113129,1250643,1250643,544684,544684,87710,38710,1883037,602598,431529,12069,658209,2541246,326639,62886,37347,262906,112906,589545,105554,105554,105554,695099,2072306,-226159,1846147,1846147,2541246,113129,34329,-28381,278401,397478,-9784.00000000001,-9784,12700,-236139,151555,151555,151555,278707,2.27373675443232e-13,674824,0.66735,0.20622,0.09547,0.06128,0.04452,5.96508,3.19405,0.37651,0,0.05851,0.0553,0.61287,0.95478,0.349,6,0.1373,0.34576,-4.4873,-5.11766
"13","2013_Q2",5.4546875,"Up",1411228,-398890,1012338,-644553,-609618,-34935,367785,-247,367538,367538,-152000,215538,215538,215538,215538,1257862,1257862,745654,745654,73561,24561,2077077,575765,404696,12069,650858,2727935,334130,110390,99148,165688,90688,499818,100099,100099,100099,599917,2138639,-10621,2128018,2128018,2727935,215538,34935,107045,-247779,109739,-27584,-27584,64,-74936,7219,7219,7219,402720,0,279357,0.71735,0.26061,0.15273,0.10129,0.07901,1.29609,4.15567,0.28191,0,0.11095,0.10703,0.72645,1.09543,0.1438,6,0.09674,0.12538,-3.12342,-3.4201
"14","2013_Q3",6.885625,"Up",1723785,-512822,1210963,-597828,-565240,-32588,613135,2546,615681,615681,-251000,364681,364681,364681,364681,1500155,1500155,833735,833735,112304,63304,2446194,551431,380362,12069,620614,3066808,383657,95974,40590.9999999999,64400,64400,448057,94645.9999999999,94646,94646.0000000001,542703,2228463,295642,2524105,2524105,3066808,364681,32588,130803,-150017,378055,-2344,-2343.99999999988,0,-133418,242293,242293,242293,645723,1.81898940354586e-12,744362,0.7025,0.35569,0.21156,0.14448,0.11891,2.04113,5.45956,0.21501,0,0.18701,0.17583,0.88395,1.29435,0.3817,7,0.16157,0.28424,-2.32322,-2.4467
"15","2013_Q4",8.75140625,"Up",2103231,-627532,1475699,-1131583,-987894,-143689,344116,-154077,190039,190039,-72294,117745,117745,117745,117745,1926674,1926674,1688385,1688385,841775,577775,4456834,5768475,4243237,22351,6115491,10572325,2239044,444876,1794168,1689220,1189220,3928264,2348950,147800,2483359,6411623,3845430,354519,4160702,4160702,10572325,117745,143689,257735,143759,662928,-10516,-3188915,50621,2991753,465766,465766,465766,487805,134409,693342,0.70163,0.16361,0.05598,0.0283,0.01114,5.8885,1.13456,1.541,0.01271,0.05976,0.05652,1.06752,2.11181,0.35191,4,0.02658,0.10436,-3.67414,-5.20832
"16","2014_Q1",9.60639344262295,"Up",3603985,-1038647,2565338,-2190149,-1907182,-282967,375189,-363870,11319,11319,-80706,-69387,-69387,-69387,-69387,1713479,1713479,1970531,1970531,186599,160756,3870609,5092353,4013129,22351,5389930,9260539,1820971,267637,1255282,1053401,1053401,2874372,1733523,83063,2180432,5054804,3979668,285132,4205735,4205735,9260539,-69387,282967,160322,-134983,238919,-3419,-3418,73970,-426029.999999999,-190529,-190529,-190529,658156,446909,600460,0.71181,0.1041,-0.01925,-0.0165,-0.00749000000000001,-8.65378,1.34659,1.20188,0.04826,-0.03668,-0.03662,1.90522,2.22333,0.31743,5,-0.01087,0.09403,-1.92442,-3.37582
"17","2014_Q2",10.7007936507937,"Up",3494356,-1027591,2466765,-2091642,-1731865,-281866,375123,-362055,13068,13068,-50010,-36942,-36942,-36942,-36942,1820984,1820984,2193691,2193691,467026,441184,4481701,4862245,3783021,22351,5116198,9597899,1637070,294534,1342536,972586,972586,2609656,1777558,127264,2536967,5146623,4268685,248190,4451276,4451276,9597899,-36942,281866,608516,-831809,21631,-8134,-8134,97816,97816,111313,111313,111313,656989,759409,-132944,0.70593,0.10735,-0.01057,-0.0083,-0.00385,3.59872,1.71735,1.15621,0.07912,-0.01832,-0.01832,1.73311,2.20771,-0.06594,2,-0.00529,-0.01902,-1.61582,-2.82994
"18","2014_Q3",9.10203125,"Down",3638269,-1069405,2568864,-2189796,-1817410,-280767,379068,-360676,18392,18392,49631,68023,68023,68023,68023,2160993,2160993,2627879,2627879,269028,243185,5057900,4655496,3552601,46022,4897594,9955494,1103764,409371,694393,1332289,1332289,2436053,1782185,132493,2854093,5290146,4418620,316213,4665348,4665348,9955494,68023,281170,330828,-434580,245441,-38895,-38895,21199,130954,337500,337500,337500,660238,1071908,137132,0.70607,0.10419,0.0187,0.01458,0.00683,2.01597,2.07627,1.13392,0.10767,0.03297,0.03082,1.76332,2.26111,0.06646,4,0.00905,0.01824,-1.64953,-2.87306
