"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2019_Q2",56.978253968254,"Up",77682000,-26784000,50898000,-35889000,-12291000,-15145000,-8453000,15009000,-3569000,-3959000,-5791000,390000,11440000,-3522000,7918000,-2045000,5873000,5873000,5873000,5873000,7663000,7663000,17894000,462899000,462899000,488456000,1370748000,2003662000,-632914000,99603000,15799000,83804000,1470351000,1958807000,45477000,22819000,7380000,10623000,3.2e+07,9211000,9211000,86688000,510903000,400710000,78426000,322284000,911613000,998301000,496949000,391344000,72213000,960506000,960506000,1958807000,5873000,15803000,-6851000,10368000,456000,9912000,25193000,-34373000,-34373000,-8529000,1.2e+07,4650000,8121000,-1059000,-1059000,-1059000,30812000,542903000,0.65521,0.19321,0.0756,0.00611,0.003,5.63464,1.03935,0.27716,0.20663,0.20601,2.73305,33.79301,0.30007,0.00756,1.45224,17.37115,35.66127
"22","2019_Q3",61.1034375,"Up",102965000,-42133000,60832000,-37086000,-13408000,-15101000,-8577000,23746000,-3855000,-4372000,-6714000,517000,19891000,-1937000,17954000,-4192000,13762000,13762000,13538000,13538000,9849000,9849000,24350000,469720000,468323000,503919000,1397352000,2045282000,-647930000,102379000,15799000,86580000,1499731000,2003650000,60465000,28253000,7972000,23198000,5.5e+07,11593000,11593000,127058000,510859000,399306000,76983000,322323000,910165000,1037223000,497661000,396334000,72432000,966427000,966427000,2003650000,13762000,15773000,8702000,-13673000,374000,-14047000,24564000,-38766000,-38158000,-8531000,2.3e+07,1311000,15779999.9999999,2186000,2186000,2186000,39519000,565859000,0.5908,0.23062,0.13148,0.01401,0.00676,3.96605,1.07326,0.28241,0.47601,0.47458,3.62039,33.98088,0.29996,0.01143,0.63015,14.06943,23.41489
"23","2019_Q4",66.00609375,"Up",113997000,-56354000,57643000,-38822000,-14712000,-15122000,-8988000,18821000,-4120000,-4423000,-6588000,303000,14701000,-2658000,12043000,-2565000,9478000,9478000,9478000,9478000,12702000,12702000,27965000,467147000,467084000,507814000,1420056000,2081121000,-661065000,94512000,15799000,78713000,1514568000,2022382000,69393000,28193000,9220000,27760000,6.2e+07,12914000,12914000,144307000,511076000,397331000,72798000,324533000,908407000,1052714000,499405000,397259000,73004000,969668000,969668000,2022382000,9478000,15787000,1821000,14434000,3336000,11098000,41520000,-42395000,-42245000,-8536000,7e+06,5114000,3578000,2853000,2853000,2853000,34608000,573076000,0.50565,0.1651,0.08314,0.00977,0.00469,3.51898,1.08564,0.28337,0.33312,0.33198,4.00664,34.0808,0.30001,0.00929,0.90061,16.19204,29.77387
"24","2020_Q1",63.1274193548387,"Down",125838000,-50498000,75340000,-59669000,-25890000,-20224000,-13555000,15671000,-11625000,-12506000,-12703000,881000,4046000,-9880000,-5834000,348000,-5486000,-5486000,-5486000,-5486000,12944000,12944000,36305000,72797000,57335000,122046000,2217164000,3192780000,-975616000,780332000,33424000,118621000,3010424000,3132470000,76807000,34886000,13140000,28781000,139481000,18279000,18279000,234567000,1283597000,616278000,195598000,420680000,1899875000,2134442000,506667000,383191000,108170000,998028000,998028000,3132470000,-5486000,21126000,-2424000,25512000,-2220000,27732000,38728000,-67517000,-902995000,-8538000,464894000,1163000,457509000,-406758000,-406758000,-406758000,36797000,1423078000,0.59871,0.12453,-0.0436,-0.0055,-0.00175,0.5203,2.13866,0.4543,-0.19278,-0.19138,4.4221,35.07188,0.30004,0.001,-1.55633,38.32198,89.98366
"25","2020_Q2",56.605873015873,"Down",115754000,-43780000,71974000,-56193000,-21262000,-21382000,-13549000,15781000,-12527000,-13284000,-13284000,757000,3254000,-399000,2855000,-438000,2417000,2417000,2417000,2417000,28273000,28273000,34710000,63799000,56702000,126782000,2236225000,3233605000,-997380000,797891000,32775000,136829000,3047516000,3174298000,69299000,25214000,18516000,22024000,153713000,15392000,15392000,238404000,1316996000,624085000,194823000,429262000,1941081000,2179485000,507103000,376447000,111263000,994813000,994813000,3174298000,2417000,22482000,-9385000,-7585000,-8755000,1170000,7929000,-42214000,-42469000,-9118000,48022000,5965000,44869000,10329000,10329000,10329000,38263000,1470709000,0.62178,0.13633,0.02088,0.00243,0.000760000000000001,0.53179,2.19085,0.46332,0.08484,0.08429,4.06306,34.91876,0.32005,0.00373,3.77245,37.69793,91.40333
"26","2020_Q3",59.93125,"Up",147209000,-58178000,89031000,-53315000,-18126000,-22753000,-12436000,35716000,-12132000,-13180000,-13180000,1048000,23584000,347000,23931000,-4210000,19721000,19721000,19721000,19721000,23317000,23317000,44880000,75303000,72520000,143500000,2249859000,3268832000,-1018973000,803125000,32826000,141956000,3066477000,3209977000,75363000,24295000,12390000,38678000,169025000,13578000,13578000,257966000,1315979000,626918000,195116000,431802000,1942897000,2200863000,508127000,387003000,113984000,1009114000,1009114000,3209977000,19721000,23126000,-13413000,-5023000,-257000,-4766000,24411000,-36911000,-38629000.0000001,-9122000,14734000.0000001,3650000,9262000,-4956000.00000006,-4956000.00000006,-4956000.00000006,58842000,1485004000,0.60479,0.24262,0.13397,0.01954,0.00614,0.55627,2.18099,0.46262,0.69177,0.68755,5.16379,35.39765,0.31998,0.00924,0.46255,24.84088,40.92527
"27","2020_Q4",61.91046875,"Up",165863000,-69687000,96176000,-54293000,-19529000,-22417000,-12347000,41883000,-12044000,-13174000,-13174000,1130000,29839000,832000,30671000,-4578000,26093000,26093000,26093000,26093000,20211000,20211000,51374000,80489000,78267000,152074000,2289812000,3327982000,-1038170000,804199000,35274000,141889000,3107640000,3259714000,89551000,33759000,17586000,38206000,197746000,18101000,18101000,305398000,1307612000,626514000,186952000,439562000,1934126000,2239524000,509060000,403923000,107207000,1020190000,1020190000,3259714000,26093000,23075000,17708000,-28601000,5135000,-33736000,38275000,-63153000,-60112000,-9131000,21249000,6613000,18731000,-3106000,-3106000,-3106000,64958000,1505358000,0.57985,0.25252,0.15732,0.02558,0.008,0.49795,2.1952,0.46181,0.91445,0.90905,5.81279,35.75328,0.32,0.01117,0.34994,22.86319,35.45942
"28","2021_Q1",62.4713114754098,"Up",135700000,-54147000,81553000,-57263000,-20824000,-22727000,-13712000,24290000,-11646000,-14617000,-14617000,2971000,12644000,-206000,12438000,846000,13284000,13284000,13284000,13284000,5269000,5269000,46832000,75230000,60092000,127331000,2343091000,3403010000,-1059919000,826676000,35167000,163365000,3184134000,3311465000,80257000,34200000,12861000,33196000,251335000,19203000,19203000,350795000,1287580000,634333000,191415000,442918000,1921913000,2272708000,510187000,408037000,120533000,1038757000,1038757000,3311465000,13284000,22939000,-4051000,1264000,3520000,-2256000,33436000,-73132000,-73049000,-9138000,33949000,3860000,28671000,-10942000,-10942000,-10942000,47229000,1538915000,0.60098,0.179,0.09789,0.01279,0.00401,0.36298,2.18791,0.46472,0.46519,0.46255,4.75204,36.37597,0.32,0.00698,0.6879,32.47255,63.13899
"29","2021_Q2",62.2687301587302,"Down",114785000,-43595000,71190000,-58111000,-20893000,-23438000,-13780000,13079000,-11685000,-13439000,-13439000,1754000,1394000,326000,1720000,896000,2616000,2616000,2616000,2616000,11406000,11406000,45583000,66478000,51173000,123467000,2363109000,3447033000,-1083924000,830405000,35167000,167094000,3208675000,3332142000,72793000,25636000,17102000,30055000,197794000,19148000,19148000,289735000,1303028000,636818000,189531000,447287000,1939846000,2229581000,578425000,400897000,123239000,1102561000,1102561000,3332142000,2616000,23931000,116000,6713000,-3719000,10432000,33376000,-51940000,-51940000,-9724000,-37744000,4024000,23805000,5241000,5241000,5241000,37010000,1500822000,0.6202,0.11394,0.02279,0.00237,0.00079,0.42614,2.02218,0.45041,0.09064,0.09024,3.97691,38.19996,0.3369,0.00381,3.71713,40.24361,113.87843
"30","2021_Q3",65.2996875,"Up",152241000,-61028000,91213000,-58574000,-21326000,-23512000,-13736000,32639000,-11897000,-13681000,-13681000,1784000,20742000,3339000,24081000,-3306000,20775000,20775000,20775000,20775000,25442000,25442000,50825000,70591000,62120000,146858000,2404064000,3511764000,-1107700000,843437000,35357000,179936000,3262664000,3409522000,93012000,39546000,13035000,40185000,164811000,16608000,16608000,274431000,1372126000,647692000,191376000,456316000,2019818000,2294249000,579087000,411511000,124675000,1115273000,1115273000,3409522000,20775000,24475000,-1058000,-10472000,4272000,-14744000,33720000,-56613000,-55065000,-10133000,36574000,8969000,34936000,13591000,13591000,13591000,57114000,1536937000,0.59914,0.21439,0.13646,0.01863,0.00609,0.53514,2.05712,0.45078,0.71978,0.71662,5.27463,38.64039,0.35107,0.00937,0.48775,26.46453,46.30948
"31","2021_Q4",67.56140625,"Up",166923000,-72105000,94818000,-61044000,-22713000,-23837000,-14494000,33774000,-12291000,-13535000,-13915522.2651308,1244000,21483000,334000,21817000,-2749000,19068000,19068000,19068000,19068000,14019000,14019000,58725000,82769000,67573000,155513000,2449585000,3579363000,-1129778000,849354000,37347000,183863000,3314228000,3469741000,97313000,37410000,17642000,42261000,148360000,21612000,21612000,267285000,1420032000,656708000,193366000,463342000,2076740000,2344025000,581231000,420411000,124074000,1125716000,1125716000,3469741000,19068000,23506000,3793000,-13208000,6919925.58606875,-15483837.8783606,33159000,-77346000,-75894000,-10139000,32449000,8545000,30855000,-11880000,-11880000,-11880000,57280000,1568392000,0.56803,0.20233,0.11423,0.01694,0.0055,0.58182,2.08225,0.45202,0.63951,0.63661,5.5983,37.7545,0.34004,0.00872,0.53173,27.1364,46.02277
"32","2022_Q1",65.7351612903226,"Down",139737000,-52355000,87382000,-60998000,-22400000,-23613000,-14985000,26384000,-11696000,-13684000,-13768441.4414469,1988000,14688000,6541000,21229000,-3210000,18019000,18019000,18019000,18019000,10908000,10908000,53699000,69478000,57503000,134085000,2502904000,3654971000,-1152067000,839622000,36276000,162875000,3358310000,3492395000,73348000,30391000,14174000,28783000,102102000,27821000,27821000,203271000,1492935000,761670000,200451000,471221000,2254605000,2457876000,606422000,428260000,-163000,1034519000,1034519000,3492395000,18019000,24562000,-12592000,-204000,2657689.00931648,3813657.71377051,29785000,-68737000,-77096000,-10141000,27511000,1586000,43209000,-4102000,-4102000,-4102000,50946000,1595037000,0.62533,0.18881,0.12895,0.01742,0.00516,0.65964,2.37586,0.45672,0.60433,0.60159,4.68653,34.69592,0.34011,0.0083,0.56279,31.09428,60.04128
"33","2022_Q2",60.7659677419355,"Down",124302000,-46348000,77954000,-66815000,-24205000,-27606000,-15004000,11139000,-12734000,-13729000,-13729000,995000,-1595000,6399000,4804000,-1067000,3737000,3737000,3737000,3737000,17487000,17487000,53942000,66506000,52969000,137935000,2522375000,3699384000,-1177009000,835700000,36290000,159099000,3373941000,3511876000,74953000,28367000,18500000,28086000,114916000,27984000,27984000,217853000,1491556000,681980000,203186000,478794000,2173536000,2391389000,607667000,421095000,91725000,1120487000,1120487000,3511876000,3737000,28081000,-2144000,15620000,-1635000,17255000,45294000,-49636000,-49442000,-10882000,11830000,9170000,10118000,5970000,5970000,5970000,39220000,1606472000,0.62713,0.08961,0.03006,0.00334,0.00106,0.63316,2.13424,0.45744,0.12493,0.12431,4.15559,37.45945,0.3638,0.00429,2.91196,40.51466,142.6506
"34","2022_Q3",63.6275,"Up",149041000,-59702000,89339000,-62937000,-23260000,-25207000,-14470000,26402000,-13417000,-14241000,-14241000,824000,12985000,941000,13926000,-2368000,11558000,11558000,11558000,11558000,12049000,12049000,58815000,67928000,59822000,138792000,2559242000,3758954000,-1199712000,828002000,36220000,151471000,3402255000,3541047000,76894000,26580000,14615000,34612000,180302000,20633000,20633000,277829000,1455709000,685604000,203561000,482043000,2141313000,2419142000,608696000,421741000,91468000,1121905000,1121905000,3541047000,11558000,25749000,442000,555000,477000,78000,38304000,-67689000,-67689000,-10889000,29898000,4938000,23947000,-5438000,-5438000,-5438000,52151000,1636011000,0.59943,0.17715,0.07755,0.0103,0.00326,0.49956,2.15628,0.46201,0.38215,0.38087,4.92787,37.0945,0.36003,0.00652,0.94212,31.13961,61.50905
