"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.11333333333333,"Up",1857997,-312974,1545023,-4553512,-4393322,-3008489,4158798,4294748,1150309,1150309,1150309,1150309,1150309,1150309,1085261,605261,61352,748649,129209,129209,2024471,250899,2225203,66474,2654715,4679186,1872237,1872237,840269,840269,4399341,4158639,4158639,4250300,8649641,56805,-22722681,18695421,-3970455,-3970455,4679186,1150309,53298,-1211568,-1626517,-1634478,159694.350850847,37096,1592081,-5301,-5301,1767,-3534,-2955191,1778496,0.83155,-1.61921,0.61911,-0.28972,0.24584,0.46018,-2.1785,0.38009,1.01283,0.91117,1.63594,-3.49592,5,0.5849,-0.23458,-0.23043
"2","2010_Q3",3.70234375,"Down",2455646,-411824,2043822,-4723478,-4511481,-2679656,1998993,2740783,-680663,-680663,-680663,-680663,-680663,-680663,741679,281679,227273,687880,168973,168973,1825805,229952,2422368,326238,2767320,4593125,2004517,2004517,1907719,1882285,5621942,4155663,4155663,4200770,9822712,57002,-23403341,18116752,-5229587,-5229587,4593125,-680663,93476,359738,-1395833,-1623282,39891.4502836155,15070,1290174,-318038,-318038,-5544,-323582,-2586180,1754813,0.8323,-1.09122,-0.27718,0.13016,-0.14819,0.32476,-1.8783,0.38205,-0.585070000000002,-0.58507,2.11079,-4.49517,4,-0.99967,-0.39175,-0.37808
"3","2010_Q4",2.69140625,"Down",2723807,-447797,2276010,-3619487,-3495664,-1343477,-6906139,-1422894,-8249616,-8249616,-8249616,-8249616,-8249616,-8249616,1886325,1526325,223635,595085,135230,135230,2840275,213120,3126018,1056633,3463751,6304026,1152446,1152446,2494040,2494040,4645900,13687872,13687872,14261122,18907022,58057,-31652926,18991873,-12602996,-12602996,6304026,-8249616,53959,4972180,1965078,-1258399,-2965,114618,2418098,1274317,1274317,-29671,1244646,-1289518,1572664,0.8356,-0.49324,-3.02871,0.65458,-1.30863,0.61135,-1.5002,0.24947,-7.07505,-7.07505,2.33599,-10.8086,3,-3.10423,0.24324,0.23347
"4","2011_Q1",4.52758064516129,"Up",4441010,-733397,3707613,-3997943,-3846360,-290330,-4693298,-4693298,-4983628,-4983628,-4983628,-4983628,-4983628,-4983628,1977676,1637676,401597,493858,153864,153864,3026995,196353,2890263,844792,3200229,6227224,770941,770941,3223607,3223607,5130894,17150310,17150310,17271324,22402218,61495,-37661857,21425368,-16174994,-16174994,6227224,-4983628,54169,5244409,-298274,16676,-3110,11512,81492,109680,109680,1671,111351,-236161,1257360,0.83486,-0.0653699999999999,-1.12218,0.30811,-0.8003,0.58995,-1.38499,0.20191,-3.83335,-3.83335,3.41598,-12.44162,6,-2.23213,3.05011,2.48103
"5","2011_Q2",8.96920634920635,"Up",6443349,-1020135,5423214,-5078445,-4917936,344769,370424,1835047,715193,715193,715193,715193,715193,715193,2597060,2257060,450479,483893,346941,346941,3878373,181057,2578075,560085,2872744,6751117,734648,734648,2536193,2536193,3849296,13795658,13795658,13909246,17758542,69641,-36946664,25869598,-11007425,-11007425,6751117,715193,50716,-2257234,2132976,641651,-4455,-7939,-1088189.45622562,633712,633712,-14328,619384,395485,692043,0.84168,0.05351,0.111,-0.06497,0.10594,1.00755,-1.61332,0.10251,0.55012,0.3906,4.95615,-8.46679,6,0.2055,-4.81691,-5.52549
"6","2011_Q3",10.16890625,"Up",7460089,-1191534,6268555,-5659573,-5516672,608982,4933642,5477924,5542624,5542624,5447624,5447624,5447624,5447624,3036172,2736172,477591,930134,298450,298450,4742347,200073,2417247,423055,2692320,7434667,710269,710269,4386946,4386946,5560753,6370703,6370703,6449084,12009837,71948,-31499040,26851922,-4575170,-4575170,7434667,5447624,53184,-4182673,-847483,470652,-41235,1598,-648774.73698478,472250,472250,6862,479112,662166,541919,0.84028,0.08163,0.73024,-1.19069,0.73273,0.85282,-2.625,0.07289,3.75513,2.93343,5.14236,-3.15374,6,2.33058,-3.76681,-4.09577
"7","2011_Q4",9.8784126984127,"Down",9975224,-1581866,8393358,-7601095,-7431496,792263,-10559824,-10090924,-9767561,-9767561,-9767561,-9767561,-9767561,-9767561,4374051,4094051,803987,1471738,646758,646758,7296534,196007,2004458,27673,2270465,9566999,875042,875042,11299370,11299370,12746564,9989917,9989917,9989917,22736481,73678,-41266601,28023441,-13169482,-13169482,9566999,-9767561,54084,15677949,-4631624,1332848,-19053,-7610,49999.9999999995,1375238,1375238,-17359,1357879,846347,572152,0.84142,0.07942,-0.97918,0.74168,-1.02096,0.57243,-1.72645,0.0598,-6.53809,-6.53809,6.67709,-8.81523,6,3.74607,-4.49213,-4.79878
"8","2012_Q1",14.4001612903226,"Up",15040561,-2123859,12916702,-10960512,-10710215,1956190,-49146196,-49146196,-47190006,-47190006,-47187006,-47187006,-47187006,-47187006,6720974,6370974,941802,2124663,487812,487812,10275251,227811,1995450,32173,2223261,12498512,799210,799210,12168119,12147102,13401313,19905401,19905401,19905401,33306714,98795,-88453607,67546610,-20808202,-20808202,12498512,-47187006,56719,47021076,2344985,2235774,-57560,-75016,119246,2280004,2280004,-3081,2276923,2012909,433984,0.85879,0.13006,-3.13732,2.26771,-3.77541,0.76673,-1.60065,0.03472,-23.35881,-23.35881,7.44547,-10.30061,6,100.65123,-3.12334,-3.2139
"9","2012_Q2",21.9703174603175,"Up",20083299,-2956779,17126520,-13696727,-13382316,3429793,765974,804766,4195767,4195767,3724167,3724167,3724167,3724167,9787418,9437418,1315996,2756298,655386,655386,14515098,553206,2036941,92173,2590147,17105245,1209692,1209692,12386451,12368804,14030091,19279238,19279238,19279238,33309329,99281,-84729440,68426075,-16204084,-16204084,17105245,3724167,79855,-4072191,3607699,3339530,-354807,-369188,11986,2982328,2982328,84116,3066444,3509648,433948,0.85277,0.17078,0.18544,-0.22983,0.21772,1.03457,-2.05561,0.02537,1.84356,1.49583,9.94176,-8.02145,7,1.06129,-2.66507,-2.72712
"10","2012_Q3",21.1730158730159,"Down",25284058,-3679653,21604405,-17322531,-16913913,4281874,3167706,3141654,7449580,7449580,8758638.99999999,8758638.99999999,8758638.99999999,8758638.99999999,13460740,13460740,759098,3034313,3626188,3626188,20880339,1150080,2636666,92173,3786746,24667085,1678760,1678760,13205868,13191358,15318576,15979,15979,15979,15334555,100289,-76621874,85854115,9332530,9332530,24667085,8758638.99999999,96822,-9224734.00000001,5073619,4704346,-660007,-329914,-359357,4015075,4015075,8247,4023322,4378696,433948,0.85447,0.16935,0.34641,0.93851,0.35507,1.36307,1.64313,0.01759,4.31595,3.53906,12.45909,4.59874,6,0.895340000000033,-2.97504,-3.04231
