"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.22,"Up",37451000,-9e+05,36551000,-22399000,-21973000,-426000,14152000,-3000,-3000,14149000,-9310000,4839000,-2241000,2598000,2598000,2598000,2598000,86118298.4713019,86118298.4713019,8356203.240699,8356203.240699,12054847.0504755,4446769.93864167,106529348.762476,4981534.0166697,30690397.2551711,319365.793536985,35671931.2718395,142201280.034316,19366187.2999402,2860564.65642625,16505622.643514,11603558.9276346,2205221.85051803,30969746.2275748,3287009.16825297,3287009.16825331,3287009.16825297,34256755.3958278,195196847.015555,-90692500.1069218,3243669.24425554,196508.485599485,107944524.638488,107944524.638488,142201280.034316,2598000,537000,1741000,735000,5611000,-1139000,-1139000,-8720000,4000,2093000,-6627000,-2155000,-2155000,-10000,-2165000,14689000,0,16526000,0.97597,0.37788,0.06937,0.0170408991129114,0.0124221162574828,6.36105,-1.21193862257612,0.249497318687353,-5.51842117115412e-19,0.11086,0.10794,1.59801,4.2672927090511,0.70515,0.0168510027061215,0.148486689363307,-8.70152119246228,-9.19745230565537
"2","2011_Q1",12.6546774193548,"Down",50708000,-2740000,47968000,-21589000,-21162000,-427000,26379000,-4000,-4000,26375000,-10313000,16062000,-7452000,8610000,8610000,8610000,8610000,128074000,128074000,10810000,10810000,9708000,4361000,148592000,4528000,32725000,2937000,37253000,185845000,14740000,3573000,11167000,5457000,2672000,20197000,3451000,3451000,3451000,23648000,203257000,-56202000,14937000,205000,162197000,162197000,185845000,8610000,629000,4337000,-9935000,3641000,-465000,-3015000,-17133000,346000,5471000,-11662000,-11036000,-11036000,-3000,-11039000,27008000,0,24060000,0.94597,0.52021,0.1698,0.05308,0.04633,2.79443,7.35713,0.1458,0,0.39048,0.37745,2.29968,7.35587,1.09116,0.05198,0.14525,-4.74208,-4.85515
"3","2011_Q2",13.0315873015873,"Up",37555000,-2651000,34904000,-20057000,-19630000,-427000,14847000,-19000,-19000,14828000,-10880000,3948000,-1967000,1981000,1981000,1981000,1981000,140824150.509566,140824150.509566,8663348.919767,8663348.919767,8385467.6498415,4008243.35378611,157872967.079175,4465405.32777677,33811200.914943,4548044.73548767,38276606.2427202,196149573.321895,12776937.5666866,3198645.11452458,9578292.45216201,2769313.69078846,2304176.04982732,15546251.2574751,3555580.27724901,3555580.2772489,3555580.27724901,19101831.5347241,207258634.328148,-49755749.9643594,19344276.9185815,200580.504800172,177047741.787171,177047741.787171,196149573.321895,1981000,669000,2970000,1155000,6775000,-505000,-1270000,-3770000,26000,533000,-3237000,2268000,2268000,-8000,2260000,15516000,0,18133000,0.92941,0.39534,0.05275,0.0444380336290296,0.0395084612475057,9.15346,10.361735374192,0.107325893770882,1.83947372371804e-19,0.09278,0.08983,1.75893,8.2430249303163,0.84928,0.0434829990979595,0.127486936878898,-5.75090210251257,-5.89301173144821
"4","2011_Q3",12.934375,"Down",36186000,-2555000,33631000,-18756000,-18329000,-427000,14875000,-21000,-21000,14854000,-10025000,4829000,-2097000,2732000,2732000,2732000,2732000,135893000,135893000,4998000,4998000,7809000,3582000,148700000,4582000,34297000,5482000,38879000,187579000,12673000,2405000,10268000,2292000,1636000,14965000,3636000,3636000,3636000,18601000,209136000,-59998000,19650000,190000,168978000,168978000,187579000,2732000,597000,3038000,1449000,7816000,-734000,-3738000,46000,46000,1446000,1492000,5570000,5570000,-11000,5559000,15472000,-6.46234853557053e-27,18284000,0.92939,0.41107,0.0755,0.01617,0.01456,6.69253,9.93652,0.11008,0,0.12772,0.12359,1.69165,7.89949,0.85475,0.01583,0.10592,-8.78316,-9.13566
"5","2011_Q4",14.7095238095238,"Up",34787000,-1781000,33006000,-21170000,-20743000,-427000,11836000,-21000,-21000,11815000,-11793000,22000,-271000,-249000,-249000,-249000,-249000,126501000,126501000,3877000,3877000,7782000,3311000,138160000,4713000,34078000,5695000,38791000,176951000,14248000,1920000,12328000,2359000,1206000,16607000,3748000,3748000,3748000,20355000,211249000,-74235000,19401000,181000,156596000,156596000,176951000,-249000,533000,2268000,2861000,5413000,-693000,-830000,-14125000,112000,161000,-13964000,-9381000,-9381000,-11000,-9392000,12369000,0,14808000,0.9488,0.34024,-0.00716,-0.00159,-0.00141,-59.46988,8.31938,0.12998,0,-0.01183,-0.01144,1.65259,7.43924,0.70347,-0.00155,0.09235,-10.22726,-10.68782
"6","2012_Q1",15.7253225806452,"Up",43120000,-1353000,41767000,-25533000,-24768000,-765000,16234000,8000,8000,16242000,-11857000,4385000,-2125000,2260000,2260000,2260000,2260000,123607000,123607000,8055000,8055000,7999000,3377000,139661000,4631000,33653000,5641000,38284000,177945000,16490000,2391000,14099000,1861000,1547000,18351000,3920000,3920000,3920000,22271000,215390000,-81557000,21661000,180000,155674000,155674000,177945000,2260000,559000,2658000,-2940000,2537000,-475000,-759000,-6607000,715000,1935000,-4672000,-2894000,-2894000,0,-2894000,16793000,0,15503000,0.96862,0.37648,0.05241,0.01452,0.0127,6.85973,7.61054,0.14306,1.92592994438724e-34,0.11302,0.10819,2.15643,7.78526,0.77531,0.01416,0.09714,-7.36063,-7.61408
"7","2012_Q2",16.4761904761905,"Up",37075000,-1675000,35400000,-20038000,-19591000,-447000,15362000,21000,21000,15383000,-11453000,3930000,-1805000,2125000,2125000,2125000,2125000,116241000,116241000,6240000,6240000,8054000,4003000,130535000,4261000,37468000,9122000,41729000,172264000,12373000,3233000,9140000,4397000,2808000,16770000,3948000,3948000,3948000,20718000,217580000,-89998000,23786000,178000,151546000,151546000,172264000,2125000,576000,2991000,-599000,5093000,-203000,-4576000,-7447000,994000,-435000,-7882000,-7365000,-7365000,-1000,-7366000,15938000,0,16941000,0.95482,0.41435,0.05732,0.01402,0.01234,7.97224,7.78384,0.13671,0,0.10877,0.10392,1.89778,7.75727,0.86717,0.01367,0.10895,-7.29332,-7.56679
"8","2012_Q3",17.4225396825397,"Up",35507000,-764000,34743000,-19217000,-18757000,-460000,15526000,16000,16000,15542000,-11391000,4151000,-1846000,2305000,2305000,2305000,2305000,122055000,122055000,3661000,3661000,10150000,5891000,135866000,5760000,36763000,9094000,42523000,178389000,13239000,3748000,9491000,3884000,3482000,17123000,4047000,4047000,4047000,21170000,220948000,-89998000,26091000,178000,157219000,157219000,178389000,2305000,538000,2162000,2627000,7632000,-1943000,-3813000,1376000,1376000,618000,1994000,5813000,5813000,1000,5814000,16064000,-1.65436122510606e-24,18594000,0.97848,0.43727,0.06492,0.01466,0.01292,8.06681,7.93471,0.13465,-3.08148791101958e-33,0.11746,0.11248,1.80937,8.01157,0.94751,0.01429,0.1153,-7.59805,-7.86133
"9","2012_Q4",23.7253225806452,"Up",37586000,-1099000,36487000,-21086000,-20732000,-354000,15401000,4000,4000,15405000,-14326000,1079000,-874000,205000,205000,205000,205000,130800000,130800000,3256000,3256000,9384000,5078000,143440000,6131000,35944000,8848000,42075000,185515000,17254000,4571000,12683000,2568000,1864000,19822000,4117000,4117000,4117000,23939000,225097000,-89998000,26296000,181000,161576000,161576000,185515000,205000,626000,2490000,3607000,6928000,-982000,-982000,1644000,1644000,1153000,2797000,8743000,8743000,2000,8745000,16027000,0,19526000,0.97076,0.40975,0.00545,0.00127,0.00111,95.24878,7.2364,0.14816,0,0.01026,0.00988,1.88184,8.08972,0.97762,0.00124,0.11784,-8.16123,-8.49296
"10","2013_Q1",21.2146666666667,"Down",45305000,-1245000,44060000,-25232000,-24878000,-354000,18828000,-18000,-18000,18810000,-14518000,4292000,-1845000,2447000,2447000,2447000,2447000,140849000,140849000,4468000,4468000,10741000,6643000,156058000,6185000,34058000,8123000,40243000,196301000,18308000,6123000,12185000,2501000,1575000,20809000,4625000,4625000,4625000,25434000,232930000,-90991000,28743000,185000,170867000,170867000,196301000,2447000,671000,3565000,-1445000,5238000,-725000,-725000,3438000,4431000,2093000,5531000,10044000,10044000,5000,10049000,19499000,0,19174000,0.97252,0.41558,0.05401,0.01432,0.01247,7.83572,7.49954,0.14885,0,0.12033,0.11476,2.22793,8.40261,0.94291,0.01394,0.10926,-7.2234,-7.48083
