"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.50859375,"Down",176313000,-127995000,48318000,-50549000,-46762000,-3787000,-2231000,-8793000,-8793000,-11024000,-60806000,9516000,-51290000,-51290000,-51290000,-51290000,-18316402.4296467,-18316402.4296467,140309096.955005,140309096.955005,23522792.2446387,-10298755.4631135,145515486.769997,23709171.209425,278254907.826602,156815868.936762,76551622.0868923,44000188.007415,301964079.036027,447479565.806023,94034815.7151426,61519082.8316787,32515732.8834639,-8568580.34040063,-22114134.2289514,85073824.8938224,211508983.339897,82467291.7825449,82467530.1494524,293976275.122442,379050100.016265,399543504.080991,-330776575.907613,-338027.644061646,68429465.7897586,68429465.7897586,447479565.806023,-51290000,3787000,45728000,-13246000,-15021000,-1115000,511000,-3835000,-13978000,-6484000,-20462000,-39318000,-39318000,27000,-39291000,1556000,0,-22321000,0.27405,-0.01265,-0.2909,-1.06784106158623,-0.271477609337384,0.43519,1.65478114639729,4.04823175861298,0.453756699941579,-1.47389,-1.54707,5.06661,1.63867153798687,-0.64143,-0.339278659368296,-0.0160617534004546,54.7401028006897,435.508235481503
"2","2011_Q1",6.91096774193548,"Up",201023000,-146194000,54829000,-53753000,-49237000,-4516000,1076000,-5749000,-5749000,-4673000,-5723000.00000001,3344000,-2379000.00000001,-1617999.99999999,-1617999.99999999,-1617999.99999999,1883000,1883000,144546000,144546000,32832000,6969000,179261000,21777000,361072000,165576000,154176000,41077000,382849000,562110000,88390000,45867000,42523000,15628000,8437000,117893000,200811000,89951000,89951000,290762000,408655000,386942000,-233066000,-421000,153455000,153455000,562110000,-1617999.99999999,4836000,5259000,-3628000,4849000,-1783000,-1022000,-2805000,-2055000,-185000,-2240000,-196000.000000007,-196000.000000007,2000,-194000.000000007,5912000,214686000,-2843000,0.27275,0.00535,-0.00805,-0.01054,-0.00288,1.75711,1.52054,2.66303,0.38193,-0.04131,-0.04131,5.1322,3.91777,-0.0725800000000001,-0.00353,-0.00621,35.99509,197.7723
"3","2011_Q2",8.39015873015873,"Up",215805000,-153105000,62700000,-53192000,-48720000,-4472000,9508000,-5505000,-5505000,4003000,4003000,-2287000,1716000,2256000,2256000,2256000,8929550.80988222,8929550.80988222,149344051.014998,149344051.014998,33691235.9184538,10594918.4877045,191964837.743334,20357109.5968583,377284280.724466,166526960.354413,171654292.637703,39014020.664195,397641390.321324,589606228.064659,89192394.7616191,41040972.3894404,48151422.3721787,20796110.1134669,16395378.0763171,128910641.702059,195282755.553368,91501652.7391517,91501573.2835159,286784408.292519,415695049.994578,384679415.306336,-210327724.697462,-440324.118646118,173911178.07008,173911178.07008,589606228.064659,2256000,4465000,5391000,-6548000,5564000,-1687000,0,-1687000,-1092000,-733000,-1825000,2052000,2052000,-1000,2051000,13973000,0,8025000,0.29054,0.04406,0.01045,0.216377853862078,0.0549050364457948,3.55718,1.4861079512009,2.33270024712901,0.36239776668614,0.05749,0.04921,5.49962,4.44428698733771,0.20451,0.0686645531227653,0.00532641780015155,23.8240840664368,72.9496523394988
"4","2011_Q3",6.19859375,"Down",220602000,-160429000,60173000,-52274000,-48188000,-4086000,7899000,-5585000,-5585000,2314000,2314000,-1702000,612000,812999.999999999,812999.999999999,812999.999999999,7924000,7924000,154656000,154656000,30895000,7382000,193475000,19231000,354574000,161948000,154485000,37898000,373805000,567280000,93032000,42930000,50102000,15827000,12241000,127359000,192328000,89642000,89642000,281970000,409329000,388371000,-229997000,-423000,157951000,157951000,567280000,812999.999999999,4119000,2726000,-5304000,2354000,-764000,2719000,1955000,860000,-1178000,-318000,3991000,3991000,-999.999999999999,3990000,12018000,210828000,7652000,0.27277,0.03581,0.00368999999999999,0.00514999999999998,0.00143000000000004,9.41205,1.51913,2.59149,0.37165,0.02051,0.01768,5.56626,3.98544,0.19308,0.00177000000000003,0.01669,16.88334,25.6873
"5","2011_Q4",4.48650793650794,"Down",229006000,-165345000,63661000,-53398000,-49477000,-3921000,10263000,-7017000,-7017000,3246000,3246000,-2242000,1004000,-26899000,-26899000,-26899000,4643000,4643000,161379000,161379000,31430000,6032000,197452000,18134000,321816000,153465000,130089000,38019000,339950000,537402000,95477000,47198000,48279000,12397000,9812000,128686000,185767000,86872000,86872000,272639000,401325000,393364000,-256896000,-391000,136077000,136077000,537402000,-26899000,3954000,33580000,-5754000,4881000,-1099000,-8000,-1107000,-6205000,-882000,-7087000,-3313000,-3313000,32000,-3281000,14217000,206579000,9606000,0.27799,0.04482,-0.11746,-0.19767,-0.05005,-0.35711,1.53437,2.94925,0.3844,-0.66687,-0.58542,5.67746,3.37359,0.23815,-0.06262,0.02236,14.20384,19.67612
"6","2012_Q1",5.14806451612903,"Up",222053000,-159268000,62785000,-52808000,-48963000,-3845000,9977000,-5620000,-5620000,4357000,4357000,-2673000,1684000,-2435000,-2435000,-2435000,3962000,3962000,169151000,169151000,39360000,12715000,212473000,16863000,306295000,143575000,123324000,39396000,323158000,535631000,93458000,49809000,43649000,18469000,18469000,140052000,174198000,85722000,85722000,259920000,399972000,395363000,-259331000,-373000,135659000,135659000,535631000,-2435000,3878000,11306000,-6236000,6513000,-1098000,-44000,-1142000,-6059000,-11000,-6070000,-699000.000000001,-699000.000000001,18000,-680999.999999999,13855000,202323000,9194000,0.28275,0.04493,-0.01097,-0.01795,-0.00455,-3.77577,1.5171,2.94836,0.37773,-0.0602099999999999,-0.0528999999999998,5.49038,3.35424,0.22733,-0.00574999999999999,0.0217,14.31693,19.88183
"7","2012_Q2",6.14111111111111,"Up",226412000,-163198000,63214000,-50871000,-47176000,-3695000,12343000,-5533000,-5533000,6810000,6810000,-3357000,3453000,4276000,4276000,4276000,4901000,4901000,164955000,164955000,31995000,8298000,201851000,15918000,306194000,141825000,123324000,38879000,322112000,523963000,96359000,51417000,44942000,7174000,5539000,105533000,190994000,86851000,86851000,277845000,383378000,396056000,-255055000,-416000,140585000,140585000,523963000,4276000,3695000,6457000,-4875000,9553000,7349000,3000,7352000,-15273000,-650000,-15923000,982000,982000,-43000,939000,16038000,192994000,21869000,0.2792,0.05452,0.01889,0.03042,0.00816,5.11436,1.91268,2.72702,0.36834,0.10538,0.09263,5.57995,3.46473,0.53896,0.01017,0.05202,11.72796,15.23884
"8","2012_Q3",7.42253968253968,"Up",235786000,-168813000,66973000,-53856000,-50304000,-3552000,13117000,-13590000,-13590000,-473000.000000002,-473000,392000,-81000.0000000005,-81000,-81000,-81000,15498000,15498000,158531000,158531000,31094000,7301000,205123000,15248000,302834000,140137000,123324000,37207000,318082000,523205000,94064000,50711000,43353000,6963000,5181000,121027000,173721000,86621000,86621000,260342000,381369000,397355000,-255136000,-383000,141836000,141836000,523205000,-81000,3552000,11508000,6018000,20997000,-937000.000000002,-94000,-1031000,-5322000,-4080000,-9402000,10564000,10564000,33000,10597000,16669000,193721000,21358000,0.28404,0.05563,-0.00034,-0.000570000000000005,-0.000149999999999999,-263.67901,1.69485,2.6888,0.37026,-0.00198,-0.00198,5.77709,3.47518,0.5233,-0.000189999999999999,0.05059,10.69188,13.58718
"9","2012_Q4",10.6083870967742,"Up",243912000,-174329000,69583000,-55810000,-52375000,-3435000,13773000,-3688000,-3688000,10085000,10085000,-4227000,5858000,5858000,5858000,5858000,3823000,3823000,161567000,161567000,28260000,7755000,193650000,14968000,302155000,138523000,123324000,38142000,317123000,510773000,96341000,43564000,52777000,7205000,5698000,115546000,157996000,86657000,86657000,244653000,360199000,400290000,-249278000,-438000,150574000,150574000,510773000,5858000,3435000,7340000,-5121000,11512000,-1521000,-582000,-2103000,-20961000,-68000,-21029000,-11620000,-11620000,-55000,-11675000,17208000,169996000,14793000,0.28528,0.05647,0.02402,0.0389,0.01147,2.52526,1.67596,2.39217,0.33282,0.1434,0.12491,5.97077,3.68593,0.36212,0.01439,0.03633,9.65673,12.06513
"10","2013_Q1",13.2733333333333,"Up",247841000,-177214000,70627000,-56518000,-53049000,-3469000,14109000,-3208000,-3208000,10901000,10901000,-3818000,7083000,7083000,7083000,7083000,5681000,5681000,160977000,160977000,37086000,18963000,203744000,14815000,298827000,136910000,123324000,38593000,313642000,517386000,102062000,52619000,49443000,7463000,7463000,109525000,158178000,67572000,67572000,225750000,335275000,424749000,-242195000,-443000,182111000,182111000,517386000,7083000,3469000,6193000,-427000.000000002,16318000,-1313000,-1327000,-2640000,-12174000,-171000,-11815000,1863000,1863000,-5000,1858000,17578000,158178000,19656000,0.28497,0.05693,0.02858,0.03889,0.01369,2.77510000000001,1.86025,1.84105,0.30573,0.15993,0.13373,5.59625,4.11206,0.44383,0.01737,0.04819,8.67545,10.80849
