"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2019_Q4",187.2390625,"Up",1128200000,-342600000,785600000,-419900000,-2.84e+08,-135900000,365700000,33300000,33300000,3.99e+08,3.99e+08,-3e+05,398700000,398700000,396800000,396800000,2897600000,969600000,1.928e+09,6.39e+08,6.39e+08,579600000,200800000,200800000,4.317e+09,1136800000,2.533e+09,1144500000,415700000,304700000,424100000,4814300000,9131300000,623300000,132400000,490900000,307600000,307600000,930900000,423300000,423300000,423300000,1354200000,5.601e+09,2142600000,17800000,7761400000,7777100000,9131300000,398700000,50900000,26200000,-79500000,396300000,-86700000,-96900000,-216600000,16600000,-15400000,1200000,180900000,180900000,-1600000,179300000,416600000,0,250700000,0.69633,0.32414,0.35171,0.05102,0.04345,0.6318,4.63745,0.17413,0,1.14517,1.10776,3.25599,22.39942,0.72352,3,0.04839,0.03057,-6.95535,-7.92343
"40","2020_Q1",183.153387096774,"Down",1277700000,-381700000,8.96e+08,-498400000,-341800000,-156600000,397600000,34100000,34100000,431700000,431700000,-6.9e+07,362700000,362700000,357700000,357700000,3221700000,1167600000,2054100000,645200000,645200000,595500000,200200000,200200000,4662600000,1272900000,2623500000,1174200000,441400000,307200000,425600000,5070600000,9733200000,692400000,123500000,568900000,337800000,337800000,1030200000,418300000,418300000,418300000,1448500000,5756900000,2494500000,12400000,8263800000,8284700000,9733200000,362700000,63800000,9.4e+07,32200000,552700000,-1.42e+08,-236300000,-406200000,67100000,-16300000,50800000,197300000,197300000,699999.999999999,1.98e+08,461400000,0,420600000,0.70126,0.31118,0.27996,0.04318,0.03675,1.17585,4.52592,0.17484,0,1.03054,0.99527,3.68107,23.80812,1.21175,3,0.0411,0.04833,-6.98244,-8.10287
"41","2020_Q2",179.258095238095,"Down",1099500000,-361299999,738200001,-455200000,-308100000,-147100000,283000001,25100000,25100000,308100001,308100001,8100000,316200001,316200001,313500001,313500001,3253400000,1223800000,2029600000,527600000,527600000,620300000,290200000,290200000,4691500000,1369200000,2642700000,1187700000,4.88e+08,3.35e+08,364700000,5199600000,9891100000,608500000,133400000,475100000,337400000,337400000,945900000,414700000,414700000,414700000,1360600000,5926900000,2570900000,8900000,8506700000,8530500000,9891100000,316200000,63400000,159399999,-186200000,352799999,-105200000,25800000,-117100000,-8700000,-1.7e+08,-178700000,56999999,56999999,-8e+05,56199999,346400001,0,46900001,0.6714,0.25739,0.28513,0.03675,0.0317,0.1496,4.95983,0.1595,0,0.89777,0.87229,3.14863,24.36054,0.13431,3,0.03505,0.00524,-9.39203,-11.49611
"42","2020_Q3",224.54390625,"Up",852100000,-349200001,502899999,-422300000,-279100000,-143200000,80599999,26600000,26600000,107199999,107199999,-3.7e+07,70199999,70199999,67999999,67999999,4488300000,2035600000,2452700000,508800000,508800000,645500000,256400000,256400000,5.899e+09,1450300000,1586500000,1167800000,465500000,336800000,365500000,4204600000,10103600000,581700000,108900000,472800000,343100000,343100000,924800000,412400000,412400000,412400000,1337200000,6085200000,2.633e+09,22300000,8740500000,8766400000,10103600000,70200000,63800000,85400000,10499999,229899999,-1.1e+08,646700000,536700000,62700000,-15100000,47600000,814199999,814199999,-8e+05,813399999,144399999,0,81899998,0.59019,0.09459,0.0798,0.00776,0.00673,1.20441,6.37868,0.15254,0,0.19406,0.18952,2.43179,24.94435,0.23373,4,0.00741,0.00892,-31.08241,-55.6861
"43","2020_Q4",248.3015625,"Up",1077700000,-353400000,724300000,-453900000,-298900000,-1.55e+08,270400000,84800000,84800000,355200000,355200000,-38400000,316800000,316800000,313900000,313900000,4718200000,1370600000,3347600000,588600000,588600000,662900000,330600000,330600000,6300300000,1509700000,1643200000,1164300000,467700000,336300000,360300000,4317200000,10617500000,566900000,1.16e+08,450900000,327800000,327800000,894700000,436100000,436100000,436100000,1330800000,6304400000,2937200000,16200000,9257800000,9286700000,10617500000,316800000,69200000,67600001,-178999999,274600002,-64400000,-961500000,-1025900000,113899999,-28700000,85199999,-666099999,-666099999,-4e+05,-666499999,339600000,0,134600001,0.67208,0.2509,0.29127,0.0338,0.02956,0.4288,7.0418,0.1433,0,0.89278,0.86761,3.06513,26.33049,0.38282,3,0.03228,0.01384,-13.8934,-17.44896
"44","2021_Q1",251.581967213115,"Up",1329100000,-433300000,895800000,-4.8e+08,-330200000,-149800000,415800000,20700000,20700000,436500000,436500000,-72900000,363600000,363600000,365200000,365200000,5111400000,1622600000,3488800000,645500000,645500000,601500000,267500000,267500000,6625900000,1577300000,1757700000,1.208e+09,488375352.331223,336700000,367700000,4.543e+09,11168900000,614900000,81600000,533300000,350300000,350300000,965200000,444600000,444600000,444600000,1409800000,6445300000,3261300000,24900000,9731500000,9759100000,11168900000,363600000,79800000,102600000,81500000,627500000,-61900000,-272400000,-334300000,6600001,-46400000,-39799999,253400001,253400001,-6e+05,252800001,495600000,0,588100000,0.67399,0.31284,0.27477,0.03742,0.0327,1.61035,6.86479,0.14446,0,1.03515,1.0044,3.76729,27.58362,1.66695,4,0.03579,0.05764,-10.31356,-12.29293
"45","2021_Q2",280.543968253968,"Up",1292100000,-389500000,902600000,-485800000,-3.26e+08,-159800000,416800000,3.2e+07,3.2e+07,448800000,448800000,-13600000,435200000,435200000,426300000,426300000,4557500000,1401800000,3155700000,654300000,654300000,576800000,277800000,277800000,6066400000,1592900000,2.673e+09,1208100000,5.27e+08,344500000,336600000,5.474e+09,11540400000,546500000,103100000,443400000,358100000,358100000,904600000,445600000,445600000,445600000,1350200000,6627400000,3514700000,11400000,10153500000,10190200000,11540400000,435200000,71700000,140200000,-169500000,477600000,-58600000,-529700000,-5.97e+08,8.4e+07,-186200000,-102200000,-221600000,-221600000,8e+05,-220800000,488500000,0,2.74e+08,0.69855,0.32258,0.32993,0.04183,0.03694,0.64274,6.70617,0.1325,0,1.20322,1.17148,3.64691,28.65792,0.77336,6,0.04008,0.02576,-9.32958,-10.9345
"46","2021_Q3",335.8025,"Up",1.464e+09,-440300000,1023700000,-512500000,-350200000,-162300000,511200000,1.5e+07,1.5e+07,526200000,526200000,-3200000,5.23e+08,5.23e+08,517200000,517200000,4439200000,1615500000,2823700000,699900000,699900000,569700000,307800000,307800000,6016600000,1651200000,3295600000,1333600000,594900000,344300000,394400000,6280400000,1.2297e+10,644600000,117900000,526700000,3.6e+08,3.6e+08,1004600000,412900000,412900000,412900000,1417500000,6804500000,4022700000,10300000,10837500000,10879500000,1.2297e+10,5.23e+08,75600000,52800000,-108700000,542700000,-75700000,-3.09e+08,-384700000,69700000,-11400000,58300000,216300000,216300000,-3400000,212900000,586800000,0,405600000,0.69925,0.34918,0.35328,0.04754,0.04206,0.78422,5.98905,0.13029,0,1.45485,1.4166,4.11814,30.48523,1.14093,6,0.0458,0.03592,-7.5651,-8.68388
"47","2021_Q4",344.0553125,"Up",1403300000,-431900000,971400000,-528800000,-363300000,-165500000,442600000,18500000,18500000,461100000,461100000,-73900000,387200000,387200000,380500000,380500000,4088200000,1346700000,2741500000,6.95e+08,6.95e+08,584900000,359900000,359900000,5.728e+09,1737900000,4131500000,1337200000,698660563.729957,344300000,411500000,7206600000,12934600000,678800000,1.2e+08,558800000,348500000,348500000,1027300000,447800000,447800000,447800000,1475100000,7015500000,4390100000,5300000,11410900000,11459500000,12934600000,387200000,8.2e+07,111200000,-7.9e+07,501400000,-68300000,-770500000,-838800000,91100000,-22800000,68300000,-269100000,-269100000,3e+05,-268800000,524600000,0,451200000,0.69223,0.3154,0.27115,0.0332,0.02942,1.18581,5.57578,0.12872,0,1.06583,1.03877,3.93081,31.96331,1.26387,5,0.03196,0.03789,-7.79299,-9.23678
"48","2022_Q1",292.142741935484,"Down",1550700000,-489900000,1060800000,-610400000,-4.27e+08,-183400000,450400000,3800000,3800000,454200000,454200000,-71500000,382700000,382700000,380600000,380600000,4.204e+09,1290900000,2913100000,782700000,782700000,587100000,271100000,271100000,5844900000,1876400000,4415500000,1418200000,843681691.189871,343600000,441400000,7710100000,1.3555e+10,772600000,121200000,651400000,377200000,377200000,1149800000,453700000,453700000,453700000,1603500000,7164400000,4760900000,-24200000,11901100000,11951500000,1.3555e+10,382700000,80900000,1.15e+08,-10900000,567700000,-136900000,-490100000,-6.41e+08,31700000,-13100000,18600000,-54700000.0000001,-54700000.0000001,-1100000,-55800000,531300000,0,4.55e+08,0.68408,0.29045,0.24544,0.03185,0.02808,1.19548,5.08341,0.13417,0,1.05605,1.02339,4.30272,33.02192,1.26249,4,0.03068,0.03668,-7.91267,-9.33393
"49","2022_Q2",234.604677419355,"Down",1487700000,-4.78e+08,1009700000,-601600000,-391100000,-210500000,408100000,-5700000,-5700000,402400000,402400000,-3.3e+07,369400000,369400000,365600000,365600000,3985600000,1103100000,2882500000,906100000,906100000,6.53e+08,258500000,258500000,5803200000,1968200000,4416200000,1490800000,1035363382.37974,343200000,485400000,7875200000,13678400000,726200000,128100000,598100000,3.86e+08,3.86e+08,1112200000,409300000,409300000,409300000,1521500000,7.355e+09,4.858e+09,-110700000,12102300000,12156900000,13678400000,369400000,83800000,135200000,-365400000,2.23e+08,-95100000,-119600000,-214700000,-26500000,-173400000,-199900000,-191600000,-191600000,3800000,-187800000,491900000,0,64400000,0.6787,0.27432,0.24575,0.03007,0.02673,0.17615,5.21777,0.12516,0,1.02266,0.9951,4.1614,33.85259,0.18014,2,0.02909,0.00512,-8.10246,-9.76623
"50","2022_Q3",214.7734375,"Down",1522100000,-498800000,1023300000,-625700000,-418400000,-207300000,397600000,9300000,9300000,406900000,406900000,-93300000,313600000,313600000,307800000,307800000,4437400000,1536100000,2901300000,838500000,838500000,7.24e+08,292600000,292600000,6292500000,2109300000,3.738e+09,1565400000,1279105637.29957,349100000,515900000,7412700000,13705200000,798700000,149700000,6.49e+08,376300000,376300000,1.175e+09,447800000,447800000,447800000,1622800000,7484400000,4682800000,-144200000,1.2023e+10,12082400000,13705200000,313600000,8.6e+07,115800000,-68700000,446700000,-130500000,608500000,466200000,-473500000,-8600000,-482100000,430800000,430800000,2200000,4.33e+08,483600000,0,377700000,0.67229,0.26122,0.20222,0.02548,0.02246,1.2271,5.35532,0.13431,0,0.85954,0.84584,4.25049,33.57442,1.05473,4,0.02456,0.03014,-9.17577,-11.16046
