"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",96.1050793650794,"Up",674200000,-208100000,466100000,-274600000,-201100000,-73500000,191500000,8700000,8700000,200200000,200200000,-20400000,179800000,179800000,179800000,179800000,1464800000,708600000,756200000,412900000,412900000,213500000,76500000,76500000,2167700000,497400000,1.682e+09,460900000,140200000,201100000,119600000,2640300000,4.808e+09,284900000,7.4e+07,210900000,273300000,273300000,558200000,122300000,122300000,122300000,680500000,3872200000,263300000,-8e+06,4127500000,4127500000,4.808e+09,179800000,22700000,83200000,-44200000,241500000,-5.3e+07,1361300000,1308300000,-1830900000,-47400000,-1878300000,-328500000,-328500000,5e+05,-3.28e+08,214200000,0,137400000,0.69134,0.28404,0.26669,0.04356,0.0374,0.76418,3.88338,0.16487,0,0.5356,0.5189,2.00834,12.2952,0.40929,6,0.04231,0.03233,-6.83847,-7.64909
"30","2017_Q3",108.957619047619,"Up",764200000,-230400000,533800000,-2.72e+08,-187400000,-84600000,261800000,10100000,10100000,271900000,271900000,-47900000,2.24e+08,2.24e+08,2.24e+08,2.24e+08,1823400000,696500000,1126900000,481100000,481100000,214200000,123500000,123500000,2642200000,540100000,1599900000,468600000,152400000,201100000,115100000,2608600000,5250800000,310900000,74200000,236700000,288900000,288900000,599800000,128700000,128700000,128700000,728500000,4049800000,482300000,-9800000,4522300000,4522300000,5250800000,2.24e+08,23900000,6.7e+07,-98400000,216500000,-55300000,-298500000,-353800000,127300000,-2600000,124700000,-12600000,-12600000,5e+05,-12099999.9999999,285700000,0,179900000,0.69851,0.34258,0.29312,0.04953,0.04266,0.80312,4.40514,0.16109,0,0.67267,0.64815,2.29489,13.58048,0.54024,5,0.04816,0.03868,-6.38222,-6.96486
"31","2017_Q4",125.148412698413,"Up",807800000,-239700000,568100000,-287500000,-204100000,-83400000,280600000,10800000,10800000,291400000,291400000,7200000,298600000,298600000,298600000,298600000,2146800000,8.75e+08,1271800000,4.68e+08,4.68e+08,225200000,88900000,88900000,2928900000,584800000,1655200000,475700000,154800000,201100000,119800000,2715700000,5644600000,333200000,80400000,252800000,282500000,282500000,615700000,6.9e+07,6.9e+07,6.9e+07,684700000,4190500000,776600000,-9200000,4957900000,4959900000,5644600000,298600000,24900000,59700000,-29300000,353900000,-51400000,-208600000,-2.6e+08,85200000,-1600000,83600000,177500000,177500000,1e+06,178500000,305500000,0,217600000,0.70327,0.34736,0.36965,0.0602,0.0529,0.72873,4.75702,0.13805,0,0.89028,0.85217,2.40847,14.78205,0.64878,6,0.05938,0.04327,-7.02717,-7.65075
"32","2018_Q1",139.554754098361,"Up",8.92e+08,-2.58e+08,6.34e+08,-3.05e+08,-217900000,-87100000,3.29e+08,12300000,12300000,341300000,341300000,-372800000,-31500000,-31500000,-31500000.0000001,-31500000.0000001,1960600000,648200000,1312400000,507900000,507900000,241200000,99200000,99200000,2808900000,613100000,1885900000,468900000,195800000,201100000,7.2e+07,2967900000,5776800000,4.19e+08,82500000,336500000,243800000,243800000,662800000,333600000,333600000,333600000,996400000,4679300000,1.15e+08,-15500000,4778800000,4780400000,5776800000,-31500000,27600000,91500000,244400000,3.32e+08,-3.1e+07,-284800000,-315800000,-240100000,-3e+06,-243100000,-226900000,-226900000,1e+05,-226800000,356600000,0,942800000,0.71076,0.36883,-0.03531,-0.00658999999999999,-0.00544999999999999,-29.93016,4.23793,0.20843,0,-0.0936699999999999,-0.0892100000000001,2.65239,14.20993,2.80345,5,-0.00616,0.18436,-5.49804,-5.95927
"33","2018_Q2",152.5003125,"Up",847500000,-253700000,593800000,-317100000,-221600000,-95500000,276700000,13200000,13200000,289900000,289900000,-2600000,287300000,287300000,287600000,287600000,2517300000,974700000,1542600000,474900000,474900000,283600000,105900000,105900000,3381700000,661900000,1550900000,831700000,203800000,201100000,426800000,3044500000,6426200000,326600000,96300000,230300000,254600000,254600000,581200000,338600000,338600000,338600000,919800000,4817200000,6.98e+08,-18100000,5497100000,5506400000,6426200000,287300000,26300000,102300000,-135700000,280200000,-40100000,93700000,53600000,86200000,-94500000,-8300000,325500000,325500000,1e+06,326500000,3.03e+08,0,129800000,0.70065,0.32649,0.33935,0.05223,0.04475,0.45132,5.81848,0.16704,0,0.84988,0.81243,2.50443,16.24439,0.38357,6,0.0492,0.02221,-8.30792,-9.09758
"34","2018_Q3",177.570793650794,"Up",909300000,-2.77e+08,632300000,-354900000,-259800000,-95100000,277400000,18200000,18200000,295600000,295600000,-4.1e+07,254600000,254600000,255300000,255300000,2932500000,1203500000,1.729e+09,532500000,532500000,331500000,189600000,189600000,3986100000,688800000,1327100000,847600000,221300000,210900000,415400000,2863500000,6849600000,394300000,102200000,292100000,272100000,272100000,666400000,3.14e+08,3.14e+08,3.14e+08,980400000,4928900000,948100000,-16400000,5860600000,5869200000,6849600000,254600000,29200000,77200000,-129500000,231500000,-44800000,38600000.0000001,-44300000.0000001,48700000,-5500000,43200000,230400000,230400000,-1600000,228800000,306600000,0,173300000,0.69537,0.30507,0.28077,0.0435,0.03727,0.67881,5.98154,0.16704,0,0.74978,0.71814,2.67048,17.21175,0.50896,4,0.04129,0.02803,-9.56458,-10.57138
"35","2018_Q4",169.456507936508,"Down",920900000,-278600000,642300000,-3.29e+08,-221400000,-107600000,313300000,21900000,21900000,335200000,335200000,-43400000,291800000,291800000,292500000,292500000,3135900000,1008300000,2127600000,580400000,580400000,370100000,166200000,166200000,4252600000,746400000,1434600000,8.85e+08,237400000,236100000,411500000,3.066e+09,7318600000,422300000,96400000,325900000,2.81e+08,2.81e+08,703300000,326800000,326800000,326800000,1030100000,5063300000,1.234e+09,-16700000,6280600000,6288500000,7318600000,291800000,3.1e+07,74700000,-77700000,319800000,-4.7e+07,-503600000,-572600000,64700000,-7e+06,57700000,-195100000,-195100000,-1e+05,-195200000,344300000,0,2.63e+08,0.69747,0.34021,0.31762,0.04651,0.03997,0.89915,6.04664,0.16381,0,0.85526,0.81795,2.69269,18.36433,0.76901,5,0.04422,0.03976,-9.10805,-10.00926
"36","2019_Q1",177.72868852459,"Up",1046500000,-310800000,735700000,-403700000,-283800000,-119900000,3.32e+08,26800000,26800000,358800000,358800000,-67500000,291300000,291300000,292500000,292500000,3063100000,857900000,2205200000,682300000,682300000,4.09e+08,178800000,178800000,4333200000,8.12e+08,1771300000,930200000,2.61e+08,240600000,428600000,3513500000,7846700000,526300000,100700000,425600000,294300000,294300000,820600000,338600000,338600000,338600000,1159200000,5170400000,1521700000,-13300000,6678800000,6687500000,7846700000,291300000,36300000,51300000,-40800000,338100000,-55500000,-4.03e+08,-486300000,3.7e+07,-3300000.00000001,33700000,-114500000,-114500000,6e+05,-113900000,368300000,0,339500000,0.70301,0.31725,0.2795,0.04374,0.03728,1.16068,5.28053,0.17334,0,0.85153,0.8159,3.04658,19.44338,0.98836,6,0.04163,0.04832,-8.31686,-9.2262
"37","2019_Q2",171.342698412698,"Down",973700000,-304100000,669600000,-417400000,-273400000,-1.44e+08,252200000,27500000,27500000,279700000,279700000,24300000,3.04e+08,3.04e+08,306500000,306500000,2808700000,875700000,1.933e+09,547600000,547600000,468300000,200400000,200400000,4.025e+09,935400000,2255900000,1018600000,378700000,247500000,392400000,4209900000,8234900000,441800000,130600000,311200000,298400000,298400000,740200000,454300000,454300000,454300000,1194500000,5328900000,1.696e+09,-7e+05,7024200000,7040400000,8234900000,3.04e+08,41600000,110600000,-1.23e+08,333200000,-114800000,-192800000,-308900000,88800000,-130600000,-41800000,-17500000,-17500000,-1200000,-18700000,293800000,0,31700000,0.68769,0.25901,0.31478,0.04353,0.03722,0.10343,5.43772,0.16966,0,0.88841,0.85424,2.82232,20.36,0.09188,3,0.0409,0.00423,-9.5599,-11.1368
"38","2019_Q3",172.965,"Up",1098900000,-339900000,7.59e+08,-4e+08,-279200000,-120800000,3.59e+08,32800000,32800000,391800000,391800000,-75400000,316400000,316400000,318300000,318300000,2718400000,790300000,1928100000,633400000,633400000,512800000,2.07e+08,2.07e+08,4071600000,1032400000,2429800000,997800000,383800000,244900000,369100000,4.46e+09,8531600000,500700000,129600000,371100000,306800000,306800000,807500000,444500000,444500000,444500000,1.252e+09,5430200000,1.819e+09,16100000,7265300000,7279600000,8531600000,316400000,46700000,104100000,-151200000,3.16e+08,-82100000,-143100000,-222700000,-169200000,-9399999.99999999,-178600000,-85300000,-85300000,-1e+05,-85400000,405700000,0,247800000,0.69069,0.32669,0.28965,0.04372,0.03731,0.77851,5.04223,0.17199,0,0.91941,0.8901,3.17418,20.98585,0.71577,3,0.04121,0.03208,-6.70052,-7.57214
