"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.7763492063492,"Up",240029000,-67474000,172555000,-106505000,-89218000,-49668000,-39550000,-13179000,-4108000,66050000,2466000,2541000,3250000,-75000,68516000,121000,68637000,-27759000,40878000,40878000,40878000,40878000,227451798.716131,8780456.69752505,218671342.018606,247293966.32953,247293966.32953,115059569.201199,-36043965.8244713,589805334.24686,231766767.756634,231766767.756634,806265260.923728,658711981.658834,74599331.3152518,452263395.793485,125798778.581273,6050475.96882403,1696744010.3392,2286549344.58606,104467500.008015,32411435.573629,72056064.4343855,35020818.8177581,35235083.3541015,-214264.536343415,31448793.5081644,45892013.0380059,10714223.0621766,35177790.0644669,45891978.241279,77340771.7494434,5058634654.88117,1954820.91070699,5056679833.97046,-2734021586.42086,-41190861.9690492,2209208572.83661,2209208572.83661,2286549344.58606,40878000,32960000,41955000,19108000,-1791000,-28040000,2582000,-13320000,-17302000,87753000,-28180000,-28203000,-28203000,-44508000,187557000,-232065000,-48487828.5520017,-48487828.5520017,-7487000,-80175000,-18199000,4046000,-22245000,3173000,-15018000,-7440000,-7440000,-641000,-8081000,99010000,0,70549000,0.71889,0.27518,0.1703,0.0347762579864931,0.0329671384433067,1.72584,7.76220129402876,0.0348704625326137,-0.0446880610100454,0.23891,0.21627,1.40285,14.1224664958262,0.41232,-2.29402774982524,0.0351403858853732,-0.0375798050071726,-1.47907503258963,-0.695002777205457
"2","2010_Q3",45.6171875,"Up",245318000,-71840000,173478000,-116639000,-98910000,-55203000,-43707000,-13577000,-4152000,56839000,2766000,2644000,3262000,122000,59605000,-167000,59438000,-21315000,38123000,38123000,38123000,38123000,504188000,120506000,383682000,164574000,164574000,109405000,73460000,778167000,227888000,227888000,608087000,588856000,70853000,452950000,53431000,11622000,1424831000,2202998000,103694000,33529000,70165000,32578000,31696000,882000,199834000,30076000,2988000,27088000,30076000,229910000,4817643000,1863000,4815780000,-2722814000,-13118000,1973088000,1973088000,2202998000,38123000,34674000,31005000,20276000,-9244000,-17422000,-18988000,25198000,-23632000,86380000,-58228000,-58243000,-58243000,-65449000,317165000,-382614000,-12010000,-12010000,-7854000,-143541000,-3429000,16947000,-20376000,9750000,6320999.99999999,-50840000,-50840000,-1878000,-52718000,91513000,63562000,37178000,0.70716,0.2317,0.1554,0.01932,0.01731,0.97521,3.89407,0.11652,0.02885,0.21996,0.20014,1.41543,11.38427,0.21451,1.70985186675987,0.01845,0.01799,-4.8149,-7.75218
"3","2010_Q4",49.45046875,"Up",253551000,-77812000,175739000,-116697000,-98332000,-55603000,-42729000,-14235000,-4130000,59042000,1221000,2587000,2809000,-1366000,60263000,49000,60312000,-20603000,39709000,39709000,39709000,39709000,607596000,197567000,410029000,158115000,158115000,90097000,76439000,855808000,239508000,239508000,582609000,584827000,66723000,452950000,52969000,12185000,1406944000,2262752000,113987000,29649000,84338000,28558000,27790000,768000,201165000,27440000,2017000,25423000,27440000,228605000,4854010000,1877000,4852133000,-2683105000,-5389000,2034147000,2034147000,2262752000,39709000,36479000,32167000,18589000,-8709000,9608000,10064000,8695000,-9151000,117963000,-33131000,-33145000,-33145000,-948000,284460000,-285408000,-2e+05,-2e+05,-8913000,-43192000,-11552000,10953000,-22505000,9456000,-2096000,72675000,72675000,4386000,77061000,95521000,58620000,92601000,0.69311,0.23286,0.15661,0.01952,0.01755,2.33199,4.25426,0.11238,0.02591,0.21883,0.20761,1.39731,11.21008,0.51032,4.39119445003495,0.01873,0.04368,-5.74718,-9.29806
"4","2011_Q1",42.9041935483871,"Down",284688000,-86277000,198411000,-126065000,-108023000,-66230000,-41793000,-13775000,-4267000,72346000,1545000,2694000,2842000,-1149000,73891000,94000,73985000,-21475000,52510000,52510000,52510000,52510000,606871000,231866000,375005000,175366000,175366000,76230000,48029000,858467000,255929000,255929000,636531000,601749000,62456000,452914000,75226000,11153000,1494209000,2352676000,121036000,26375000,94661000,24115000,23808000,307000,145151000,29920000,3642000,26278000,29920000,175071000,4972202000,1924000,4970278000,-2630595000,-5741000,2177605000,2177605000,2352676000,52510000,39129000,6754000,18495000,-7305000,11966000,-17221000,-44000,29231000,110359000,-39561000,-39685000,-39685000,-19755000,226651000,-246406000,-458000,-458000,-9015000,-68789000,-13469000,13830000,-27299000,6594000,-6545000,35025000,35025000,-726000.000000001,34299000,111475000,7.45058059692383e-09,105355000,0.69694,0.25412,0.18445,0.02411,0.02232,2.00638,5.9143,0.0804,0,0.28637,0.27372,1.55261,11.87605,0.57458,6,0.02379,0.04773,-5.44401,-8.38845
"5","2011_Q2",33.9557142857143,"Down",275953000,-89068000,186885000,-114137000,-97266000,-53365000,-43901000,-12594000,-4277000,72748000,1916000,2951000,2951000,-1035000,74664000,9000,74673000,-24056000,50617000,50617000,50617000,50617000,563569000,217174000,346395000,169656000,169656000,83589000,55455000,816814000,266968000,266968000,693668000,597349000,58179000,452914000,74831000,11425000,1557985000,2374799000,113326000,28548000,84778000,20769000,20447000,322000,134095000,30516000,3942000,26574000,30516000,164611000,4993701000,1937000,4991764000,-2579978000,-2458000,2210188000,2210188000,2374799000,50617000,41134000,7139000,15712000,-8573000,-10379000,7557000,-8391000,-9545000,88511000,-35575000,-35600000,-35600000,-28348000,247267000,-275615000,-175000,-175000,-10635000,-74733000,-39719000,3959000,-43678000,9012000,-30486000,-16708000,-16708000,2016000,-14692000,113882000,0,91984000,0.67723,0.26362,0.18343,0.0229,0.02131,1.81726,6.09131,0.07448,0,0.2709,0.26448,1.47688,11.82874,0.49229,6.78626851665502,0.02259,0.04105,-4.94871,-7.74687
"6","2011_Q3",24.1553125,"Down",276989000,-89647000,187342000,-114110000,-98812000,-52837000,-45975000,-11006000,-4292000,73232000,2914000,3021000,3021000,-107000,76146000,74999.9999999999,76221000,-28300000,47921000,47921000,47921000,47921000,497276000,205629000,291647000,178260000,178260000,75417000,47348000,750953000,274377000,274377000,788197000,590622000,53887000,452914000,74281000,9540000,1653196000,2404149000,115962000,29053000,86909000,22746000,22412000,334000,138708000,37126000,3433000,33693000,37126000,175834000,5011611000,1944000,5009667000,-2532057000,298000,2228315000,2228315000,2404149000,47921000,41333000,9793000,11612000,-1819000,12801000,-7101000,2678000,17224000,111848000,-32862000,-32925000,-32925000,-38650000,263870000,-302520000,-375000,-375000,-9815000,-81702000,-40772000,8163000,-48935000,-1669000,-42441000,-12295000,-12295000,750000,-11545000,114565000,0,122804000,0.67635,0.26439,0.17301,0.02151,0.01993,2.56263,5.41391,0.07891,0,0.25679,0.25198,1.4843,11.9409,0.65807,7,0.02115,0.05421,-4.34056,-6.79042
"7","2011_Q4",27.0144444444444,"Up",281856000,-93284000,188572000,-123081000,-105354000,-54520000,-50834000,-13542000,-4185000,65491000,2515000,2703000,2703000,-188000,68006000,141000,68147000,-25862000,42285000,42285000,42285000,42285000,687566000,355599000,331967000,182665000,182665000,54248000,47085000,924479000,285476000,285476000,503429000,588573000,49702000,452914000,76747000,9210000,1377478000,2301957000,115614000,30349000,85265000,23264000,23201000,63000,138878000,41068000,3055000,38013000,41068000,179946000,5027744000,1947000,5025797000,-2489772000,-9299000,2122011000,2122011000,2301957000,42285000,41761000,36043000,15141000,-4000,-3800000,-8277000,445000,4032000,116289000,-37197000,-37244000,-37244000,239665000,388983000,-149318000,-3.72529029846191e-09,-3.72529029846191e-09,-10073000,192395000,-153942000,1183000,-155125000,-1563000,-155505000,153179000,153179000,-3209000,149970000,107252000,0,92117000,0.66904,0.23236,0.15002,0.01993,0.01837,2.17848,6.65677,0.0848,0,0.23096,0.2277,1.53948,11.59031,0.50314,7,0.01955,0.04259,-6.41075,-10.49863
"8","2012_Q1",35.1520967741935,"Up",323740000,-181706000,142034000,-57970000,-38463000,-2295000,-36168000,-15191000,-4316000,84064000,9201000,1746000,1746000,7455000,93265000,-5111000,88154000,-28073000,60081000,60081000,60081000,60081000,849226000,559197000,290029000,210936000,210936000,61858000,55414000,1122020000,293043000,293043000,380729000,549709000,45386000,452914000,43485000,7924000,1223481000,2345501000,123618000,38247000,85371000,24774000,21344000,3430000,148392000,40859000,2470000,38389000,40859000,189251000,5070194000,1959000,5068235000,-2429691000,-1259000,2156250000,2156250000,2345501000,60081000,43650000,51910000,18840000,348000,-26011000,-30016000,12482000,-8477000,129630000,-27661000,-27676000,-27676000,181446000,334103000,-152657000,0,0,-12395000,141390000,-64335000,11997000,-76332000,-1050000,-65606000,205414000,205414000,-1816000,203598000,127714000,0,102115000,0.43873,0.25967,0.18558,0.02786,0.02562,1.69962,7.56119,0.08777,0,0.3358,0.32839,1.80943,12.05161,0.57074,7,0.02735,0.04648,-6.64944,-10.10214
"9","2012_Q2",32.2919047619048,"Down",319448000,-124925000,194523000,-122884000,-100637000,-48995000,-51642000,-17480000,-4767000,71639000,1192000,1633000,1633000,-441000,72831000,-47000,72784000,-29557000,43227000,43227000,43227000,43227000,404542000,144724000,259818000,215855000,215855000,59144000,52700000,679541000,303518000,303518000,574178000,856881000,89519000,709628000,43274000,14460000,1734577000,2414118000,124020000,32944000,91076000,24518000,23192000,1326000,148538000,64392000,2227000,62165000,64392000,212930000,5078867000,1982000,5076885000,-2386464000,-307000,2201188000,2201188000,2414118000,43227000,45634000,7783000,20924000,-13141000,-4141000,-1416000,-5798000,3073000,92503000,-30423000,-30433000,-30433000,-163235000,117414000,-280649000,-291638000,-291638000,-12911000,-498207000,-835000,7078000,-7913000,-8241000,-9076000,-414780000,-414780000,307000,-414473000,117273000,0,112266000,0.60893,0.22426,0.13532,0.01964,0.01791,2.59713,4.57486,0.09673,0,0.24268,0.23707,1.79344,12.35789,0.63028,5.82321301700454,0.01908,0.04955,-3.44957,-5.64695
"10","2012_Q3",35.3465079365079,"Up",331306000,-131260000,200046000,-133081000,-110076000,-56480000,-53596000,-17542000,-5463000,66965000,2753000,1622000,1622000,1131000,69718000,49999.9999999995,69768000,-25529000,44239000,44239000,44239000,44239000,496560000,182996000,313564000,206316000,206316000,53729000,47285000,756605000,315866000,315866000,521885000,851220000,84056000,709668000,43182000,14314000,1688971000,2445576000,139154000,44546000,94608000,26698000,26072000,626000,165852000,65091000,1842000,63249000,65091000,230943000,5119086000,1993000,5117093000,-2342225000,-4108000,2214633000,2214633000,2445576000,44239000,50112000,23793000,25621000,-1828000,31408000,7803000,15939000,7666000,149552000,-42185000,-42187000,-42187000,-1674000.00000003,134171000,-135845000,0,0,-13352000,-57211000,-51722000,15491000,-67213000,-906000.000000001,-52628000,39712999.9999999,39712999.9999999,-1441000,38272000,117077000,2.91038304567337e-11,131829000,0.60381,0.20212,0.13353,0.01998,0.01809,2.97993,4.56193,0.10428,0,0.24777,0.24332,1.85557,12.40364,0.73834,5,0.01941,0.05783,-4.24131,-7.41522
