"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",24.7901587301587,"Down",2322362000,-758694000,1563668000,-1310400000,-706790000,-603610000,253268000,-424125000,-420190000,-420370000,-3935000,-170857000,-561569000,-732426000,252487000,-479939000,-479939000,-365000,-480304000,-480304000,274941000,274941000,328840000,328840000,565296000,93312000,390478000,1169077000,6228668000,28616558000,18872046000,7993469000,1741175000,34847245000,36016322000,1592218000,684577000,426936000,480705000,1851129000,206686000,103428000,21752000,3650033000,20988254000,7749408000,7342729000,155107000,157651000,28737662000,32387695000,4849370000,-1219327000,-2305000,3627738000,889000,3628627000,36016322000,-479939000,706790000,353549000,-13379000,567021000,-205784000,-206724000,-208784000,713509000,-287924000,-144576000,213661000,213661000,213661000,960058000,22839383000,488408000,0.67331,0.10906,-0.20682,-0.13237,-0.01334,-1.01687,0.32029,8.92561,0.63414,-0.72862,-0.72862,3.52301,5.50325,0.74091,0.01283,0.01427,23.50321,89.09314
"2","2017_Q4",17.9953968253968,"Down",2322521000,-755101000,1567420000,-1446845000,-823286000,-623559000,120575000,-381089000,-378105000,-379066000,-2984000,-260514000,-73470000,-333984000,141550000,-192434000,-192434000,-135000,-192569000,-192569000,550131000,550131000,344742000,344742000,230588000,109652000,66358000.0000001,1125461000,6161511000,28142486000,18446676000,7993499000,1702311000,34305691000,35431152000,1544082000,685026000,315467000,543589000,1705595000,233483000,101577000,29002000,3483160000,20935028000,7554274000,7194065000,121759000,144601000,28489302000,31972462000,4863679000,-1401548000,-4130000,3458001000,689000,3458690000,35431152000,-192434000,823286000,-34031000,-125496000,471325000,-254423000,-256285000,-279712000,-42937999.9999999,-174377000,-218011000,-26397999.9999998,-26397999.9999998,-26397999.9999999,943861000,22640623000,422392000,0.67488,0.05192,-0.08291,-0.0556800000000001,-0.00544,-2.19346,0.32311,9.2441,0.639,-0.26094,-0.26094,3.14714,4.68578,0.572359999999999,-0.00571999999999998,0.01255,23.40439,183.20955
"3","2018_Q1",16.6426229508197,"Down",2359808000,-763508000,1596300000,-1379245000,-791771000,-587474000,217055000,-374486000,-369854000,-370402000,-4632000,-157431000,-21651000,-179082000,2422407000,2243325000,2243325000,-850000,2242475000,2242475000,329848000,329848000,370765000,370765000,202986000,130425000,20016000,903599000,6023826000,27884657000,18086535000,8019861000,1778261000,33908483000,34812082000,1752265000,795128000,397422000,559715000,593357000,174740000,111197000,10998000,2520362000,21347954000,5207723000,4769286000,187406000,147868000,26555677000,29076039000,4903890000,840636000,-10022000,5734504000,1539000,5736043000,34812082000,2243325000,791771000,-2341225000,41944000,735815000,-226092000,-232437000,-302531000,-554148000,-225184000,-778721000,-345437000,-345437000,-345437000,1008826000,21941311000,-1597729000,0.67645,0.09198,0.95028,0.39094,0.06442,-0.71248,0.35852,5.06901,0.63028,3.04057,3.04057,3.19966,7.77541,-2.16636,0.06819,-0.04859,21.42239,99.56676
"4","2018_Q2",16.16734375,"Down",2329714000,-787361000,1542353000,-1229315000,-642705000,-586610000,313038000,-385813000,-374155000,-377258000,-11658000,-72775000,-116877000,-189652000,60703000,-128949000,-128949000,-1999.99999999988,-128951000,-128951000,1427651000,1427651000,330761000,330761000,172976000,142366000,21399000,1931388000,5819544000,27528477000,17854718000,8019849000,1590567000,33348021000,35279409000,1444947000,725625000,296400000,422922000,1172826000,142684000,122395000,11078000,2760457000,21801068000,5086261000,4729578000,114319000,144456000,26887329000,29647786000,4924654000,713848000,-8420000,5630082000,1541000,5631623000,35279409000,-128949000,642705000,82243000,-165047000,430952000,-256650000,-257615000,-262687000,978563000,-49024000,929539000,1097804000,1097804000,1097804000,955743000,22973894000,473343000,0.66204,0.13437,-0.05535,-0.0229,-0.00366,-3.67072,0.69966,5.26452,0.6512,-0.17495,-0.17495,3.16078,7.63847,0.6422,-0.00382999999999999,0.01405,22.54397,68.82948
"5","2018_Q3",17.9115873015873,"Up",2364153000,-795127000,1569026000,-1233967000,-648527000,-585440000,335059000,-385859000,-385230000,-390543000,-629000,-50800000,-52794000,-103594000,5590000,-98004000,-98004000,149000,-97855000,-97855000,381140000,381140000,382207000,382207000,194820000,166963000,17865000,958167000,5694812000,27261538000,17628666000,8004808000,1527057000,32956350000,33914517000,1639146000,801448000,398024000,439674000,1161782000,155928000,121913000,24392000,2956856000,21840695000,5079608000,4716681000,123470000,141939000,26920303000,29877159000,4034218000,6191000,-10438000,4029971000,7387000,4037358000,33914517000,-98004000,648527000,74292000,103476000,728291000,-234789000,-240682000,-240097000,299515000,-334181000,-1534601000,-1046407000,-1046407000,-1046511000,983586000,23002477000,846683000,0.66367,0.14172,-0.04139,-0.02424,-0.00289,-8.65242,0.32405,7.40018,0.67825,-0.13276,-0.13276,3.20751,5.46756,1.14872,0.04365,0.02636,22.99884,67.51449
"6","2018_Q4",17.3785714285714,"Down",2417801000,-790533000,1627268000,-1121710000,-536053000,-585657000,505558000,-388353000,-388167000,-389594000,-185999.999999999,117205000,12502000,129707000,-95968000,33739000,33739000,-1186000,32553000,32553000,486208000,486208000,436550000,436550000,189745000,167836000,18640000,1112503000,5760479000,27083585000,17421077000,8012416000,1618582000,32844064000,33956567000,1657244000,883408000,321327000,452509000,664876000,154557000,131133000,23424000,2476677000,22411295000,5217823000,4809745000,153850000,169473000,27629118000,30105795000,3805746000,38743999.9999999,-2291000,3842199000,8573000,3850772000,33956567000,33739000,536053000,119751000,-78523999.9999999,611019000,-334167000,-335111000,-339612000,239726000,-179742000,-166819000,104588000,104588000,105068000,1041611000,23076171000,724888000,0.67304,0.2091,0.01346,0.00845,0.000960000000000001,22.26793,0.44919,7.81812,0.67958,0.0444200000000001,0.04442,3.29887,5.24234,0.98905,0.00101,0.02255,21.68752,44.68323
"7","2019_Q1",20.2286885245902,"Up",2454940000,-800055000,1654885000,-1126161000,-555054000,-571107000,528724000,-397885000,-397874000,-398887000,-11000,130839000,14639000,145478000,68330000,213808000,213808000,-722000,213086000,213086000,298781000,298781000,448399000,448399000,156074000,136285000,17814000,903254000,5828881000,26881673000,17212905000,8012416000,1547008000,32710554000,33613808000,1383783000,857502000,386475000,139806000,158625000,478783000,140053000,338730000,2021191000,22653975000,5128399000,4723937000,132908000,174760000,27782374000,29803565000,3560901000,251830000,-11783000,3800948000,9295000,3810243000,33613808000,213808000,555054000,-34580000,3773000,738055000,-327983000,-320181000,-305961000,-855533000,509615000,-619115000,-187021000,-187021000,-187423000,1083778000,22812600000,691238000,0.6741,0.21537,0.0868,0.05592,0.00634,3.24394,0.44689,7.82196,0.67867,0.29873,0.29873,3.44168,5.3287,0.96907,0.00671,0.02177,20.77346,42.58142
"8","2019_Q2",23.741746031746,"Up",2396567000,-812985000,1583582000,-1141104000,-561428000,-579676000,442478000,-386384000,-386464000,-388283000,80000,56094000,-103878000,-47784000,22586000,-25198000,-25198000,199000,-24999000,-24999000,123007000,123007000,405030000,405030000,183005000,181726000,1279000,711042000,5772026000,27076305000,17012286000,8012416000,2051603000,32848331000,33559373000,1208424000,835481000,272018000,100925000,123966000,469430000,145019000,324411000,1801820000,23137835000,5418313000,4717667000,223054000,477592000,28556148000,30357968000,2974690000,226831000,-8212000,3193309000,8096000,3201405000,33559373000,-25198000,561428000,135694000,-167930000,503994000,-339907000,-340386000,-339907000,260322000,-13178000.0000001,-339615000,-175528000,-175528000,-175773000,1003906000,23261801000,473483000,0.66077,0.18463,-0.01043,-0.00780999999999998,-0.00074,-18.94008,0.39462,9.4827,0.69315,-0.03594,-0.03594,3.44568,4.5912,0.68075,-0.00078,0.01485,23.04877,52.29366
"9","2019_Q3",27.23125,"Up",2451081000,-818994000,1632087000,-1149544000,-568620000,-580924000,482543000,-380401000,-380613000,-381218000,212000,102142000,25428000,127570000,-41160000,86410000,86410000,-43000,86367000,86367000,138715000,138715000,420321000,420321000,183883000,182401000,1482000,742919000,5814965000,27221767000,16885084000,8138086000,2198597000,33036732000,33779651000,1.378e+09,909120000,335063000,133817000,660223000,480717000,141546000,339171000,2518940000,22980286000,5571730000,4765958000,289156000,516616000,28552016000,31070956000,2401832000,313198000,-14474000,2700556000,8139000,2708695000,33779651000,86410000,568620000,64044000,69896000,788970000,-317315000,-317734000,-489974000,331053000,-810000,-282951000,16045000,16045000,15710000,1051163000,23640509000,844904000,0.66586,0.19687,0.03524,0.03189,0.00256,9.78272,0.29493,11.47082,0.69984,0.12932,0.1292,3.66995,4.04349,1.26506,0.00271,0.02647,22.3579,48.70404
"10","2019_Q4",27.62640625,"Up",2438662000,-820896000,1617766000,-1146251000,-565637000,-580614000,471515000,-387502000,-387276000,-388800000,-226000,84013000,31254000,115267000,-37871000,77396000,77396000,-157000,77239000,77239000,175091000,175091000,442710000,442710000,199978000,195163000,4815000,817779000,5797059000,27158670000,16696035000,8138511000,2321490000,32955729000,33773508000,1285938000,878518000,278506000,128914000,161701000,431708000,108070000,323638000,1879347000,23895580000,5692003000,4797941000,377613000,516449000,29587583000,31466930000,1933365000,390437000,-25520000,2298282000,8296000,2306578000,33773508000,77396000,565637000,80161000,-182171000,541023000,-374818000,-378404000,-372860000,359038000,-3518999.99999999,-131401000,36762000,36762000,36377000,1037152000,24057281000,518034000,0.66338,0.19335,0.03167,0.03349,0.00229,6.70689999999986,0.43514,13.64226,0.71231,0.12005,0.11965,3.79039,3.57219,0.80517,0.00241,0.01616,23.0267,50.64991
