"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2012_Q2",190514.285714286,"Up",20000,-13000,7000,-1176000,-661000,-515000,-1169000,-3223000,-116000,-3107000,-4392000,-6779000,-6779000,-6779000,-6779000,-6779000,1601000,1601000,308000,308000,219000,344000,344000,2472000,76000,4000,4000,80000,2552000,382000,130000,252000,716000,12500000,13216000,95110000,-105505000,-10664000,-10664000,2552000,-6779000,5803000,27000,-949000,-272103.644552956,-272103.647064454,69735245.9989929,-949000,-949000,-984000,12500000,0.35,-58.45,-338.95,0.63569,-2.65635,3.45251,-1.23931,4.89812,-178647.42893,-178647.42893,527.0613,-281029.0872,-3.69227,-9.32335
"2","2012_Q3",170773.333333333,"Down",363000,-211000,152000,-1118000,-564000,-554000,-966000,-450000.000000001,-116000,-334000,-1416000,-1443000,-1443000,-1443000,-1443000,-1443000,997000,997000,352000,352000,2e+05,193000,193000,1742000,90000,4000,4000,94000,1836000,640000,417000,223000,946000,12920000,13866000,95188000,-106949000,-12030000,-12030000,1836000,-1443000,509000,419000,-515000,-74000,-74000,20104415.3329976,-589000,-589000,-604000,12920000,0.41873,-2.66116,-3.97521000000006,0.11995,-0.785949999999999,1.84144,-1.15262,7.03704,-37263.953,-37263.953,9374.09213,-310662.0614,-1.62135,-12.34265
"3","2012_Q4",137480,"Down",212000,-84000,128000,-1223000,-674000,-549000,-1095000,-890000,-137000,-753000,-1985000,-3166000,-3166000,-3166000,-3166000,-3166000,723000,723000,525000,525000,235000,224000,224000,1707000,79000,4000,4000,83000,1790000,545000,231000,314000,974000,15876000,16850000,95322000,-110115000,-15060000,-15060000,1790000,-3166000,2182000,-116000,-1100000,0,0,920000,-180000,-180000,-274000,15876000,0.60377,-5.16509,-14.93396,0.21023,-1.76872,1.75257,-1.11886,8.86927,-80662.42038,-80662.42038,5401.27389,-383694.26752,-3.8799,-13.83836
"4","2013_Q1",134153.333333333,"Down",485000,-233000,252000,-1147000,-734000,-413000,-895000,1984000,-186000,2170000,1089000,3001000,3001000,3001000,3001000,3001000,258000,258000,402000,402000,182000,178000,178000,1020000,67000,4000,4000,71000,1091000,745000,377000,368000,1140000,11898000,13038000,95433000,-107114000,-11947000,-11947000,1091000,3001000,-3855000,253000,-601000,0,0,-1.86264514923096e-09,-601000,-601000,-465000,11898000,0.51959,-1.84536,6.18762999999999,-0.25119,2.75069,0.89474,-1.09132,10.90559,75449.40289,75449.40289,12193.58894,-300364.5506,-61.2449,-13.00559
"5","2013_Q2",103323.75,"Down",348000,-179000,169000,-1239000,-685000,-554000,-1070000,-1448000,-136000,-1312000,-2518000,-7808000,-7808000,-7808000,-7808000,-7808000,1863000,1863000,374000,374000,89000,1161000,661000,3487000,76000,4000,4000,80000,3567000,597000,340000,257000,912000,21963000,22875000,95878000,-114920000,-19308000,-19308000,3567000,-7808000,6270000,-620000,-2158000,-11646.2663411326,-11646.2588066385,3754000,1596000,1596000,1605000,21963000,0.48563,-3.07471,-22.43678,0.40439,-2.18895,3.82346,-1.18474,6.15728,-149901.60787,-149901.60787,6681.06551,-370683.94528,-2.94087,-18.78505
"6","2013_Q3",60842.5,"Down",373000,-135000,238000,-1524000,-965000,-559000,-1286000,3115000,-62000,3177000,1829000,7945000,7945000,7945000,7945000,7945000,1128000,1128000,210000,210000,161000,709000,209000,2208000,63000,4000,4000,67000,2275000,827000,432000,395000,945000,11064000,12009000,97499000,-106977000,-9734000,-9734000,2275000,7945000,-9268000,611000,-712000,-15460.377235221,-15460.3646777308,-9.31322574615479e-10,-712000,-712000,-735000,11064000,0.63807,-3.44772,21.30027,-0.81621,3.49231,2.33651,-1.23372,4.8633,99241.17041,81226.83706,4659.15124,-121587.60891,5.97368,-7.72628
"7","2013_Q4",39382.5,"Down",-573340,203472,-369868,-383336,-867791,484455,-753204,-1990145,-136375,-1853770,-2743349,-3569349,-3569349,-3569349,-3569349,-3569349,1404000,1404000,488000,488000,145000,394000,144000,2431000,50000,4000,4000,54000,2485000,774000,443000,331000,828000,12245000,13073000,97263000,-107586000,-10588000,-10588000,2485000,-3569349,3316553,172964,-79832,-4214,-4214,-888814,-972860,-972860,-958860,12245000,0.64511,1.31371,6.22554,0.33711,-1.43636,2.93599,-1.2347,4.92757,-2807.00613,-2846.75503,-450.88583,-8326.61108,-2.1541,-14.39318
"8","2014_Q1",33939.6721311475,"Down",4339.99999999988,-71472,-67132,-754664,-611209,-143455,-821796,-62855,-112625,49770.0000000009,-884651,-884651,-884651,-884651,-884651.000000002,-884651,430000,430000,402911.072987787,402911.072987787,228000,308000,308000,966000,128000,44000,44000,172000,1138000,1483000,967000,516000,2946000,5499000,8445000,22403000,-29905000,-7307000,-7307000,1138000,-884650.999999998,78447,1036.00000000006,-805168,214,214,874814,69860,69860,69860,6338000,-15.4682,-189.35392,-203.83664,0.12107,-0.777369999999999,0.3279,-1.15574,5.56942,-9183.90366,-6278.12787999999,45.0552199999999,-76105.94205,2.56421,-7.18913
"9","2014_Q2",17551.746031746,"Down",238924.343784944,-3000,-3000,-973000,-779000,-194000,-976000,-155000,-176000,21000,-1131000,-1131000,-1131000,-1131000,-1131000,-1131000,128000,128000,257000,257000,112000,79000,49000,576000,24000,4000,4000,28000,604000,978000,510000,468000,1025000,8595000,9620000,97287000,-106027000,-9016000,-9016000,604000,-802000,130000,98000,-574000,-79518.6647920199,-79518.5571115413,2e+05,-374000,-374000,-374000,8595000,-11.2754832347929,-113.255237371167,-122.76686701307,0.12544,-1.87252,0.56195,-1.06699,14.23013,-7238.4,-7238.4,5794.75080526811,-57702.4,2.68646,-8.6752
"10","2014_Q3",7879.9875,"Down",47000,-22000,25000,-690000,-516000,-174000,-665000,-137000,-158000,20999.9999999999,-802000,-802000,-802000,-802000,-802000,-802000,87000.0000000001,87000.0000000001,361000,361000,101000,155000,155000,704000,13000,4000.00000000003,4000.00000000003,17000.0000000001,721000,1669000,775000,894000,1837000,4663000,6500000,98186000,-103700000,-5779000,-5779000,721000,-1131000,150000,2e+05,-781000,-106000,-106000,1050000,163000,163000,163000,4663000,0.53191,-14.14894,-17.06383,0.13878,-1.11234,0.38323,-1.12476,6.46741,-121588.84172,-121588.84172,7125.53062,-876137.05276,0.71864,-6.8812
"11","2014_Q4",5122.3125,"Down",17000,-15000,2000,-2363000,-1789000,-574000,-2361000,-144000,-152000,8000,-2505000,-2505000,-2505000,-2505000,-2505000,-2505000,1976980,1976980,3749.99999999988,3749.99999999988,136902,188006,188006,2305638,191663,652045,652045,843708,3149346,953597,566059,387538,2425396,1013163.27987843,2425396,35066274,-34342324,723950,723950,3149346,-2505000,225000,-417000,-2697000,0,0,4454000,1757000,1757000,1757000,1471799,0.11765,-138.88235,-147.35294,-3.46018,-0.7954,0.95062,3.35023,0.46733,-1639.63103,-1639.63103,11.12724,473.85664,-1.14084,0.21397
"12","2015_Q1",3497.92786885246,"Down",26000,-10000,16000,-1676000,-1192000,-484000,-1660000,-82000,-81000,-1000,-1742000,-1742000,-1742000,-1742000,-1742000,-1742000,895000,895000,6000,6000,131000,923000,923000,1955000,187000,156000,156000,343000,2298000,639000,416000,223000,3139000,1.86264514923096e-09,3139000,35244000,-36085000,-841000,-841000,2298000,-1742000,238000,-435000,-1939000,-11000,-11000,869000,-1081000,-1081000,-1081000,2500000,0.61538,-63.84615,-67,2.07134,-0.75805,0.62281,-3.73246,1.0879,-1953.35659999998,-1953.3566,29.1545799999996,-943.038409999934,-1.05003,-0.96687
"13","2015_Q2",4924.60952380952,"Up",38000,-50000,-12000,-2422000,-1577000,-845000,-2434000,-90000,-83000,-7000,-2524000,-2524000,-2524000,-2524000,-2524000,-2524000,221000,221000,35000,35000,167000,881000,881000,1304000,170000,160000,160000,330000,1634000,1195000,612000,583000,4695000,0,4695000,35548000,-38609000,-3061000,-3061000,1634000,-2524000,369000,481000,-1674000,0,0,1e+06,-674000,-674000,-674000,3500000,-0.31579,-64.05263,-66.42105,0.82457,-1.54468,0.27774,-1.53381,2.14198,-4149.99673,-4149.99673,62.48014,-5032.93978,-5.74943,-1.34717
"14","2015_Q3",7178.775,"Up",73000,-53000,20000,-2907000,-1821000,-1086000,-2887000,-119000,-105000,-14000,-3006000,-3006000,-3006000,-3006000,-3006000,-3006000,8362000,8362000,72694.1499342879,72694.1499342879,337000,1729000,1729000,10428000,172000,153000,153000,325000,10753000,1604000,612000,992000,5604000,0,5604000,46764000,-41615000,5149000,5149000,10753000,-3006000,239000,-631000,-3398000,-1000,-1000,11540000,8141000,8141000,8141000,4e+06,0.27397,-39.54795,-41.17808,-0.5838,-0.27955,1.86081,1.08837,0.37199,-674.897149999999,-674.89715,16.38972,1156.0364,-0.328560000000001,1.51091
"15","2015_Q4",6603.5125,"Down",584000,-417000,167000,-3272000,-1757000,-1515000,-3105000,-114000,-114000,0,-3219000,-3219000,-3219000,-3219000,-3219000,-3219000,6061000,6061000,239000,239000,645000,1643000,1643000,8588000,198000,146000,146000,344000,8932000,1928000,1101000,827000,6928000,0,6928000,46838000,-44834000,2004000,2004000,8932000,-3219000,141000,-179000,-3257000,-47000,-47000,1003000,-2301000,-2301000,-2301000,5e+06,0.28596,-5.31678,-5.51199,-1.60629,-0.36039,1.23961,3.45709,0.55979,-730.9895,-730.9895,132.61816,455.08014,-0.45959,0.34171
"16","2016_Q1",6200.47213114754,"Down",752000,-465000,287000,-3851000,-2309000,-1542000,-3564000,-113000,-113000,-1.81898940354586e-12,-3677000,-3677000,-3677000,-3677000,-3677000,-3677000,7360000,7360000,593000,593000,1549000,1228000,1228000,10730000,239000,138000,138000,377000,11107000,2725000,1432000,1293000,7171000,1.16415321826935e-10,7171000,52447000,-48511000,3936000,3936000,11107000,-3677000,282000,-471000,-3866000,-61000,-61000,5226000,1299000,1299000,1299000,4446000,0.38165,-4.73936,-4.88963,-0.934200000000001,-0.33105,1.4963,1.8219,0.40029,-534.33428,-534.33428,109.27914,571.97165,-0.43868,0.81762
"17","2016_Q2",6714.5359375,"Up",1284000,-936000,348000,-4344000,-2548000,-1796000,-3996000,-110000,-108000,-2000,-4106000,-4106000,-4106000,-4106000,-4106000,-4106000,5006000,5006000,791000,791000,926000,1542000,1542000,8265000,254000,146000,146000,4e+05,8665000,4037000,1629000,2408000,8229000,4997342.10366692,8229000,53053000,-52617000,436000,436000,8665000,-4106000,396000,1661000,-2049000,-36000,-36000,-269000,-2354000,-2354000,-2354000,4192000,0.27103,-3.11215,-3.19782,-9.41743,-0.47386,1.00437,18.87385,0.48379,-547.97731,-547.97731,171.35968,58.18756,-0.88721,0.2037
