"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q1",12.4850819672131,"Up",126268000,-104698000,21570000,-13302000,-11915000,-2487000,-9428000,-1387000,8268000,-653000,-653000,7615000,7615000,-1244000,6371000,6371000,6371000,6371000,60415000,60415000,67450000,67450000,63942000,8652000,4581000,200459000,8534000,83550000,21708000,583000,92084000,292543000,59692000,53962000,5730000,37705000,2647000,2647000,100044000,17421000,3149000,3149000,20570000,120614000,147905000,-3337000,27361000,171929000,171929000,292543000,6371000,2297000,1409000,-13885000,-3808000,-675000,-675000,-1498000,565000,565000,-110000,-1043000,-5526000,-5526000,-5526000,10565000,55126000,-2751000,0.17083,0.06548,0.05046,0.03706,0.02178,-0.4318,2.00371,0.70153,0.18844,0.22288,0.20934,4.41728,6.01466,-0.0962399999999999,5,0.02768,-0.01195,-0.50062,-0.6397
"17","2014_Q2",9.55666666666667,"Down",144224000,-120913000,23311000,-14150000,-12383000,-2661000,-9722000,-1767000,9161000,-629000,-629000,8532000,8532000,-1476000,7056000,7056000,7056000,7056000,74289000,74289000,72197000,72197000,67461000,8783000,4711000,222730000,8167000,82038000,20487000,374000,90205000,312935000,60900000,55381000,5519000,48825000,3395000,3395000,113120000,14924000,3084000,3084000,18008000,131128000,150729000,-3337000,34415000,181807000,181807000,312935000,7056000,1968000,-182000,-4826000,4016000,-446000,-446000,8500000,1734000,1734000,70000.0000000001,10304000,13874000,13874000,13874000,11129000,63749000,7333000,0.16163,0.06352,0.04892,0.03881,0.02255,1.03926,1.96897,0.72125,0.20371,0.24435,0.23584,4.99442,6.29591,0.25394,7,0.02838,0.02949,-0.94708,-1.15053
"18","2014_Q3",9.316875,"Down",132677000,-111525000,21152000,-13093000,-11295000,-2593000,-8702000,-1798000,8059000,-452000,-452000,7607000,7607000,-1575000,6032000,6032000,6032000,6032000,69365000,69365000,67947000,67947000,67060000,10331000,6259000,214703000,8207000,80917000,19266000,377000,89124000,303827000,52427000,45525000,6902000,43857000,3399000,3399000,99683000,12013000,2999000,2999000,15012000,114695000,152020000,-3337000,40449000,189132000,189132000,303827000,6032000,1970000,809000,-5209000,3602000,-824000,-824000,-8e+06,112000,112000,186000,-7702000,-4924000,-4924000,-4924000,10029000,55870000,5571000,0.15942,0.06074,0.04546,0.03189,0.01985,0.92357,2.15386,0.60643,0.18389,0.20491,0.20186,4.507,6.42476,0.18925,6,0.02432,0.02246,-1.3456,-1.67453
"19","2014_Q4",8.47,"Down",117041000,-106734000,10307000,-14269000,-12463000,-2492000,-9971000,-1806000,-3962000,-439000,-439000,-4401000,-4401000,-862000,-5263000,-5263000,-5263000,-5263000,75147000,75147000,57459000,57459000,55353000,10115000,6389000,198074000,8066000,78213000,18045000,374000,86279000,284353000,47515000,42444000,5071000,37857000,3026000,3026000,88398000,9635000,2921000,2921000,12556000,100954000,151550000,-3337000,35186000,183399000,183399000,284353000,-5263000,1973000,4718000,15133000,16561000,-653000,-653000,-8500000,-13000,-13000,-1613000,-10126000,5782000,5782000,5782000,-1989000,47492000,13353000,0.08806,-0.03385,-0.04497,-0.0287,-0.01851,-2.53715,2.24071,0.55046,0.16702,-0.17855,-0.17594,3.97059,6.22177,0.453,5,-0.02251,0.05711,13.90397,6.98006
"20","2015_Q1",8.79803278688525,"Up",120015000,-101652000,18363000,-13437000,-11741000,-2686000,-9055000,-1696000,4926000,-334000,-334000,4592000,4592000,-1060000,3532000,3532000,3532000,3532000,78997000,78997000,61817000,61817000,56850000,10783000,7006000,208447000,10841000,76854000,16824000,667000,87695000,296142000,54252000,48944000,5308000,9541000,2375000,2375000,66168000,38614000,2808000,2703000,41422000,107590000,153171000,-3337000,38718000,188552000,188552000,296142000,3532000,1977000,1490000,-818999.999999996,6180000,-3220000,-3220000,5e+05,107000,107000,283000,890000,3850000,3850000,3850000,6903000,48155000,3924000,0.15301,0.04104,0.02943,0.01873,0.01193,1.11099,3.15027,0.57061,0.16261,0.12009,0.11762,4.08048,6.41072,0.13341,5,0.01475,0.01638,-4.46791,-6.26106
"21","2015_Q2",6.46301587301587,"Down",125318000,-105399000,19919000,-17271000,-14705000,-2845000,-11860000,-2566000,2648000,-956000,-956000,1692000,1692000,-519000,1173000,1173000,1173000,1173000,69607000,69607000,69625000,69625000,59912000,11871000,8094000,211015000,14476000,117222000,39057000,747000,131698000,342713000,55438000,50128000,5310000,4847000,3180000,3180000,63465000,70756000,2901000,2901000,73657000,137122000,169037000,-3337000,39891000,205591000,205591000,342713000,1173000,2041000,1642000,-10508000,-5652000,-2582000,-32316000,27345000,2192000,2192000,-959000,28578000,-9390000,-9390000,-9390000,4689000,75603000,-7882000,0.15895,0.02113,0.00936,0.00571,0.00342,-6.71952,3.3249,0.66696,0.2206,0.03848,0.03788,4.11081,6.74401,-0.25855,2,0.00413,-0.02774,1.27874,2.26435
"22","2015_Q3",6.5984375,"Up",117549000,-98727000,18822000,-15394000,-12993000,-2805000,-10188000,-2401000,3428000,-359000,-359000,3069000,3069000,-862000,2207000,2207000,2207000,2207000,76614000,76614000,57513000,57513000,64647000,12411000,8634000,211185000,14850000,115517000,37702000,754000,130367000,341552000,52886000,46476000,6410000,6514000,2810000,2810000,62210000,67877000,2815000,2815000,70692000,132902000,169889000,-3337000,42098000,208650000,208650000,341552000,2207000,2287000,1735000,3545000,9774000,-1214000,-1214000,-1250000,105000,105000,-408000,-1553000,7007000,7007000,7007000,5715000,74391000,8908000,0.16012,0.02916,0.01878,0.01058,0.00646,4.03625,3.39471,0.63696,0.2178,0.06981,0.06945,3.71814,6.59972,0.28176,5,0.00772,0.03116,-0.388979999999999,-0.64848
"23","2015_Q4",5.173125,"Down",122816000,-103868000,18948000,-15869000,-13517000,-2844000,-10673000,-2352000,3079000,-756000,-756000,2323000,2323000,-647000,1676000,1676000,1676000,1676000,59783000,59783000,57534000,57534000,75564000,12498000,8522000,205379000,16968000,133759000,44952000,705000,150727000,356106000,53385000,47503000,5882000,11207000,5933000,5933000,70525000,65716000,5026000,3283000,70742000,141267000,174422000,-3337000,43774000,214839000,214839000,356106000,1676000,3161000,633000,-5149000,321000,-1400000,-16161000,-623000,10000,10000,-384000,-997000,-16837000,-16837000,-16831000,6240000,76923000,338000,0.15428,0.02507,0.01365,0.0078,0.00471,0.20167,2.91214,0.65755,0.21601,0.05239,0.05212,3.83884,6.71519,0.01056,5,0.00565,0.00114,2.74679,5.56674
"24","2016_Q1",5.07,"Down",103420000,-90079000,13341000,-16655000,-14396000,-3005000,-11391000,-2259000,-3314000,-163000,-163000,-3477000,-3477000,-12311000,-15788000,-15788000,-15788000,-15788000,50103000,50103000,59148000,59148000,72716000,8172000,8172000,190139000,17267000,128747000,42782000,717000,146014000,336153000,46196000,39660000,6536000,12744000,5264000,5264000,64204000,62795000,8211000,3185000,71006000,135210000,176312000,-3337000,27986000,200943000,200943000,336153000,-15788000,3451000,10459000,-1639000,-3517000,-4956000,-5525000,-1465000,104000,104000,732000,-628999.999999999,-9671000,-9671000,-9680000,137000,75539000,5853000,0.129,-0.03204,-0.15266,-0.07857,-0.04697,-0.370720000000001,2.96148,0.67288,0.22472,-0.49087,-0.50344,3.2155,6.24764,0.18198,1,-0.05546,0.02056,185.66423,-7.67532
"25","2016_Q2",5.51859375,"Up",112229000,-97659000,14570000,-15268000,-12992000,-2933000,-10059000,-2276000,-698000,-1091000,-1091000,-1789000,-1789000,-1450000,-3239000,-3239000,-3239000,-3239000,45539000,45539000,66669000,66669000,81995000,6517000,6517000,200720000,17915000,127315000,41342000,725000,145230000,345950000,57951000,52951000,5e+06,13789000,7964000,7964000,79704000,59870000,7951000,3037000,67821000,147525000,176973000,-3337000,24747000,198425000,198425000,345950000,-3239000,2837000,1917000,-1711000,-196000,-2030000,-2030000,-1929000,-42780.392413051,-42780.392413051,-404000,-2333000,-4559000,-4559000,-4564000,2139000,73659000,-152000,0.12982,-0.00622,-0.02886,-0.01632,-0.00936,0.04693,2.51832,0.74348,0.21292,-0.10025,-0.10025,3.47361,6.14148,-0.0047,2,-0.01157,-0.00054,13.14633,-40.28653
