"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",6.56359375,"Up",129831000,-110810000,19021000,-15302000,-12943000,-2785000,-10158000,-2359000,3719000,-836000,-836000,2883000,2883000,-2160000,723000.000000002,723000.000000002,722999.999999998,722999.999999998,44053000,44053000,73069000,73069000,90302000,6891000,6891000,214315000,18117000,125904000,39903000,753000,144021000,358336000,71911000,64712000,7199000,12992000,7989000,7989000,92892000,56934000,8232000,2927000,65166000,158058000,178165000,-3337000,25470000,200278000,200278000,358336000,723000,2843000,1754000,-1479000,3841000,-1610000,-1610000,-3777000,104000,104000,-30000,-3703000,-1472000,-1472000,-1486000,6562000,69926000,5633000,0.14651,0.02864,0.00556999999999999,0.00360999999999999,0.00202,7.79115,2.30714,0.78919,0.19514,0.0221999999999999,0.02205,3.98683,6.1501,0.17298,5,0.0026,0.02023,3.94284999999996,6.95698
"27","2016_Q4",9.08333333333333,"Up",146154000,-122663000,23491000,-16791000,-14344000,-2819000,-11525000,-2447000,6700000,-1336000,-1336000,5364000,5364000,-2750000,2614000,2614000,2614000,2614000,47270000,47270000,65805000,65805000,89015000,6941000,6941000,209031000,18809000,124455000,38464000,743000,143264000,352295000,58946000,51954000,6992000,15196000,10881000,10881000,85023000,54023000,8344000,2547000,62367000,147390000,180081000,-3337000,28084000,204905000,204905000,352295000,2614000,2880000,3935000,-3692000,5737000,-1786000,-1786000,-787000,396000,396000,-337000,-728000,3223000,3223000,3217000,9580000,69219000,6852000,0.16073,0.04584,0.01789,0.01276,0.00742,2.62127,2.45852,0.71931,0.19648,0.07979,0.07897,4.46149,6.25492,0.20916,7,0.00925,0.02426,2.29113,3.27597
"28","2017_Q1",13.2722580645161,"Up",174545000,-144844000,29701000,-17031000,-14213000,-3031000,-11182000,-2818000,12670000,-181000,-181000,12489000,12489000,-2536000,9953000,9953000,9953000,9953000,52465000,52465000,74663000,74663000,103861000,6461000,6461000,237450000,18858000,124389000,37024000,762000,143247000,380697000,79093000,71189000,7904000,16819000,5149000,5149000,101061000,50931000,12574000,2657000,63505000,164566000,181814000,-3337000,38037000,216131000,216131000,380697000,9953000,3179000,4138000,-9075000,8195000,-1852000,-1852000,-1191000,102000,102000,0,-1089000,5254000,5254000,5195000,15849000,67750000,7458000,0.17016,0.07259,0.05702,0.04605,0.02614,0.74932,2.34957,0.76142,0.17796,0.30257,0.28934,5.30613,6.57033,0.22672,6,0.03357,0.02516,0.964409999999998,1.20639
"29","2017_Q2",20.1234920634921,"Up",204594000,-167099000,37495000,-17722000,-14816000,-3051000,-11765000,-2906000,19773000,-938000,-938000,18835000,18835000,-4494000,14341000,14341000,14341000,14341000,54935000,54935000,94848000,94848000,123037000,6221000,6221000,279041000,20929000,123310000,35793000,1007000,144239000,423280000,106344000,95522000,10822000,16108000,8680000,8680000,131132000,48056000,12319000,2553000,60375000,191507000,182997000,-3337000,52378000,231773000,231773000,423280000,14341000,2445000,1672000,-9314000,9144000,-2784000,-2784000,-3697000,1383000,1383000,-1582000,-3896000,2464000,2464000,2470000,22218000,64164000,14614000,0.18327,0.09665,0.07009,0.06188,0.03388,1.01904,2.12794,0.82627,0.15159,0.43377,0.42348,6.18838,7.01047,0.44203,6,0.04652,0.04741,0.41538,0.46675
"30","2017_Q3",23.6369841269841,"Up",228261000,-184890000,43371000,-18966000,-16192000,-3351000,-12841000,-2774000,24405000,-1120000,-1120000,23285000,23285000,-3106000,20179000,20179000,20179000,20179000,59482000,59482000,101874000,101874000,139705000,6829000,6829000,307890000,23467000,122486000,34562000,1565000,145953000,453843000,115070000,104089000,10981000,16117000,11092000,11092000,142279000,44691000,12205000,2452000,56896000,199175000,184443000,-3337000,72557000,254668000,254668000,453843000,20179000,2603000,1745000,-13490000,11037000,-2986000,-2986000,-3705000,294000,294000,-228000,-3639000,4412000,4412000,4547000,27008000,60808000,13638000,0.19001,0.10692,0.0884,0.07924,0.04446,0.67585,2.16399,0.7821,0.13398,0.60357,0.59238,6.82742,7.61726,0.40792,6,0.06158,0.04162,0.0490999999999999,0.05433
"31","2017_Q4",25.6260317460317,"Up",242610000,-199914000,42696000,-19434000,-16712000,-3662000,-13050000,-2722000,23262000,-19000,-19000,23243000,23243000,-3527000,19716000,19716000,19716000,19716000,65939000,65939000,107662000,107662000,165303000,11460000,11460000,350364000,28943000,121446000,33331000,1769000,150389000,500753000,143049000,130539000,12510000,15518000,11681000,11681000,170248000,41810000,12015000,2408000,53825000,224073000,186193000,-3337000,92273000,276680000,276680000,500753000,19716000,2540000,1327000,-6138000,17445000,-6764000,-6764000,-3654000,12000,12000,-559000,-4201000,6480000,6480000,6457000,25802000,57328000,16427000,0.17599,0.09588,0.08127,0.07126,0.03937,0.83318,2.05796,0.80986,0.11448,0.58784,0.57381,7.23345,8.24925,0.48977,6,0.05698,0.04747,-0.33373,-0.37017
"32","2018_Q1",21.0914754098361,"Down",248935000,-204797000,44138000,-22078000,-18780000,-3636000,-15144000,-3298000,22060000,-423000,1677000,21637000,21637000,-773000,20864000,20864000,20864000,20864000,68306000,68306000,90213000,90213000,236840000,12089000,12089000,407448000,32246000,123718000,31587000,1932000,155964000,563412000,184309000,173521000,10788000,12381000,10657000,10657000,207347000,39893000,15867000,5886000,55760000,263107000,188673000,-3337000,113122000,300305000,300305000,563412000,20864000,3112000,-844000,-11858001,11273999,-3566000,-3566000,-5144000,110999.999999996,110999.999999996,-331000,-5364000,2343999,2343999,2325999,25172000,52274000,10520999,0.17731,0.08862,0.08381,0.06948,0.03703,0.50427,1.96505,0.87613,0.09278,0.62092,0.59743,7.40834,8.93712,0.31311,6,0.05663,0.02856,-0.6369,-0.726749999999999
"33","2018_Q2",17.54109375,"Down",314842000,-266038000,48804000,-21896000,-18867000,-3805000,-15062000,-3029000,26908000,326000,326000,27234000,27234000,-2493000,24741000,24741000,24741000,24741000,162365000,162365000,83660000,83660000,261798000,13225000,13225000,521048000,36839000,122950000,30489000,2181000,159789000,680837000,180596000,169592000,11004000,54779000,10117000,10117000,245492000,122251506.811413,15809000,5792000,15809000,261301000,283704000,-3337000,137863000,419536000,419536000,680837000,24741000,2414000,1751000,-23827000,5079000,-5911000,-5911000,2349000,94330000,94330000,-1862000,94817000,93985000,93985000,94059000,29322000,54779000,2077000,0.15501,0.08547,0.07858,0.05897,0.03634,0.08395,2.12246,0.62283,0.08046,0.67372,0.65992,8.57343,11.42434,0.05656,5,0.05048,0.00424,-3.66912,-3.99829
"34","2018_Q3",14.5401587301587,"Down",290213000,-244148000,46065000,-23401000,-20486000,-3630000,-16856000,-2915000,22664000,-809000,-809000,21855000,21855000,-2895000,18960000,18960000,18960000,18960000,141146000,141146000,98608000,98608000,228570000,15115000,15115000,483439000,38769000,121537000,29392000,1830000,160306000,643745000,123219000,113803000,9416000,54826000,10823000,10823000,188868000,246588678.329326,15550000,5682000,15550000,204418000,285429000,-3337000,156823000,439327000,439327000,643745000,18960000,2698000,3105000,-41888000,-17125000,-3755000,-3755000.00000001,389000.000000015,124000,124000,-756000,-243000,-21123000,-21123000,-21219000,25362000,54826000,-17386000,0.15873,0.07809,0.06533,0.04316,0.02945,-0.91698,2.55967,0.4653,0.08517,0.48863,0.48248,7.47933,11.32228,-0.44807,3,0.0372,-0.03411,-3.40352,-3.80868
"35","2018_Q4",9.77603174603175,"Down",234079000,-199084000,34995000,-34073000,-30789000,-3839000,-26950000,-3284000,922000,-2766000,-2766000,-1844000,-1844000,-4596000,-6440000,-6440000,-5997000,-5997000,160340000,160340000,95056000,95056000,198578000,30873000,30873000,484847000,133746000,368039000,203180000,8072000,501785000,986632000,114159000,95178000,18981000,42818000,18646000,18646000,175623000,330984000,33277000,23409000,364261000,539884000,287332000,-3337000,150826000,434778000,446748000,986632000,-6440000,5296000,3520000,25001000,27377000,-5860000,-296322000,300838000,17000,17000,-12445000,288410000,19465000,19465000,19194000,6218000,373802000,29955000,0.1495,0.00394,-0.02562,-0.01342,-0.00608,-4.995,2.76073,1.20848,0.37887,-0.15405,-0.15405,6.01282,11.1682,0.76946,3,-0.00702,0.03508,34.32969,231.52061
"36","2019_Q1",10.7308196721311,"Up",257366000,-211430000,45936000,-35730000,-31658000,-5026000,-26632000,-4072000,10206000,-5151000,4549000,5055000,5055000,-5316000,-261000.000000004,-261000.000000004,-1104000,-1104000,144100000,144100000,1.07e+08,1.07e+08,186100000,25700000,25700000,462900000,143500000,359100000,193500000,5200000,502600000,965500000,114800000,9.9e+07,15800000,9700000,14800000,14800000,139300000,331600000,43600000,27800000,375200000,514500000,290500000,-3300000,149700000,436300000,4.51e+08,965500000,-261000,10692000,3324000,12614000,26369000,-10574000,-39912000,-2876000.00000006,129000.000000004,129000.000000004,-137000,-2884000.00000006,-16427000,-16427000,-16234000,20898000,341300000,28254000,0.17849,0.03966,-0.00429,-0.00245,-0.00114,-25.59239,3.32304,1.1408,0.3535,-0.0282999999999999,-0.02763,6.59761,11.1846,0.72429,4,-0.00132,0.0338,9.43631000000001,19.32197
"37","2019_Q2",12.741746031746,"Up",260100000,-215300000,44800000,-36600000,-33200000,-5400000,-27800000,-3400000,8200000,-5300000,1100000,2900000,2900000,-1500000,1400000,1400000,6e+05,6e+05,154774000,154774000,110971000,110971000,180299000,28056000,28056000,474100000,141082000,388063000,188653000,38983000,529145000,1003245000,118116000,99204000,18912000,9686000,28891000,28891000,156693000,329810000,63213000,47379000,393023000,549716000,292527000,-3337000,150323000,438090000,453529000,1003245000,1400000,11700000,2100000,2900000,18100000,-4200000,-4200000,-2300000,-1891555.89362069,-1891555.89362069,-799999.999999998,-3100000,10800000,10800000,10700000,19900000,339496000,20100000,0.17224,0.03153,0.00231,0.00132,6e-04,33.5,3.02566,1.21209,0.3384,0.01534,0.01521,6.64843,11.19805,0.51378,5,7e-04,0.02347,9.28251,22.52707
"38","2019_Q3",13.8796875,"Up",265400000,-217200000,48200000,-39200000,-35300000,-5400000,-29900000,-3900000,9e+06,-6500000,0,2500000,2500000,-2800000,-3e+05,-3e+05,-2e+05,-2e+05,168128000,168128000,98306000,98306000,164055000,24102000,24102000,454591000,144505000,409862000,190500000,40464000,554367000,1008958000,116486000,97288000,19198000,7203000,31280000,31280000,154969000,330895000,68606000,47157000,399501000,554470000,294972000,-3337000,150121000,439101000,454488000,1008958000,-3e+05,8600000,2200000,39400000,49900000,-2100000,-31900000,-2e+06,1e+05,1e+05,-6e+05,-2500000,15500000,15500000,13300000,17600000,338098000,57700000,0.18161,0.03391,-0.000749999999999998,-0.00044,-2e-04,-288.5,2.93343,1.21999,0.3351,-0.00508,-0.00508,6.73621,11.14498,1.4645,4,-0.00023,0.067,9.65739,18.88556
"39","2019_Q4",20.21640625,"Up",254300000,-206800000,47500000,-39200000,-35600000,-5900000,-29700000,-3600000,8300000,-3500000,3100000,4800000,4800000,-3899999,900001,900001,500001,500001,158690000,158690000,110388000,110388000,153549000,20283000,20283000,442910000,143719000,406248000,185409000,39008000,549967000,992877000,125560000,101008000,24552000,9013000,28074000,28074000,162647000,304172000,69332000,45921000,373504000,536151000,298016000,-3337000,150634000,440964000,456726000,992877000,9e+05,10500000,3e+05,9400000,21100000,-3700000,-3700000,-25400000,0,0,-3e+05,-25700000,-8300000,-8300000,-9400000,18800000,313185000,28399999,0.18679,0.03264,0.00197,0.00109,5e-04,56.79988,2.72314,1.1739,0.31543,0.01264,0.01249,6.4287,11.14756,0.71795,6,6e-04,0.03384,8.21782,18.61386
"40","2020_Q1",21.2340322580645,"Up",286400000,-230100000,56300000,-51900000,-48200000,-5700000,-42500000,-3700000,4400000,-12300000,-6600000,-7900000,-7900000,-1800001,-9700001,-9700001,-10300001,-10300001,162500000,162500000,112700000,112700000,172400000,19400000,19400000,4.67e+08,145300000,4.07e+08,180300000,40100000,552300000,1019300000,157900000,133100000,24800000,8800000,43900000,43900000,210600000,283400000,72800000,47600000,356200000,566800000,3.01e+08,-3300000,140300000,436700000,452500000,1019300000,-9700000,10800000,10500000,20300000,31900000,-9300000,-9400000,-21500000,2e+05,2e+05,-8e+05,-22100000,4e+05,4e+05,3800000,15200000,292200000,28000001,0.19658,0.01536,-0.03596,-0.02276,-0.0101,-2.71844999999999,2.21747,1.2526,0.28667,-0.25886,-0.26413,7.19779,10.97512,0.70369,5,-0.0126,0.03425,8.53289,29.47727
"41","2020_Q2",19.0088888888889,"Down",320899999,-255200000,65699999,-43100000,-39700000,-5800000,-33900000,-3400000,22599999,-7600000,-2700000,14999999,14999999,-4500000,10499999,10499999,9399999,9399999,208100000,208100000,113200000,113200000,1.87e+08,19600000,19600000,527900000,143400000,400900000,175400000,40500000,544300000,1072200000,154300000,129300000,2.5e+07,8300000,50400000,50400000,2.13e+08,323900000,72500000,47900000,396400000,609400000,304100000,-3300000,149700000,445900000,462800000,1072200000,10500000,11300000,7500000,-13599999,15700001,-6700000,-6700000,3.7e+07,-1615947.25931141,-1615947.25931141,-931428.429309368,3.7e+07,46000001,46000001,45600001,33899999,332200000,18100000,0.20474,0.07043,0.02929,0.02031,0.00877,1.92553,2.4784,1.31677,0.30983,0.23608,0.23094,8.05937,11.19873,0.45458,7,0.01084,0.02086,3.66077,5.49115
"42","2020_Q3",24.27859375,"Up",344800001,-270900000,73900001,-43100000,-39300000,-5900000,-33400000,-3800000,30800001,-3e+06,6e+05,27800001,27800001,-5700000,22100001,22100001,21300001,21300001,214400000,214400000,138900000,138900000,193800000,18700000,18700000,565800000,148100000,400900000,170400000,43900000,5.49e+08,1114800000,167800000,140100000,27700000,7700000,51400000,51400000,226900000,322100000,77600000,52400000,399700000,626600000,306100000,-3300000,1.71e+08,470500000,488200000,1114800000,22100000,11200000,3500000,-19300001,17499999,-7400000,-7400000,-2800000,3e+05,3e+05,-1400000,-3899999.99999999,6199999,6199999,6299999,42000001,329800000,2.1e+07,0.21433,0.08933,0.06177,0.04363,0.01911,0.985919999999998,2.49361,1.28349,0.29584,0.53134,0.52162,8.60129,11.73697,0.52386,6,0.02378,0.02345,2.74762,3.74675
"43","2020_Q4",27.9046875,"Up",363300000,-288700000,74600000,-39700000,-36200000,-6e+06,-30200000,-3500000,34900000,-5e+06,-1100000,29900000,29900000,-4800000,25100000,25100000,24400000,24400000,176100000,176100000,145500000,145500000,175300000,17200000,17200000,514100000,150500000,395700000,165500000,43300000,546200000,1060300000,142200000,111400000,30800000,7500000,45600000,45600000,195300000,272600000,73900000,48700000,346500000,541800000,309300000,-3300000,195400000,500100000,518500000,1060300000,25100000,11100000,2e+06,-18500000,19700000,-5800000,-5800000,-50200000,0,0,-1500000,-51700000,-37800000,-37800000,-38300000,4.6e+07,280100000,26500000,0.20534,0.09606,0.06716,0.04706,0.02301,1.08607,2.63236,1.04494,0.26417,0.60445,0.59297,8.99993,12.38883,0.65648,6,0.02797,0.03037,2.26087,2.97994
"44","2021_Q1",46.0539344262295,"Up",369599999,-2.92e+08,77599999,-44500000,-40400000,-7400000,-3.3e+07,-4100000,33099999,-6100000,-2500000,26999999,26999999,-4300000,22699999,22699999,22499999,22499999,200300000,200300000,145500000,145500000,180400000,18900000,18900000,545100000,159200000,398200000,160500000,43100000,557400000,1102500000,155800000,121300000,34500000,7400000,3.8e+07,3.8e+07,201200000,261600000,88500000,54900000,350100000,551300000,312900000,-3300000,217900000,532600000,551200000,1102500000,22700000,11200000,7300000,3200000,44400000,-9900000,-9900000,-12800000,3e+05,3e+05,-4.65661287307739e-10,-12500000,2.2e+07,2.2e+07,24200000,44299999,2.69e+08,41899999,0.20996,0.08956,0.06088,0.04082,0.02041,1.86222,2.70924,1.00018,0.24399,0.55527,0.54075,9.1212,13.1438,1.03403,8,0.02476,0.04611,1.55079,2.07553
"45","2021_Q2",53.5290476190476,"Up",417600000,-330700000,86900000,-46500000,-42300000,-7600000,-34700000,-4200000,40400000,-7800000,-4300000,32600000,32600000,-7e+06,25600000,25600000,2.5e+07,2.5e+07,264300000,264300000,1.68e+08,1.68e+08,189200000,14700000,14700000,636200000,157300000,397100000,155600000,48100000,554400000,1190600000,195800000,164900000,30900000,8e+06,59300000,59300000,263100000,259800000,91100000,57500000,350900000,6.14e+08,316400000,-3300000,242900000,557600000,576600000,1190600000,25600000,11400000,9500000,19100000,65600000,8e+05,8e+05,-1599999,143245121.933682,143245121.933682,-11477789.1585663,-1599999,64800001,64800001,64000001,51800000,267800000,78700000,0.20809,0.09674,0.05987,0.04336,0.021,3.148,2.41809,1.06486,0.22493,0.61631,0.6004,10.29484,13.74618,1.94014,7,0.02672,0.08413,0.06757,0.08663
"46","2021_Q3",47.15046875,"Down",515200000,-415300000,99900000,-6.8e+07,-61900000,-12700000,-49200000,-6100000,31900000,-7700000,-7e+05,24200000,24200000,-6200000,1.8e+07,1.8e+07,17100000,17100000,451400000,451400000,210400000,210400000,3.02e+08,35500000,35500000,999300000,218300000,629100000,270500000,78100000,847400000,1846700000,274900000,2.31e+08,43900000,21600000,58500000,58500000,3.55e+08,573100000,129900000,84400000,7.03e+08,1.058e+09,506200000,-3300000,2.6e+08,767500000,788700000,1846700000,1.8e+07,18100000,5900000,9100000,51100000,-16100000,-371300000,329699999,193100000,193100000,-1.6e+07,506799999,186599999,186599999,187099999,5e+07,594700000,49200000,0.19391,0.06192,0.03319,0.02168,0.00926,2.87719,2.81493,1.34145,0.32203,0.39466,0.38641,11.89069,17.71372,1.13552,5,0.0113,0.03251,2.866,4.49216
"47","2021_Q4",52.01203125,"Up",553700000,-439600000,114100000,-63500000,-5.7e+07,-15388277.6945063,-55660194.495494,-6500000,50600000,-8200000,-1400000,42400000,42400000,-8400000,3.4e+07,3.4e+07,31900000,31900000,4.57e+08,4.57e+08,232500000,232500000,324600000,38600000,38600000,1052700000,227900000,643400000,2.61e+08,95700000,871300000,1.924e+09,323300000,271300000,5.2e+07,23200000,64500000,64500000,4.11e+08,545100000,127600000,83200000,672700000,1083700000,510500000,-3300000,291900000,8e+08,840300000,1.924e+09,3.4e+07,18400000,5300000,-4400000,53300000,-19800000,-19800000,-27300000,0,0,0,-27300000,6200000,6200000,5600000,6.9e+07,568300000,53200000,0.20607,0.09139,0.05761,0.03796,0.01658,1.66771,2.56131,1.28966,0.29537,0.71274,0.70258,12.37125,17.8743,1.18864,5,0.02077,0.03463,1.61304,2.1996
"48","2022_Q1",47.8617741935484,"Down",615100000,-4.86e+08,129100000,-66300000,-58600000,-14999813.0783222,-52751032.8607689,-7700000,62800000,-7700000,-1200000,55100000,55100000,-6300000,48800000,48800000,45500000,45500000,466500000,466500000,250100000,250100000,379200000,41300000,41300000,1137100000,242300000,6.46e+08,245700000,92700000,888300000,2025400000,379700000,332900000,46800000,22100000,67300000,67300000,469100000,529900000,133700000,78800000,663600000,1132700000,5.15e+08,-3300000,337400000,848900000,892700000,2025400000,48800000,19600000,6e+05,-27400000,41600000,-16500000,-14500000,-17400000,5e+05,5e+05,-2e+05,-17100000.0000001,1e+07,1e+07,9500000,82400000,5.52e+08,44800000,0.20988,0.1021,0.07397,0.05097,0.02246,0.98462,2.424,1.26885,0.27254,1.41555,1.37879,19.13636,26.4101,1.39377,5,0.02883,0.02838,1.03762,1.36146
"49","2022_Q2",32.446935483871,"Down",564100000,-450400000,113700000,-6.8e+07,-61200000,-13800000,-47400000,-6800000,45700000,-6400000,-483694.680621313,39300000,39300000,-8500000,30800000,30800000,27900000,27900000,3.67e+08,3.67e+08,279300000,279300000,440300000,36100000,36100000,1122700000,250100000,638800000,237600000,96100000,888900000,2011600000,328900000,288100000,40800000,19500000,69200000,69200000,417600000,530900000,136800000,8.2e+07,667700000,1085300000,520600000,-3300000,365300000,879600000,926300000,2011600000,30800000,17900000,8400000,-124500000,-67400000,-28400000,-28400000,-2600000,61761375.1057351,61761375.1057351,-6369300.37384254,-2600000,-98400000,-98400000,-99500000,63600000,550400000,-80800000,0.20156,0.08101,0.04946,0.03012,0.01387,-2.89606,2.68846,1.17165,0.27361,0.62157,0.61285,12.56739,19.59631,-1.80012,2,0.01729,-0.05008,2.88365,4.01313
"50","2022_Q3",30.606875,"Down",608800000,-490300000,118500000,-67300000,-6e+07,-13900000,-46100000,-7300000,51200000,-7500000,-4e+05,43700000,-12900000,-8800000,-21700000,-21700000,-25100000,-25100000,421400000,421400000,243800000,243800000,405100000,41500000,41500000,1111800000,248600000,5.85e+08,207400000,89700000,833600000,1945400000,310099999,259399999,50700000,22300000,6.3e+07,6.3e+07,395399999,5.24e+08,130500000,75400000,654500000,1049899999,5.22e+08,-3300000,340200000,845600000,895500000,1945399999,-21700000,17800000,60100000,25500000,81700000,-17700000,-1.8e+07,-3200000,7e+05,7e+05,-4100000,-6600000,57100000,57100000,54400000,6.9e+07,546300000,85600000,0.19465,0.0841,-0.04123,-0.02803,-0.0129,-3.41036,2.81184,1.17242,0.28082,-0.5556,-0.5556,13.47618,18.7179,1.89481,4,-0.01596,0.05444,1.81014,2.43945
