"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.4042857142857,"Down",1.13e+08,-74900000,38100000,-20200000,-11400000,-7100000,-1700000,17900000,-4400000,-4300000,-1e+05,13500000,10400000,-3900000,6500000,6500000,6500000,6500000,8800000,8800000,40300000,40300000,9500000,31200000,3800000,27400000,89800000,455100000,1.73e+08,1.73e+08,628100000,717900000,24200000,17800000,19700000,43800000,43800000,87700000,288700000,146900000,68200000,34300000,44400000,435600000,523300000,2e+06,192600000,194600000,194600000,717900000,6500000,7100000,-11300000,2.2e+07,24300000,-10300000,-10300000,-10300000,-3800000,-5200000,2e+05,2e+05,-4100000,-12900000,1100000,1100000,1100000,2.5e+07,308400000,40600000,0.33717,0.15841,0.05752,0.0334,0.00905,6.24615,1.02395,2.68911,0.42959,0.6018,0.60168,10.46199,17.83168,3.75891,0.35182,0.01585,0.06247,0.58462,11.984,16.73743
"2","2010_Q3",13.5084375,"Up",71400000,-45200000,26200000,-22100000,-12400000,-7200000,-2500000,4100000,-4600000,-4500000,-1e+05,-5e+05,-3e+06,999999.999999999,-2e+06,-2e+06,-2e+06,-2100000,6300000,6300000,27900000,27900000,14500000,2.7e+07,4500000,22500000,75700000,456600000,173300000,173300000,629900000,705600000,22300000,16700000,2.5e+07,38100000,38100000,85400000,288600000,142600000,67300000,33600000,41700000,431200000,516600000,2e+06,1.87e+08,1.89e+08,1.89e+08,705600000,-2e+06,7200000,-3100000,600000.000000004,2700000,-8900000,-8900000,-8900000,-3800000,5e+06,3e+05,3e+05,2200000,3700000,-2500000,-2500000,-2500000,11300000,313600000,2e+06,0.36695,0.05742,-0.02941,-0.01111,-0.00298,-0.952380000000005,0.88642,2.73333,0.44444,-0.1941,-0.1941,6.5995,17.28441,0.18486,0.35123,0.00263,0.00310000000000001,-1.80952,27.19469,74.95122
"3","2010_Q4",14.4096875,"Up",76100000,-48500000,27600000,-20800000,-13100000,-6100000,-1600000,6800000,-4800000,-4700000,-1e+05,2e+06,-7e+05,6e+05,-1e+05,-1e+05,-1e+05,-1e+05,8e+06,8e+06,27200000,27200000,19200000,38700000,3e+06,35700000,93100000,463600000,168300000,168300000,631900000,7.25e+08,16700000,1.6e+07,46800000,46500000,46500000,1.1e+08,288500000,1.41e+08,67200000,37200000,36600000,429500000,539500000,2e+06,183500000,185500000,185500000,7.25e+08,-1e+05,6100000,4300000,-15800000,-5500000,-14600000,-14600000,-14600000,-3700000,21700000,2e+05,2e+05,3600000,21800000,1700000,1700000,1700000,12900000,335300000,-18100000,0.36268,0.08936,-0.00131,-0.00054,-0.00014,181,0.84636,2.90836,0.46248,-0.00923,-0.00923,7.02613,16.94211,-1.67113,0.34161,0.00544,-0.02735,-37,25.37209,48.13235
"4","2011_Q1",14.7791935483871,"Up",97900000,-59600000,38300000,-23400000,-11900000,-8500000,-3e+06,14900000,-4600000,-4600000,-1.45519152283669e-11,10300000,7400000,-2200000,5200000,5200000,5200000,5200000,8900000,8900000,36900000,36900000,13500000,57800000,3600000,46700000,117100000,476500000,1.66e+08,1.66e+08,642500000,759600000,26500000,26500000,67300000,33100000,33100000,126900000,288300000,153400000,7.4e+07,43800000,35600000,441700000,568600000,2e+06,1.89e+08,1.91e+08,1.91e+08,759600000,5200000,8500000,16300000,-25600000,4400000,-15800000,-15800000,-15800000,-3700000,20300000,2e+05,2e+05,-4500000,12300000,900000.000000001,900000.000000001,900000.000000001,23400000,355600000,-15800000,0.39122,0.1522,0.05312,0.02723,0.00685,-3.03845999999999,0.92277,2.97696,0.46814,0.47966,0.47962,9.03053,17.43382,-1.45743,0.3413,0.01271,-0.02257,0.711540000000007,14.81624,23.26846
"5","2011_Q2",16.312380952381,"Up",115400000,-71700000,43700000,-21600000,-12200000,-7900000,-1500000,22100000,-4700000,-4600000,-1e+05,17400000,14100000,-5400000,8700000,8700000,8700000,8700000,6600000,6600000,45700000,45700000,4100000,38300000,4400000,33900000,94700000,4.76e+08,1.66e+08,1.66e+08,6.42e+08,736700000,22600000,22500000,51100000,30200000,30200000,103900000,288200000,152100000,70300000,48700000,33100000,440300000,544200000,2e+06,190500000,192500000,192500000,736700000,8700000,7900000,2e+06,17800000,36400000,-10800000,-10800000,-10800000,-3800000,-16300000,3e+05,3e+05,-8100000,-27900000,-2300000,-2300000,-2300000,3e+07,339300000,42400000,0.37868,0.19151,0.07539,0.04519,0.01181,4.87356,0.91145,2.82701,0.46057,0.8011,0.80103,10.62615,17.54144,3.90424,0.34991,0.01828,0.062,0.43678,11.09,15.0543
"6","2011_Q3",17.19828125,"Up",69500000,-40800000,28700000,-21800000,-12500000,-7700000,-1600000,6900000,-4900000,-4800000,-1e+05,2e+06,-1e+06,3e+05,-7e+05,-7e+05,-7e+05,-8e+05,5800000,5800000,32900000,32900000,12200000,31300000,5300000,2.6e+07,82200000,484200000,161200000,161200000,645400000,727600000,16200000,15800000,51800000,32800000,32800000,100800000,288100000,150400000,72100000,48100000,30200000,438500000,539300000,2e+06,186300000,188300000,188300000,727600000,-7e+05,7700000,1900000,1300000,10200000,-14300000,-14300000,-14300000,-3800000,599999.999999996,2e+05,2e+05,6300000,3299999.99999999,-8e+05,-8e+05,-8e+05,14600000,339900000,1299999.99999999,0.41295,0.09928,-0.01151,-0.00425,-0.0011,-1.625,0.81548,2.86405,0.46715,-0.07356,-0.07352,6.39022,17.12946,0.119529999999999,0.34939,0.00442,0.00192000000000001,-4.75,22.88356,48.42029
"7","2011_Q4",18.1353968253968,"Up",73200000,-43500000,29700000,-22700000,-13600000,-6900000,-2200000,7e+06,-6800000,-6600000,-2e+05,2e+05,-3e+06,1400000,-1600000,-1600000,-1600000,-1600000,7900000,7900000,30400000,30400000,19400000,39700000,4500000,35200000,97400000,499800000,151500000,151500000,651300000,748700000,16600000,1.6e+07,65900000,44300000,44300000,126800000,2.88e+08,150700000,74100000,46700000,29900000,438700000,565500000,2e+06,181200000,183200000,183200000,748700000,-1600000,6900000,7400000,-9500000,3200000,-17600000,-17600000,-17600000,-3800000,1.4e+07,2e+05,2e+05,6100000,16500000,2100000,2100000,2100000,13900000,353900000,-14600000,0.40574,0.09563,-0.02186,-0.00873,-0.00214,9.125,0.76814,3.08679,0.47269,-0.14694,-0.14694,6.72238,16.64065,-1.3408,0.34898,0.0032,-0.02123,-2.375,24.89209,49.42857
"8","2012_Q1",18.606935483871,"Up",94700000,-55800000,38900000,-27700000,-13200000,-6800000,-7700000,11200000,-4400000,-4400000,-2.91038304567337e-11,6800000,16300000,-6400000,9900000,9900000,9900000,9900000,7500000,7500000,44200000,44200000,18400000,58700000,4500000,54200000,128800000,557200000,160700000,160700000,717900000,846700000,27400000,26400000,88400000,5.1e+07,4.2e+07,166800000,287800000,198400000,91200000,37300000,69900000,486200000,6.53e+08,2e+06,191700000,193700000,193700000,846700000,1e+07,6800000,-1600000,-19100000,-3900000,-14400000,-14400000,-14400000,-3800000,22300000,3e+05,3e+05,-9e+05,17900000,-399999.999999999,-399999.999999999,-399999.999999999,1.8e+07,376200000,-9100000,0.41077,0.11827,0.10454,0.05111,0.01169,-0.919189999999997,0.77218,3.37119,0.44431,0.90867,0.90818,8.69198,17.59507,-0.83524,0.34878,0.01783,-0.01184,0.38384,20.48333,32.91964
"9","2012_Q2",18.1765079365079,"Down",114200000,-67600000,46600000,-23600000,-13400000,-8300000,-1900000,2.3e+07,-5e+06,-4900000,-1e+05,1.8e+07,14300000,-5300000,9e+06,9e+06,9e+06,9e+06,8200000,8200000,47900000,47900000,4500000,52100000,5e+06,47100000,112700000,560100000,158300000,158300000,718400000,831100000,2.8e+07,18700000,78100000,33500000,29600000,139600000,287700000,208200000,89500000,48200000,70500000,495900000,635500000,2e+06,193600000,195600000,195600000,831100000,9e+06,8300000,6900000,6200000,30400000,-9100000,-9100000,-9100000,-3800000,-10400000,3e+05,3e+05,-6700000,-20600000,7e+05,7e+05,7e+05,31300000,365800000,33700000,0.40806,0.2014,0.07881,0.04601,0.01083,3.74444,0.80731,3.24898,0.44014,0.8244,0.8241,10.46075,17.73381,3.08693,0.34808,0.01663,0.04379,0.42222,11.42492,15.54783
"10","2012_Q3",18.8979365079365,"Up",68800000,-35100000,33700000,-25900000,-14900000,-8700000,-2300000,7800000,-4600000,-4600000,2.91038304567337e-11,3200000,-3e+05,0,-3e+05,-3e+05,-3e+05,-4e+05,6800000,6800000,33200000,33200000,4700000,5.6e+07,6e+06,5e+07,100700000,568600000,155400000,155400000,7.24e+08,824700000,25200000,17400000,5500000,39700000,3.6e+07,70400000,287600000,2.1e+08,91100000,48100000,70800000,497600000,5.68e+08,2e+06,254700000,256700000,256700000,824700000,-3e+05,8700000,2500000,11600000,22500000,-14800000,-14800000,-14800000,-3800000,-72700000,65700000,65700000,1700000,-9100000,-1400000,-1400000,-1400000,16500000,293100000,13300000,0.48983,0.11337,-0.00581,-0.00156,-0.000490000000000001,-33.25,1.4304,2.2127,0.3554,-0.0324399999999999,-0.0324300000000001,5.57943,20.65526,1.07858,0.30817,0.00447,0.0175,-9.5,17.35152,36.70513
