"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.1274603174603,"Up",116187000,-17823000,98364000,-23683000,-7519000,-16164000,74681000,6e+05,6e+05,75281000,75281000,-26454000,48827000,48827000,48827000,48827000,215898895.323146,-351288334.397536,567187229.720683,580785672.939276,580785672.939276,134219854.942814,-6027836.18029449,930904423.205236,12572236.1512608,38408088.0245569,-137172349.725622,175580437.750179,50980324.1758177,981884747.381053,80285701.2706474,4576581.8216649,75709119.4489825,134584902.849858,134584902.849858,215145658.599676,22146860.1331921,472929201.996947,469715027.524813,3214174.47213367,495076062.130139,710221720.729815,546276770.442223,-569210011.004683,294740353.251461,-144106.512795703,271663006.176205,271663026.651238,981884747.381053,48827000,5482000,-67357000,85750000,72702000,-442000,-75978000,-76420000,5514647.15920363,6595000,6595000,3898570.16339809,982000,7223000,3505000,3505000,3505000,80163000,0,191925000,0.8466,0.64277,0.42024,0.157523120203158,0.0447839315098641,3.93071,4.50780977204248,2.98202673592582,0.0215436410543556,1.11953,1.10013,2.66398,6.02867307899446,4.40054,-0.121723142788489,0.0480484050771715,-0.978261362847649,-0.225446230230412,-0.806554983252067,-0.145161841684594
"2","2010_Q3",20.74421875,"Down",91153000,-14707000,76446000,-23372000,-7008000,-16364000,53074000,889000,889000,53963000,53963000,-1.9e+07,34963000,34963000,34963000,34963000,485795000,217431000,268364000,159086000,159086000,78289000,12410000,723170000,9265000,212289000,41633000,170656000,221554000,944724000,82346000,9328000,73018000,169855000,169855000,252492000,327000,426395000,417252000,9143000,426722000,679214000,503879000,-569247000,330561000,317000,265510000,265510000,944724000,34963000,5321000,-70851000,39413000,8846000,-646000,-7287000,-7933000,0,1870000,1870000,1949285.08169904,360000,2150000,3063000.00000003,3063000.00000003,3063000.00000003,58395000,618000,116162000,0.83866,0.58225,0.38356,0.13168,0.03701,3.32243,2.86413,2.55815,0.00065,0.79508,0.78207,2.07288,6.03789,2.64161,0,0.05049,0.16774,0,-8.30854,-9.14152
"3","2010_Q4",27.18796875,"Up",91923000,-12772000,79151000,-24680000,-7223000,-17457000,54471000,556000,556000,55027000,55027000,-19512000,35515000,35515000,35515000,35515000,563580000,313620000,249960000,29802000,29802000,48620000,13292000,642002000,8350000,263311000,90994000,172317000,271661000,913663000,66133000,9546000,56587000,157997000,157997000,224416000,254000,383647000,373143000,10504000,383901000,608317000,508233000,-569247000,366076000,284000,305346000,305346000,913663000,35515000,5652000,-93073000,133502000,81596000,-650000,12241000,11591000,0,2160000,2160000,649761.693899681,920000,3002000,96189000,96189000,96189000,60123000,540000,212487000,0.86106,0.59257,0.38636,0.11631,0.03887,5.98302,2.86077,1.99222,0.000590000000000001,0.80577,0.79255,2.08556,6.92772,4.82092,0,0.05151,0.30816,0,-9.3648,-10.33651
"4","2011_Q1",37.7474193548387,"Up",95282000,-13605000,81677000,-28030000,-6551000,-21479000,53647000,529000,529000,54176000,54176000,-19865000,34311000,34311000,34311000,34311000,541669000,215451000,326218000,33632000,33632000,44255000,9119000,619556000,8344000,246743000,71754000,174989000,255087000,874643000,43468000,7572000,35896000,134804000,134804000,178560000,180000,342787000,332174000,10613000,342967000,521527000,526453000,-569247000,395799000,111000,353116000,353116000,874643000,34311000,5670000,-52588000,-16614000,-29221000,-782000,-84380000,-85162000,0,10895000,10895000,0,5391000,16214000,-98169000,-98169000,-98169000,59317000,467999.999999998,61786000,0.85721,0.56303,0.3601,0.09717,0.03923,1.80076,3.46974,1.47693,0.00054,0.76807,0.75582,2.13292,7.90464,1.3831,0,0.04927,0.08873,0,-9.12388,-10.08819
"5","2011_Q2",33.5350793650794,"Down",78458000,-15948000,62510000,-25204000,-7780000,-17424000,37306000,-942000,-942000,36364000,36364000,-13025000,23339000,23339000,23339000,23339000,527441000,200117000,327324000,22576000,22576000,61476000,10492000,611493000,7892000,220047000,45131000,174916000,227939000,839432000,26995000,5739000,21256000,132923000,132923000,160236000,103999.999999993,302388000,289783000,12605000,302492000,462728000,531322000,-569247000,414506000,123000,376704000,376704000,839432000,23339000,5842000,-47797000,13409000,-5207000,-931000,-7800000,-8731000,-4526000,2612000,2612000,0,564000,-1396000,-15334000,-15334000,-15334000,43148000,422000,68651000,0.79673,0.47549,0.29747,0.06196,0.0278,2.94147,3.8162,1.22836,0.000500000000000002,0.51514,0.50879,1.73174,8.31466,1.51527,0.0999,0.04101,0.10103,0.19392,-12.21422,-14.12692
"6","2011_Q3",48.721875,"Up",69873000,-16756000,53117000,-23310000,-7547000,-15763000,29807000,-3381000,-3381000,26426000,26426000,-9270000,17156000,17156000,17156000,17156000,701113000,379589000,321524000,29734000,29734000,62604000,10850000,793451000,7609000,238962000,56959000,182003000,246571000,1040022000,31517000,5326000,26191000,132962000,132962000,164780000,188822000,264779000,250551000,14228000,453601000,618381000,563817000,-569247000,427027000,44000,421641000,421641000,1040022000,17156000,5909000,-66071000,16956000,-26050000,-895000,-469000,-1364000,-4536000,340000,339999.999999999,0,-18823000,206886000,179472000,179472000,179472000,35716000,189123000,61047000,0.76019,0.42659,0.24553,0.04069,0.0165,3.55835,4.81521,1.46661,0.18185,0.37814,0.37423,1.5401,9.29359,1.34557,0.09998,0.02478,0.06972,0.2644,-14.33503,-17.17684
"7","2011_Q4",35.3409523809524,"Down",76455000,-17900000,58555000,-26402000,-9387000,-17015000,32153000,-3149000,-3149000,29004000,29004000,-2798000,26206000,26206000,26206000,26206000,690591000,409653000,280938000,29022000,29022000,62446000,31478000,782059000,7450000,232503000,68612000,163891000,239953000,1022012000,33905000,5496000,28409000,133467000,133467000,167626000,190630000,215166000,205776000,9390000,405796000,573422000,569675000,-569247000,448591000,-429000,448590000,448590000,1022012000,26206000,5975000,-42363000,8879000,-1303000,-697000,33556000,32859000,-4540000,1098000,1098000,0,2024000,-1492000,30064000,30064000,30064000,38128000,190884000,49108000,0.76588,0.42055,0.34276,0.05842,0.02564,1.87392,4.6655,1.27828,0.18677,0.57642,0.56624,1.6817,9.86714,1.08018,0.09986,0.03598,0.05746,0.17324,-13.10604,-15.54154
"8","2012_Q1",30.7617741935484,"Down",76956000,-21132000,55824000,-20333000,-6772000,-13561000,35491000,-2677000,-2677000,32814000,32814000,-10047000,22767000,22767000,22767000,22767000,677994000,342211000,335783000,28079000,28079000,62814000,8824000,768887000,7997000,220084000,54110000,165974000,228081000,996968000,38886000,7110000,31776000,134087000,134087000,173153000,192529000,159604000,153953000,5651000,352133000,525286000,574641000,-569247000,466727000,-439000,471682000,471682000,996968000,22767000,6079000,-64455000,33831000,-1778000,-1312000,-62604000,-63916000,-4548000,447000,447000,0,2426000,-1747999.99999997,-67442000,-67442000,-67442000,41570000,192709000,84136000,0.7254,0.46119,0.29584,0.04827,0.02284,3.69552,4.44051,1.11364,0.1933,0.50031,0.49429,1.69112,10.36527,1.8489,0.09994,0.03315,0.10211,0.19976,-11.67392,-13.67347
"9","2012_Q2",22.2628571428571,"Down",69305000,-23228000,46077000,-26672000,-9183000,-17489000,19405000,-2734000,-2734000,16671000,16671000,-5741000,10930000,10930000,10930000,10930000,616002000,268628000,347374000,31029000,31029000,58812000,6239000,705843000,7229000,219345000,51550000,167795000,226574000,932417000,33242000,4274000,28968000,108212000,108212000,141558000,194427000,143160000,140681000,2479000,337587000,479145000,574401000,-594572000,473145000,298000,453272000,453272000,932417000,10930000,6287000,-49076000,6154000,-25705000,-1531000,-18083000,-19614000,-4570000,-25085000,240000,-25325000,1468000,-28264000,-73583000,-73583000,-73583000,25692000,194531000,36056000,0.66484,0.27999,0.15771,0.02411,0.01172,3.29881,4.98625,1.05708,0.20863,0.24074,0.23789,1.52651,9.98374,0.79417,0.10066,0.0196,0.04558,0.41812,-16.40476,-21.71971
"10","2012_Q3",25.2150793650794,"Up",71871000,-26200000,45671000,-28097000,-10920000,-17177000,17574000,-2484000,-2484000,15090000,15090000,-5417000,9673000,9673000,9672999.99999999,9672999.99999999,524119000,168985000,355134000,38833000,38833000,59574000,8624000,622526000,6952000,230787000,49837000,180950000,237739000,860265000,47550000,7367000,40183000,117877000,117877000,165427000,196392000,90339000,87417000,2922000,286731000,452158000,576374000,-646992000,478427000,298000,408107000,408107000,860265000,9673000,6299000,-42428000,10831000,-15625000,-12499000,-14998000,-27497000,-4470000,-52070000,350000,-52420000,122000,-56521000,-99643000,-99643000,-99643000,23873000,196392000,27622000,0.63546,0.24452,0.13459,0.0237,0.01124,2.85558,3.76315,1.10794,0.22829,0.22046,0.21915,1.63801,9.30116,0.629529999999999,0.10188,0.02035,0.03975,0.46211,-13.72794,-18.6484
"11","2012_Q4",32.1582258064516,"Up",434010000,-45551000,388459000,-25240000,-8865000,-16375000,363219000,-2708000,-2708000,360511000,360511000,-124842000,235669000,235669000,235669000,235669000,781327000,520892000,260435000,36302000,36302000,64034000,8859000,881663000,7079000,226864000,55181000,171683000,233943000,1115606000,185002000,16052000,168950000,94664000,94664000,279666000,198357000,70629000,67252000,3377000,268986000,548652000,577933000,-721941000,709955000,1007000,566954000,566954000,1115606000,235669000,6627000,-43845000,143301000,341752000,-1699000,91112000,89413000,-4348000,-74826000,123000,-74949000,-84000,-79258000,351907000,351907000,351907000,369846000,198357000,636290000,0.89505,0.83689,0.543,0.41568,0.21125,2.69993,3.15256,0.96772,0.1778,5.60796,5.5644,10.32767,13.4912,15.14111,0.10346,0.28712,0.76117,0.0184500000000001,-1.57625,-1.60501
"12","2013_Q1",37.5215,"Up",87877000,-31305000,56572000.0000001,-25204000,-8383000,-16821000,31368000,-2470000,-2470000,28898000,16362000,-830000.00000003,15532000,15532000,15532000,15532000,577279000,349843000,227436000,169874000,169874000,67194000,30197000,814347000,7824000,234438000,30687000,203751000,242262000,1056609000,66608000,9600000,57008000,106305000,106305000,172913000,200391000,164600000,161820000,2780000,364991000,537904000,580547000,-721941000,659235000,864000,518705000,518705000,1056609000,15532000,7035000,-21250000,-124131000,-122814000,-3342000,24006000,20664000,-69689000,1398000.00000001,1398000,0,-608000,-68899000,-171049000,-171049000,-171049000,38403000,200391000,-88240000.0000001,0.64376,0.35695,0.17675,0.02994,0.0147,-5.68117,4.70958,1.03701,0.18965,0.37903,0.377490000000001,2.14449,12.65813,-2.15335,1.70064,0.09644,-0.09985,4.4868,-9.81402,-12.01505
"13","2013_Q2",37.280625,"Down",47363000,-36875000,10488000,-23988000,-7842000,-16146000,-13500000,-9480000,-9480000,-22980000,-24524000,11621000,-12903000,-12903000,-12269000,-12269000,635808000,368688000,267120000,51512000,51512000,74194000,31039000,761514000,7318000,245855000,35123000,210732000,253173000,1014687000,52389000,9269000,43120000,111949000,111949000,164338000,202425000,142276000,142276000,0,344701000,509039000,584451000,-721941000,642753000,1019000,506282000,505648000,1014687000,-12903000,7979000,-21543000,102705000,76238000,-12929000,-44813000,-57742000,2.98023223876953e-08,209000,209000,17182134.7889135,140000,349000,18845000,18845000,18845000,-5521000,202425000,72634000,0.22144,-0.28503,-0.25904,-0.02426,-0.01209,-5.92012,4.63383,1.00671,0.1995,-0.29824,-0.29824,1.15132,12.30692,1.76562,0,-0.01443,0.0854199999999999,0,78.49719,32.10244
"14","2013_Q3",31.48453125,"Down",67692000,-33164000,34528000,-21836000,-8359000,-13477000,12692000,2899000,2899000,15591000,15591000,-6985000,8606000,8606000,9238000,9238000,769792000,459023000,310769000,60609000,60609000,73477000,31416000,903878000,7195000,242830000,31245000,211585000,250025000,1153903000,49189000,13112000,36077000,116858000,116858000,166047000,204530000,265098000,265098000,0,469628000,635675000,587396000,-721941000,647826000,1112000,514393000,518228000,1153903000,8606000,8233000,-17295000,143968000,143512000,-1264000,-53874000,-55138000,-4115000,432000,432000,0,5644000,1961000.00000001,90335000,90335000,90335000,20925000,204530000,170614000,0.51008,0.1875,0.13647,0.01783,0.00801,18.46872,5.44351,1.22663,0.17725,0.22443,0.22284,1.64453,12.49679,4.14494,0.09997,0.01352,0.17271,0.44544,-27.01372,-44.53687
"15","2013_Q4",28.3475,"Down",110623000,-36786000,73837000,-24709000,-8937000,-15772000,49128000,-2950000,-2950000,46178000,46178000,-20068000,26110000,26110000,26660000,26660000,756842000,555543000,201299000,67392000,67392000,55060000,30519000,879294000,8970000,241321000,28899000,212422000,250291000,1129585000,55322000,13230000,42092000,71225000,71225000,126547000,206635000,249079000,248989000,89999.9999999999,455714000,582261000,594260000,-721941000,670291000,154000,542764000,547324000,1129585000,26110000,7851000,-55741000,20750000,-1030000,-1552000,101772000,100220000,-4118000,93000,93000,0,1355000,-2670000,96520000,96520000,96520000,56979000,206635000,96245000,0.66747,0.4441,0.241,0.04871,0.0236,3.61009,6.94836,1.06383,0.18293,0.64731,0.64322,2.68594,13.17836,2.33684,0.09999,0.03068,0.09595,0.15446,-9.65631,-11.19946
"16","2014_Q1",24.9965573770492,"Down",99683000,-36212000,63471000,-25491000,-6157000,-19334000,37980000,-13706000,-13706000,24274000,24274000,-10404000,13870000,13870000,14536000,14536000,698451000,497714000,200737000,92830000,92830000,66233000,40036000,857514000,9535000,246134000,36626000,209508000,255669000,1113183000,66262000,24504000,41758000,60176000,60176000,126438000,208813000,244112000,243864000,248000,452925000,579363000,599021000,-751075000,680718000,-14000,528650000,533820000,1113183000,13870000,9322000,-26764000,3027000,-545000,-13859000,-11796000,-25655000,-4121000,-28836000,298000,-29134000,1328000,-31629000,-57829000,-57829000,-57829000,47302000,208813000,46874000,0.63673,0.38101,0.14582,0.02723,0.01306,3.22468,6.78209,1.08532,0.18758,0.35476,0.34897,2.43284,12.90208,1.14399,0.10058,0.01891,0.0475,0.2835,-10.35132,-12.892
"17","2014_Q2",32.5439682539683,"Up",57844000,-33694000,24150000,-24191000,-8304000,-15887000,-41000,-3964000,-3964000,-4005000,-4005000,1450000,-2555000,-2555000,-1861000,-1861000,684593000,391453000,293140000,69046000,69046000,61807000,38566000,815446000,9098000,255815000,47175000,208640000,264913000,1080359000,47308000,9666000,37642000,58538000,58538000,105846000,210992000,234259000,233355000,904000,445251000,551097000,600191000,-751075000,674797000,-402000,523511000,529262000,1080359000,-2555000,9351000,-29226000,19571000,-2859000,-1220000,-100887000,-102107000,-4043000,343000,343000,0,2405000,-1295000,-106261000,-106261000,-106261000,9310000,210992000,26211000,0.4175,-0.00071,-0.03217,-0.00352,-0.00172,-14.08436,7.70408,1.04126,0.1953,-0.04601,-0.04601,1.43022,12.9441,0.64808,0.09997,0.00224,0.0269,-2.17249,-50.87014,11551.2439
"18","2014_Q3",37.208125,"Up",194234000,-31272000,162962000,-34590000,-11689000,-22901000,128372000,-3602000,-3602000,124770000,124770000,-46658000,78112000,78112000,78901000,78901000,672902000,383046000,289856000,346335000,346335000,97854000,43177000,1117091000,9369000,296869000,23045000,273824000,306238000,1423329000,117957000,32452000,85505000,127466000,127466000,245423000,213247000,364335000,363347000,988000,577582000,823005000,607929000,-759530000,745320000,368000,594087000,600324000,1423329000,78112000,9021000,-44915000,-9077999.99999999,33140000,-25521000,-4878000,-30399000,-4045000,-8443999.99999999,10000,-8454000,1341000,-11148000,-8407000,-8407000,-8407000,137393000,213247000,149452000,0.839,0.66091,0.40622,0.13143,0.05543,1.89417,4.5517,1.37093,0.14982,1.95092,1.93281,4.80266,14.68949,3.69537,0.10002,0.07042,0.12688,0.05127,-3.34555,-3.58065
