"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",19.62484375,"Up",33323793,-18013809,15309984,-9005699,-9005699,6304285,40509,-51854,92363,6344794,9763,6354557,3999394,3999394,3999394,3999394,78088401.6505373,56235285.0897224,21853116.5608149,-32382489.0594553,-32382489.0594553,18495885.2052504,3762585.89665298,1502053.72190158,67964383.6929854,13345868.4883712,19513237.1205271,6695812.70053774,32653237.0377095,100617620.730695,-3752277.56754291,-13006157.9275353,1272463.87934439,10582622.4934864,-3355691.24918508,1870312.05353619,-18459.8518404116,9039685.8192149,5683994.57002981,34041635.6460498,62472472.726631,-1580482.21201574,94933626.1606651,94933626.1606651,100617620.730695,3999394,440039,-84415,-747764,3607254,-279691,-53730,23549,23549,-1329909,2223615,2223615,2292398,6744324,0,0.45943,0.18918,0.12002,0.0472527191761695,0.043004911909193,12.2230904528716,0.0634592259681839,0.0715093347050854,1.90473,1.90116,15.87062,45.1121819141105,0.0559750336819983,372.520053239499,-267.113013549737
"2","2011_Q1",23.0040322580645,"Up",30207682,-18116103,12091579,-9093668,-9093668,2997911,11908,-61306,73214,3009819,-10381,2999438,1969786,1969786,1969786,1969786,38486463,16787558,21698905,17544136,17544136,24498935,5674629,908102,86204163,13214067,5063730,503513,22866064,109070227,12270169,5385558,1263434,5621177,12669378,585317,0,5004156,17673534,34912514,56769816,-285637,91396693,91396693,109070227,1969786,440816,-67933.9999999999,2405896,4748564,-603346,-1200532,207473,207473,-1113112,2434920,2434920,2421376,3438727,4818048,0.40028,0.09924,0.06521,0.02155,0.01806,6.80414,0.19337,0.04417,0.93717,0.93193,14.37205,43.48423,0.03336,-9.79095,-11.23063
"3","2011_Q2",26.1933333333333,"Up",31022802,-17694313,13328489,-9187210,-9187210,4141279,31379,-48043,79422,4172658,-12220,4160438,2557838,2557838,2557838,2557838,26242978.2831542,5433671.97009254,20809306.3130617,35079187.5198184,35079187.5198184,26763728.7649165,5464133.53444901,734439.50936614,93550028.1023382,13120743.6705429,1337959.9598243,-991446.066845914,20375954.7374302,113925982.839768,17327318.689181,10464127.6425118,1265713.9568852,4814688.41883788,17732011.0830617,621872.982154605,341809.617280137,3411323.89359503,21143334.9766567,35428357.6179834,57378628.591123,-24338.3459947549,92782647.8631116,92782647.8631116,113925982.839768,2557838,499221,227994,-2926387,358666,-443602,-219348,45511,45511,-1307911,-1168593,-1168593,-1162393,4640500,0,0.42964,0.13349,0.08245,0.0271724269412768,0.0219000293636023,5.17304818237614,0.226261924677272,0.0282452217649715,1.2144,1.20797,14.72892,44.0757276952965,0.0392374887726672,-79.9000352464998,47.1786386832455
"4","2011_Q3",24.7796875,"Down",45429685,-26974100,18455585,-9930760,-9930760,8524825,9632,-47808,57440,8534457,-1269750,7264707,4084666,4084666,4084666,4084666,30259218,10611380,19647838,32248873,32248873,26738462,4619210,809872,93865763,13143132,3783043,151233.999999999,22165620,116031383,15971730,7916165,1278665,6271220,16384768,1304489,718386,3324462,19709230,35713842,60869682,-261371,96322153,96322153,116031383,4084666,534919,1941454,-10936841,-4375802,-522565,627655,80442,80442,-1266670,-5014817,-5014817,-5013785,9059744,2433011,0.40625,0.18765,0.08991,0.04241,0.0352,5.72884,0.20462,0.02097,1.93528,1.92013,21.52425,45.63672,0.05346,-3.07140999999995,-3.26413999999998
"5","2011_Q4",22.5866666666667,"Down",41984570,-25429300,16555270,-10071408,-10071408,6483862,85734,-53256,138990,6569596,5310,6574906,3729637,3729637,3729637,3729637,38864712,20084605,18780107,21403472,21403472,26012133,5141491,954437,91421808,13424106,7409505,1762620,25291797,116713605,13778860,4070190,1288875,8419795,14198991,1796811,683081,3738957,17937948,35842709,63320527,-387579,98775657,98775657,116713605,3729637,537283,471134,7531123,12269177,-661671,-1426685,51656,51656,-1317416,9525076,9525076,9473225,7021145,2362277,0.39432,0.15443,0.08883,0.03776,0.03196,6.43861,0.1816,0.02024,1.76323,1.75078,19.8487,46.69736,0.04856,-5.19893,-5.62974
"6","2012_Q1",22.996935483871,"Up",25337994,-14782211,10555783,-10918843,-10918843,-363060,5406.00000000001,-32286,37692,-357654,-22407.0000000001,-380061.000000001,-574275,-574275,-574275,-574275,41151311,22515710,18635601,14461168,14461168,25986003,8347913,999863,89946395,14019019,7809992,1819421,26712521,116658916,14960301,4398848,1299963,9261490,15387646,1476969,-1.16415321826935e-10,3740710,19128356,35956612,61466342,107606,97530560,97530560,116658916,-574275,529312,781056,5078379,5814472,-1105598,-2102054,79646,79646,-1292848,2419570,2419570,2431105,166252,2691086,0.4166,-0.01433,-0.02266,-0.00589,-0.00491999999999999,5.84536,0.19613,0.02307,-0.27133,-0.27078,11.97163,46.08099,0.00683,-231.33692,105.93352
"7","2012_Q2",19.1285714285714,"Down",24243922,-14295294,9948628,-9818182,-9818182,130446,-57457,-36759,-20698,72989,20572,93561,55078,55078,55078,55078,37782892,19475485,18307407,14345504,14345504,27111734,8269343,878075,87509473,14097633,7967822,904503,24937873,112447346,11135044,4427151,1402331,5305562,11600364,1912985,413960,3673838,15274202,36630263,60149314,393567,97173144,97173144,112447346,55078,584690,146005,-4233103,-3447330,-606727,1700972,54409,54409,-1319451,-3065809,-3065809,-3040225,715136,2226173,0.41036,0.00538,0.00227,0.00057,0.00049,7.54368,0.15719,0.0198,0.026,0.02589,11.44421,45.87007,0.01308,-49.72022,-272.57807
"8","2012_Q3",18.1615873015873,"Down",25561257,-14905375,10655882,-9298281,-9298281,1357601,18899,-34971,53870,1376500,68970,1445470,971735,971735,971735,971735,32279465,14465348,17814117,15260418,15260418,31059932,7664586,649514,86264401,14155239,7891705,853381,27052467,113316868,12419517,5222815,1431803,5764899,12861665,1947982,422451,3678561,16540226,36892582,59598212,285848,96776642,96776642,113316868,971735,539564,-12041.9999999999,-2882604,-1383347,-509509,-2112104,-41533,165569,-1492616,-4988067,-4988067,-5010137,1897165,2172727,0.41688,0.05311,0.03802,0.01004,0.00858,6.70709,0.17091,0.01917,0.45609,0.45505,11.99734,45.42275,0.0232,-15.86933,-22.17643
"9","2012_Q4",17.5938709677419,"Down",28687687,-17927814,10759873,-9053164,-9053164,1706709,-41530,-33188,-8342,1665179,-1741,1663438,1119340,1119340,1119340,1119340,29303728,14764399,14539329,16595830,16595830,28545543,7442797,1031610,81887898,14447206,7885377,841978,29395730,111283628,10506185,3621047,1448145,5436993,10955926,1874552,314266,3543688,14499614,37047566,59308260,428188,96784014,96784014,111283628,1119340,512633,45152,-77269,1599856,-769872,481146,-15676,29869,-1803448,277554,277554,299051,2219342,2118877,0.37507,0.05949,0.03902,0.01157,0.01006,7.4743,0.14981,0.01904,0.52547,0.52468,13.4674,45.43513,0.02466,-12.24906,-15.92823
"10","2013_Q1",18.0935,"Up",25756788,-15624280,10132508,-9931146,-9931146,201362,19020,-31337,50357,220382,-25171,195211,91961,91960.9999999999,91960.9999999999,91960.9999999999,30571250,17869712,12701538,14683227,14683227,33752710,6910906,783352,85918093,14474913,6765242,808308,26616552,112534645,14783980,9237233,61833,5484914,15241444,1509396,127611,3297808,18539252,36828263,57755178,-588048,93995393,93995393,112534645,91961,496624,-552741,3395147,3430991,-523741,2965398,-457487,47817,-3308844,3087545,3087545,3105313,697986,2245876,0.39339,0.00781999999999999,0.00357,0.00098,0.00082,5.63714,0.19724,0.01996,0.04319,0.04333,12.09626,44.14341,0.02886,-40.58158,-140.66891
