"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.0984126984127,"Down",1.388e+09,-1.17e+09,2.18e+08,-2.34e+08,-1.24e+08,-1.8e+07,-1.5e+07,-7.7e+07,-1.6e+07,7e+06,-4.8e+07,297421081.251892,4.9e+07,6e+06,-9e+06,2e+06,-7e+06,2e+07,1.3e+07,1e+06,1e+06,1.4e+07,0,1.4e+07,1.1e+07,1.143e+09,1.139e+09,4e+06,8.01e+08,8.01e+08,5.45e+08,3.62e+08,3.18e+08,2.851e+09,2.723e+09,2.549e+09,2.66e+08,7.65e+08,4.88e+08,7.64e+08,2.66e+08,5.351e+09,8.202e+09,6.98e+08,6.26e+08,7.2e+07,2.58e+08,5.84e+08,5.52e+08,1.54e+09,3.233e+09,2.855e+09,1.275e+09,1.29e+08,1.451e+09,6.088e+09,7.628e+09,5.3e+08,-7.81e+08,1.511e+09,-6.86e+08,5.74e+08,0,5.74e+08,8.202e+09,1.4e+07,9.3e+07,7.4e+07,-1.23e+08,-3e+06,5.5e+07,-1.24e+08,0,-8e+06,-1.32e+08,-9e+06,-9e+06,3e+06,0,0,-1.5e+07,-9.2e+07,-9.2e+07,-2.3e+07,-1.15e+08,7.7e+07,3.491e+09,-1.9e+08,0.15706,-0.01153,0.00793,0.01916,0.00134,-17.27273,1.8513,13.2892,0.42563,0.0732,0.07206,9.23657,3.81973,-1.26437,0.05989,-26.1079927648021,0.00289,-0.02746,0.81818,30.49351,-146.75
"2","2010_Q3",22.96109375,"Down",1.517e+09,-1.214e+09,3.03e+08,-1.62e+08,-1.24e+08,-1.7e+07,-1.5e+07,-6e+06,1.41e+08,6.8e+07,-4.8e+07,7.2e+07,4.5e+07,-1e+06,2.09e+08,1.5e+07,2.24e+08,-6.1e+07,1.63e+08,-3e+06,-3e+06,1.6e+08,0,1.6e+08,1.6e+08,1.083e+09,1.081e+09,2e+06,8.62e+08,8.62e+08,5.22e+08,3.55e+08,3.14e+08,2.822e+09,2.676e+09,2.532e+09,2.69e+08,7.36e+08,4.85e+08,7.69e+08,2.73e+08,5.283e+09,8.105e+09,6.83e+08,6.07e+08,7.6e+07,2.65e+08,5.62e+08,5.32e+08,1.51e+09,3.162e+09,2.744e+09,1.26e+09,1.21e+08,1.363e+09,5.906e+09,7.416e+09,5.35e+08,-8.01e+08,1.664e+09,-7.09e+08,6.89e+08,0,6.89e+08,8.105e+09,1.6e+08,6.6e+07,-3.4e+07,-3.3e+07,5e+06,1.64e+08,-8.5e+07,-4.6e+07,-1.2e+07,-1.43e+08,-6e+06,-3.8e+07,-1.9e+07,-2e+07,7.45058059692383e-09,-62999999.9999999,-4.2e+07,-4.2e+07,-1.6e+07,-5.8e+07,2.07e+08,3.427e+09,1.5e+08,0.19974,0.09295,0.10547,0.23222,0.01974,0.937499999999996,1.86887,10.76343,0.42283,1.02328,0.97143,9.70199,4.40651,0.95933,0.03837,-8.94888486933453,0.0242,0.02187,0.0374999999999999,11.32367,16.62411
"3","2010_Q4",30.04109375,"Up",1.506e+09,-1.16e+09,3.46e+08,-1.21e+08,-1.25e+08,-1.7e+07,-1.5e+07,3.6e+07,2.25e+08,-1.4e+07,-4.8e+07,1000000.00000001,3.7e+07,-4e+06,2.11e+08,-2e+07,1.91e+08,-4.4e+07,1.47e+08,-2e+06,-2e+06,1.45e+08,0,1.45e+08,1.45e+08,8.86e+08,8.84e+08,2e+06,8.97e+08,8.97e+08,5.78e+08,4.06e+08,3.55e+08,2.767e+09,2.884e+09,2.664e+09,2.71e+08,7.85e+08,4.99e+08,8.17e+08,2.92e+08,5.627e+09,8.394e+09,7.54e+08,6.4e+08,1.14e+08,2.61e+08,6.22e+08,5.89e+08,1.637e+09,3.01e+09,2.83e+09,1.257e+09,1.32e+08,1.441e+09,5.84e+09,7.477e+09,5.44e+08,-8.22e+08,1.801e+09,-6.06e+08,9.17e+08,0,9.17e+08,8.394e+09,1.45e+08,6.7e+07,-2.1e+07,-5e+07,3e+06,1.44e+08,-1.1e+08,0,4e+06,-1.06e+08,-8e+06,-2.05e+08,-1.7e+07,-2.1e+07,-2.4e+07,-2.54e+08,-2.16e+08,-2.16e+08,1.9e+07,-1.97e+08,2.92e+08,3.271e+09,1.76e+08,0.22975,0.1494,0.09628,0.15812,0.01727,1.21379,1.69029,8.15376,0.38968,0.93033,0.91844,9.66255,5.8835,1.12922,0.05133,1.62044605226619,0.0218,0.02508,0.05517,8.16781,10.6
"4","2011_Q1",34.143064516129,"Up",1.507e+09,-1.194e+09,3.13e+08,-1.65e+08,-1.32e+08,-1.8e+07,-1.6e+07,999999.999999993,1.48e+08,-1e+07,-5.3e+07,0,3.7e+07,6e+06,1.38e+08,-8e+06,1.3e+08,-2.7e+07,1.03e+08,-4.5e+07,-4.5e+07,5.8e+07,6.93889390390723e-18,5.8e+07,5.8e+07,8.18e+08,7.4e+08,7.8e+07,8.27e+08,8.27e+08,6.1e+08,4.13e+08,3.12e+08,2.668e+09,3.017e+09,2.596e+09,2.52e+08,7.74e+08,4.43e+08,8.38e+08,2.89e+08,5.613e+09,8.281e+09,6.9e+08,6.73e+08,1.7e+07,2.28e+08,6.24e+08,5.96e+08,1.542e+09,2.99e+09,2.823e+09,1.359e+09,1.16e+08,1.348e+09,5.813e+09,7.355e+09,5.74e+08,-8.29e+08,1.851e+09,-6.7e+08,9.26e+08,0,9.26e+08,8.281e+09,5.8e+07,7.4e+07,1e+07,-5.6e+07,3e+06,8.9e+07,-1.68e+08,-3.72529029846191e-09,-1.1e+07,-1.79e+08,-8e+06,-61000000.0000001,-999999.999999998,-7e+06,1.4e+07,-5.6e+07,-1.46e+08,-1.46e+08,2e+06,-1.44e+08,2.22e+08,3.218e+09,2.5e+07,0.2077,0.09821,0.03849,0.06263,0.007,0.43103,1.73022,7.94276,0.3886,0.37236,0.36648,9.67482,5.94485,0.1605,0.05136,7,0.00947,0.00359,0.13793,10.81081,16.21622
"5","2011_Q2",39.5580952380952,"Up",1.589e+09,-1.238e+09,3.51e+08,-1.64e+08,-1.28e+08,-2.3e+07,-1.6e+07,3e+06,1.87e+08,-8e+06,-5.4e+07,0,4.3e+07,3e+06,1.79e+08,1e+06,1.8e+08,-4.2e+07,1.38e+08,4e+06,4e+06,1.42e+08,0,1.42e+08,1.42e+08,7.96e+08,7.22e+08,7.4e+07,9.5e+08,9.5e+08,6.88e+08,4.17e+08,3.14e+08,2.851e+09,3.153e+09,2.618e+09,2.52e+08,8.04e+08,4.38e+08,8.22e+08,3.02e+08,5.771e+09,8.622e+09,8.08e+08,7.4e+08,6.8e+07,2.19e+08,5.83e+08,5.54e+08,1.61e+09,3.003e+09,2.873e+09,1.352e+09,1.22e+08,1.399e+09,5.876e+09,7.486e+09,5.83e+08,-8.32e+08,1.985e+09,-6e+08,1.136e+09,0,1.136e+09,8.622e+09,1.42e+08,7.5e+07,2.7e+07,-1.1e+08,-2e+06,1.32e+08,-1.27e+08,-8e+06,-1.6e+07,-1.51e+08,-8e+06,-3e+06,2e+06,-3e+06,-2e+06,-1.1e+07,-3e+07,-3e+07,1.2e+07,-1.8e+07,2.62e+08,3.222e+09,6.7e+07,0.22089,0.11768,0.08936,0.125,0.01647,0.47183,1.77081,6.58979,0.3737,0.91045,0.89496,10.1881,7.28363,0.42958,0.05129,8.58977697386691,0.02074,0.00927,0.05634,9.25954,12.97326
"6","2011_Q3",37.559375,"Down",1.753e+09,-1.343e+09,4.1e+08,-2e+08,-1.4e+08,-2.5e+07,-1.7e+07,-1.8e+07,2.1e+08,7.4e+07,-5.7e+07,7.9e+07,4.6e+07,6e+06,2.84e+08,-4e+06,2.8e+08,-7.5e+07,2.05e+08,-1999999.99999999,-1999999.99999999,2.03e+08,5.55111512312578e-17,2.03e+08,2.03e+08,8.11e+08,7.41e+08,7e+07,1.027e+09,1.027e+09,7.79e+08,3.97e+08,3.02e+08,3.014e+09,3.273e+09,2.632e+09,2.38e+08,8.13e+08,4.34e+08,8.38e+08,3.09e+08,5.905e+09,8.919e+09,8.81e+08,7.86e+08,9.5e+07,1.55e+08,6.05e+08,5.75e+08,1.641e+09,2.893e+09,3.012e+09,1.321e+09,1.24e+08,1.567e+09,5.905e+09,7.546e+09,6.01e+08,-8.42e+08,2.18e+09,-5.66e+08,1.373e+09,7.105427357601e-15,1.373e+09,8.919e+09,2.03e+08,7.6e+07,2.3e+07,-1.22e+08,4e+06,1.84e+08,-1.33e+08,0,1.51e+08,1.8e+07,-8e+06,-1.73e+08,2e+06,-1e+07,-8e+06,-1.87e+08,1.5e+07,1.5e+07,4e+06,1.9e+07,2.86e+08,3.048e+09,1.06e+08,0.23388,0.11979,0.1158,0.14785,0.02276,0.52217,1.83668,5.49599,0.34174,1.29893,1.27505,11.21687,8.78538,0.67826,0.05119,7.7897769738669,0.02839,0.01426,0.03941,7.82168,10.65238
"7","2011_Q4",34.0993650793651,"Down",1.807e+09,-1.406e+09,4.01e+08,-2.05e+08,-1.4e+08,-2.4e+07,-1.7e+07,-2.4e+07,1.96e+08,5e+06,-5.3e+07,999999.999999985,5.7e+07,0,2.01e+08,0,2.01e+08,-3.4e+07,1.67e+08,0,0,1.67e+08,0,1.67e+08,1.67e+08,7.68e+08,7.04e+08,6.4e+07,9.78e+08,9.78e+08,7.77e+08,3.75e+08,2.74e+08,2.898e+09,3.233e+09,2.58e+09,2.13e+08,7.8e+08,4.12e+08,8.41e+08,3.34e+08,5.813e+09,8.711e+09,8.42e+08,7.13e+08,1.29e+08,1.61e+08,6.1e+08,5.83e+08,1.613e+09,2.893e+09,2.749e+09,1.214e+09,1.16e+08,1.419e+09,5.642e+09,7.255e+09,6.01e+08,-8.57e+08,2.338e+09,-6.26e+08,1.456e+09,0,1.456e+09,8.711e+09,1.67e+08,8e+07,1e+06,-7.2e+07,-1.1e+07,1.65e+08,-1.49e+08,0,-1.4e+07,-1.63e+08,-9e+06,5e+06,-1.3e+07,-1.5e+07,-9e+06,-2.6e+07,-2.4e+07,-2.4e+07,-1.3e+07,-3.7e+07,2.76e+08,3.054e+09,8.9e+07,0.22191,0.10847,0.09242,0.1147,0.01917,0.53293,1.79665,4.98283,0.35059,1.06917,1.05019,11.56886,9.32167,0.5698,0.05762,6,0.02425,0.01226,0.05389,8.28261,11.66327
"8","2012_Q1",39.0485483870968,"Up",1.614e+09,-1.359e+09,2.55e+08,-4.44e+08,-3.97e+08,-2.6e+07,-1.2e+07,-9e+06,-1.89e+08,-3e+06,-5.4e+07,0,4.6e+07,5e+06,-1.92e+08,-2e+06,-1.94e+08,1.1e+08,-8.4e+07,-999999.999999999,-999999.999999999,-8.5e+07,0,-8.5e+07,-8.5e+07,7.46e+08,6.82e+08,6.4e+07,8.71e+08,8.71e+08,7.12e+08,3.74e+08,2.7e+08,2.703e+09,3.269e+09,2.546e+09,1.97e+08,7.6e+08,4.21e+08,8.24e+08,3.44e+08,5.815e+09,8.518e+09,6.85e+08,6.73e+08,1.2e+07,1.44e+08,5.56e+08,5.39e+08,1.385e+09,2.873e+09,2.919e+09,1.492e+09,9.2e+07,1.335e+09,5.792e+09,7.177e+09,6.27e+08,-8.6e+08,2.424e+09,-8.5e+08,1.341e+09,-1.13686837721616e-13,1.341e+09,8.518e+09,-8.5e+07,8e+07,1.15e+08,4.7e+07,0,1.57e+08,-1.38e+08,-9.31322574615479e-10,-7e+06,-1.45e+08,-9e+06,-2.5e+07,-2e+06,-3e+06,7e+06,-2.9e+07,-1.7e+07,-1.7e+07,-5e+06,-2.2e+07,-1.09e+08,3.017e+09,-3.1e+08,0.15799,-0.1171,-0.05266,-0.06339,-0.00998,3.64706,1.95162,5.35198,0.35419,-0.54326,-0.53464,10.31559,8.57076,-1.98131,0.05752,5,-0.01044,-0.0426,-0.10588,-20.83486,-12.01587
"9","2012_Q2",34.5847619047619,"Down",1.633e+09,-1.359e+09,2.74e+08,-1.64e+08,-1.26e+08,-2.5e+07,-1.3e+07,0,1.1e+08,9e+06,-4.4e+07,0,5.1e+07,2e+06,1.19e+08,1e+06,1.2e+08,7.3e+07,1.93e+08,0,0,1.93e+08,0,1.93e+08,1.93e+08,7.9e+08,7.27e+08,6.3e+07,9.28e+08,9.28e+08,7.53e+08,3.46e+08,2.42e+08,2.817e+09,3.329e+09,2.677e+09,2.02e+08,7.83e+08,5.62e+08,7.62e+08,3.68e+08,6.006e+09,8.823e+09,7.8e+08,7.58e+08,2.2e+07,1.55e+08,5.36e+08,5.17e+08,1.471e+09,2.875e+09,2.936e+09,1.435e+09,1.38e+08,1.363e+09,5.811e+09,7.282e+09,6.41e+08,-8.8e+08,2.597e+09,-8.17e+08,1.541e+09,0,1.541e+09,8.823e+09,1.93e+08,7.7e+07,-8.6e+07,3.1e+07,0,2.15e+08,-1.27e+08,-2.3e+07,-5e+06,-1.55e+08,-1e+07,2e+06,-1.3e+07,-2e+07,0,-2.1e+07,3.9e+07,3.9e+07,6e+06,4.5e+07,1.87e+08,3.03e+09,1.8e+07,0.16779,0.06736,0.11819,0.12524,0.02187,0.09326,1.91502,4.7255,0.34342,1.23262,1.21296,10.42938,9.84181,0.11496,0.06387,6,0.02704,0.0024,0.05181,11.97861,20.36364
"10","2012_Q3",31.3509523809524,"Down",1.675e+09,-1.34e+09,3.35e+08,-1.56e+08,-1.15e+08,-2.5e+07,-1.3e+07,-3e+06,1.79e+08,1e+08,-4.5e+07,8.4e+07,6.2e+07,-1e+06,2.79e+08,-999999.999999999,2.78e+08,-5.7e+07,2.21e+08,0,0,2.21e+08,0,2.21e+08,2.21e+08,8.6e+08,8e+08,6e+07,9.57e+08,9.57e+08,7.26e+08,3.23e+08,2.17e+08,2.866e+09,3.265e+09,2.648e+09,1.84e+08,7.56e+08,5.62e+08,7.56e+08,3.9e+08,5.913e+09,8.779e+09,7.25e+08,6.88e+08,3.7e+07,1.31e+08,4.84e+08,4.66e+08,1.34e+09,2.845e+09,2.817e+09,1.392e+09,1.3e+08,1.295e+09,5.662e+09,7.002e+09,7.25e+08,-8.88e+08,2.798e+09,-8.58e+08,1.777e+09,-1.81898940354586e-12,1.777e+09,8.779e+09,2.21e+08,7.8e+07,-3.8e+07,-7.5e+07,1e+06,1.87e+08,-9e+07,3.72529029846191e-09,-3.8e+07,-1.28e+08,-9e+06,-3.5e+07,4e+07,-8e+06,2.9e+07,2.5e+07,8.4e+07,8.4e+07,-1.1e+07,7.3e+07,2.57e+08,2.976e+09,1.49e+08,0.2,0.10687,0.13194,0.12437,0.02517,0.67421,2.13881,3.94035,0.33899,1.39729,1.38317,10.59032,11.23522,0.94206,0.0569,5,0.03038,0.01968,0.04072,8.23346,11.82123
