"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",8.00809523809524,"Down",-1830000,-1145000,-685000,-1830000,71000,71000,-1759000,-1759000,-1759000,-1759000,-1759000,-1759000,20607792.9682915,20603606.4551785,1789015.00502347,1789015.00502347,22396807.973315,19540.4047345729,-72806.2464304396,22324001.7268846,4353378.13825312,1058587.66954517,3294790.46870796,7587234.51579914,-0.000247631996431863,5.6430300113056e-07,-0.000247631996431863,7587234.51555151,78354473.511283,-63617706.29995,14736767.211333,14736767.211333,22324001.7268846,-1759000,3000,120000,132000,-1504000,-48000,-1552000,-1552000,-1552000,-1827000,0,3.60910994957346,3.90008598373537,22.9649458898612,7.78176196337541,0,-1.38052,-1.38052,-0.00212196219249705,3.60910994957289,37.3638402427775,37.1890761852557
"2","2011_Q3",8.520625,"Up",-2103000,-1352000,-751000,-2103000,35000,35000,-2068000,-2068000,-2068000,-2068000,-2068000,-2068000,10052896.4841458,10050803.2275893,1107507.50251173,1107507.50251173,11160403.9866575,32270.2023672865,-13903.1232152198,11146500.8634423,2700189.06912656,654793.834772583,2045395.23435398,5374617.25789957,-0.000123815998215931,2.8215150056528e-07,-0.000123815998215931,5374617.25777576,76367736.7556415,-70595853.149975,5771883.60566652,5771883.60566652,11146500.8634423,-2068000,3000,128000,285000,-1652000,0,-1652000,-1652000,-1652000,-2100000,0,0.517614974786729,1.33202799186768,9.37109294493062,4.91941098168771,0,-1.62304,-1.62304,0.0301790189037514,0.517614974786445,18.4173751213887,18.3344830926278
"3","2011_Q4",7.35873015873016,"Down",-1331000,-1033000,-298000,-1331000,19000,19000,-1312000,-1312000,-1312000,-1312000,-1312000,-1312000,5039298.82804859,5038601.07586309,603502.500837245,603502.500837245,5642801.32888583,37756.7341224288,22365.6255949267,5665166.95448076,1713063.02304219,423597.944924194,1289465.07811799,3636539.08596652,-4.12719994053104e-05,9.40505001884266e-08,-4.12719994053104e-05,3636539.08592525,77014912.2518805,-74986284.383325,2028627.86855551,2028627.86855551,5665166.95448076,-1312000,4000,121000,-524000,-1711000,0,-976000,-976000,-976000,-1327000,0,-0.78590167507109,0.0299759972892276,3.06457764831021,2.78596032722924,0,-1.0297,-1.0297,0.609306339634584,-0.785901675071185,7.80873504046292,7.77775103087594
"4","2012_Q1",5.55177419354839,"Down",-1187000,-806000,-381000,-1187000,5000,5000,-1182000,-1641000,-1640000,-1640000,-1640000,-1640000,3858000,3858000,272000,272000,4130000,38000,38000,4168000,1249000,328000,921000,2374000,0,0,0,2374000,79382000,-77588000,1794000,1794000,4168000,-1642000,3000,574000,-569000,-1634000,9.09494701772928e-13,-993000,-993000,-993000,-1184000,0,-0.91416,-0.39347,1.73968,1.3233,0,-1.28713,-1.28713,1.40799,-0.91416,3.25845,3.25021
"5","2012_Q2",3.75333333333333,"Down",-1933000,-889000,-1044000,-1933000,3000,3000,-1930000,-1611000,-1610000,-1610000,-1610000,-1610000,4800000,4800000,108000,108000,4908000,35000,35000,4943000,1165000,331000,834000,1588000,0,0,0,1588000,82555000,-79200000,3355000,3355000,4943000,-1612000,3000,-201000,80000,-1730000,23725.6237832397,942000,942000,942000,-1930000,0,-0.47988,-0.32571,3.09068,0.47332,0,-1.00725,-1.00725,2.09896,-0.47988,2.48705,2.48319
"6","2012_Q3",2.6268253968254,"Down",-1957000,-896000,-1061000,-1957000,2000,2000,-1955000,-1541000,-1541000,-1541000,-1541000,-1541000,4991000,4991000,2e+05,2e+05,5191000,31000,31000,5222000,1296000,381000,915000,1296000,0,0,0,1296000,84667000,-80741000,3926000,3926000,5222000,-1541000,4000,-276000,39000,-1774000,57440.449224767,191000,191000,191000,-1953000,0,-0.39251,-0.2951,4.0054,0.33011,0,-0.77866,-0.77866,1.9838,-0.39251,2.55556,2.55033
"7","2012_Q4",6.50774193548387,"Up",-2301000,-811000,-1490000,-2301000,32000,32000,-2269000,-2269000,-2269000,-2269000,-2269000,-2269000,2722000,2722000,543000,543000,3265000,28000,28000,3293000,1499000,441000,1058000,1499000,-1.35525271560688e-20,0,-1.35525271560688e-20,1499000,84804000,-83010000,1794000,1794000,3293000,-2269000,3000,133000,-140000,-2273000,79092.4627746745,-2269000,-2269000,-2269000,-2298000,0,-1.26477,-0.68904,2.17812,0.83556,0,-0.92991,-0.92991,0.73524,-1.26477,1.18451,1.18296
"8","2013_Q1",6.9695,"Up",-2203000,-883000,-1320000,-2203000,1999.99999999999,1999.99999999999,-2201000,-2101000,-2101000,-2101000,-2101000,-2101000,6202000,6202000,146000,146000,6348000,25000,25000,6373000,1774000,594000,1180000,1774000,0,0,0,1774000,89710000,-85111000,4599000,4599000,6373000,-2101000,3000,122000,672000,-1304000,66629.6508830546,3480000,3480000,3480000,-2200000,0,-0.45684,-0.32967,3.57835,0.38574,0,-0.7066,-0.7066,1.54673,-0.45684,2.81909,2.81525
"9","2013_Q2",8.313125,"Up",-2466000,-914000,-1552000,-2466000,3000,3000,-2463000,-2463000,-2462000,-2462000,-2462000,-2462000,3713000,3713000,123000,123000,3836000,23000,519000,4355000,1630000,533000,1097000,1630000,0,-4.2351647362715e-22,0,1630000,90300000,-87575000,2725000,2725000,4355000,-2464000,8000,90000,-121000,-2487000,-2000,-2489000,-2489000,-2489000,-2458000,0,-0.90349,-0.56533,2.35337,0.59817,0,-0.70353,-0.70353,0.77869,-0.90349,1.51058,1.50568
"10","2013_Q3",7.81375,"Down",-2756000,-1418000,-1338000,-2756000,2000,2000,-2754000,-2754000,-2754000,-2754000,-2754000,-2754000,26877000,26877000,197000,197000,27074000,22000,510000,27584000,1797000,448000,1349000,1797000,0,0,0,1797000,116116000,-90329000,25787000,25787000,27584000,-2754000,11000,490000,93000.0000000001,-2160000,-2000,23164000,23164000,23164000,-2745000,0,-0.1068,-0.09984,15.06622,0.06969,0,-0.50482,-0.50482,4.72684,-0.1068,9.79126,9.75218
