"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",49.9321875,"Up",64510000,-28203000,36307000,-47160000,-29791000,-18156000,-11635000,-17369000,-10853000,-28000,-28000,-10881000,-10881000,-113000,-10994000,-10994000,-10994000,-10994000,261386000,261386000,22981000,22981000,16799000,16799000,301166000,20544000,14841000,2604000,3165000,9072000,35385000,336551000,50860000,8720000,42140000,8707000,8707000,59567000,9751000,9751000,9751000,69318000,430101000,-162868000,267233000,267233000,336551000,-10994000,1705000,5581000,2787000,-921000,-1329000,382528025.726201,-2897000,-4226000,163945000,163945000,-732000,163213000,158066000,158066000,158066000,-9148000,0,-7577000,0.56281,-0.16824,-0.17042,-0.04114,-0.03267,0.68919,5.05592,0.25939,0,-0.45314,-0.45314,2.6589,11.01451,-0.3123,-0.03969,-0.02736,28.57302,24.08422
"2","2016_Q4",37.4715873015873,"Down",71533000,-31285000,40248000,-51524000,-30418000,-15873000,-14545000,-21106000,-11276000,138000,138000,-11138000,-11138000,-116000,-11254000,-11254000,-11254000,-11254000,252225000,252225000,29352000,29352000,18266000,18266000,299843000,25975000,14748000,2560000,3165000,9023000,40723000,340566000,56758000,6217000,50541000,9492000,9492000,66250000,10042000,10042000,10042000,76292000,438396000,-174122000,264274000,264274000,340566000,-11254000,2007000,7860000,705000.000000002,-681999.999999998,-3673000,106762008.5754,-3057000,-6729999.99999999,476999.99999994,477000.00000003,-2226000,-1749000.00000003,-9161000,-9161000,-9161000,-9269000,0,-12121000,0.56265,-0.15763,-0.15733,-0.04258,-0.03304,1.07704,4.52593,0.28869,0,-0.13342,-0.13342,0.84807,3.13314,-0.1437,-0.04103,-0.04419,27.21167,22.3683
"3","2017_Q1",30.2304838709677,"Down",81952000,-34205000,47747000,-60567000,-32120000,-17816000,-14304000,-24587000,-12820000,225000,225000,-12595000,-12595000,-13000,-12608000,-12608000,-12608000,-12608000,305665000,305665000,26203000,26203000,21512000,21512000,353380000,37552000,21762000,10268000,3565000,7929000,59314000,412694000,63482000,4174000,59308000,10222000,10222000,73704000,9543000,9543000,9543000,83247000,516177000,-186730000,329447000,329447000,412694000,-12608000,3023000,9321000,5942000,5678000,-9031000,-8500000,4359000,-13172000,69630000,69632000,-1251000,68379000,60885000,60885000,60885000,-9797000,0,-12873000,0.58262,-0.15643,-0.15385,-0.03827,-0.03055,1.02102,4.79458,0.25269,0,-0.14597,-0.14597,0.94881,3.8142,-0.14904,-0.03719,-0.03797,31.19986,23.84282
"4","2017_Q2",27.3484126984127,"Down",87372000,-37286000,50086000,-64841000,-38319000,-21116000,-17203000,-26522000,-14755000,498000,498000,-14257000,-14257000,30000,-14227000,-14227000,-14227000,-14227000,288526000,118440000,29959000,29959000,23229000,23229000,341714000,40931000,47121000,22756000,16183000,8182000,88052000,429766000,68492000,6233000,62259000,11108000,11108000,79600000,12306000,12306000,12306000,91906000,539007000,-200957000,337860000,337860000,429766000,-14227000,3955000,9251000,3461000,2440000,-4979000,-22621000,-3649000,-202018000,12735000,12735000,-393000,12342000,-187236000,-187236000,-187225000,-10800000,0,-12348000,0.57325,-0.16888,-0.16283,-0.04211,-0.0331,0.86793,4.29289,0.27202,1.0842021724855e-19,-0.16055,-0.16055,0.986,3.81277,-0.13935,-0.04063,-0.03526,26.71537,19.55446
"5","2017_Q3",29.9804761904762,"Up",95870000,-42333000,53537000,-60607000,-30893000,-26153000,-4740000,-29714000,-7070000,471000,471000,-6599000,-6599000,-510000,-7109000,-7109000,-7109000,-7109000,289215000,92184000,37321000,37321000,19108000,19108000,345644000,44083000,48220000,22324000,16950000,8946000,92303000,437947000,54818000,4267000,50551000,12583000,12583000,67401000,12438000,12438000,12438000,79839000,564887000,-208066000,358108000,358108000,437947000,-7109000,4525000,12864000,-16769000,-6489000,-1947000,0,-4351000,-33443000,12823000,12823000,-348000,12475000,-27457000,-27457000,-27426000,-2545000,0,-20751000,0.55843,-0.07375,-0.07415,-0.01985,-0.01623,2.91898,5.12817,0.22295,0,-0.07826,-0.07826,1.05545,3.94249,-0.22845,-0.01919,-0.056,113.64047,40.90736
"6","2017_Q4",28.0665079365079,"Down",100542000,-48254000,52288000,-76319000,-44645000,-25778000,-18867000,-31674000,-24031000,1e+06,1e+06,-23031000,-23031000,-422000,-23453000,-23453000,-23453000,-23453000,283937000,91906000,37258000,37258000,26420000,26420000,347615000,47718000,48215000,21274000,17407000,9534000,95933000,443548000,62400000,7117000,55283000,13599000,13599000,75999000,12549000,12549000,12549000,88548000,584483000,-231519000,3.55e+08,3.55e+08,443548000,-23453000,4926000,14219000,1303000,-3005000,-1893000,0,-4281000,-1504000,4350000,4350000,-165000,4185000,-323999.99999997,-323999.99999997,-278000,-19105000,9.31322574615479e-10,-19273000,0.52006,-0.23901,-0.23327,-0.06606,-0.05288,0.82177,4.57394,0.24943,-8.67361737988404e-19,-0.25442,-0.25442,1.09067,3.85101,-0.20907,-0.06381,-0.05244,14.86192,11.81545
"7","2018_Q1",31.6704918032787,"Up",115236000,-55022000,60214000,-80432000,-46431000,-27622000,-18809000,-32829000,-20218000,1102000,1102000,-19116000,-19116000,197000,-18919000,-18919000,-18919000,-18919000,290873000,115286000,43113000,43113000,19279000,19279000,353265000,50541000,45976000,20064000,17851000,8061000,96517000,449782000,64730000,11116000,53614000,13797000,13797000,78527000,11409000,11409000,11409000,89936000,608259000,-250438000,359846000,359846000,449782000,-18919000,5358000,15565000,1795000,3799000,-719000,0,-4999000,10217000,7637000,7737000,-202000,7435000,21451000,21451000,21437000,-14860000,0,-13981000,0.52253,-0.17545,-0.16418,-0.05258,-0.04206,0.73899,4.49864,0.24993,0,-0.20284,-0.20284,1.23552,3.85815,-0.1499,-0.05096,-0.03766,19.57423,14.38683
"8","2018_Q2",49.535,"Up",129116000,-59582000,69534000,-93791000,-56215000,-32822000,-23393000,-37576000,-24257000,665000,665000,-23592000,-23592000,-137000,-23729000,-23729000,-23729000,-23729000,308008000,117737000,57310000,57310000,16791000,16791000,382109000,53694000,46992000,18981000,18269000,9742000,100686000,482795000,94519000,17924000,76595000,14785000,14785000,109304000,10951000,10951000,10951000,120255000,633555000,-273454000,362540000,362540000,482795000,-23729000,5631000,18125000,16909000,16936000,-1052000,0,-4795000,-20940000,6678000,6678000,-370999.999999998,6307000,2303000,2303000,2450999.99999999,-18626000,1.49011611938477e-08,-2632000,0.53854,-0.18787,-0.18378,-0.06545,-0.04915,0.11092,3.49584,0.3317,0,-0.25064,-0.25064,1.3638,3.82937,-0.0278,-0.06353,-0.00705,16.53645,12.6977
"9","2018_Q3",73.1052380952381,"Up",147754000,-67940000,79814000,-101772000,-61961000,-37749000,-24212000,-39811000,-21958000,-1898000,-1898000,-23856000,-23856000,-150000,-24006000,-24006000,-24006000,-24006000,794646000,493510000,67572000,67572000,21812000,21812000,884030000,56721000,45097000,17108000,17506000,10483000,101818000,985848000,105936000,23765000,82171000,16899000,16899000,122835000,10243000,10243000,433342000,556177000,725169000,-297460000,429671000,429671000,985848000,-24006000,5761000,25387000,-4853000,2289000,-1263000,0,-5163000,-117177000,11511000,11511000,-71517000,489994000,375106000,375106000,375776000,-16197000,423099000,-22163000,0.54018,-0.14861,-0.16247,-0.05587,-0.02435,0.92323,7.19689,1.29443,0.42917,-0.24913,-0.24913,1.53339,4.45913,-0.23001,-0.02782,-0.02568,22.93925,16.9208
"10","2018_Q4",81.2371428571429,"Up",168895000,-77031000,91864000,-116897000,-74557000,-45949000,-28608000,-42340000,-25033000,-1939000,-1939000,-26972000,-26972000,-84000.0000000005,-27056000,-27056000,-27056000,-27056000,745353000,469132000,80159000,80159000,25237000,25237000,850749000,59205000,93843000,29784000,37106000,26953000,153048000,1003797000,106736000,12842000,93894000,18691000,18691000,125427000,15239000,15239000,444017000,569444000,757489000,-324516000,434353000,434353000,1003797000,-27056000,6854000,30502000,-16692000,-6392000,-1113000,-29662000,-5318000,-10285000,8863000,8863000,-1174000,7688999.99999994,-8988000,-8988000,-9700999.99999994,-18179000,428778000,-35900000,0.54391,-0.14822,-0.16019,-0.06229,-0.02695,1.32688,6.78282,1.31102,0.42716,-0.27595,-0.27595,1.72259,4.43004,-0.36615,-0.0308,-0.04087,17.41432,12.64631
