"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",11.8106349206349,"Up",239653000,-189738000,49915000,-25568000,-13157000,-8862000,24347000,-3204000,-3363000,159000,21143000,21143000,-8102000,13041000,13041000,485000,13526000,13526000,-370942620.816271,-392274551.12023,21331930.3039591,-469461267.916266,-469461267.916266,90311709.6141314,-81851680.2503514,-750092179.118405,600213448.261571,55086134.9478599,-70481969.9060917,-94795384.7515833,-826724.378093107,29007435.9262081,192182769.776185,655299583.209431,-94792595.9089743,-627009945.00299,-219231820.781361,-133072714.784161,9273926.3693933,-617775612.249322,2352826742.12573,42877067.0710099,42873878.4178034,2395703809.19674,1777928196.94742,-1954616952.0702,4471274.42974504,71391065.7288782,-1878754611.91157,6033819.05517739,-1872720792.85639,-94792595.9089743,13041000,8862000,4806000,-5276000,21433000,-16424000,-16424000,-2514000,-28086000,-1564000,-1849000,1092000,1092000,688000,-1633000,-8286000,-8286000,-8286000,33209000,0,19611000,0.20828,0.10159,0.05644,-0.0301095360627403,-0.172303203000038,1.44987,3.66360629994492,10.353650184543,4.42481838751552,0.28539,0.28016,5.05648,-42.9786176527789,0.41378,0.033,-0.26093939305775,0.156864750803496,0.11563,86.6333552816962,108.088502618492
"2","2014_Q3",15.15203125,"Up",250043000,-202057000,47986000,-34344000,-18257000,-7804000,13642000,-8586000,-8720000,134000,5056000,5056000,-3523000,1533000,1533000,474000,2007000,2007000,-138057810.408135,-151450775.560115,13392965.1519795,-151133133.958133,-151133133.958133,55479854.8070657,-32698840.1251757,-233711089.559203,306552724.130786,108683067.47393,-10055484.9530458,-24052192.3757916,5002137.81095345,19350717.963104,118437884.888093,415235791.604715,181524702.045513,-206948972.501495,-79398410.3906803,-4982857.39208053,4026963.18469665,-202941806.124661,1106692871.06287,39436033.5355049,39434439.2089017,1146128904.59837,943187098.47371,-869534976.035098,1563637.21487252,104258032.864439,-763713305.955786,2050909.5275887,-761662396.428197,181524702.045513,1533000,7804000,9792000,-3485000,15644000,-16153000,-16153000,-6359000,-59319000,-1602000,99286000,1276000,1276000,-90361000,8599000,-35076000,-35076000,-35076000,21446000,0,5330999.99999999,0.19191,0.05456,0.00803,0.0173652319686298,-0.063171601500019,2.6562,2.41562314997246,5.33778509227151,2.09316419375776,0.04217,0.04038,5.2539,-17.1359088263894,0.11201,0.03366,-0.0945596965288751,0.140902375401748,0.79821,39.7441426408481,49.635191309246
"3","2014_Q4",17.55,"Up",260841000,-209737000,51104000,-35809000,-12956000,-4677000,15295000,-265000,-407000,142000,15030000,15030000,-6659000,8371000,8371000,535000,8906000,8906000,-3836270.13604513,-12417591.8533716,8581321.71732652,37144288.6806224,37144288.6806224,35685284.9356886,-4534280.04172524,68993303.4802658,172076574.710262,129473689.157977,22508505.0156514,14480269.2080695,9288045.93698448,13821905.9877013,69374961.6293642,301550263.868239,370543567.348504,28370342.4995016,-739470.130226769,66023047.5359732,1194321.06156555,29558064.625113,390634957.020955,37752677.8451683,37752146.4029672,428387634.866124,457945699.491237,-215216325.345033,-358787.595042494,128321677.62148,-87253435.3185954,-148696.824137101,-87402132.1427325,370543567.348504,8371000,4677000,4258000,12305000,29611000,-9548000,-9548000,2497000,-12003000,-1587000,0,317000,317000,475000,-795000,16813000,16813000,16813000,19972000,0,29388000,0.19592,0.05864,0.03414,0.0397384106562099,-0.00226720050000635,3.2998,1.80823104999082,2.35983503075717,0.749301397919253,0.18581,0.17946,5.44216,-1.92466627546314,0.61315,0.03311,-0.00225989884295836,0.103940791800583,0.17819,12.7164708802827,15.905357103082
"4","2015_Q1",19.54,"Up",276869000,-221137000,55732000,-36092000,-12525000,-5087000,19640000,-327000.000000001,-485999.999999999,159000,19313000,19313000,-8517000,10796000,10796000,715000,11511000,11511000,56468000,50408000,6060000,130051000,130051000,27123000,8434000,213642000,149708000,130566000,35568000,30269000,12361000,11509000,40859000,280274000,493916000,130322000,33186000,97136000,111000,130433000,68279000,37401000,37401000,105680000,236113000,114315000,-1310000,145846000,258851000,-1048000,257803000,493916000,10796000,5087000,2918000,-608999.999999998,18192000,-11544000,-11568000,-14199000,-73443000,-1544000,64973000,1160000,1160000,1864000.00000001,66453000,11202000,11202000,11202000,24727000,68390000,21091000,0.20129,0.07094,0.04158,0.04465,0.02331,1.83225,1.63794,0.91587,0.13846,0.2391,0.2307,5.75091,5.37666,0.43809,0.03207,0.03591,0.05801,0.13413,0.48215,0.60703
"5","2015_Q2",21.1122222222222,"Up",306529000,-241456000,65073000,-39899000,-14416000,-6517000,25174000,-501000,-667000,166000,24673000,24673000,-9585000,15088000,15088000,82000,15170000,15170000,67601000,62609000,4992000,162267000,162267000,25988000,11998000,255856000,192370000,125068000,37481000,32781000,14551000,11500000,28755000,317438000,573294000,150280000,38819000,105547000,112000,150392000,3251000,37955000,37955000,41206000,191598000,225035000,-1304000,159095000,382826000,-1130000,381696000,573294000,15088000,6517000,6406000,-22151000,5860000,-12719000,-12719000,14973000,-36455000,-1708000,-65027000,114494000,2416000,-4963000,42796000,12201000,12201000,12201000,31691000,3363000,6406000,0.21229,0.08213,0.04949,0.03974,0.02646,0.42228,1.70126,0.50196,0.00587000000000004,0.29679,0.28581,5.99694,7.48962,0.12533,0.03342,0.0399,0.01514,0.11259,-2.02701,-2.55176
"6","2015_Q3",22.089375,"Up",311056000,-248292000,62764000,-40779000,-15335000,-6379000,21985000,-371000,-566000,195000,21614000,21614000,-8379000,13235000,13235000,-45000.0000000001,13190000,13190000,55386000,50635000,4751000,171362000,171362000,29197000,12395000,255945000,243881000,129113000,38580000,32781000,16226000,11500000,30026000,372994000,628939000,143293000,33843000,109450000,501000,143794000,49019000,39213000,39213000,88232000,232026000,228938000,-1294000,170355000,397999000,-1086000,396913000,628939000,13235000,6379000,5600000,-24266000,948000,-16055000,-16055000,1234000,-52972000,-1921000,39909000,944000,944000,1118000,40050000,-11974000,-11974000,-11974000,28364000,49520000,-3578000,0.20178,0.07068,0.0424,0.03323,0.02097,-0.27127,1.77994,0.58458,0.07874,0.24209,0.23328,5.70915,7.30492,-0.06567,0.03526,0.03112,-0.00737,0.14564,-0.20681,-0.26682
"7","2015_Q4",20.30265625,"Down",351086000,-280545000,70541000,-48955000,-17166000,-7289000,21586000,-560000,-802000,242000,21026000,21026000,-7869000,13157000,13157000,314000,13471000,13471000,44569000,40069000,4500000,192016000,192016000,32945000,15417000,269530000,257164000,155809000,47223000,39736000,17716000,10597000,40537000,412973000,682503000,160735000,34699000,126036000,613000,161348000,69209000,40749000,40749000,109958000,271306000,2.32e+08,-1294000,181890000,412596000,-1399000,411197000,682503000,13157000,7289000,7955000,-21909000,6492000,-13526000,-13526000,1242000,-31149000,-1930000,14851000,484000,484000,686000,14091000,-10566000,-10566000,-10566000,28875000,69822000,1309000,0.20092,0.06148,0.03837,0.03276,0.01974,0.09717,1.67049,0.6598,0.1023,0.24631,0.23733,6.41943,7.54411,0.02393,0.03529,0.02952,0.00251,0.14327,0.87456,1.16988
"8","2016_Q1",19.017868852459,"Down",373155000,-297401000,75754000,-51417000,-17246000,-7926000,24337000,-551000,-793000,242000,23786000,23786000,-9349000,14437000,14437000,-836000,13601000,13601000,43573000,41569000,2004000,209026000,209026000,26968000,18827000,279567000,299633000,168559000,45431000,40886000,18646000,20852000,42744000,468192000,747759000,179246000,36029000,143217000,620000,179866000,99051000,41857000,41857000,140908000,320774000,235127000,-1223000,193420000,427324000,-339000,426985000,747759000,14437000,7926000,8565000,-10859000,20069000,-35458000,-35468000,573000,-47962000,-1935000,29850000,580000,580000,898000,29393000,1500000,1500000,1500000,32263000,99671000,-4705000,0.20301,0.06522,0.03645,0.03185,0.01819,-0.34593,1.55431,0.75125,0.13329,0.24791,0.23916,6.80168,7.78905,-0.08576,0.03527,0.02733,-0.00828,0.14227,1.73877,2.30505
"9","2016_Q2",19.3315625,"Up",383234000,-306308000,76926000,-52676000,-17387000,-8298000,24250000,-1136000,-1370000,234000,23114000,15179000,-5889000,9290000,9290000,-118000,9172000,9172000,53373000,51370000,2003000,217171000,217171000,22695000,19441000,293239000,311479000,168963000,44444000,41034000,18896000,20823000,43766000,480442000,773681000,167484000,35695000,131789000,627000,168111000,145642000,49732000,49732000,195374000,363485000,241074000,-31223000,200566000,410417000,-221000,410196000,773681000,9290000,8298000,15957000,-20850000,12695000,-18034000,-18231000,-1580000,-20104000,-2072000,46598000,-26623000,3377000,-693000,17210000,9801000,9801000,9801000,32548000,146269000,-447000,0.20073,0.06328,0.02393,0.02236,0.01186,-0.04874,1.74432,0.88613,0.18906,0.1693,0.16395,7.07389,7.57564,-0.00825,0.03825,0.01855,-0.000740000000000002,0.2259,2.85412,3.83076
"10","2016_Q3",18.41328125,"Down",410516000,-330538000,79978000,-60170000,-19658000,-9771000,19808000,-1167000,-1446000,279000,18641000,18641000,-7278000,11363000,11363000,-37000,11326000,11326000,37022000,33519000,3503000,226623000,226623000,24369000,16496000,288014000,347203000,204858000,44910000,69650000,19246000,20823000,50229000,552061000,840075000,178286000,38085000,140201000,634000,178920000,183722000,53340000,53340000,237062000,415982000,244807000,-31131000,209778000,423454000,639000,424093000,840075000,11363000,9771000,1439000,1560000,24133000,-18038000,-18212000,-5347000,-79753000,-2025000,38086000,838999.999999996,839000,869000,37769000,-17851000,-17851000,-17851000,29579000,184356000,20379000,0.19482,0.04825,0.02759,0.02671,0.01348,1.79931,1.60974,0.98087,0.21945,0.21075,0.20401,7.63867,7.87941,0.3792,0.03768,0.02017,0.03079,0.17879,4.98103,7.43811
