"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",42.8684126984127,"Up",1.9807e+10,-9.398e+09,1.0409e+10,-5.961e+09,-5.961e+09,4.448e+09,-2.64e+08,-2.87e+08,2.3e+07,4.184e+09,4.184e+09,-1.157e+09,3.027e+09,3.307e+09,362133599.195509,3.307e+09,3.307e+09,6.294e+09,6.294e+09,6.239e+09,6.239e+09,7.05e+09,4.934e+09,2.691e+09,2.4517e+10,1.9591e+10,9.4273e+10,3.2686e+10,5.7011e+10,4.576e+09,1.13864e+11,1.38381e+11,1.5191e+10,5.581e+09,9.61e+09,1.2957e+10,2.8674e+10,2.2439e+10,2.0241e+10,1.0917e+10,9.324e+09,4.268e+10,7.1354e+10,1.308e+09,6.3919e+10,4.007e+09,5.9912e+10,-5.5837e+10,5.9287e+10,-1.963e+09,6.6714e+10,3.13e+08,6.7027e+10,1.38381e+11,3.307e+09,7.71e+08,-1.3e+08,9.9e+07,-2.29e+08,6.07e+08,-5.13e+08,-9.6e+07,1.216e+09,4.555e+09,-3.43e+08,2.09e+08,-5.52e+08,-5.52e+08,-1.9e+07,-1.9e+07,-1.6e+07,-3.78e+08,-1.336e+09,-1.576e+09,1.914e+09,-3.49e+09,-4.986e+09,1.09e+08,1.17e+08,-8e+06,-2.803e+09,1.374e+09,1.374e+09,1.39e+08,1.513e+09,5.219e+09,3.5396e+10,6.64e+09,0.52552,0.22457,0.16696,0.04934,0.0239,2.00786,0.85503,1.06456,0.25579,1.06348,1.06348,6.36963,21.03357,2.13532,0.42964,0.03785,0.05413,0.40399,5.57616,6.54272
"2","2010_Q3",42.36453125,"Down",2.1027e+10,-9.736e+09,1.1291e+10,-6.636e+09,-6.636e+09,4.655e+09,-1.71e+08,-2.24e+08,5.3e+07,4.484e+09,4.484e+09,-1.335e+09,3.149e+09,4.659e+09,93071252.9042714,4.659e+09,4.659e+09,4.13e+09,4.13e+09,6.544e+09,6.544e+09,6.864e+09,4.223e+09,3.006e+09,2.1761e+10,1.9646e+10,9.3886e+10,3.2624e+10,5.6979e+10,4.283e+09,1.13532e+11,1.35293e+11,1.5896e+10,5.433e+09,1.0463e+10,7.78e+09,2.3676e+10,2.2309e+10,2.0361e+10,1.1045e+10,9.316e+09,4.267e+10,6.6346e+10,1.301e+09,6.403e+10,4.007e+09,6.0023e+10,-5.7074e+10,6.2616e+10,-2.236e+09,6.8637e+10,3.1e+08,6.8947e+10,1.35293e+11,4.659e+09,7.58e+08,-2.363e+09,1.06e+08,-2.469e+09,2.4e+08,-3.13e+08,1.44e+08,4.09e+08,3.294e+09,2.108e+09,2.83e+09,-7.22e+08,-7.22e+08,-5.1e+07,-5.1e+07,-3.3e+07,2.024e+09,-1.336e+09,-5e+09,-4.816e+09,-1.84e+08,-182999999.999999,-1.205e+09,2.01e+08,-1.406e+09,-7.541e+09,-2.223e+09,-2.223e+09,58999999.9999999,-2.164e+09,5.413e+09,3.0089e+10,9.096e+09,0.53698,0.22138,0.22157,0.06757,0.03444,1.95235,0.91912,0.96228,0.2224,1.49356,1.49356,6.74072,21.5862,2.91595,0.42829,0.05021,0.07618,0.28676,4.79568,5.57658
"3","2010_Q4",44.4371875,"Up",1.9178e+10,-9.225e+09,9.953e+09,-5.985e+09,-5.985e+09,3.968e+09,-2.06e+08,-2.23e+08,1.7e+07,3.762e+09,3.762e+09,-1.177e+09,2.585e+09,2.585e+09,-54223280.1608982,2.585e+09,2.585e+09,4.899e+09,4.899e+09,5.86e+09,5.86e+09,6.75e+09,3.981e+09,2.75e+09,2.149e+10,1.9427e+10,9.2069e+10,3.2201e+10,5.5538e+10,4.33e+09,1.11496e+11,1.32986e+11,1.6234e+10,5.785e+09,1.0449e+10,7.038e+09,2.3272e+10,2.2938e+10,2.0003e+10,1.1407e+10,8.596e+09,4.2941e+10,6.6213e+10,1.284e+09,6.4195e+10,4.007e+09,6.0188e+10,-5.8879e+10,6.3879e+10,-4.049e+09,6.643e+10,3.43e+08,6.6773e+10,1.32986e+11,2.585e+09,7.99e+08,5.83e+08,1.28e+08,4.55e+08,9.43e+08,4.88e+08,-7.5e+07,5.3e+08,4.91e+09,-6.98e+08,8e+06,-7.06e+08,-7.06e+08,5e+06,5e+06,1.7e+07,-6.76e+08,-1.329e+09,-7.5e+07,-5.79e+08,5.04e+08,-7.53e+08,-1.79e+09,2.13e+08,-2.003e+09,-3.194e+09,1.04e+09,1.04e+09,-2.71e+08,7.69e+08,4.767e+09,2.9976e+10,6.189e+09,0.51898,0.2069,0.13479,0.03871,0.01944,2.3942,0.92343,0.99161,0.22541,0.83344,0.83344,6.18326,21.004,1.99542,0.42849,0.03352,0.05301,0.51412,5.26054,6.31981
"4","2011_Q1",44.8074193548387,"Up",1.7555e+10,-8.683e+09,8.872e+09,-6.211e+09,-6.211e+09,2.661e+09,-2.23e+08,-2.12e+08,-1.1e+07,2.438e+09,2.438e+09,-3.48e+08,2.09e+09,2.295e+09,-1.1e+08,2.185e+09,2.185e+09,2.879e+09,2.879e+09,5.335e+09,5.335e+09,6.384e+09,4.184e+09,3.194e+09,1.8782e+10,1.9244e+10,9.0146e+10,3.1636e+10,5.4012e+10,4.498e+09,1.0939e+11,1.28172e+11,1.581e+10,7.251e+09,8.559e+09,8.472e+09,2.4282e+10,2.136e+10,2.1091e+10,1.0902e+10,1.0189e+10,4.2451e+10,6.6733e+10,1.277e+09,6.4355e+10,4.008e+09,6.0347e+10,-6.1309e+10,6.4614e+10,-7.822e+09,6.1115e+10,3.24e+08,6.1439e+10,1.28172e+11,2.295e+09,7.8e+08,-7.5e+07,1.2e+08,-1.95e+08,3.72e+08,3.24e+08,1.13e+08,-6.5e+07,3.372e+09,-1.066e+09,20999999.9999998,-1.087e+09,-1.087e+09,-3.6e+08,-3.6e+08,-1.41e+08,-1.567e+09,-1.457e+09,1.37e+08,1.683e+09,-1.546e+09,-2.624e+09,-2.456e+09,1.31e+08,-2.587e+09,-3.776e+09,-1.971e+09,-1.971e+09,-49000000.0000001,-2.02e+09,3.441e+09,2.9832e+10,3.095e+09,0.50538,0.15158,0.12447,0.03556,0.01705,1.41648,0.77349,1.08617,0.23275,0.71252,0.71252,5.72458,19.51282,1.00926,0.47512,0.03241,0.02754,0.66682,7.8329,10.1289
"5","2011_Q2",46.0992063492063,"Up",2.0122e+10,-9.689e+09,1.0433e+10,-5.932e+09,-5.932e+09,4.501e+09,-2.19e+08,-2.08e+08,-1.1e+07,4.282e+09,4.282e+09,-1.201e+09,3.081e+09,3.081e+09,-104508906.613034,3.081e+09,3.081e+09,2.603e+09,2.603e+09,6.082e+09,6.082e+09,7.277e+09,4.534e+09,3.566e+09,2.0496e+10,1.9877e+10,9.3319e+10,3.2369e+10,5.6171e+10,4.779e+09,1.13196e+11,1.33692e+11,1.6128e+10,6.716e+09,9.412e+09,1.1512e+10,2.764e+10,2.1464e+10,2.1387e+10,1.0709e+10,1.0678e+10,4.2851e+10,7.0491e+10,1.26e+09,6.4494e+10,4.008e+09,6.0486e+10,-6.4174e+10,6.6282e+10,-5.007e+09,6.2855e+10,3.46e+08,6.3201e+10,1.33692e+11,3.081e+09,6.89e+08,4e+06,8.7e+07,-8.3e+07,-1.322e+09,-4.34e+08,-6.04e+08,-2.84e+08,2.452e+09,-5.05e+08,1.4e+07,-5.19e+08,-5.19e+08,-3.98e+08,-3.98e+08,-2.5e+07,-9.28e+08,-1.422e+09,2.395e+09,2.412e+09,-1.7e+07,-1.8e+07,-2.874e+09,1.36e+08,-3.01e+09,-1.901e+09,-3.77e+08,-3.77e+08,1.01e+08,-2.76e+08,5.19e+09,3.2976e+10,4.564e+09,0.51849,0.22369,0.15312,0.04875,0.02305,1.48134,0.74153,1.11535,0.24666,1.01831,1.01831,6.65058,20.35795,1.50846,0.46999,0.0383,0.03882,0.46154,5.85222,6.74806
"6","2011_Q3",45.06609375,"Down",2.1347e+10,-1.0287e+10,1.106e+10,-6.8e+09,-6.8e+09,4.26e+09,-1.31e+08,-2.09e+08,7.8e+07,4.129e+09,4.129e+09,-7.28e+08,3.401e+09,3.401e+09,-6.8e+07,3.333e+09,3.333e+09,3.249e+09,3.249e+09,6.551e+09,6.551e+09,7.423e+09,4.607e+09,3.644e+09,2.183e+10,1.9952e+10,9.2491e+10,3.2251e+10,5.576e+10,4.48e+09,1.12443e+11,1.34273e+11,1.6083e+10,6.267e+09,9.816e+09,1.1158e+10,2.7241e+10,2.1317e+10,2.1002e+10,1.0867e+10,1.0135e+10,4.2319e+10,6.956e+10,1.253e+09,6.4638e+10,4.008e+09,6.063e+10,-6.4383e+10,6.8212e+10,-5.356e+09,6.4364e+10,3.49e+08,6.4713e+10,1.34273e+11,3.401e+09,7.11e+08,2.48e+08,9.3e+07,1.55e+08,-1.436e+09,-4.97e+08,-1.75e+08,-7.64e+08,2.924e+09,-7.29e+08,7999999.99999997,-7.37e+08,-7.37e+08,-3.7e+07,-3.7e+07,1.53e+08,-6.13e+08,-1.412e+09,-7.1e+07,-1.464e+09,1.393e+09,-1.42e+08,-1.91e+08,3.27e+08,-5.18e+08,-1.674e+09,6.37e+08,6.37e+08,9e+06,6.46e+08,4.971e+09,3.2475e+10,3.534e+09,0.51811,0.19956,0.15613,0.0515,0.02482,1.06031,0.80137,1.0749,0.24186,1.11085,1.11085,7.11472,21.0342,1.17784,0.4706,0.04015,0.0299,0.42364,5.8793,6.86056
"7","2011_Q4",46.5793650793651,"Up",1.9184e+10,-9.351e+09,9.833e+09,-6.278e+09,-6.278e+09,3.555e+09,-9.8e+07,-2.02e+08,1.04e+08,3.457e+09,3.457e+09,-7.09e+08,2.748e+09,2.906e+09,-3.3e+07,2.873e+09,2.873e+09,2.946e+09,2.946e+09,6.264e+09,6.264e+09,7.619e+09,4.985e+09,3.886e+09,2.1814e+10,2.0521e+10,9.4203e+10,3.2598e+10,5.703e+10,4.575e+09,1.14724e+11,1.36538e+11,1.6454e+10,6.458e+09,9.996e+09,9.721e+09,2.6175e+10,2.1699e+10,2.1232e+10,1.0923e+10,1.0309e+10,4.2931e+10,6.9106e+10,1.241e+09,6.4833e+10,4.008e+09,6.0825e+10,-6.5202e+10,6.9692e+10,-3.495e+09,6.7069e+10,3.63e+08,6.7432e+10,1.36538e+11,2.906e+09,7.03e+08,7.5e+07,1.15e+08,-4e+07,3.92e+08,4.36e+08,-3.8e+07,-6e+06,4.076e+09,-7.43e+08,6.7e+07,-8.1e+08,-8.1e+08,-5.4e+07,-5.4e+07,-3.1e+07,-8.28e+08,-1.403e+09,-1.396e+09,-1.368e+09,-2.8e+07,-2.8e+07,-7.8e+08,2.28e+08,-1.008e+09,-3.579e+09,-3.31e+08,-3.31e+08,2.8e+07,-3.03e+08,4.258e+09,3.142e+10,4.616e+09,0.51256,0.18531,0.14976,0.04261,0.02104,1.60668,0.83339,1.02483,0.23012,0.95789,0.95789,6.39616,21.94779,1.53903,0.46778,0.03561,0.03844,0.48834,6.68718,8.00956
"8","2012_Q1",48.1498387096774,"Up",2.0451e+10,-1.0532e+10,9.919e+09,-6.74e+09,-6.74e+09,3.179e+09,-5e+07,-1.5e+08,1e+08,3.129e+09,3.129e+09,-6.61e+08,2.468e+09,2.539e+09,-2.9e+07,2.51e+09,2.51e+09,2.768e+09,2.768e+09,6.275e+09,6.275e+09,7.379e+09,5.548e+09,4.408e+09,2.197e+10,2.1293e+10,9.5091e+10,3.262e+10,5.7562e+10,4.909e+09,1.16384e+11,1.38354e+11,1.7312e+10,8.022e+09,9.29e+09,9.981e+09,2.7293e+10,2.2033e+10,2.1027e+10,1.107e+10,9.957e+09,4.306e+10,7.0353e+10,1.234e+09,6.5056e+10,4.008e+09,6.1048e+10,-6.7278e+10,7.0682e+10,-2.054e+09,6.764e+10,3.61e+08,6.8001e+10,1.38354e+11,2.539e+09,7.35e+08,2.8e+07,1.19e+08,-9.1e+07,5.76e+08,68999999.9999999,3.16e+08,1.91e+08,3.878e+09,-1.104e+09,1.36e+08,-1.24e+09,-1.24e+09,1.5e+07,1.5e+07,-2.4e+07,-1.113e+09,-1.53e+09,5.53e+08,5.71e+08,-1.8e+07,-17999999.9999999,-1.991e+09,5.12e+08,-2.503e+09,-2.968e+09,-2.03e+08,-2.03e+08,2.5e+07,-1.78e+08,3.914e+09,3.2014e+10,4.047e+09,0.48501,0.15544,0.12273,0.03691,0.01814,1.61235,0.80497,1.03459,0.23139,0.84163,0.84163,6.85746,22.26671,1.35701,0.51303,0.03338,0.03343,0.60956,7.47215,9.19975
"9","2012_Q2",46.9533333333333,"Down",2.153e+10,-1.0806e+10,1.0724e+10,-6.474e+09,-6.474e+09,4.25e+09,-2.06e+08,-2.07e+08,1e+06,4.044e+09,4.044e+09,-1.045e+09,2.999e+09,3.057e+09,-3.3e+07,3.024e+09,3.024e+09,3.582e+09,3.582e+09,6.584e+09,6.584e+09,8.001e+09,4.958e+09,3.91e+09,2.3125e+10,2.0765e+10,9.2727e+10,3.1858e+10,5.6079e+10,4.79e+09,1.13492e+11,1.36617e+11,1.6492e+10,7.29e+09,9.202e+09,1.1476e+10,2.7968e+10,2.2372e+10,2.0643e+10,1.107e+10,9.573e+09,4.3015e+10,7.0983e+10,1.221e+09,6.5186e+10,4.008e+09,6.1178e+10,-6.8383e+10,7.2215e+10,-4.995e+09,6.5244e+10,3.9e+08,6.5634e+10,1.36617e+11,3.057e+09,7.43e+08,2.46e+08,8e+07,1.66e+08,-1.879e+09,-6.39e+08,-9.27e+08,-3.13e+08,2.167e+09,-8.28e+08,5e+06,-8.33e+08,-8.33e+08,-6e+06,-6e+06,-2.5e+07,-8.59e+08,-1.503e+09,2.192e+09,1.217e+09,9.75e+08,-1.013e+09,-1.108e+09,1.53e+08,-1.261e+09,-4.19e+08,8.89e+08,8.89e+08,-7.5e+07,8.14e+08,4.993e+09,3.3848e+10,3.331e+09,0.4981,0.1974,0.14046,0.04607,0.02213,1.10152,0.82684,1.0815,0.24776,1.02655,1.02655,7.30871,21.73365,1.13076,0.51022,0.03769,0.02773,0.49702,6.06169,7.12141
"10","2012_Q3",49.2153968253968,"Up",2.1744e+10,-1.0852e+10,1.0892e+10,-6.658e+09,-6.658e+09,4.234e+09,-3.1e+07,-2.01e+08,1.7e+08,4.203e+09,2.649e+09,-9.77e+08,1.672e+09,1.713e+09,-2.3e+07,1.69e+09,1.69e+09,4.414e+09,4.414e+09,6.905e+09,6.905e+09,7.444e+09,4.888e+09,3.792e+09,2.3651e+10,2.0372e+10,9.0288e+10,3.1325e+10,5.4307e+10,4.656e+09,1.1066e+11,1.34311e+11,1.5674e+10,6.735e+09,8.939e+09,1.4118e+10,2.9792e+10,1.927e+10,2.0349e+10,1.1133e+10,9.216e+09,3.9619e+10,6.9411e+10,1.217e+09,6.5528e+10,4.008e+09,6.152e+10,-6.8481e+10,7.2407e+10,-6.374e+09,6.4297e+10,6.03e+08,6.49e+10,1.34311e+11,1.713e+09,7.13e+08,1.378e+09,8.8e+07,1.29e+09,-4.76e+08,-4.4e+08,4.3e+08,-4.66e+08,3.328e+09,-7.14e+08,2.33e+08,-9.47e+08,-9.47e+08,8e+06,8e+06,9.6e+07,-6.1e+08,-1.51e+09,-3e+08,1.199e+09,-1.499e+09,-1.501e+09,-67000000.0000001,4.36e+08,-5.03e+08,-1.877e+09,8.41e+08,8.41e+08,-9e+06,8.32e+08,4.947e+09,3.3388e+10,4.734e+09,0.50092,0.19472,0.07772,0.02604,0.01258,2.80118,0.79387,1.06951,0.24859,0.57294,0.57294,7.3716,21.38523,1.60491,0.51192,0.02697,0.0399,0.89349,5.85688,6.84317
