"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",121.767936507937,"Up",567961000,-285925000,282036000,-90895000,-68007000,-22888000,191141000,4218000,0,-696000,-734000,195359000,195359000,-23014000,172345000,172345000,172345000,172345000,714174000,420886000,293288000,295120000,295120000,172119000,223120000,200524000,109000,1404533000,1030219000,732960000,286515000,150031000,271414000,2068981000,3473514000,233228000,76029000,15729000,141470000,26355000,62891000,62891000,322474000,136129000,170900000,170900000,307029000,629503000,1674592000,1173708000,-4289000,2844011000,2844011000,3473514000,31273000,31273000,-105976000,-149781000,-6607000,-262364000,-714000,1568000,1961000,-229130000,-229130000,-14483000,-243613000,162484000,0.49658,0.33654,0.30345,0.0606,0.04962,4.35549,0.22134,0.04678,2.03947,2.00187,6.72103,33.65494,75.1832851727104,0.05424,-2.8863
"2","2010_Q3",133.22265625,"Up",587854000,-303660000,284194000,-103721000,-80885000,-22836000,180473000,-35000,-6000,-2625000,-439000,180438000,180438000,-21395000,159043000,159043000,159043000,159043000,796475000,510482000,285993000,361677000,361677000,194308000,263410000,244053000,109000,1615870000,1094877000,756551000,286515000,157778000,287258000,2015445000,3631315000,280709000,68268000,28552000,183889000,24465000,20045000,20045000,325219000,114168000,181289000,181289000,295457000,620676000,1694693000,1332750000,-16804000,3010639000,3010639000,3631315000,76327000,76327000,-133530000,145636000,26509000,38615000.0000001,-13290000,-1570000,-12258000,102684000,102684000,-13088000,89596000.0000001,138633000,0.48344,0.307,0.27055,0.05283,0.0438,4.96856,0.20616,0.03818,1.87436,1.84075,6.92799,35.48106,38.2310854254456,0.04775,-3.6451
"3","2010_Q4",135.93015625,"Up",797899000,-476007000,321892000,-110254000,-88782000,-21472000,211638000,1277000,0,-1001000,-380000,212915000,212915000,-36046000,176869000,176869000,176869000,176869000,833416000,621216000,212200000,464624000,464624000,184006000,132795000,132430000,109000,1614841000,1244598000,1178786000,433288000,257683000,462815000,2586930000,4201771000,371579000,71135000,17612000,282832000,26639000,59560000,59560000,457778000,223756000,220498000,220498000,444254000,902032000,1820354000,1509619000,-30234000,3299739000,3299739000,4201771000,248077000,248077000,-137641000,73642000,-20000,-360515000,99564000,102355000,204966000,92528000,92528000,18206000,110734000,250395000,0.40342,0.26524,0.22167,0.0536,0.04209,3.52756,0.27336,0.05959,2.07905,2.04213,9.3791,38.7876,15.5866570345421,0.04691,-2.7548
"4","2011_Q1",151.065161290323,"Up",609801000,-313077000,296724000,-131073000,-103472000,-27601000,165651000,7714000,-9.09494701772928e-13,854000,3826000,173365000,173365000,-17421000,155944000,155944000,155944000,155944000,933578000,765689000,167889000,307019000,307019000,200442000,143421000,143033000,-36224996.8476317,1584460000,1430789000,1184883000,433288000,259236000,492359000,2795943000,4380403000,343414000,82312000,16831000,244271000,26587000,99676000,99676000,469677000,210804000,246095000,246095000,456899000,926576000,1815506000,1665564000,-27243000,3453827000,3453827000,4380403000,349815000,349815000,-211767000,25337000,13000.0000000037,-157821000,-13439000,-33402000,-44218000,147776000,147776000,-3302999.99999999,144473000,237391000,0.48659,0.27165,0.25573,0.04515,0.0356,3.37351,0.26828,0.05419,1.83173,1.79533,7.16275,40.56883,4,0.03961,-4.20273
"5","2011_Q2",129.740634920635,"Down",567293000,-307628000,259665000,-130282000,-98931000,-31351000,129383000,3624000,0,950000,-349000,133007000,133007000,-17039000,115968000,115968000,115968000,115968000,555510000,355725000,199785000,373277000,373277000,287236000,178232000,177831000,0,1394255000,1549529000,1332755000,458808000,265591000,608356000,3039726000,4433981000,356502000,99398000,28148000,228956000,28169000,85218000,85218000,469889000,103531000,295830000,295830000,399361000,869250000,1834600000,1781532000,-51401000,3564731000,3564731000,4433981000,-43813000,-43813000,-168990000,-10589000,-62732000,-263416000,-113900000,-114000,-111273000,-418502000,-418502000,8538000,-409964000,131700000,0.45773,0.22807,0.20442,0.03253,0.02615,2.9672,0.24385,0.0297,1.35915,1.33215,6.64869,41.77876,0.221114321819305,0.02905,-3.27562
"6","2011_Q3",102.04203125,"Down",532774000,-337976000,194798000,-130268000,-97166000,-33102000,64530000,7427000,0,1659000,2351000,71957000,71957000,-10819000,61138000,61138000,61138000,61138000,464443000,357477000,106966000,605654000,605654000,356651000,409483000,260514000,145379000,1836231000,1727993000,1324012000,458808000,268243000,596961000,3103001000,4939232000,468618000,189875000,36493000,242250000,28334000,94917000,94917000,591869000,332492000,333333000,333333000,665825000,1257694000,1878515000,1842670000,-39647000,3681538000,3681538000,4939232000,-203022000,-203022000,-220976000,198545000,-23130000,-45560999.9999999,2.24e+08,19487000,248397000,-186000.000000119,-186000.000000119,1938000,1752000,360826000,0.36563,0.12112,0.11475,0.01661,0.01238,3.10243,0.34162,0.07305,0.70952,0.70172,6.18297,42.72512,1,0.01397,-1.60572
"7","2011_Q4",46.2673015873016,"Down",1005788000,-626624000,379164000,-156421000,-118257000,-38164000,222743000,22000,0,-1857000,-1346000,222765000,222765000,-26251000,196514000,196514000,196514000,196514000,762910000,678560000,84350000,807619000,807619000,476174000,383765000,352049000,136672711.524742,2430468000,1840295000,1420690000,458808000,278772000,683110000,3292844000,5723312000,476306000,170904000,33411000,271991000,25597000,245098000,245098000,747001000,582744000,367783000,367783000,950527000,1697528000,1965926000,2039183000,20675000,4025784000,4025784000,5723312000,202638000,202638000,-223895000,41192000,-10483000,-193186000,256478000,64358000,321178000,330630000,330630000,-9547000,321083000,608341000,0.37698,0.22146,0.19538,0.04881,0.03434,3.25363,0.42166,0.10629,2.27589,2.25487,11.64835,46.62386,3,0.03929,-0.69393
"8","2012_Q1",35.6556451612903,"Down",660352000,-522228000,138124000,-623444000,-131807000,-37906000,-485320000,3878000,-1e+05,243000,9000,-481442000,-481442000,68329000,-413113000,-413113000,-413113000,-413113000,671765000,605619000,66146000,843967000,843967000,529651000,567878000,329032000,197702000,2613261000,1815958000,1232203000,65444000,340274000,826485000,3164353000,5777614000,592648000,176448000,9541000,406659000,44505000,336571000,294646000,973724000,619143000,540884000,540884000,1160027000,2133751000,2022829000,1626071000,-5037000.00000001,3643863000,3643863000,5777614000,10734000,10733999.9999999,-117321000,-67775000,10802000,-174294000,69734000,42849000,112916000,-50643999.9999999,-50643999.9999999,-22297000,-72941000,663648000,0.20917,-0.73494,-0.6256,-0.11337,-0.0715,2.68378,0.58557,0.11487,-4.77974,-4.98099,7.64031,42.1597,3,-0.08521,0.01673
"9","2012_Q2",16.6507936507937,"Down",497055000,-420310000,76745000,-533027000,-95878000,-36084000,-456282000,-204000,-920000,-984000,-1211000,-456486000,-456486000,7070000,-449416000,-449416000,-449416000,-449416000,663587000,610480000,53107000,867525000,867525000,705566000,685075000,189600000,416419000,2921753000,1540953000,1224675000,65444000,343174000,816057000,2851759000,5773512000,668528000,218216000,15979000,434333000,58238000,444267000,266684000,1171033000,806070000,587413000,587413000,1393483000,2564516000,2043233000,1176655000,-10892000,3208996000,3208996000,5773512000,-16136000,-16136000,-124490000,43421000,-98814000,-182320000,186852000,8926000,195778000,-2678000,-2678000,7539000,4861000,864308000,0.1544,-0.91797,-0.90416,-0.14005,-0.07784,2.49502,0.79916,0.1497,-5.19514,-5.19514,5.74584,37.09522,2,-0.09643,-0.43991
"10","2012_Q3",19.2473015873016,"Up",957332000,-713591000,243741000,-104082000,-52717000,-32365000,139659000,-4312000,-7372000,1015000,-1334000,135347000,135347000,-24364000,110983000,110983000,110983000,110983000,743693000,630240000,113453000,579840000,579840000,733395000,428869000,136868000,211094000,2485797000,1567367000,1434170000,65444000,341012000,1027714000,3001537000,5487334000,680546000,194554000,9175000,476817000,47768000,233951000,38532999.9999999,962265000,471083000,692547000,692547000,1163630000,2125895000,2079278000,1287638000,-5477000,3361439000,3361439000,5487334000,428471000,428471000,-157482000,25500000,12999000,-118983000,-332148000,50464000,-281684000,27804000,27804000,-8044000,19760000,518851000,0.2546,0.14588,0.11593,0.03302,0.02023,2.58328,0.63244,0.09455,1.2778,1.26616,11.02219,38.70173,5,0.02427,-1.60994
