"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q2",1484.21079365079,"Down",-1182961,-864780,-253538,-613365,13096,10697,-600269,-595600,-595600,-595600,-595600,-595600,12803919,305809,12498110,1555594,15163222,2374275,4282,2619415,17782637,609985,609985,943318,1165541,98944696,-82316726,16617096,16617096,17782637,-595600,-4669,-318926,-832370,-12508984,-12504315,13538860,202175,202175,202175,0,-0.03584,-0.03349,16.07435,0.07014,0,-54.43807,-54.43807,1518.80892,-0.03537,20.87488
"2","2014_Q3",1450.5065625,"Down",-1727250,-1413655,-248951,-515502,20507,19010,-494995,-494995,-494995,-494995,-494995,-510788,11847072,402282,11444790,1594572,15239417,2309632,4282,2534253,17773670,638215,638215,971548,1110437,99494296,-82827514,16663233,16663233,17773670,-494995,533905,-1088146,-962414,1076340,1074680,-15793.0000000019,96473,96473,96473,0,-0.03065,-0.02874,15.68571,0.06664,0,-40.00782,-40.00782,1305.15924,-0.02946,22.98162
"3","2014_Q4",1229.67359375,"Down",-1433936,-1185407,-183887,-1142767,18447,19469,-1124320,-1124320,-1124320,-1124320,-1124320,-1124320,10849507,642515,10206992,1602012,14312949,2244989,4282,2469704,16782653,666055,666055,999388,1054944,99691096,-83951834,15727709,15727709,16782653,-1124320,200560,-126590,-962474,1226034,1202707,0,240233,240233,240233,0,-0.07149,-0.06699,14.32171,0.06708,0,-87.52199,-87.52199,1224.31364,-0.07123,9.49407
"4","2015_Q1",1429.07737704918,"Up",-2111916,-1817341,-229932,-932487,20235,20442,-912252,-912252,-912252,-912252,-912252,-912252,9720802,455841,9264961,1279525,13059733,3389656,1213591,3591139,16650872,1538430,1538430,1843986,1843986,99691096,-84864086,14806886,14806886,16650872,-912252,-9599,-292695,-1126671,939998,939997,0,-186674,-186674,-186674,0,-0.06161,-0.05479,7.08234,0.12454,0,-70.61028,-70.61028,1146.08499,-0.06161,10.4246
"5","2015_Q2",1709.5619047619,"Up",-1643903,-1273686,-305574,-1360197,38398,32048,-1321799,-1321799,-1321799,-1321799,-1321799,-1321799,8394553,336243,8058310,1310238,11808942,3320970,1209548,3551256,15360198,928876,928876,1151098,1151098,100388396,-86185885,14209100,14209100,15360198,-1321799,1801,-2327,-1241976,1226208,1117023,5355,-119598,-119598,-119598,0,-0.09302,-0.08605,10.25885,0.08101,0,-98.94288,-98.94288,1063.61807,-0.09302,6.17157
"6","2015_Q3",1362.81,"Down",-2742938,-2300070,-378225,-2117041,30812,37121,-2086229,-2086229,-2086229,-2086229,-2086229,-2086229,6677360,261234,6416126,482514,9883781,3186164,1139385,3400511,13284292,1164979,1164979,1164979,1164979,100388396,-88272114,12119313,12119313,13284292,-2086229,856412,-572573,-1721808,1645559,1646144,654.999999999985,-75009,-75009,-75009,-1.05879118406788e-22,-0.17214,-0.15704,8.48409,0.09613,2.01948391736579e-28,-155.58421,-155.58421,903.81913,-0.17214,3.1541
"7","2015_Q4",892.7759375,"Down",-1006456,-622167,-319646,-1014935,18518,20478,-996417,-2326893,-2326893,-2326893,-2326893,-2326893,5622597,393372,5229225,570350,8257337,2583031,1067371,2797185,11054522,1256293,1256293,1256293,1256293,100388396,-90599007,9798229,9798229,11054522,-2326893,474640,735009,-1036663,1184546,1168801,0,132138,132138,132138,0,-0.23748,-0.21049,6.57278,0.12822,0,-173.53215,-173.53215,730.7202,-0.23748,5.53986
"8","2016_Q1",596.278360655738,"Down",-2823106,-2376879,-403450,-2559972,13245,12809,-2546727,-3846336,-3576992,-3576992,-3576992,-3576992,4427163,402059,4025104,313056,6481068,1539696,66812.9999999999,1790841,8271909,1668731,1668731,1668731,1668731,100785408,-94175999,6603178,6603178,8271909,-3576992,1692391,694222,-1131896,1193238,1140541,42,8687,8687,8687,0,-0.54171,-0.43243,3.88383,0.25272,3.23117426778526e-27,-266.60399,-266.60399,492.15475,-0.54171,1.72938
"9","2016_Q2",708.39203125,"Up",-2054953,-1648884,-363292,-1516958,8029,10285,-1508929,-1508929,-1508929,-1508929,-1508929,-1508929,2622857,180390,2442467,219350,4836063,1496919,66813,1818134,6654197,1543173,1543173,1543173,1543173,100793649,-95684928,5111024,5111024,6654197,-1508929,17454,-284859,-1719855,1581958,1498186,0,-221669,-221669,-221669,0,-0.29523,-0.22676,3.13384,0.30193,0,-106.72088,-106.72088,361.48352,-0.29523,1.72902
"10","2016_Q3",1221.39359375,"Up",-1694441,-1329676,-321988,-1014802,5870,8431,-1008932,-1008932,-1008932,-1008932,-1008932,-1008932,1927560,379531,1548029,238307,3925634,1454142,66813,1758397,5684031,1565702,1565702,1565702,1565702,100848374,-96693860,4118329,4118329,5684031,-1008932,164153,91465,-695887,892718,895028,0,199141,199141,199141,2.71050543121376e-20,-0.24499,-0.1775,2.50727,0.38018,5.16987882845642e-26,-71.32883,-71.32883,291.155,-0.24499,1.89944
"11","2016_Q4",983.643333333333,"Down",-1374846,-1084491,-247578,-998348,8893,5265,-989455,310154,310154,310154,310154,310154,795802,195860,599942,155875,3632353,1902000,557448,2147553,5779906,1309406,1249733,1309406,1309406,100886637,-96383706,4470500,4470500,5779906,310154,-1250302,-285799,-1117907,940797,934236,0,-183671,-183671,-183671,0,0.06938,0.05366,2.77405,0.2929,0,21.89879,21.89879,315.64487,0.06938,0.79712
"12","2017_Q1",517.625806451613,"Down",-1381829,-1083042,-256010,-1098136,2305,-2282,-1095831,-1095831,-1095831,-1095831,-1095831,-1095831,122701,72700,50001,223951,2984444,1841271,539496,2100663,5085107,1697430,1463363,1697430,1697430,100891786,-97479537,3387677,3387677,5085107,-1095831,43665,348451,-639499,551617,516339,-1.16415321826935e-10,-123160,-123160,-123160,4.33680868994202e-19,-0.32348,-0.2155,1.75821,0.50106,-8.27180612553028e-25,-77.37283,-77.37283,239.19212,-0.32348,0.11174
"13","2017_Q2",572.786666666667,"Up",-1770682,-1379463,-348442,-1362153,12883,2537,-1349270,-1349270,-1349270,-1349270,-1349270,-1349270,2242557,2085082,157475,135871,5065221,1782354,523356,2040579,7105800,1359187,1263304,1359187,1359187,104594633,-98828807,5746613,5746613,7105800,-1349270,18439,-291550,-1561663,-106992,-123766,3697811,2012382,2012382,2012382,0,-0.23479,-0.18988,3.72665,0.23652,0,-74.02589,-74.02589,315.2802,-0.23479,1.64633
"14","2017_Q3",392.00253968254,"Down",-1602932,-1246320,-313835,-820662,2653,3632,-818009,-818009,-818009,-818009,-818009,-818009,1208800,197175,1011625,160616,4525789,1713156,496935,1973912,6499701,1535552,1501641,1535552,1535552,104624119,-99646816,4964149,4964149,6499701,-818009,76571.9999999999,-350794,-1031568,-852622,-873039,16700,-1887907,-1887907,-1887907,0,-0.16478,-0.12585,2.94734,0.30933,6.61744490042422e-24,-35.29436,-35.29436,214.18649,-0.16478,1.47296
