"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",21.3871875,"Down",3355782,-5192167,-1836385,-2425732,-2199883,-225849,-4262117,-4262117,-4262117,-18984,-4281101,-4281101,-4281101,-4281101,104603738.724002,51503253.7224801,104922896.539219,516557794.732923,136539643.476765,136539643.476765,653097438.209687,758020334.748907,4696130.88384262,4696130.88384262,112822780.339112,112822780.339112,117518911.222954,104441263.74029,104441263.74029,104441263.74029,221960174.963245,29064366.7375976,538545887.547911,-31550090.8582234,536060163.427285,536060159.785662,758020334.748907,0,-0.54723,-1.27008,-1.27574,240.123825395526,166.240245968973,0.960519892754909,0.318259815909268,0,-2.32038,-2.32038,1.81885,290.547520802911,200.681086314858,146143.698647681
"2","2011_Q1",20.758064516129,"Down",-3353863,5187890,1834027,2421286,2195588,225698,4255313,4255313,4255313,22595,4277908,4277908,4277908,4277908,21733,11729,21845,98029,24823,24823,122852,144697,913,913,22288,22288,23201,19383,19383,19383,42584,5471,103016,-6374,102113,102113,144697,0,-0.54684,-1.26878,-1.27552,41.89386,29.56459,0.94155,0.41703,0,2.31865,2.31865,-1.81781,0.05535,35.21028,-0.00511
"3","2011_Q2",18.984126984127,"Down",2286,-2097,189,-271,-203,-68,-82,-82,-82,-5,-87,-87,-87,-87,-21727400.9080007,-10694496.4074934,-21793674.6797398,-107297380.660974,-28364784.9922549,-28364784.9922549,-135662165.653229,-157455840.332969,-975556.044614207,-975556.044614207,-23435392.7797039,-23435392.7797039,-24410948.8243181,-21694586.2467635,-21694586.2467635,-21694586.2467635,-46105535.0710816,-6037141.5791992,-111864757.932637,6551593.03607446,-111350306.475762,-111350305.261887,-157455840.332969,0,0.08268,-0.03587,-0.03806,-15.8742409651754,-10.5786078229911,0.937573369081697,0.435612561363577,0,-5e-05,-5e-05,0.00124,-60.3524686009703,-13.1216429382859,-30387.1660442269
"4","2011_Q3",16.18390625,"Down",1253,-819.999999999534,433,-1297,-1228.00000000023,-69,-864.000000000466,-864.000000000466,-863.999999999534,-7.9999999999709,-871.999999999534,-871.999999999534,-872.000000000466,-872.000000000466,21070.0000000149,11081,21125,97220,25385.0000000298,25385.0000000298,122605.000000119,143730.000000119,900,900,21822.0000000149,21822.0000000149,22721.9999999851,19567,19567,19567,42289,5471,102057,-6087,101441.000000119,101441,143730.000000119,0,0.34557,-0.68955,-0.69593,-0.00859999999999417,-0.00607000000000468,0.92972,0.41688,0,-0.000470000000000309,-0.000470000000000309,0.000680000000000106,0.0549800000000247,-0.00720999999997218,24.3865700000006
"5","2011_Q4",16.1301587301587,"Down",998,-812,186,-902,-832,-70,-716,-716,-716,29,-687,-687,-687,-687,19688000,9699000,19748000,97234000,25695000,25695000,122929000,142677000,884000,884000,21236000,21236000,22120000,19659000,19659000,19659000,41779000,5471000,101370000,-5943000,100898000,100898000,142677000,0,0.18637,-0.71743,-0.68838,-1e-05,0,0.89277,0.41407,0,-0.00037,-0.00037,0.00054,54.68726,-1e-05,27497.2067
"6","2012_Q1",16.8387096774194,"Up",5488463,-4539271,949192,-5817530,-5541737,-275793,-4868338,-4868338,-4868338,-1933016,-6801354,-6801354,-6801354,-6801354,19415,14419,19415,96441.9999999851,16924.9999999963,16924.9999999963,113367,132782,1406,1406,22563.9999999925,22563.9999999925,23970,18275.0000000037,18275.0000000037,18275.0000000037,42245,5471,96213,-11147,90537,90537,132782,0,0.17294,-0.88701,-1.23921,-75.12237,-51.22196,0.80997,0.4666,0,-3.68637,-3.68637,2.97478,0.0490700000000004,-62.50555,0.00399000000106753
"7","2012_Q2",17.4422222222222,"Up",1121,-999,122,-953,-882,-71,-831,-831,-831,-4,-835,-835,-835,-835,17666,12668,17736,96555,17248,17248,113803,131539,1061,1061,22240,22240,23301,18377,18377,18377,41678,5471,95378,-10988,89861,89861,131539,0,0.10883,-0.7413,-0.74487,-0.00929,-0.00635,0.76117,0.46381,0,-0.00045,-0.00045,0.00061,0.04871,-0.00771,21.25872
"8","2012_Q3",16.968253968254,"Down",1282,-844,438,-846,-775.000000000931,-71,-408,-408,-408,-1,-409.000000001863,-409.000000001863,-409,-409,16628.0000000009,16628,16706,96571,17638,17638,114209,130915,711.000000000029,711.000000000029,22115.0000000009,22115.0000000009,22826,18479,18479,18479,41305,5470.99999999977,94968.9999999963,-10830,89610,89610,130915,0,0.34165,-0.31825,-0.31903,-0.00455999999999788,-0.00311999999999794,0.73188,0.46094,0,-0.000219999999999825,-0.000219999999999825,0.000690000000000524,0.0485699999999982,-0.00377999999999601,40.7549000000001
"9","2012_Q4",17.6927419354839,"Up",1276,-1389,-113,-521,-449,-72,-634,-634,-634,-1,-635,-635,-635,-635,16193,16193,16274,96027,17956,17956,113983,130257,782,782,21761,21761,22543,18580,18580,18580,41123,5471,94334,-10671,89134,89134,130257,0,-0.08856,-0.49687,-0.49765,-0.00712,-0.00487,0.72191,0.46136,0,-0.00034,-0.00034,0.00069,0.04831,-0.0059,25.54101
"10","2013_Q1",17.1956666666667,"Down",5136321,-4248768,887553,-665680,-379894,-285786,221873,221873,221873,-637994,-416121,-416121,-416121,-416121,14270000,14270000,14270000,95535000,17084000,17084000,112619000,126889000,557000,557000,17222000,17222000,17779000,18933000,18933000,18933000,36712000,5471000,95795000,-11089000,90177000,90177000,126889000,0,0.1728,0.0432000000000001,-0.08102,-0.00460999999999999,-0.00327999999999935,0.80263,0.40711,0,-0.22554,-0.22554,2.78391,48.87642,-0.00381000000000007,-64.3160699999999
