"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",89.4603174603175,"Down",1.496e+09,-1.136e+09,3.6e+08,-1.59e+08,-1.59e+08,2.01e+08,-2.4e+07,1.77e+08,1.69e+08,-5.3e+07,1.16e+08,1.16e+08,-2e+06,1.14e+08,1.14e+08,3.65e+08,3.59e+08,9.09e+08,9.09e+08,8.66e+08,3e+07,3e+07,2.17e+09,2.161e+09,1.417e+09,4.76e+08,1e+07,1.37e+08,3.578e+09,5.748e+09,7.49e+08,7.49e+08,1.33e+08,8.82e+08,1.53e+09,4.49e+08,2.02e+08,2.47e+08,1.979e+09,2.861e+09,1.129e+09,-6.15e+08,3.426e+09,-1.106e+09,2.834e+09,5.3e+07,2.887e+09,5.748e+09,1.16e+08,5.3e+07,1.8e+07,1.5e+07,2.02e+08,-6.5e+07,-6.5e+07,-6.9e+07,-4.6e+07,2.4e+07,-1.63e+08,-3e+07,-3e+07,-1.2e+07,-4.2e+07,2.54e+08,1.663e+09,2.57e+08,0.24064,0.13436,0.0762,0.03949,0.01983,2.25439,2.46032,0.99099,0.28932,1.58554,1.56593,20.80668,39.41586,3.57441,0.63978,0.03201,0.05141,0.40351,5.11024,6.45771
"35","2018_Q4",88.2033333333333,"Down",1.45e+09,-1.116e+09,3.34e+08,-1.45e+08,-1.45e+08,1.89e+08,-2.3e+07,1.66e+08,1.32e+08,-3.4e+07,9.8e+07,9.8e+07,-3e+06,9.5e+07,9.5e+07,4.37e+08,4.31e+08,8.65e+08,8.65e+08,8.52e+08,3.6e+07,3.6e+07,2.19e+09,2.146e+09,1.415e+09,4.68e+08,1.1e+07,1.44e+08,3.561e+09,5.751e+09,7.64e+08,7.64e+08,1.11e+08,8.75e+08,1.559e+09,4.28e+08,1.95e+08,2.33e+08,1.987e+09,2.862e+09,1.132e+09,-6.5e+08,3.484e+09,-1.131e+09,2.835e+09,5.4e+07,2.889e+09,5.751e+09,9.8e+07,8.1e+07,-1e+06,4.9e+07,2.27e+08,-7.4e+07,-7.4e+07,-7.5e+07,-4.5e+07,7e+06,-7.3e+07,7.9e+07,7.9e+07,-7e+06,7.2e+07,2.7e+08,1.67e+09,2.79e+08,0.23034,0.13034,0.06552,0.03288,0.01652,2.93684,2.50286,0.99065,0.29038,1.33427,1.32497,20.36517,39.81742,3.91854,0.63202,0.02807,0.05595,0.47368,4.56667,6.52381
"36","2019_Q1",83.8470491803279,"Down",1.874e+09,-1.554e+09,3.2e+08,-1.53e+08,-1.53e+08,1.67e+08,-1e+07,1.57e+08,1.38e+08,-4.1e+07,9.7e+07,9.7e+07,-3e+06,9.4e+07,9.4e+07,3.34e+08,3.27e+08,9.51e+08,9.51e+08,8.24e+08,2.9e+07,2.9e+07,2.138e+09,2.198e+09,1.392e+09,4.6e+08,1e+07,1.31e+08,3.59e+09,5.728e+09,7.77e+08,7.77e+08,1.69e+08,9.46e+08,1.931e+09,4.06e+08,1.89e+08,2.17e+08,2.337e+09,3.283e+09,1.097e+09,-1.091e+09,3.536e+09,-1.154e+09,2.388e+09,5.7e+07,2.445e+09,5.728e+09,9.7e+07,5.9e+07,-1.5e+07,-1.7e+07,1.24e+08,-1.16e+08,-1.16e+08,-1.31e+08,-4.5e+07,4.3e+08,-9.2e+07,-9.9e+07,-9.9e+07,-5e+06,-1.04e+08,2.26e+08,2.1e+09,1.34e+08,0.17076,0.08911,0.05016,0.03845,0.01641,1.42553,2.26004,1.34274,0.36662,1.3783,1.36035,27.47801,35.01466,1.96481,0.65982,0.02808,0.02707,0.47872,7.81416,10.57485
"37","2019_Q2",76.8084126984127,"Down",1.42e+09,-1.104e+09,3.16e+08,-1.51e+08,-1.51e+08,1.65e+08,-2.2e+07,1.43e+08,1.39e+08,-3.7e+07,1.02e+08,1.02e+08,-2e+06,1e+08,1e+08,2.59e+08,2.55e+08,1.013e+09,1.013e+09,8.62e+08,3.6e+07,3.6e+07,2.17e+09,2.208e+09,1.554e+09,4.53e+08,1.1e+07,2.75e+08,3.762e+09,5.932e+09,7.48e+08,7.48e+08,1.53e+08,9.01e+08,1.957e+09,5.09e+08,1.93e+08,3.16e+08,2.466e+09,3.367e+09,1.138e+09,-1.05e+09,3.594e+09,-1.16e+09,2.522e+09,4.3e+07,2.565e+09,5.932e+09,1.02e+08,5.1e+07,3.5e+07,-1.7e+08,1.8e+07,-8e+07,-8e+07,-1.18e+08,-4.2e+07,8e+06,2.8e+07,-7.2e+07,-7.2e+07,-1891342.61743077,-7.2e+07,2.16e+08,2.11e+09,3e+06,0.22254,0.1162,0.07042,0.03899,0.01686,0.03,2.40844,1.31267,0.3557,1.49701,1.48368,21.25749,37.75449,0.04491,0.62874,0.02739,0.000580000000000001,0.42,8.56944,11.21818
"38","2019_Q3",71.4325,"Down",1.434e+09,-1.105e+09,3.29e+08,-1.52e+08,-1.52e+08,1.77e+08,-1.6e+07,1.61e+08,1.52e+08,-4.5e+07,1.07e+08,1.07e+08,-2e+06,1.05e+08,1.05e+08,3.01e+08,2.97e+08,1.015e+09,1.015e+09,8.65e+08,3.4e+07,3.4e+07,2.215e+09,2.232e+09,1.551e+09,4.51e+08,1e+07,2.89e+08,3.783e+09,5.998e+09,7.87e+08,7.87e+08,1.07e+08,8.94e+08,1.946e+09,5.21e+08,1.99e+08,3.22e+08,2.467e+09,3.361e+09,1.139e+09,-1.047e+09,3.656e+09,-1.152e+09,2.596e+09,4.1e+07,2.637e+09,5.998e+09,1.07e+08,5.2e+07,2.7e+07,4.9e+07,2.35e+08,-7.6e+07,-7.6e+07,-8.7e+07,-4.5e+07,-5.9e+07,-1.03e+08,4.5e+07,4.5e+07,-3e+06,4.2e+07,2.29e+08,2.053e+09,2.47e+08,0.22943,0.12343,0.07322,0.03982,0.01751,2.35238,2.47763,1.27455,0.34228,1.56716,1.55786,21.40299,38.74627,3.68657,0.67164,0.02879,0.0474,0.42857,7.65066,9.89831
"39","2019_Q4",76.2034375,"Up",1.806e+09,-1.462e+09,3.44e+08,-1.51e+08,-1.51e+08,1.93e+08,-2.5e+07,1.68e+08,1.4e+08,-3.8e+07,1.02e+08,1.02e+08,-3e+06,9.9e+07,9.9e+07,4.46e+08,4.43e+08,9.81e+08,9.81e+08,8.79e+08,3.6e+07,3.6e+07,2.342e+09,2.226e+09,1.527e+09,4.42e+08,1.1e+07,2.79e+08,3.753e+09,6.095e+09,8.76e+08,8.76e+08,8.1e+07,9.57e+08,2.001e+09,4.97e+08,1.85e+08,3.12e+08,2.498e+09,3.455e+09,1.138e+09,-1.044e+09,3.713e+09,-1.214e+09,2.593e+09,4.7e+07,2.64e+09,6.095e+09,1.02e+08,5.5e+07,1.4e+07,6.6e+07,2.37e+08,-7.5e+07,-7.5e+07,-7.3e+07,-4.4e+07,3.2e+07,-1.1e+07,1.53e+08,1.53e+08,-7e+06,1.46e+08,2.48e+08,2.082e+09,2.77e+08,0.19048,0.10687,0.05482,0.0375,0.01624,2.79798,2.44723,1.30871,0.34159,1.47982,1.46884,26.99552,38.75934,4.14051,0.6577,0.0274,0.05308,0.44444,6.59677,8.47668
"40","2020_Q1",78.443064516129,"Up",1.549e+09,-1.226e+09,3.23e+08,-1.37e+08,-1.37e+08,1.86e+08,-1.9e+07,1.67e+08,1.51e+08,-3.8e+07,1.13e+08,1.13e+08,-4e+06,1.09e+08,1.09e+08,2.68e+08,2.64e+08,9.77e+08,9.77e+08,8.61e+08,5.4e+07,5.4e+07,2.16e+09,2.306e+09,1.574e+09,4.37e+08,1.3e+07,3.23e+08,3.88e+09,6.04e+09,8.85e+08,8.85e+08,8.2e+07,9.67e+08,1.766e+09,5.35e+08,1.95e+08,3.4e+08,2.301e+09,3.268e+09,1.138e+09,-1.04e+09,3.78e+09,-1.158e+09,2.72e+09,5.2e+07,2.772e+09,6.04e+09,1.13e+08,6.2e+07,1.7e+07,-2e+06,1.9e+08,-9.7e+07,-9.7e+07,-9.6e+07,-4.3e+07,-2.37e+08,-2.78e+08,-1.84e+08,-1.84e+08,5e+06,-1.79e+08,2.48e+08,1.848e+09,1.87e+08,0.20852,0.12008,0.07037,0.03932,0.01805,1.7156,2.23371,1.17893,0.30596,1.6293,1.61721,23.15396,40.6577,2.79522,0.64275,0.02949,0.03628,0.3945,6.37097,8.49462
"41","2020_Q2",75.3393650793651,"Down",1.543e+09,-1.22e+09,3.23e+08,-1.54e+08,-1.54e+08,1.69e+08,-1.9e+07,1.5e+08,1.36e+08,-5.8e+07,7.8e+07,7.8e+07,-3e+06,7.5e+07,7.5e+07,2.8e+08,2.78e+08,9.96e+08,9.96e+08,8.57e+08,5.5e+07,5.5e+07,2.188e+09,2.208e+09,1.556e+09,4.27e+08,1.6e+07,3.26e+08,3.764e+09,5.952e+09,8.6e+08,8.6e+08,7.7e+07,9.37e+08,1.871e+09,4.94e+08,1.74e+08,3.2e+08,2.365e+09,3.302e+09,1.143e+09,-1.028e+09,3.813e+09,-1.322e+09,2.606e+09,4.4e+07,2.65e+09,5.952e+09,7.8e+07,5.4e+07,2.6e+07,-9.3e+07,6.5e+07,-9.8e+07,-9.8e+07,-9.6e+07,-4.2e+07,1.02e+08,6.2e+07,3.1e+07,3.1e+07,-1.7e+07,1.4e+07,2.23e+08,1.948e+09,9e+07,0.20933,0.10953,0.04861,0.0283,0.0126,1.2,2.33511,1.24604,0.32728,1.11773,1.10619,22.99553,38.83756,1.34128,0.62593,0.02298,0.01767,0.56,7.47982,9.86982
"42","2020_Q3",75.34546875,"Up",1.349e+09,-1.078e+09,2.71e+08,-1.47e+08,-1.47e+08,1.24e+08,-1.9e+07,1.05e+08,9.4e+07,-2.7e+07,6.7e+07,6.7e+07,-1e+06,6.6e+07,6.6e+07,1.048e+09,1.047e+09,8.61e+08,8.61e+08,8.59e+08,5.2e+07,5.2e+07,2.82e+09,2.231e+09,1.56e+09,4.21e+08,1.7e+07,3.31e+08,3.791e+09,6.611e+09,8.12e+08,8.12e+08,4.7e+08,1.282e+09,2.14e+09,4.96e+08,1.72e+08,3.24e+08,2.636e+09,3.918e+09,1.144e+09,-1.027e+09,3.836e+09,-1.307e+09,2.646e+09,4.7e+07,2.693e+09,6.611e+09,6.7e+07,5.2e+07,2.3e+07,8.7e+07,2.29e+08,-7.7e+07,-7.7e+07,-8.2e+07,-4.5e+07,6.75e+08,6.21e+08,7.68e+08,7.68e+08,1e+06,7.69e+08,1.76e+08,2.61e+09,2.13e+08,0.20089,0.09192,0.04893,0.02451,0.00998,3.22727,2.19969,1.45488,0.3948,0.98068,0.97633,20.04458,39.31649,3.16493,0.66865,0.01914,0.03673,0.68182,8.875,12.59677
"43","2020_Q4",72.1465625,"Down",1.502e+09,-1.176e+09,3.26e+08,-1.55e+08,-1.55e+08,1.71e+08,-2.2e+07,1.49e+08,1.33e+08,-4e+07,9.3e+07,9.3e+07,-1e+06,9.2e+07,9.2e+07,5.53e+08,5.53e+08,9.13e+08,9.13e+08,9.08e+08,5.6e+07,5.6e+07,2.43e+09,2.354e+09,1.68e+09,4.79e+08,2.3e+07,3.37e+08,4.034e+09,6.464e+09,8.93e+08,8.93e+08,6.2e+07,9.55e+08,2.115e+09,5.23e+08,1.89e+08,3.34e+08,2.638e+09,3.593e+09,1.146e+09,-1.027e+09,3.884e+09,-1.259e+09,2.744e+09,1.27e+08,2.871e+09,6.464e+09,9.3e+07,5.2e+07,3.8e+07,8.5e+07,2.68e+08,-7.5e+07,-7.5e+07,-2.82e+08,-4.5e+07,-4.36e+08,-4.81e+08,-4.95e+08,-4.95e+08,1e+06,-4.94e+08,2.23e+08,2.177e+09,2.73e+08,0.21704,0.11385,0.06125,0.03204,0.01423,2.96739,2.5445,1.25148,0.33679,1.36905,1.36499,22.35119,40.83333,4.0625,0.66964,0.02459,0.049,0.48913,7.28251,9.49708
