"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.2749206349206,"Up",6.635e+09,-6.106e+09,5.29e+08,-2.15e+08,-2.15e+08,3.14e+08,-7.8e+07,-7.7e+07,-1e+06,2.36e+08,2.36e+08,-7.7e+07,1.59e+08,1.59e+08,1e+06,1.6e+08,1.6e+08,2799226932.21807,2799226932.21807,978802011.024529,978802011.024529,2196645358.99819,126357008.332104,126357014.777998,6101031310.57289,3488529227.77717,3291463732.68974,160692218.687216,2134048905.5108,996722608.491728,6779992960.46691,12881024271.0398,1549863764.9682,1549863764.9682,-2289549119.09235,1453152451.14123,1453152451.14123,713467097.017072,5692073810.54828,1391740036.52908,161342925.329178,1230397111.19991,7083813847.07736,7797280944.09443,2161903356.22393,2122903356.26207,-318169602.211998,3759570577.9339,-578232856.67672,5025071475.26911,58671851.6762512,5083743326.94536,12881024271.0398,1.59e+08,1.23e+08,8e+06,2.57e+08,5.47e+08,-1.13e+08,-1e+06,1.8e+07,-9.6e+07,-1.5e+07,-6.7e+07,-1.7e+07,-1.7e+07,3e+06,-9.6e+07,3.55e+08,3.55e+08,5e+06,3.6e+08,4.37e+08,0,6.58e+08,0.07973,0.04732,0.02411,0.410118434973258,0.198041967665243,4.1125,3.95166116190431,1.51859862271323,0.275645359905859,0.42895,0.4244,17.7882,-284.811772462992,1.76408,0.04021,0.248007324630067,0.839290999335422,0.09375,-12.9599625650129,-22.2691146713322
"2","2010_Q3",13.82609375,"Down",6.916e+09,-6.352e+09,5.64e+08,-2.2e+08,-2.2e+08,3.44e+08,-9.5e+07,-9.6e+07,1e+06,2.49e+08,2.49e+08,-9.3e+07,1.56e+08,1.56e+08,3e+06,1.59e+08,1.59e+08,1283742310.73936,1283742310.73936,1182934003.67484,1182934003.67484,2090548452.9994,157119002.777368,157119004.925999,4714343770.19096,3572843075.92572,2704487910.89658,166897406.229072,1988349635.17027,549240869.497243,6277330986.8223,10991674757.0133,1083954588.32273,1083954588.32273,-727849706.364118,1201050817.04708,1201050817.04708,1557155699.00569,3557691270.18276,955580012.176362,232780975.109726,722799037.066636,4513271282.35912,6070426981.36481,2235634452.07464,2196634452.08736,-249056534.070666,3056856859.3113,-203744285.558907,4839690491.75637,81557283.8920837,4921247775.64845,10991674757.0133,1.56e+08,1.24e+08,4e+07,-3.81e+08,-61000000.0000002,-1.51e+08,-3e+06,2.3e+07,-1.31e+08,-1.5e+07,-4.73e+08,-1.4e+07,-1.4e+07,1.52e+08,-3.5e+08,-5.42e+08,-5.42e+08,-1e+07,-5.52e+08,4.68e+08,0,2.9e+07,0.08155,0.04974,0.02299,0.152112811657753,0.0731039892217476,0.182389999999998,2.66383372063477,1.22443287423774,0.259958453301953,0.42627,0.42175,18.54155,-64.5621174876641,0.0777500000000002,0.04021,0.0925757748766889,0.319766999778474,0.09434,-1.53270752167096,-3.64370155711074
"3","2010_Q4",13.37453125,"Down",7.438e+09,-6.686e+09,7.52e+08,-2.45e+08,-2.45e+08,5.07e+08,-1.12e+08,-9.8e+07,-1.4e+07,3.95e+08,3.95e+08,-1.53e+08,2.42e+08,2.42e+08,6e+06,2.48e+08,2.48e+08,8.34e+08,8.34e+08,1.229e+09,1.229e+09,2.132e+09,1.69e+08,1.69e+08,4.364e+09,3.631e+09,2.472e+09,1.68e+08,1.916e+09,3.88e+08,6.103e+09,1.0467e+10,9.96e+08,9.96e+08,9.3e+07,1.073e+09,1.073e+09,2.162e+09,2.489e+09,7.97e+08,2.84e+08,5.13e+08,3.286e+09,5.448e+09,2.271e+09,2.232e+09,-2.26e+08,2.916e+09,-3.7e+07,4.924e+09,9.5e+07,5.019e+09,1.0467e+10,2.42e+08,1.25e+08,6.4e+07,1.66e+08,5.97e+08,-1.4e+08,-1e+06,4e+06,-1.37e+08,-1.4e+07,-4.36e+08,-1.1e+07,-1.1e+07,1.7e+07,-4.44e+08,1.6e+07,1.6e+07,6e+06,2.2e+07,6.32e+08,2.582e+09,8.11e+08,0.1011,0.06816,0.03334,0.04941,0.02369,3.27016,2.0185,1.08548,0.24668,0.66488,0.64752,19.94102,13.20107,2.17426,0.03753,0.0312,0.09657,0.05645,2.76582,3.44773
"4","2011_Q1",15.0412903225806,"Up",7.441e+09,-6.772e+09,6.69e+08,-2.49e+08,-2.49e+08,4.2e+08,-6.8e+07,-6.2e+07,-6e+06,3.52e+08,3.23e+08,-1.15e+08,2.08e+08,2.08e+08,5e+06,2.13e+08,2.13e+08,9.78e+08,9.78e+08,1.198e+09,1.198e+09,2.274e+09,1.68e+08,1.68e+08,4.618e+09,3.674e+09,2.46e+09,1.66e+08,1.893e+09,4.01e+08,6.134e+09,1.0752e+10,1.11e+09,1.11e+09,4.01e+08,1.034e+09,1.034e+09,2.545e+09,2.135e+09,8.07e+08,3.21e+08,4.86e+08,2.942e+09,5.487e+09,2.282e+09,2.243e+09,-2.29e+08,3.113e+09,0,5.166e+09,9.9e+07,5.265e+09,1.0752e+10,2.08e+08,1.25e+08,4.7e+07,-3.1e+07,3.49e+08,-1.46e+08,999999.999999996,9e+06,-1.36e+08,-1.5e+07,-58000000.0000001,-6e+06,-6e+06,1e+07,-6.9e+07,1.44e+08,1.44e+08,-1.86264514923096e-09,1.44e+08,5.45e+08,2.536e+09,4.83e+08,0.08991,0.05644,0.02863,0.04046,0.01981,2.26761,1.81454,1.04217,0.23586,0.57105,0.56201,19.94906,13.84987,1.29491,0.04021,0.02649,0.05611,0.07042,2.85872,3.70952
"5","2011_Q2",15.6106349206349,"Up",7.615e+09,-6.871e+09,7.44e+08,-2.46e+08,-2.46e+08,4.98e+08,-5.3e+07,-6.3e+07,1e+07,4.45e+08,4.45e+08,-1.51e+08,2.94e+08,2.94e+08,4e+06,2.98e+08,2.98e+08,1.122e+09,1.122e+09,1.18e+09,1.18e+09,2.489e+09,1.62e+08,1.62e+08,4.953e+09,3.714e+09,2.523e+09,1.63e+08,1.894e+09,4.66e+08,6.237e+09,1.119e+10,1.212e+09,1.212e+09,4.24e+08,1.009e+09,1.009e+09,2.645e+09,2.124e+09,8.74e+08,3.54e+08,5.2e+08,2.998e+09,5.643e+09,2.284e+09,2.245e+09,-2.26e+08,3.395e+09,-8e+06,5.445e+09,1.02e+08,5.547e+09,1.119e+10,2.94e+08,1.28e+08,5.9e+07,-1.1e+08,3.71e+08,-1.58e+08,-7.9e+07,2.3e+07,-2.14e+08,-1.5e+07,-1e+06,-7e+06,-7e+06,1e+07,-1.3e+07,1.44e+08,1.44e+08,0,1.44e+08,6.26e+08,2.548e+09,5.09e+08,0.0977,0.0654,0.03913,0.05372,0.02663,1.70805,1.87259,1.01731,0.2277,0.79679,0.78628,20.36096,14.55882,1.36096,0.04011,0.0349,0.05675,0.05034,2.27796,2.86345
"6","2011_Q3",14.54796875,"Down",8e+09,-7.467e+09,5.33e+08,-2.3e+08,-2.3e+08,3.03e+08,-6.2e+07,-6e+07,-2e+06,2.41e+08,2.41e+08,-8.5e+07,1.56e+08,1.56e+08,3e+06,1.59e+08,1.59e+08,7.94e+08,7.94e+08,1.256e+09,1.256e+09,2.73e+09,1.57e+08,1.57e+08,4.937e+09,3.762e+09,2.527e+09,1.61e+08,1.895e+09,4.71e+08,6.289e+09,1.1226e+10,1.126e+09,1.126e+09,3.9e+08,9.63e+08,9.63e+08,2.479e+09,2.105e+09,8.89e+08,3.89e+08,5e+08,2.994e+09,5.473e+09,2.291e+09,2.252e+09,-1.97e+08,3.538e+09,1.7e+07,5.649e+09,1.04e+08,5.753e+09,1.1226e+10,1.56e+08,1.28e+08,4.1e+07,-4.93e+08,-1.68e+08,-1.61e+08,-1e+06,5.3e+07,-1.09e+08,-1.5e+07,-6.4e+07,-1.4e+07,-1.4e+07,3.5e+07,-5.8e+07,-3.35e+08,-3.35e+08,7e+06,-3.28e+08,4.31e+08,2.495e+09,-1.38e+08,0.06662,0.03788,0.01988,0.02764,0.01416,-0.86792,1.99153,0.95133,0.22225,2.27143,0.41514,114.28571,80.7,-1.97143,0.21429,0.01904,-0.0151,0.09434,3.94664,5.61386
"7","2011_Q4",16.2201587301587,"Up",8.247e+09,-7.716e+09,5.31e+08,-2.19e+08,-2.19e+08,3.12e+08,-4.9e+07,-5.6e+07,7e+06,2.63e+08,2.63e+08,-7.5e+07,1.88e+08,1.88e+08,8e+06,1.96e+08,1.96e+08,9.81e+08,9.81e+08,1.334e+09,1.334e+09,2.711e+09,1.46e+08,1.46e+08,5.172e+09,3.802e+09,2.514e+09,1.58e+08,1.895e+09,4.61e+08,6.316e+09,1.1488e+10,1.193e+09,1.193e+09,3.62e+08,1.206e+09,1.206e+09,2.761e+09,2.094e+09,8.5e+08,3.93e+08,4.57e+08,2.944e+09,5.705e+09,2.296e+09,2.257e+09,-2.76e+08,3.719e+09,1.3e+07,5.752e+09,3.1e+07,5.783e+09,1.1488e+10,1.88e+08,1.28e+08,-1.5e+07,1.82e+08,4.83e+08,-1.5e+08,1e+06,1e+06,-1.48e+08,-1.5e+07,-4.9e+07,-8.9e+07,-8.9e+07,7e+06,-1.46e+08,1.89e+08,1.89e+08,-2e+06,1.87e+08,4.4e+08,2.456e+09,5.47e+08,0.06439,0.03783,0.02377,0.03389,0.01706,2.79082,1.87323,0.98651,0.21379,2.8,0.51042,117.81429,82.17143,7.81429,0.21429,0.02321,0.06018,0.07653,3.35227,4.72756
"8","2012_Q1",16.2111290322581,"Down",8.17e+09,-7.783e+09,3.87e+08,-2.11e+08,-2.11e+08,1.76e+08,-4.7e+07,-5.2e+07,5e+06,1.29e+08,1.29e+08,-2.9e+07,1e+08,9.5e+07,2e+06,9.7e+07,9.7e+07,7.16e+08,7.16e+08,1.321e+09,1.321e+09,2.587e+09,1.56e+08,1.56e+08,4.78e+09,3.823e+09,2.468e+09,1.49e+08,1.892e+09,4.27e+08,6.291e+09,1.1071e+10,1.264e+09,1.264e+09,7e+07,1.04e+09,1.04e+09,2.374e+09,2.112e+09,9e+08,4.24e+08,4.76e+08,3.012e+09,5.386e+09,2.3e+09,2.261e+09,-3.65e+08,3.801e+09,-7.9e+07,5.657e+09,2.8e+07,5.685e+09,1.1071e+10,9.5e+07,1.22e+08,6.8e+07,7.5e+07,3.6e+08,-1.74e+08,-999999.999999998,2e+06,-1.73e+08,-1.4e+07,-2.71e+08,-9.7e+07,-9.7e+07,-5.9e+07,-4.41e+08,-2.54e+08,-2.54e+08,-1.1e+07,-2.65e+08,2.98e+08,2.182e+09,2.28e+08,0.04737,0.02154,0.01187,0.01706,0.00876,2.35052,2.01348,0.94741,0.19709,0.0991799999999996,0.25936,8.35377999999999,5.78425,0.23313,0.01431,0.01266,0.02601,0.14433,4.91946,8.32955
"9","2012_Q2",15.7236507936508,"Down",8.329e+09,-7.836e+09,4.93e+08,-2.15e+08,-2.15e+08,2.78e+08,-3.5e+07,-4.7e+07,1.2e+07,2.43e+08,2.43e+08,-8.7e+07,1.56e+08,1.56e+08,0,1.56e+08,1.56e+08,8.57e+08,8.57e+08,1.281e+09,1.281e+09,2.598e+09,1.22e+08,1.22e+08,4.858e+09,3.888e+09,2.481e+09,1.45e+08,1.891e+09,4.45e+08,6.369e+09,1.1227e+10,1.358e+09,1.358e+09,8.4e+07,9.32e+08,9.32e+08,2.374e+09,2.131e+09,9.13e+08,4.2e+08,4.93e+08,3.044e+09,5.418e+09,2.298e+09,2.259e+09,-3.85e+08,3.943e+09,-7.5e+07,5.781e+09,2.8e+07,5.809e+09,1.1227e+10,1.56e+08,1.22e+08,5.1e+07,9e+06,3.38e+08,-1.82e+08,3e+06,3e+06,-1.76e+08,-1.5e+07,2e+07,-5e+07,-5e+07,2.2e+07,-2.3e+07,1.39e+08,1.39e+08,2e+06,1.41e+08,4e+08,2.215e+09,3.14e+08,0.05919,0.03338,0.01873,0.02685,0.0139,2.01282,2.04634,0.93269,0.19729,0.42507,0.41489,22.69482,15.75204,0.85559,0.04087,0.01913,0.03513,0.09615,3.395,4.88489
"10","2012_Q3",13.3249206349206,"Down",8.268e+09,-7.733e+09,5.35e+08,-2.33e+08,-2.33e+08,3.02e+08,-4.5e+07,-4.7e+07,2e+06,2.57e+08,2.57e+08,-9.1e+07,1.66e+08,1.66e+08,1.16415321826935e-10,1.66e+08,1.66e+08,7.23e+08,7.23e+08,1.253e+09,1.253e+09,2.622e+09,1.52e+08,1.52e+08,4.75e+09,3.943e+09,2.477e+09,1.43e+08,1.892e+09,4.42e+08,6.42e+09,1.117e+10,1.191e+09,1.191e+09,8.4e+07,8.95e+08,8.95e+08,2.17e+09,2.136e+09,9.29e+08,4.33e+08,4.96e+08,3.065e+09,5.235e+09,2.305e+09,2.266e+09,-4.53e+08,4.094e+09,-4e+07,5.906e+09,2.9e+07,5.935e+09,1.117e+10,1.66e+08,1.23e+08,4.3e+07,-2.16e+08,1.16e+08,-1.62e+08,-1.5e+07,1.4e+07,-1.63e+08,-1.4e+07,-5e+06,-7.8e+07,-7.8e+07,7e+06,-9e+07,-1.37e+08,-1.37e+08,3e+06,-1.34e+08,4.25e+08,2.22e+09,1.38e+08,0.06471,0.03653,0.02008,0.02797,0.01486,0.83133,2.18894,0.88206,0.19875,0.4573,0.44624,22.77686,16.26997,0.38017,0.03857,0.01982,0.01519,0.08434,3.52235,4.95695
