"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",21.17390625,"Up",89175000,-41771000,47404000,-30466000,-12624000,-17842000,16938000,-86885000,-9698000,-9747000,49000,348000,-77535000,-69947000,-69947000,5012000,-64935000,-64935000,-64935000,-64935000,19587000,19587000,77662000,77662000,29606000,24623000,4983000,126855000,33031000,10751000,776644000,373298000,384375000,18971000,820426000,947281000,59840000,25589000,1092000,33159000,27663000,88707000,674738000,17159000,16526000,633000,691897000,780604000,154608000,10951000,1118000,166677000,166677000,947281000,-64935000,17842000,16929000,-17569000,-47733000,-2124000,-5886000,-8010000,0,-63513000,28000,104687000,41202000,-14541000,-14541000,-14541000,34780000,702401000,10075000,0.53158,0.18994,-0.72817,-0.38959,-0.06855,-0.15516,1.43004,4.68333,0.74149,-0.82235,-0.86788,1.12933,2.11082,0.12759,0,-0.07327,0.01137,0,19.63237,40.31255
"2","2013_Q4",20.1665625,"Down",87414000,-38903000,48511000,-26647000,-8990000,-17657000,21864000,-5703000.00000001,-6349000,-6403000,54000,198000,448000,16161000,16161000,-1358000,14803000,14803000,14803000,14803000,27960000,27960000,69249000,69249000,27279000,21800000,5096000,124488000,31992000,10827000,768172000,373223000,375292000,19657000,810991000,935479000,47727000,14912000,246000,32569000,25132000,73517000,670209000,17298000,16965000,333000,687507000,761024000,155985000,17562000,908000,174455000,174455000,935479000,14803000,17657000,456999.999999996,-5331000,27586000,-2991000,-1777000,-4768000,-8192000,610000,63000,-6926000,-14445000,8373000,8373000,7769000,39521000,695341000,32557000,0.55496,0.25012,0.16934,0.08485,0.01582,2.19935,1.69332,4.36229,0.7433,0.18059,0.18059,1.06639,2.12822,0.39717,0.09994,0.02592,0.0367,0.5534,16.88674,30.5242
"3","2014_Q1",22.1872131147541,"Up",94474000,-41804000,52670000,-25625000,-8333000,-17292000,27045000,-4464000,-5914000,-6003000,89000,112000,1338000,22581000,22581000,-5038000,17543000,17543000,17543000,17543000,22485000,22485000,68434000,68434000,27452000,19482000,5433000,118371000,33240000,10639000,759061000,373119000,367780000,18162000,802940000,921311000,53013000,20588000,259000,32166000,70200000,123756000,665680000,20545000,20212000,333000,686225000,809981000,81501000,29403000,426000,111330000,111330000,921311000,17543000,17292000,5536000,8555000,48926000,-4312000,-7473000,-11785000,-8198000,-18292000,-75062000,58726000,-42826000,-5685000,-5685000,-7435000,44337000,735880000,53618000,0.55751,0.28627,0.18569,0.15758,0.01904,3.05638,0.95649,7.2755,0.79873,0.21398,0.21398,1.15232,1.35791,0.65399,0.09999,0.02966,0.06179,0.46731,16.09029,26.37807
"4","2014_Q2",21.4796825396825,"Down",87433000,-37868000,49565000,-24676000,-8062000,-16614000,24889000,-4522000,-6834000,-6909000,75000,321000,1991000,20367000,20367000,-2161000,18206000,18206000,18206000,18206000,27242000,27242000,68403000,68403000,27989000,18919000,5247000,123634000,30494000,10895000,740860000,369101000,355801000,15958000,782249000,905883000,49139000,12107000,1762000,35270000,59600000,109095000,661153000,21068000,20767000,301000,682221000,791316000,82116000,39770000,-7319000,114567000,114567000,905883000,18206000,16614000,178000,-4984000,30014000,-1500000,-8e+05,-2300000,-7839000,-5118000,-55903226.5125351,-9999999.99999999,-22957000,4757000,4757000,-2988000,41503000,720753000,37180000,0.56689,0.28466,0.20823,0.15891,0.0201,2.04218,1.13327,6.90702,0.79564,0.23229,0.22977,1.11557,1.46177,0.47438,0.10002,0.03041,0.04341,0.43057,16.7099,27.86416
"5","2014_Q3",20.68859375,"Down",91333000,-39051000,52282000,-26853000,-10463000,-16390000,25429000,-5694000,-6422000,-6501000,79000,343000,385000,19735000,19735000,-1962000,17773000,17773000,17773000,17773000,27831000,27831000,71479000,71479000,29853000,21846000,5195000,129163000,29371000,11287000,730062000,369203000,347114000,13745000,770720000,899883000,53714000,14256000,1801000,37657000,4.2e+07,96175000,656626000,20953000,20702000,251000,677579000,773754000,82953000,49701000,-6525000,126129000,126129000,899883000,17773000,16390000,2552000,808000,37523000,-2392000,-4803000,-7195000,-7841000,-4952000,53999.9999999702,-1.7e+07,-29739000,589000,589000,1383000,41819000,698626000,42197000,0.57243,0.27842,0.1946,0.14091,0.01975,2.37422,1.343,6.13462,0.77635,0.22667,0.22448,1.1648,1.60857,0.53815,0.1,0.03029,0.0499,0.44117,16.04044,26.37913
"6","2014_Q4",19.969375,"Down",88879000,-38862000,50017000,-23557000,-7104000,-16453000,26460000,-6287000,-6279000,-6370000,91000,241000,-249000,20173000,20173000,-1082000,19091000,19091000,19091000,19091000,29226000,29226000,68969000,68969000,31384000,21880000,6126000,129579000,29482000,11492000,719887000,369304000,338248000,12335000,760861000,890440000,51582000,14748000,1945000,34889000,2.7e+07,78932000,652102000,20546000,20308000,237999.999999999,672648000,751580000,84083000,60924000,-6147000,138860000,138860000,890440000,19091000,16453000,418000,299000.000000001,36261000,-3527000,-4190000,-7717000,-7867000,-4542000,260000,-1.5e+07,-27149000,1395000,1395000,1773000,42913000,679102000,40767000,0.56275,0.29771,0.2148,0.13748,0.02144,2.1354,1.64165,5.4125,0.76266,0.24267,0.24114,1.12978,1.76511,0.51821,0.1,0.03215,0.04862,0.41208,15.14404,24.5607
"7","2015_Q1",19.2890163934426,"Down",94143000,-41756000,52387000,-32178000,-15647000,-16531000,20209000,-5426000,-5909000,-5992000,83000,235000,248000,14783000,14783000,-3696000,11087000,11087000,11087000,11087000,32114000,32114000,70684000,70684000,26349000,20078000,5218000,129147000,29535000,11756000,714883000,368837000,334628000,11418000,756174000,885321000,49057000,17753000,1956000,29348000,4.2e+07,91057000,647579000,51845000,23072000,20461000,699424000,790481000,60519000,40843000,-6522000,94840000,94840000,885321000,11087000,16531000,2112000,6291000,36021000,-3420000,-5199000,-8619000,-7812000,-3920000,-25968000,13396000,-24304000,3098000,3098000,9671000,36740000,689579000,43307000,0.55646,0.21466,0.11777,0.1169,0.01252,3.90611,1.41831,8.33489,0.7789,0.14234,0.14217,1.20862,1.21756,0.55598,0.10029,0.0226,0.05179,0.70461,17.89507,32.53328
"8","2015_Q2",20.195873015873,"Up",91497000,-39950000,51547000,-24531000,-7703000,-16828000,27016000,-5697000,-6097000,-6201000,104000,115000,285000,21319000,21319000,-2775000,18544000,18544000,18544000,18544000,32430000,32430000,78745000,78745000,31482000,21659000,6924000,142657000,28080000,11903000,703339000,369171000,323941000,10227000,743322000,885979000,58876000,19396000,712000,38768000,3.9e+07,98281000,643053000,22260000,19708000,2552000,665313000,763594000,51177000,76841000,-5633000,122385000,122385000,885979000,18544000,16828000,841999.999999999,-6116000,30098000,-1042000,-3202000,-4244000,-7798000,-4750000,-9990000,-3e+06,-25538000,316000,316000,316000.000000002,43844000,682053000,39461000,0.56337,0.29527,0.20267,0.15152,0.02093,2.12797,1.45152,6.23928,0.76983,0.23833,0.23815,1.17594,1.57292,0.50716,0.10022,0.03186,0.04773,0.42051,14.81669,24.04586
"9","2015_Q3",17.45078125,"Down",93405000,-41004000,52401000,-24954000,-8948000,-16006000,27447000,-5235000,-6083000,-6210000,127000,84000,764000,22212000,22212000,-2645000,19567000,19567000,19567000,19567000,38837000,38837000,71091000,71091000,30263000,21678000,6262000,140191000,31627000,12251000,696222000,368911000,317431000,9880000,740100000,880291000,60223000,19133000,81000,41009000,2.3e+07,83334000,638530000,22111000,19255000,2856000,660641000,743975000,52689000,89347000,-5720000,136316000,136316000,880291000,19567000,16006000,1642000,9368000,46583000,-7596000,-4054000,-11650000,-7744000,-4781000,-1000.00000000373,-1.6e+07,-28526000,6407000,6407000,7209000,43453000,661530000,47870000,0.56101,0.29385,0.20949,0.14354,0.02223,2.44647,1.68228,5.45772,0.75149,0.25262,0.25185,1.20592,1.75993,0.61803,0.09998,0.03331,0.05838,0.39577,14.33026,22.68711
"10","2015_Q4",16.35140625,"Down",92942000,-44141000,48801000,-27325000,-10392000,-16933000,21476000,-5485000,-5863000,-6003000,140000,-3000,381000,15991000,15991000,9346000,25337000,25337000,25337000,25337000,40401000,40401000,68429000,68429000,41204000,20736000,13547000,150034000,33281000,12281000,687301000,368543000,309680000,9078000,732863000,882897000,67079000,22417000,62000,44600000,38875000,105954000,632137000,26553000,23858000,2695000,658690000,764644000,29264000,95038000,-6049000,118253000,118253000,882897000,25337000,16933000,2802000,2571000,47643000,-6991000,-14034000,-21025000,-7780000,-6292000,-24982000,1.4e+07,-25054000,1564000,1564000,1235000,38409000,671012000,24643000,0.52507,0.23107,0.27261,0.21426,0.0287,0.97261,1.41603,6.46617,0.76001,0.32839,0.32832,1.20461,1.53266,0.31939,0.10084,0.04059,0.03021,0.30706,16.41831,29.36352
