"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",75.7011111111111,"Up",395126000,-274718000,120408000,-51657000,-30574000,-21083000,68751000,-6260000,-3949000,-2311000,62491000,62491000,-20353000,42138000,42138000,42138000,42138000,88271000,87971000,214026000,214026000,202787000,39724000,35660000,544808000,299058000,170965000,42885000,3228000,88096000,470023000,1014831000,164695000,87025000,16163000,4936000,56571000,2994000,2994000,171046000,215611000,154457000,154457000,370068000,541114000,0,555194000,-81477000,473717000,473717000,1014831000,42138000,8779000,-5407000,-2714000,42796000,-6677000,-6677000,-6677000,-53055000,-5641000,-30349000,-14272000,-14276000,-1774000,-52036000,-62295000,-62295000,-1565000,-63860000,77530000,218968000,88492000,0.30473,0.174,0.10664,0.08895,0.04152,2.10005,3.18515,1.14227,0.21577,2.78727,2.78065,26.13613,31.33463,5.85342,0.37313,9,0.0564,0.10446,0.13387,1.68576,1.90102
"2","2010_Q3",76.17796875,"Up",469841000,-337640000,132201000,-58257000,-36193000,-22064000,73944000,-13524000,-4314000,-9210000,60420000,60420000,-20564000,39856000,39856000,39856000,39856000,46906000,46606000,251103000,251103000,221434000,30863000,24924000,550306000,329410000,140486000,50880000,4085000,49566000,469896000,1020202000,184084000,108370000,10274000,4692000,60748000,3795000,3795000,191078000,232935000,158181000,158181000,391116000,582194000,0,524727000,-86719000,438008000,438008000,1020202000,39856000,8939000,-11040000,-7388000,30367000,-11359000,-11359000,-11359000,-18421000,-5396000,17967000,-64927000,-64944000,-250000,-52606000,-40660000,-40660000,-705000,-41365000,82883000,236134000,84700000,0.28137,0.15738,0.08483,0.09099,0.03907,2.12515,2.88001,1.32919,0.23146,2.6937,2.68789,31.7546,29.60314,5.72452,0.36469,7,0.05437,0.10176,0.13539,2.28307,2.55907
"3","2010_Q4",90.680625,"Up",471777000,-335855000,135922000,-58430000,-35711000,-22719000,77492000,-9918000,-4465000,-5453000,67574000,67574000,-21855000,45719000,45719000,45719000,45719000,50583000,50283000,266513000,266513000,261866000,23167000,17959000,602129000,331999000,145229000,48706000,5522000,55412000,477228000,1079357000,196677000,113300000,10919000,4662000,67796000,2657000,2657000,202372000,234246000,164112000,164112000,398358000,600730000,0,555458000,-76831000,478627000,478627000,1079357000,45719000,10113000,-18641000,-5027000,32164000,-7107000,-7107000,-7107000,-13986000,-5359000,-415000,-9749000,-9749000,-250000,-15773000,2405000,2405000,1272000,3677000,87605000,237284000,97326000,0.28811,0.16426,0.09691,0.09552,0.04236,2.12879,2.97536,1.25511,0.21984,3.18511,3.1789,32.86728,33.3445,6.78041,0.37335,5,0.05804,0.11059,0.11722,2.13117,2.40929
"4","2011_Q1",98.9690322580645,"Up",460648000,-333720000,126928000,-59811000,-34489000,-25322000,67117000,2394000,-4533000,6927000,69511000,69511000,-20099000,49412000,49412000,49412000,49412000,49492000,49192000,257748000,257748000,273215000,22320000,15444000,602775000,333976000,125990000,46526000,8597000,48893000,459966000,1062741000,200955000,109250000,14843000,5304000,71558000,1063000,1063000,206387000,217544000,147170000,147170000,364714000,571101000,0,565460000,-73820000,491640000,491640000,1062741000,49412000,11303000,69919000,-71914000,58720000,-11263000,-11263000,-11263000,-2444000,-6212000,-15371000,-32478000,-32548000,-2007000,-56068000,208000,208000,-1299000,-1091000,78420000,221913000,15342000,0.27554,0.1457,0.10727,0.1005,0.04649,0.31049,2.92061,1.16162,0.20881,3.47776,3.47092,32.42173,34.60304,1.07981,0.43722,7,0.06462,0.01782,0.12572,2.19869,2.56896
"5","2011_Q2",124.306984126984,"Up",508083000,-367119000,140964000,-62885000,-38424000,-24461000,78079000,-4712000,-4645000,-67000,73367000,73367000,-23778000,49589000,49589000,49589000,49589000,49803000,49803000,292513000,292513000,295468000,19827000,15202000,657611000,352080000,121976000,44358000,10734000,47566000,474056000,1131667000,208013000,116279000,26500000,5189000,60045000,2912000,2912000,215272000,253829000,141764000,141764000,395593000,610865000,4000,584869000,-64071000,520802000,520802000,1131667000,49589000,10167000,-37698000,-5862000,16196000,-24151000,-24151000,-24151000,-23282000,-903000,36263000,-27423000,-27427000,-2233000,5704000,-1382000,-1382000,1993000,611000,88246000,258176000,82011000,0.27744,0.15367,0.0976,0.09522,0.04382,1.65381,3.05479,1.17293,0.22814,3.57012,3.56601,36.57905,37.49474,5.90432,0.06501,5,0.05484,0.08907,0.01821,2.36127,2.66875
"6","2011_Q3",120.621875,"Down",578523000,-430727000,147796000,-62698000,-37319000,-25379000,85098000,-8680000,-4693000,-3987000,76418000,76418000,-24159000,52259000,52259000,52259000,52259000,60888000,60888000,313818000,313818000,327844000,26748000,21069000,729298000,354702000,124626000,42623000,12578000,52237000,479328000,1208626000,228392000,127163000,29446000,7108000,64675000,9821000,9821000,243322000,260100000,142516000,142516000,402616000,645938000,9.09494701772928e-13,625832000,-63144000,562688000,562688000,1208626000,52259000,10604000,-29857000,-2029000.00000001,30977000,-10639000,-10639000,-10639000,-16021000,-6398000,7032999.99999999,-4018999.99999999,-4085000,36000,-3348000,11608000,11608000,-523000,11085000,95702000,265209000,107193000,0.25547,0.1471,0.09033,0.09287,0.04324,2.05119,2.99725,1.14795,0.21943,3.77267,3.77158,41.76458,40.62143,7.73845,0.46188,7,0.06045,0.11046,0.12243,2.13497,2.40101
"7","2011_Q4",138.580634920635,"Up",557396000,-412200000,145196000,-62963000,-36075000,-26888000,82233000,-17622000,-4797000,-12825000,64611000,103267000,-31906000,71361000,71361000,71361000,71361000,54462000,54462000,307702000,307702000,314191000,40815000,35578000,717170000,352303000,143361000,40291000,14410000,70769000,495664000,1212834000,222540000,97065000,29429000,6903000,89143000,6182000,6182000,238412000,266358000,151497000,151497000,417855000,656267000,0,624617000,-68050000,556567000,556567000,1212834000,71361000,11573000,-23215000,13493000,73212000,-7981000,-7981000,-7981000,-19144000,-15233000,10839000,-54380000,-54380000,2000,-58772000,-4704000,-4704000,-1722000,-6426000,93806000,276048000,131224000,0.26049,0.14753,0.12803,0.12822,0.05884,1.83888,3.00811,1.17913,0.22761,5.21683,5.21645,40.7483,40.6877,9.5931,1.1136,7,0.08799,0.13334,0.21346,2.36217,2.69461
"8","2012_Q1",146.228387096774,"Up",494125000,-376099000,118026000,-68549000,-39781000,-28768000,49477000,-1185000,-16000,-1169000,48292000,48292000,-16044000,32248000,33698000,33698000,33698000,50370000,50370000,278332000,278332000,306785000,44244000,36983000,679731000,352966000,158965000,38047000,11494000,73619000,511931000,1191662000,203378000,103217000,13086000,8529000,78546000,1680000,1680000,216024000,232601000,193444000,193444000,426045000,642069000,64000,648261000,-98732000,549593000,549593000,1191662000,33698000,11008000,93496000,-73989000,64213000,-10744000,-10744000,-10744000,-12509000,-10054000,-32337000,-12271000,-12201000,-9999.99999999988,-54672000,-2968000,-2968000,-1124000,-4092000,60485000,243567000,-8204000,0.23886,0.10013,0.0682,0.06131,0.02828,-0.24346,3.14655,1.16826,0.20439,2.51346,2.51365,36.85575,40.99299,-0.611920000000001,0.74991,6,0.04435,-0.00831999999999997,0.29836,3.19413,3.90478
"9","2012_Q2",155.181428571429,"Up",562679000,-393143000,169536000,-64803000,-36908000,-27895000,104733000,-2709000,-4482000,1773000,102024000,98803000,-32256000,66547000,66547000,66547000,66547000,72746000,72746000,311888000,311888000,315101000,45266000,39932000,745001000,353825000,154671000,36355000,12596000,71478000,508496000,1253497000,222443000,119608000,28931000,8521000,65383000,7712000,7712000,240953000,209831000,188542000,188542000,398373000,639326000,64000,704754000,-90647000,614171000,614171000,1253497000,66547000,10482000,-11988000,-1951000,63090000,-7432000,-7432000,-7432000,-6645000,-10054000,-22938000,0,0,-2351000,-35343000,21102000,21102000,1274000,22376000,115215000,220629000,138088000,0.3013,0.18613,0.11827,0.10835,0.05309,2.07504,3.09189,1.04096,0.17601,4.96434,4.96434,41.97531,45.81656,10.30123,0.75002,7,0.07485,0.13494,0.15108,1.28354,1.412
"10","2012_Q3",182.74619047619,"Up",584690000,-422871000,161819000,-69164000,-40698000,-28466000,92655000,-6253000,-658999.999999999,-5594000,86402000,80531000,-25868000,54663000,55268000,55268000,55268000,49355000,49355000,320582000,320582000,317564000,46792000,39667000,734293000,350747000,155177000,34031000,13002000,72790000,505924000,1240217000,210825000,119525000,13428000,8563000,69309000,2990000,2990000,215413000,1.88e+08,186514000,186514000,374514000,589927000,64000,749969000,-99743000,650290000,650290000,1240217000,55268000,11138000,-13809000,-18218000,34379000,-9535000,-9535000,-9535000,-15101000,-10053000,-31031000,0,2.3283064365387e-10,-18000.0000000009,-41102000,-21824000,-21824000,-1567000,-23391000,103793000,189598000,101908000,0.27676,0.15847,0.09453,0.08499,0.04456,1.84389,3.40877,0.90718,0.15287,4.12294,4.12294,43.61731,48.511,7.60224,0.74994,7,0.06364,0.09929,0.1819,1.35118,1.5136
