"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.9665625,"Up",34360000,-2685000,31675000,-23079000,-16709000,-1993000,-4377000,8596000,-685000,-685000,7911000,-1207000,6704000,-538000,6166000,6166000,6166000,6166000,65300002.9591397,44504064.4337613,12309903.6887051,12309903.6887051,14449512.1225495,2208451.17422597,92059418.7703944,4018009.33267326,241977786.216628,69305018.916326,170933902.668754,1738864.34459143,245995795.549301,338055214.319696,36320398.6369506,22403734.8248719,60944971.0756091,29709610.5309492,101378914.336085,71314164.3320678,25020070.0358528,18960033.1538286,6060036.88202426,96334234.3679206,197713148.704005,227553261.131771,-4042005.6909107,-60421647.3582824,-22747542.4668879,140342065.61569,140342065.61569,338055214.319696,6166000,4377000,1640000,304000,12487000,-894000,-38690000,27300000,-759000,25951000,-252000,-252000,1982000,1730000,12973000,0,12921000,0.92186,0.25017,0.17945,0.0403740846047776,0.0170424989870556,2.09552,0.858967890354432,1.21203603271892,0.234782743851029,0.09819,0.09127,0.54714,2.36827645016232,0.20575,0.0259164162682837,0.0335437441797357,2.0741965738789,2.85330343135624
"2","2011_Q1",14.3979032258065,"Up",37889000,-2600000,35289000,-23910000,-17825000,-2132000,-3953000,11379000,-765000,-545000,10614000,-312000,10302000,-4558000,5744000,5744000,5744000,5744000,45196000,43030000,16921000,16921000,6369000,1659000,68486000,5674000,244562000,66500000,176406000,1656000,250236000,318722000,14536000,13801000,59368000,49224000,77904000,3.7e+07,25591000,18807000,6784000,62591000,140495000,256906000,-11043000,-55601000,-12035000,178227000,178227000,318722000,5744000,3953000,1833000,886000,12416000,113000,113000,-1.6e+07,-7194000,-7844000,4685000,4685000,-295999.999999999,4389000,15332000,4.1e+07,20889000,0.93138,0.30032,0.1516,0.03223,0.01802,3.63666,0.87911,0.78829,0.12864,0.09166,0.08456,0.60463,2.84412,0.33334,0.02346,0.08532,-0.27368,-0.36875
"3","2011_Q2",15.1185714285714,"Up",40089000,-2691000,37398000,-25976000,-19891000,-2495000,-3590000,11422000,-420000,-420000,11002000,-655000,10347000,-3760000,6587000,6587000,6587000,6587000,50653499.0136201,53253728.5220796,17499115.4370983,17499115.4370983,3686495.95915017,1824099.60859134,71839110.4098686,6552163.55577558,243806154.594457,63973743.694558,178283449.110415,1548961.88513619,250358318.150233,322197428.560101,9814200.45434978,11428421.7250427,65371509.6414636,57839546.4896836,79147861.8879718,19395278.5559774,24733559.9880491,18269155.6153905,6464404.37265858,44128838.5440264,123276700.431998,273533329.622743,-16952914.7696964,-49147284.2139059,-8512402.51103735,198920728.128103,198920728.128103,322197428.560101,6587000,3590000,962000,3654000,14793000,120000,120000,-2e+07,-7822000,-13070000,1843000,1843000,1285000,3128000,15012000,0,22546000,0.93287,0.28492,0.16431,0.0324028051317408,0.0202000003376481,3.4228,0.914455703215189,0.625778822427026,0.0724740853829905,0.10081,0.09398,0.61353,3.06716368327923,0.34505,0.0260453612439054,0.111771251940088,-1.9199180246263,-2.48134031045208
"4","2011_Q3",10.98921875,"Down",44881000,-3592000,41289000,-27487000,-21611000,-2373000,-3503000,13802000,-311000,-311000,13491000,-1327000,12164000,-4422000,7742000,7742000,7742000,7742000,66887000,66333000,16390000,16390000,4004000,2309000,87281000,7039000,241035000,61603000,178003000,1429000,248074000,335355000,14406000,12642000,73079000,59957000,91485000,1.3e+07,23263000,17604000,5659000,36263000,127748000,281292000,-23157000,-41272000,-9256000,207607000,207607000,335355000,7742000,3503000,2520000,9681000,23446000,-1765000,-2015000,-4e+06,1660000,-1034000,20397000,20397000,-222000,20175000,17305000,1.7e+07,29643000,0.91997,0.30752,0.1725,0.03729,0.02309,3.82886,0.95405,0.61534,0.05069,0.11692,0.10979,0.67782,3.13539,0.44768,0.03123,0.11959,-2.88281,-3.61448
"5","2011_Q4",8.49984126984127,"Down",46804000,-3333000,43471000,-27298000,-20971000,-2602000,-3725000,16173000,-296000,-296000,15877000,-1174000,14703000,-5392000,9311000,9311000,9311000,9311000,74491000,69506000,16761000,16761000,4418000,2543000,95670000,7649000,237312000,59128000,176870000,1314000,244961000,340631000,19435000,14553000,73743000,59447000,97178000,1.2e+07,22162000,17161000,5001000,34162000,131340000,284120000,-31449000,-31961000,-11419000,209291000,209291000,340631000,9311000,3725000,1561000,2672000,17269000,-1524000,-6262000,-1e+06,1262000,-6864000,4143000,4143000,-970000,3173000,19898000,1.6e+07,26438000,0.92879,0.34555,0.19894,0.04449,0.02733,2.83944,0.98448,0.62755,0.04697,0.14013,0.13272,0.70438,3.14974,0.39788,0.03763,0.10684,-2.93954,-3.61658
"6","2012_Q1",9.25725806451613,"Up",47356000,-3408000,43948000,-27271000,-20442000,-2846000,-3983000,16677000,-431000,-307000,16246000,29000,16275000,-5815000,10460000,10460000,10460000,10460000,60220000,55237000,20684000,20684000,2699000,2190000,83603000,8726000,234049000,56471000,176365000,1213000,242775000,326378000,17528000,14599000,62444000,60887000,83972000,1.1e+07,22190000,17167000,5023000,33190000,117162000,285847000,-43078000,-21501000,-12052000,209216000,209216000,326378000,10460000,3983000,-1913000,-3544000,8986000,-2457000,-2457000,-1e+06,-7732000,-20627000,-14098000,-14098000,-171000,-14269000,20660000,1.5e+07,20474000,0.92803,0.35216,0.22088,0.05,0.03205,1.95736,0.99561,0.56,0.04596,0.16035,0.15062,0.72595,3.20721,0.31386,0.04245,0.08309,-2.18877,-2.71152
"7","2012_Q2",9.80603174603175,"Up",46132000,-3127000,43005000,-29110000,-22857000,-3162000,-3091000,13895000,-305000,-305000,13590000,0,13590000,-4971000,8619000,8619000,8619000,8619000,68732000,62766000,18780000,18780000,3451000,2810000,90963000,8850000,233695000,54631000,177916000,1148000,242545000,333508000,18315000,14723000,69698000,69698000,92013000,1e+07,21817000,16586000,5231000,31817000,123830000,288267000,-55739000,-12882000,-9968000,209678000,209678000,333508000,8619000,3091000,929000,10728000,23367000,-684000,-2419000,-1e+06,-1708000,-14191000,6757000,6757000,772000,7529000,16986000,1.4e+07,32001000,0.93222,0.3012,0.18683,0.04111,0.02584,3.71284,0.98859,0.59057,0.04198,0.13442,0.12793,0.71949,3.27019,0.4991,0.03511,0.13035,-3.22218,-3.93897
"8","2012_Q3",8.27031746031746,"Down",48455000,-3825000,44630000,-28951000,-22767000,-3214000,-2970000,15679000,-1008000,-1008000,14671000,-2.91038304567337e-11,14671000,-5217000,9454000,9454000,9454000,9454000,56546000,50835000,17220000,17220000,2943000,2166000,76709000,9192000,232238000,53636000,177133000,1469000,241430000,318139000,17236000,15209000,66834000,66834000,84070000,1.5e+07,21120000,15914000,5206000,36120000,120190000,290939000,-78111000,-3428000,-11451000,197949000,197949000,318139000,9454000,2970000,1533000,-3129000,10828000,-1371000,-1371000,1e+06,-398000,-20849000,-11392000,-11392000,-539000,-11931000,18649000,1.5e+07,19366000,0.92106,0.32358,0.19511,0.04776,0.02972,2.04845,0.91244,0.60718,0.04715,0.15093,0.14242,0.77355,3.16011,0.30916,0.04039,0.08274,-2.22779,-2.64979
"9","2012_Q4",8.61983870967742,"Up",48038000,-3603000,44435000,-29728000,-22930000,-3874000,-2924000,14707000,-311000,-311000,14396000,0,14396000,-3395000,11001000,11001000,11001000,11001000,50023000,46322000,21859000,21859000,3502000,2614000,75384000,10539000,248577000,62142000,184714000,1721000,259116000,334500000,17312000,14416000,66144000,66144000,83456000,4.2e+07,18550000,14998000,3552000,60550000,144006000,292707000,-100490000,7573000,-9296000,190494000,190494000,334500000,11001000,2924000,644000,-4247000,10322000,1029000,-19974000,2.7e+07,-34000,4379000,-5273000,-5273000,760000,-4513000,17631000,4.2e+07,17808000,0.925,0.30615,0.22901,0.05775,0.03289,1.61876,0.90328,0.75596,0.12556,0.18363,0.17418,0.80188,3.17983,0.29726,0.04382,0.07094,-0.45505,-0.54552
"10","2013_Q1",9.65516666666667,"Up",52738000,-5132000,47606000,-32943000,-23642000,-5975000,-3326000,14663000,331000,393000,14994000,-813000,14181000,-5168000,9013000,9013000,9013000,9013000,42214000,40013000,29030000,29030000,4693000,3084000,75937000,11158000,267135000,62755000,202944000,1436000,278293000,354230000,20369000,16552000,74330000,69404000,94699000,4.6e+07,22893000,14414000,8479000,68893000,163592000,295457000,-112111000,16586000,-9294000,190638000,190638000,354230000,9013000,3326000,-254000,-1941000,10144000,-369000,-10175000,4e+06,57000.0000000001,-6168000,-6199000,-6199000,-110000,-6309000,17989000,4.6e+07,20847000,0.90269,0.27803,0.1709,0.04728,0.02544,2.31299,0.80188,0.85813,0.12986,0.15512,0.14653,0.90766,3.28104,0.35879,0.03473,0.08033,0.21046,0.2582
