"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",33.1509677419355,"Up",86587000,-59656000,26931000,-25090000,-25090000,1841000,-550000,-550000,1291000,1284000,-555000,729000,729000,729000,729000,7245000,7245000,84399000,22201000,12250000,9951000,113845000,54086000,1083000,1083000,55169000,169014000,53415000,40250000,0,13165000,1710000,0,55125000,29989000,27773000,64489000,119614000,269039000,-219639000,49400000,49400000,169014000,729000,2499000,1937000,-8440000,-3275000,-5839000,-5839000,0,0,-1317000,-10431000,-10431000,-10431000,4340000,34500000,-9384000,0.31103,0.02126,0.00842,0.01476,0.00431,-12.87243,2.06522,2.42134,0.20413,0.01387,0.01386,1.64722,0.93978,-0.17852,0.0064,-0.0824,6.27995,14.80445
"2","2013_Q1",37.6973333333333,"Up",173589000,-102451000,71138000,-38095000,-38095000,33043000,-395000,-545000,32648000,32648000,-13442000,19206000,19206000,19206000,19206000,56081000,56081000,60831000,12764000,11433000,36000,129676000,59040000,944000,944000,59984000,189660000,53784000,27952000,7083000,18749000,0,0,68784000,30632000,29082000,50132000,118916000,271177000,-200433000,70744000,70744000,189660000,19206000,2758000,-1307000,33553000,54210000,-5448000,-5448000,0,0,73999.9999999991,48836000,48836000,48836000,35801000,34500000,77348000,0.40981,0.19035,0.11064,0.27149,0.10127,4.02728,1.88526,1.68093,0.1819,0.35595,0.35613,3.2172,1.31113,1.43353,0.14135,0.56925,-0.602799999999999,-0.653119999999998
"3","2013_Q2",37.2365625,"Down",95604000,-65391000,30213000,-27024000,-27024000,3189000,-511000,-511000,2678000,2678000,-1108000,1570000,1570000,1570000,1539000,36722000,36722000,75339000,12543000,10481000,621000,124604000,61611000,877000,877000,62488000,187092000,44823000,27971000,558000,16294000,0,0,59823000,32618000,31187000,52118000,111941000,274014000,-198863000,75151000,75151000,187092000,1570000,2933000,2172000,-18446000,-11771000,-8148000,-8148000,0,0,560000,-19359000,-19359000,-19359000,6122000,34500000,-19364000,0.31602,0.03336,0.0161,0.02048,0.00823,-12.5822,2.08288,1.48955,0.1844,0.02907,0.02882,1.80578,1.41946,-0.36575,0.01082,-0.13611,-0.36295,-0.69677
"4","2013_Q3",40.1071875,"Up",117087000,-77687000,39400000,-32214000,-32214000,7186000,-391000,-391000,6795000,6529000,-2460000,4069000,4069000,4069000,4009000,21088000,21088000,83470000,16826000,14182000,837000,121384000,65555000,601000,601000,66156000,187540000,50530000,32174000,1910000,16446000,0,-5.29395592033938e-23,50530000,35539000,33894000,55039000,105569000,276765000,-194794000,81971000,81971000,187540000,4069000,3254000,3016000,-4258000,6081000,-6992000,-6992000,206000,-3000,-14723000,-15634000,-15634000,-15634000,10440000,19500000,1650000,0.3365,0.06137,0.03424,0.04891,0.02138,0.411569999999996,2.40222,1.28788,0.10398,0.07517,0.07451,2.19533,1.53692,0.03094,0.02926,0.01204,-0.15211,-0.22099
"5","2013_Q4",47.94421875,"Up",110747000,-76513000,34234000,-31213000,-31213000,3021000,-321000,-321000,2700000,2700000,-1023000,1677000,1677000,1677000,1658000,5550000,5550000,115484000,25021000,17286000,5675000,146055000,69564000,596000,596000,70160000,216215000,72171000,52422000,37000,19712000,0,0,72171000,35459000,34396000,54959000,127130000,282202000,-193117000,89085000,89085000,216215000,1677000,3672000,1945000,-18902000,-11608000,-6618000,-6618000,1122000,-1000,2688000,-15538000,-15538000,-15538000,6693000,19500000,-17804000,0.30912,0.02728,0.01497,0.01861,0.00767,-10.73824,2.02374,1.42706,0.09019,0.03104,0.03082,2.07354,1.66796,-0.33335,0.01151,-0.1236,2.08427,4.61768
"6","2014_Q1",38.403606557377,"Down",211964000,-127795000,84169000,-43828000,-43828000,40341000,-290000,-290000,40051000,40051000,-15225000,24826000,24826000,24826000,24471000,50184000,50184000,89377000,21338000,15255000,1497000,160899000,70381000,774000,542000,71155000,232054000,60242000,34013000,6007000,20222000,-1.81898940354586e-12,0,79742000,35439000,35439000,35439000,115181000,285164000,-168291000,116873000,116873000,232054000,24826000,3610000,-1083000,21132000,48485000,-4173000,-4173000,156000,4000,322000,44634000,44634000,44634000,43951000,19500000,76135000,0.39709,0.19032,0.11545,0.20938,0.10545,3.11123,2.01774,0.98552,0.08403,0.45747,0.45349,3.96255,2.18488,1.4233,0.14243,0.44313,-0.69814,-0.76062
"7","2014_Q2",38.1726984126984,"Down",126004000,-87069000,38935000,-33673000,-33673000,5262000,-72000,-72000,5190000,4946000,-1866000,3080000,3080000,3080000,3060000,17816000,17816000,98576000,27343000,16605000,5981000,143735000,78046000,852000,296000,78898000,222633000,59830000,35524000,13000,24293000,0,0,59830000,39558000,39558000,39558000,99388000,288456000,-165211000,123245000,123245000,222633000,3080000,3869000,1619000,-12681000,-4113000,-10170000,-10170000,-1000,-1000,-18085000,-32368000,-32368000,-32368000,9131000,0,-11854000,0.309,0.04176,0.02428,0.02483,0.01374,-3.87386,2.40239,0.80643,0,0.05681,0.05636,2.33926,2.28804,-0.22007,0.0188,-0.07281,-1.95116,-3.38578
"8","2014_Q3",38.825,"Up",152479000,-101574000,50905000,-37570000,-37570000,13335000,-9999.99999999999,-10000,13325000,13325000,-5005000,8320000,8320000,8320000,8302000,25550000,25550000,106749000,27305000,19913000,2247000,159604000,82902000,1574000,293000,84476000,244080000,70920000,46529000,1748000,22643000,0,0,70920000,40442000,40442000,40442000,111362000,289609000,-156891000,132718000,132718000,244080000,8320000,4173000,-502000,4741000,16732000,-9530000,-9530000,999.999999999971,1000.00000000001,532000,7733999.99999999,7733999.99999999,7733999.99999999,17508000,-1.86264514923096e-09,17724000,0.33385,0.08745,0.05445,0.06255,0.03401,2.13491,2.25048,0.83909,0,0.15295,0.15186,2.8091,2.44505,0.32653,0.04794,0.10236,-1.45933,-1.91601
"9","2014_Q4",40.47359375,"Up",137979000,-96356000,41623000,-36143000,-36143000,5480000,-6000,-6000,5474000,5474000,-2163000,3311000,3311000,3311000,3329000,5291000,5291000,167174000,31831000,20421000,6211000,204296000,84206000,1896000,278000,86102000,290398000,111188000,82857000,537000,27794000,0,0,111188000,40357000,40357000,40357000,151545000,292433000,-153580000,138853000,138853000,290398000,3311000,4563000,1446000,-25560000,-16240000,-5087000,-5087000,892144.411978957,-207035.104129172,1068000,-20259000,-20259000,-20259000,10043000,0,-18441000,0.30166,0.03972,0.02413,0.02397,0.01146,-5.5395,1.83739,1.09141,0,0.06127,0.0609,2.53965,2.55574,-0.33943,0.01858,-0.1029,-0.52683,-0.96551
"10","2015_Q1",33.3983606557377,"Down",263756000,-157428000,106328000,-53389000,-53389000,52939000,-25000,-37000,52914000,52914000,-19601000,33313000,33313000,33313000,33313000,63186000,63186000,115652000,20119000,18180000,1939000,198957000,86998000,8165000,284000,95163000,294120000,79401000,39222000,14442000,25737000,-7.105427357601e-15,0,79401000,40450000,40450000,40450000,119851000,294536000,-120267000,174269000,174269000,294120000,33313000,4597000,749000,26392000,65051000,-7535000,-7535000,1167000,-314000,379000,57895000,57895000,57895000,57536000,-1.16415321826935e-10,95994000,0.40313,0.20071,0.1263,0.19116,0.11326,2.88158,2.50572,0.68774,0,0.61233,0.60935,4.8481,3.20324,1.76446,0.15515,0.44707,-1.0982,-1.19356
