"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.09953125,"Down",2530000,-1653000,877000,-1124000,-1096000,-28000,-247000,-52000,-52000,0,-299000,-299000,-1000,-3e+05,-3e+05,-3e+05,-3e+05,-70018.1340559922,-70018.1340559922,880777.312183265,880777.312183265,3917976.12392629,195964.572632963,195965.037752772,4924699.87468653,1618214.96518309,105425.592799897,103394.104238315,1723640.55798299,6648340.43266951,1242317.15407297,581118.311112364,661198.842960609,2980723.27324014,380347.992025523,370327.606968808,4603388.41933864,291283.61495149,264398.949746222,-980598.672843443,3622789.74649519,0,19558983.3561199,-16533432.6699455,3025550.68617432,3025550.68617432,6648340.43266951,-3e+05,72000,22000,4000,-202000,265000,236000,-13000,-13000,-13000,-175000,0,0.34664,-0.09763,-0.11858,-0.661639052945891,-0.279129952298677,0.451640828928443,1.18524788002823,0.256021987641043,-0.0138,-0.0138,0.11635,0.139099420810606,-0.381178188698753,-44.9231207425896,168.670678065767
"2","2011_Q1",0.106129032258065,"Up",2339000,-1520000,819000,-1109000,-1056000,-53000,-290000,-54000,-57000,3000,-344000,-344000,0,-344000,-344000,-344000,-344000,37000,37000,743000,743000,3604000,121000,121000,4505000,1409000,101000,101000,1510000,6015000,971000,432000,539000,130000,503000,493000,1604000,274000,264000,1754000,3358000,0,19545000,-16888000,2657000,2657000,6015000,-342000,69000,19000,524000,270000,-256000,-286000,-29000,-29000,-29000,-221000,1610000,0.35015,-0.12398,-0.14707,-0.12947,-0.05719,2.8086,1.26383,0.26766,-0.01582,-0.01582,0.10757,0.12219,-0.07575,-7.11765,-5.42414
"3","2011_Q2",0.117301587301587,"Up",2047000,-1285000,762000,-1136000,-1084000,-52000,-374000,-51000,-51000,0,-425000,-425000,0,-425000,-425000,-425000,-425000,51172.7113519974,51172.7113519974,869407.562605578,869407.562605578,3369091.29202457,123845.142455679,123844.987415743,4413516.70843782,1333011.6782723,91108.1357333678,91785.2985872284,1424119.81400567,5837636.5224435,972977.615309009,472543.896295879,500433.71901313,-504574.42441338,571384.002658159,561390.797677064,1039787.19355379,271155.461682837,264283.683417926,2335949.55761448,3375736.75116827,0,19552172.2146267,-17090272.4433515,2461899.77127523,2461899.77127523,5837636.5224435,-425000,69000,3000,287000,-66000,159000,114000,46000,46000,46000,-305000,0,0.37225,-0.18271,-0.20762,0.0651063509819638,0.0249958174328925,3.18137389035719,1.37331653999059,0.267207670786319,-0.01954,-0.01954,0.09414,0.113228526396465,0.036382729566251,13.0049744141965,-36.4845768552556
"4","2011_Q3",0.12453125,"Up",2486000,-1335000,1151000,-975000,-918000,-57000,176000,-50000,-50000,6.82121026329696e-13,126000,127000,-1000,126000,126000,126000,126000,22000,22000,1079000,1079000,3221000,156000,156000,4478000,1332000,79000,79000,1411000,5889000,1105000,6e+05,505000,119000,590000,580000,1814000,275000,265000,1694000,3508000,0,19571000,-17190000,2381000,2381000,5889000,124000,68000,25000,-120000,96999.9999999999,-72000,-99000,-61000,-61000,-61000,244000,1538000,0.46299,0.0708,0.05068,0.05292,0.0214,2.46858,1.47333,0.26116,0.00579,0.00579,0.11433,0.1095,0.03004,6.21311,8.61364
"5","2011_Q4",0.135238095238095,"Up",2365000,-1399000,966000,-941000,-880000,-61000,25000,-49000,-49000,0,-24000,-24000,-5000,-29000,-29000,-29000,-29000,22000,22000,1138000,1138000,3176000,149000,149000,4485000,1341000,66000,66000,1407000,5892000,1196000,684000,512000,879000,530000,520000,2605000,276000,266000,915000,3520000,0,19591000,-17219000,2372000,2372000,5892000,-29000,71000,33000,85000,160000,-49000,-80000,0,0,0,96000,1518000,0.40846,0.01057,-0.01226,-0.01223,-0.00492,1.72169,1.48398,0.25764,-0.00133,-0.00133,0.10876,0.10908,-0.00696,15.58333,59.84
"6","2012_Q1",0.169354838709677,"Up",2374000,-1377000,997000,-970000,-917000,-53000,27000,-39000,-48000,9000,-12000,-13000.0000000001,-4000,-17000,-17000,-17000,-17000,93000,93000,883000,883000,3239000,61000,61000,4276000,1304000,56000,56000,1360000,5636000,1112000,631000,481000,872000,407000,397000,2391000,267000,267000,875000,3266000,0,19603000,-17233000,2370000,2370000,5636000,-15000,69000,220000,-16000,258000,-134000,-155000,71000,71000,71000,96000,1480000,0.41997,0.01137,-0.00716000000000002,-0.00717000000000001,-0.00302,1.78837,1.37806,0.2626,-0.000779999999999999,-0.000780000000000002,0.10918,0.10899,-0.00413,14.44792,51.37037
"7","2012_Q2",0.176349206349206,"Up",2296000,-1334000,962000,-1131000,-1079000,-52000,-169000,-42000,-42000,0,-211000,-211000,5000,-206000,-206000,-206000,-206000,6000,6000,940000,940000,3313000,96000,96000,4355000,1276000,63000,43000,1339000,5694000,1275000,877000,398000,1453000,528000,518000,3256000,267000,267000,267000,3523000,0,19610000,-17439000,2171000,2171000,5694000,-206000,30000,42000,-21000,-155000,121000,89000,-87000,-87000,-87000,-139000,1453000,0.41899,-0.07361,-0.08972,-0.09489,-0.03618,1.33753,1.62275,0.25518,-0.00947,-0.00947,0.10559,0.09984,-0.05294,-10.41007,-8.56213
"8","2012_Q3",0.176190476190476,"Down",2462000,-1419000,1043000,-1073000,-1017000,-56000,-30000.0000000001,-44000,-44000,-1.81898940354586e-12,-73999.9999999999,-73999.9999999999,-3000,-77000,-77000,-77000,-77000,15000,15000,1159000,1159000,3390000,68000,68000,4632000,1252000,56000,33000,1308000,5940000,1755000,1384000,371000,1420000,387000,377000,3562000,268000,268000,268000,3830000,0,19626000,-17516000,2110000,2110000,5940000,-76999.9999999999,31000,36000,203000,193000,-141000,-174000,9000,9000,9000,1000,1420000,0.42364,-0.01219,-0.03128,-0.03649,-0.01296,1.30039,1.81517,0.23906,-0.00354,-0.00354,0.11322,0.09703,-0.02027,1405,-46.83333
"9","2012_Q4",0.168064516129032,"Down",2283000,-1392000,891000,-1119000,-1065000,-54000,-228000,-35000,-35000,0,-263000,-263000,0,-263000,-263000,-263000,-263000,0,0,1242000,1242000,3079000,83000,83000,4404000,1225000,91000,68000,1316000,5720000,1512000,1027000,485000,1449000,575000,565000,3536000,268000,268000,268000,3804000,0,19696000,-17780000,1916000,1916000,5720000,-263000,30000,101000,-31000,-163000,338000,152000,-15000,-15000,-15000,-198000,1449000,0.39028,-0.09987,-0.1152,-0.13727,-0.04598,1.24548,1.98539,0.25332,-0.01195,-0.01195,0.10373,0.08705,-0.07239,-7.31818,-6.35526
"10","2013_Q1",0.199666666666667,"Up",2302000,-1854000,448000,-950000,-905000,-45000,-502000,-65000,-74000,9000,-567000,-567000,0,-567000,-567000,-567000,-567000,89000,89000,810000,810000,2571000,50000,50000,3520000,1192000,67000,43000,1259000,4779000,1421000,1016000,405000,1404000,321000,321000,3146000,269000,269000,269000,3415000,0,19708000,-18344000,1364000,1364000,4779000,-565000,32000,420000,474000,361000,-244000,-273000,89000,89000,89000,-470000,1404000,0.19461,-0.21807,-0.24631,-0.41569,-0.11864,1.11888,2.50367,0.29379,-0.02597,-0.02597,0.10544,0.06247,-0.1867,-2.79786999999989,-2.61952
