"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",15.72203125,"Down",61365000,-21909000,39456000,-43247000,-33175000,-10072000,-3791000,5497000,1706000,-1445000,-4909000,-6354000,-6354000,-6354000,-6354000,289697000,268155000,21542000,14028000,14028000,39632000,7965000,28532000,343357000,85446000,100325000,4035000,28297000,67993000,185771000,529128000,44226000,5955000,38271000,4021000,3990000,3990000,52237000,6983000,144147000,70687000,73460000,151130000,203367000,394595000,-75317000,6483000,325761000,325761000,529128000,-6354000,4732000,2252000,4107000,4737000,-2692000,-8000,-2695000,-5395000,197707000,870000,870000,-1090000,197487000,196829000,196829000,587000,197416000,941000,11004000,7265000,0.64297,-0.06178,-0.10354,-0.01951,-0.01201,-1.14337,6.57306,0.62428,0.0208,-0.06584,-0.06584,0.63589,3.37565,0.07528,-0.01321,0.01511,-296.16684,73.51438
"2","2015_Q4",10.14609375,"Down",65696000,-24165000,41531000,-43198000,-31792000,-11406000,-1667000,-1132000,-2799000,-2796000,-4095000,-6891000,-6891000,-6891000,-6891000,286757000,266283000,20474000,15976000,15976000,46581000,8773000,34674000,349314000,94655000,94652000,3483000,28366000,62803000,189307000,538621000,53130000,3200000,49930000,4431000,12053000,4128000,69614000,6483000,139730000,66227000,73503000,146213000,215827000,398751000,-82208000,6251000,322794000,322794000,538621000,-6891000,4968000,2454000,4844000,5375000,-4980000,1071000,-2206000,-6114999.99999999,-1436000,227000,227000,1090000,-119000,-859000,-859000,-1013000,-1871999.99999997,3301000,10914000,7260000,0.63217,-0.02537,-0.10489,-0.02135,-0.01279,-1.05355,5.01787,0.66862,0.02026,-0.0619,-0.0619,0.5901,2.89944,0.06521,-0.01456,0.01533,-83.56347,165.47271
"3","2016_Q1",8.00065573770492,"Down",87895000,-30196000,57699000,-49283000,-38076000,-11207000,8416000,-6311000,2105000,2108000,-6340000,-4232000,-4232000,-4232000,-4232000,292864000,271244000,21620000,20275000,20275000,45915000,9521000,36394000,359054000,105021000,88986000,2871000,27752000,58363000,194007000,553061000,64897000,14382000,50515000,5610000,9615000,4712000,80122000,7571000,134870000,61420000,73450000,142441000,222563000,406133000,-86440000,10805000,330498000,330498000,553061000,-4232000,4509000,6892000,3035000,10204000,-1592000,-1166000,-2390000,-5148000,-2248000,1341000,1341000,1472000,565000,5621000,5621000,-660000,4961000,12925000,13181000,20708000,0.65645,0.09575,-0.04815,-0.0128,-0.00765,-4.89319,4.48134,0.67342,0.02383,-0.03747,-0.03747,0.77816,2.92599,0.18333,-0.00884,0.04327,-21.63892,-33.2323
"4","2016_Q2",8.92359375,"Up",81847000,-27911000,53936000,-47153000,-34923000,-12230000,6783000,8023000,14806000,14806000,-13614000,1192000,1192000,1192000,1192000,269678000,158381000,111297000,19249000,19249000,51685000,9092000,42593000,340612000,116480000,80023000,2416000,28642000,48965000,208564000,549176000,61937000,13571000,48366000,6019000,9403000,5036000,77359000,6789000,135497000,61419000,74078000,142286000,219645000,411321000,-85248000,3458000,329531000,329531000,549176000,1192000,4731000,-4263000,1160000,2820000,-10870000,-101388000,-2168000,-114426000,-2004000,1223000,1223000,944806.805996168,-781000,-112387000,-112387000,-476000,-112863000,11514000,12808000,15418000,0.65899,0.08287,0.01456,0.00362,0.00217,12.93456,4.403,0.66654,0.02332,0.01033,0.01033,0.70944,2.85633,0.13364,0.00249,0.03227,-22.30936,-37.86967
"5","2016_Q3",12.654375,"Up",85349000,-29098000,56251000,-51582000,-39742000,-11840000,4669000,-7719000,-3050000,-3050000,-4261000,-7311000,-7311000,-7311000,-7311000,278200000,167482000,110718000,19507000,19507000,49070000,8972000,40098000,346777000,125754000,78425000,1877000,28147000,48401000,204179000,550956000,59988000,7574000,52414000,6347000,8176000,5199000,74511000,6098000,137326000,61420000,75906000,143424000,217935000,418095000,-92559000,7485000,333021000,333021000,550956000,-7311000,5103000,12286000,6683000,16761000,-15408000,12971000,-3443000,-5880000,-1455000,1491000,1671000,2.3283064365387e-10,36000,10917000,10917000,-1816000,9101000,9772000,12445000,5308000,0.65907,0.0547,-0.08566,-0.02195,-0.01327,-0.72603,4.65404,0.65442,0.02259,-0.06467,-0.06467,0.75499,2.94589,0.04695,-0.01514,0.01099,-27.19556,-56.91904
"6","2016_Q4",12.9392063492063,"Up",87562000,-29314000,58248000,-55575000,-40678000,-14897000,2673000,-709000.000000002,1964000,1964000,-4363000,-2399000,-2399000,-2399000,-2399000,270368000,188030000,82338000,20886000,20886000,62152000,10840000,51312000,353406000,123708000,92087000,8772000,37765000,45550000,215795000,569201000,61540000,7323000,54217000,6563000,9475000,5595000,77578000,5325000,141842000,62882000,78960000,147167000,224745000,434009000,-94958000,5405000,344456000,344456000,569201000,-2399000,5786000,7096000,-214000.000000002,10269000,-7875000,26901000,-2830000,8315999.99999999,-1572000,4461000,4914000,0,2889000,21474000,21474000,-926000,20548000,8459000,11888000,4733000,0.66522,0.03053,-0.0274,-0.00695999999999999,-0.00421,-1.97291,4.55549,0.65246,0.02089,-0.02109,-0.02109,0.76973,3.02799,0.04161,-0.00482,0.0095,-30.5568,-96.70034
"7","2017_Q1",11.7258064516129,"Down",110209000,-37005000,73204000,-69752000,-53636000,-16116000,3452000,-20048000,-16596000,-16596000,-4787000,-21383000,-21383000,-21383000,-21383000,282086000,181592000,100494000,26426000,26426000,62520000,15571000,46949000,371032000,126407000,83754000,7507000,35657000,40590000,210161000,581193000,64974000,10978000,53996000,6829000,12205000,5648000,84008000,5296000,147132000,65068000,82064000,152428000,236436000,442626000,-116341000,18472000,344757000,344757000,581193000,-21383000,6905000,22397000,8990000,16909000,-1828000,-18284000,-3328000,-23440000,-1704000,2135000,2760000,3235000,3666000,-2865000,-2865000,-3573000,-6438000,10357000,12125000,22306000,0.66423,0.03132,-0.19402,-0.06202,-0.03679,-1.04317,4.41663,0.6858,0.02086,-0.19078,-0.19078,0.98331,3.07601,0.19902,-0.04243,0.04426,-26.06556,-78.20423
"8","2017_Q2",12.4085714285714,"Up",96891000,-34659000,62232000,-64333000,-46217000,-18116000,-2101000,628000,-1473000.00000001,-1473000,1052000,-421000,-421000,-421000,-421000,275952000,194807000,81145000,25085000,25085000,54203000,19911000,34292000,355240000,127168000,48331000,6062000,35970000,6299000,175499000,530739000,63301000,6371000,56930000,6748000,11104000,5777000,81153000,4610000,149928000,65034000,84894000,154538000,235691000,447764000,-168211000,15495000,295048000,295048000,530739000,-421000,6938000,4964000,-8172000,3309000,-2700000,19050000,-3956000,12394000,-1835000,-197000,6e+05,3146213.62222125,-2032000,13671000,13671000,-456000,13215000,4837000,11358000,-7087000,0.64229,-0.02168,-0.00434999999999999,-0.00143,-0.000790000000000006,16.83373,4.37741,0.79882,0.0214,-0.00364000000000003,-0.00364000000000003,0.83746,2.5502,-0.06126,-0.00091999999999999,-0.01553,-54.70209,125.93717
"9","2017_Q3",15.7769841269841,"Up",101692000,-35724000,65968000,-77686000,-55932000,-21754000,-11718000,13950000,2232000,2232000,9437000,11669000,11669000,11669000,11669000,287238000,226885000,60353000,24990000,24990000,6.4e+07,28916000,35084000,376228000,129074000,49015000,5301000,37438000,6276000,178089000,554317000,73056000,7595000,65461000,7345000,7923000,5789000,88324000,6191000,151523000,65028000,86495000,157714000,246038000,462696000,-156542000,2125000,308279000,308279000,554317000,11669000,6660000,-5068000,-1122000,12139000,-893000,20778000,-2648000,17237000,-1907000,4545000,5776000,-1224000,1414000,30790000,30790000,1288000,32078000,-5058000,13536000,-16510000,0.6487,-0.11523,0.11475,0.03785,0.02105,-1.41486,4.25963,0.7981,0.02442,0.09666,0.09666,0.84235,2.55359,-0.13676,0.02465,-0.03488,54.11269,23.3574
"10","2017_Q4",17.6419047619048,"Up",106380000,-36383000,69997000,-62572000,-45614000,-16958000,7425000,5815000,13240000,13240000,12562000,25802000,25802000,25802000,25802000,310695000,260288000,50407000,27172000,27172000,62516000,17325000,45191000,400383000,124543000,49136000,4700000,38216000,6220000,173679000,574062000,78720000,7241000,71479000,6548000,8821000,6322000,94089000,5160000,126598000,40580000,86018000,131758000,225847000,483057000,-130740000,-4102000,348215000,348215000,574062000,25802000,7022000,3474000,-19424000,16874000,-279000,9904000,-1438000,8187000,-2096000,12691000,15560000,-3106000,7489000,32550000,32550000,853000,33403000,14447000,11708000,-17818000,0.65799,0.0698,0.24255,0.0741,0.04495,-0.690569999999998,4.25536,0.64858,0.0204,0.20939,0.20939,0.8633,2.82586,-0.1446,0.05303,-0.03662,-20.69544,-40.26761
