"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.61920634920635,"Up",287542000,-253018000,-17448000,-9238000,-226332000,34524000,-6585000,-6585000,27939000,27939000,-10821000,590000,17708000,17708000,-36000,17672000,17672000,-105694293.700482,-105694293.700482,-51055344.2634585,-51055344.2634585,-75233932.7504937,41749849.992399,-61323485.874903,-231983570.714434,-427244856.136137,-1325703289.6296,-381054778.384604,-964406511.708655,16333785.8398488,-1752948145.76574,-1984931716.48017,-144802689.395901,-6701128.46037819,-138101560.935523,-55048799.34394,-199782829.792309,-1090007852.14202,-236263880.172874,-176930618.773828,-59357408.5217224,-1326271732.3149,-1526054562.10721,-711206966.655602,443388546.187866,-5887051.40773332,-400813746.482078,-58063407.8908868,-458877154.372965,-1984931716.48017,17672000,9238000,5671000,32153000,64734000,-15637000,-2298000,-17935000,2201000,-52707000,1138000,112000,-50394000,-3595000,-3595000,15000,-3580000,43762000,0,71099000,0.12007,0.06146,0.158083464561504,0.0697388120840452,4.02326,1.84814369779406,0.43855288125219,0.348404865824662,0.23232,0.22814,3.78014,-2.92149808684125,0.9347,0.0774470976253984,-0.107487730783576,-10.7812977370481,-29.8971882502779
"2","2010_Q3",6.0065625,"Up",280095000,-247045000,-20655000,-9474000,-216916000,33050000,-6961000,-6961000,26089000,26089000,-10192000,1128000,17025000,17025000,-7999.99999999997,17017000,17017000,40135000,40135000,174199000,174199000,43835000,13509000,13306000,258169000,1030558000,167824000,16292000,40089000,111443000,1198382000,1456551000,146878000,44901000,101977000,19671000,166549000,624536000,38560000,7060000,31500000,663096000,829645000,359280000,400616000,2612000,626380000,526000,626906000,1456551000,17017000,9474000,1504000,-7391000,20604000,-40392000,-2961000,-43353000,53714999.9999999,-19700000,3733000,-97000,33918000,11169000,11169000,-1310000,9859000,42524000,644207000,4933000.00000001,0.118,0.06075,0.02714,0.01168,0.289889999999997,1.55011,1.3234,0.44228,0.23259,0.23002,3.8284,8.56149,0.0674299999999998,0.01299,0.00377,14.20544,18.27752
"3","2010_Q4",6.810625,"Up",327933000,-298409000,-33925000,-13384000,-251100000,29524000,-10184000,-10184000,19340000,11407000,-7547000,1150000,5010000,5010000,271000,5281000,5281000,53766000,53766000,261683000,261683000,92818000,21443000,40180000,408267000,1498886000,482807000,92342000,244568000,145897000,1981693000,2389960000,229812000,66799000,163013000,41173000,270985000,1007997000,102065000,51069000,50996000,1110062000,1381047000,713940000,405047000,7762000,987901000,21012000,1008913000,2389960000,5281000,13384000,7708000,-8107000,18266000,-11921000,3148000,-269012000,274624000,-1846000,876000,-12057000,260721000,9975000,9975000,3656000,13631000,42908000,1049170000,30427000,0.09003,0.0161,0.00523,0.00221,5.7616,1.5066,1.36885,0.43899,0.06091,0.06052,3.78252,11.39487,0.35096,0.00244,0.01409,23.19856,33.71508
"4","2011_Q1",6.60306451612903,"Down",189022000,-159218000,-29530000,-12269000,-117419000,29804000,-10722000,-10722000,19082000,19082000,-5804000,1350000,14628000,23047000,451000,23498000,23498000,39664000,39664000,275778000,275778000,106642000,36377000,41150000,422084000,1511292000,478997000,87813000,236594000,153654000,1990289000,2412373000,225713000,73880000,151833000,41574000,267287000,1003416000,102180000,55318000,46862000,1105596000,1372883000,719334000,428545000,10071000,1018901000,20589000,1039490000,2412373000,23498000,12269000,11282000,-25181000,26286000,-26261000,-9073000,-37961000,-1985000.00000006,947999.999999999,948000,489999.999999998,-547000,-12222000,-12222000,1808000,-10414000,42073000,1044990000,-3565000.00000001,0.15767,0.12431,0.02261,0.00974,-0.151720000000001,1.57914,1.32073,0.43318,0.24389,0.24166,1.96187,10.57522,-0.0369999999999999,0.01075,-0.00163,23.8948,33.73124
"5","2011_Q2",6.76492063492064,"Up",391766000,-350876000,-32788000,-18802000,-299286000,40890000,-15392000,-15392000,25498000,25498000,-9780000,662000,16380000,16380000,410000,16790000,16790000,85894000,85894000,278654000,278654000,117473000,31897000,37593000,482021000,1568517000,905597000,210598000,527118000,166945000,2474114000,2956135000,246438000,80158000,166280000,50047000,296485000,1434996000,169275000,107370000,61905000,1604271000,1900756000,722550000,445335000,10383000,1039219000,16160000,1055379000,2956135000,16790000,18802000,7394000,26091000,69077000,-38446000,3199000,-444854000,439334000,983000,983000,-13117000,427200000,51423000,51423000,-5193000,46230000,59692000,1485043000,57117000,0.10437,0.04286,0.01591,0.00568,3.40185,1.62579,1.80102,0.50236,0.1741,0.17292,4.06242,10.7762,0.59228,0.0062,0.02108,23.43947,34.21739
"6","2011_Q3",5.6471875,"Down",385382000,-337525000,-27710000,-20844000,-288971000,47857000,-17783000,-17783000,30074000,30074000,-11894000,1418000,19598000,21163000,415000,21578000,21578000,57453000,57453000,283702000,283702000,110989000,24272000,38734000,452144000,1617504000,912645000,204973000,526964000,179772000,2530149000,2982293000,249087000,81457000,167630000,50563000,299650000,1431846000,170775000,107370000,63405000,1602621000,1902271000,725533000,466913000,10883000,1064280000,15742000,1080022000,2982293000,21578000,20844000,825000,-21039000,26185000,-41657000,-14677000,-56334000,-3906000.00000012,1226000,1226000,-1274000,-3954000,-34103000,-34103000,5662000,-28441000,68701000,1482409000,17899000,0.12418,0.05599,0.01998,0.00724,0.8295,1.50891,1.76133,0.49707,0.22318,0.22185,3.98606,11.00799,0.18513,0.00789,0.00655,20.74142,29.77529
"7","2011_Q4",4.79428571428571,"Down",395683000,-345472000,-25922000,-21850000,-297700000,50211000,-17560000,-17560000,32651000,32651000,-12255000,272000,20668000,21293000,225000,21518000,21518000,43956000,43956000,274294000,274294000,107616000,21611000,41033000,425866000,1673851000,890873000,205131000,512669000,172137000,2564724000,2990590000,249522000,72216000,177306000,51204000,300726000,1486167000,158464000,99142000,59322000,1644631000,1945357000,726959000,488431000,3462000,1029816000,15417000,1045233000,2990590000,21518000,21850000,1726000,24982000,68862000,-89637000,7352000,-82285000,54275000,-49750000,237000,-277000,4248000,-9175000,-9175000,-4322000,-13497000,72061000,1537371000,19661000,0.1269,0.05438,0.02059,0.0072,0.9137,1.41613,1.86117,0.51407,0.22649,0.22572,4.16478,10.83937,0.20694,0.00785,0.00717,20.72432,29.74279
"8","2012_Q1",4.85290322580645,"Up",234341000,-193700000,-23595000,-20052000,-150053000,40641000,-17611000,-17611000,23030000,23030000,-9243000,-789000,12998000,18627000,112000,18739000,18739000,43378000,43378000,265250000,265250000,150701000,49025000,42534000,459329000,1688356000,902238000,195716000,490296000,173011000,2590594000,3049923000,228675000,68033000,160642000,53653000,288818000,1540664000,181920000,125516000,54106000,1722584000,2011402000,728149000,507170000,1930000,1023218000,15303000,1038521000,3049923000,18739000,20052000,52507000,-66918000,24988000,-43689000,-5377000,-52068000,55860000,-24995000,-1.16415321826935e-10,-4341000,26524000,-555999.999999996,-555999.999999996,1554000,998000,60693000,1594317000,-40671000,0.17343,0.07996,0.01804,0.00614,-2.17039,1.59038,1.93679,0.52274,0.20275,0.20205,2.5355,11.07091,-0.44005,0.00666,-0.01445,25.55384,38.16193
"9","2012_Q2",5.78666666666667,"Up",360042000,-319545000,-26586000,-22239000,-270720000,40497000,-18999000,-18999000,21498000,21498000,-8490000,748000,13756000,15059000,-34000,15025000,15025000,48999000,48999000,282902000,282902000,98504000,31380000,38398000,430405000,1717091000,886722000,195652000,508076000,181283000,2603813000,3034218000,216474000,55830000,160644000,56020000,272494000,1527204000,184351000,125209000,59142000,1711555000,1984049000,728915000,521789000,3889000,1040562000,9607000,1050169000,3034218000,15025000,22239000,2186000,26833000,68480000,-47461000,960000,-47586000,-11075000,231000,231000,-7179000,-18023000,2871000,2871000,995000,3866000,62736000,1583224000,50598000,0.11248,0.04173,0.01431,0.00495,3.36759,1.5795,1.88927,0.52179,0.16483,0.1644,3.94991,11.41568,0.55509,0.00533,0.01796,24.45526,37.88491
"10","2012_Q3",6.90904761904762,"Up",371173000,-318232000,-26129000,-22962000,-269141000,52941000,-18857000,-18857000,34084000,34084000,-13660000,430000,20854000,22476000,24999.9999999999,22501000,22501000,68538000,68538000,284431000,284431000,98893000,23383000,40071000,451862000,1718392000,878974000,190743000,508068000,177876000,2597366000,3049228000,222494000,63681000,158813000,59758000,282954000,1509481000,184147000,125209000,58938000,1693628000,1976582000,731089000,544290000,1453000,1063097000,9549000,1072646000,3049228000,22501000,22962000,3201000.00000001,1985000.00000003,58486000,-21547000,-407000,-23406000,-13207000,165000.000000002,165000,72000,-12970000,22110000,22110000,-1038000,21072000,75903000,1569239000,70001000,0.14263,0.06062,0.02098,0.00738,3.11102,1.59695,1.84272,0.51463,0.24657,0.24565,4.06734,11.64948,0.76708,0.00796,0.02477,19.7713,28.34667
