"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",26.9328125,"Up",348307000,-195003000,153304000,-142903000,-142903000,10401000,-498000,132000,9903000,12230000,-2128000,10102000,10102000,10102000,10102000,374642000,303654000,70988000,238325000,238325000,325241000,90258000,41814000,1028466000,266946000,77069000,37285000,14438000,25346000,344015000,1372481000,166535000,75980000,2217000,88338000,166558000,41800000,40045000,41800000,208358000,1097271000,35445000,1164123000,1164123000,1372481000,10102000,9858000,4043000,41832000,65835000,-14729000,-26317000,-41046000,-7521000,-156000,6005000,6005000,-1317000,-2989000,21800000,21800000,-8927000,12873000,20259000,0,49490000,0.44014,0.02986,0.029,0.00868,0.00736,4.89903,6.17482,0.17898,0,0.14783,0.14662,5.09713,17.03578,0.72424,0.11006,0.01461,0.04104,0.74451,-18.49262,-36.01981
"12","2013_Q3",27.50375,"Up",280495000,-160211000,120284000,-131935000,-131935000,-11651000,-258000,215000,-11909000,-10255000,2925000,-7330000,-7330000,-7077000,-7077000,430609000,340428000,90181000,180937000,180937000,423765000,94958000,47074000,1130269000,273016000,73749000,36952000,14438000,22359000,346765000,1477034000,274757000,185984000,3895000,84878000,274775000,42803000,41025000,42803000,317578000,1082634000,30025000,1151631000,1159456000,1477034000,-7330000,10033000,2798000,64367000,69868000,-16728000,-18532000,-35260000,-7560000,0,5045000,5045000,8223000,5708000,40316000,40316000,-3542000,36774000,-1618000,0,43096000,0.42883,-0.04154,-0.02523,-0.0061,-0.00479,-6.08959,4.11343,0.2739,-2.16840434497101e-19,-0.103,-0.103,4.08254,16.76172,0.62725,0.11003,0.000399999999999999,0.03585,-1.06825,266.13659,36.95897
"13","2013_Q4",30.47296875,"Up",523084000,-290735000,232349000,-162951000,-162951000,69398000,473000,56000,69871000,77372000,-22822000,54550000,54550000,54586000,54586000,303209000,274160000,29049000,378032000,378032000,410111000,88856000,38514000,1180208000,280682000,73412000,36620000,14438000,22354000,354094000,1534302000,270666000,141755000,9257000,119654000,270733000,43847000,41998000,43847000,314580000,1129636000,37905000,1211912000,1219722000,1534302000,54550000,10446000,1151000,-178127000,-111980000,-17651000,60729000,43078000,-7584000,0,3149000,3149000,33000,-4402000,-73304000,-73304000,7036000,-66268000,79844000,0,-93112000,0.44419,0.13267,0.10435,0.04475,0.03558,-1.70579,4.35931,0.25791,0,0.7922,0.77718,7.59149,17.58841,-1.35133,0.11007,0.0492,-0.07369,0.13894,-3.79752,-4.36913
"14","2014_Q1",36.1383606557377,"Up",533110000,-295392000,237718000,-187867000,-187867000,49851000,-85000.0000000001,1e+05,49766000,52079000,-15798000,36281000,36281000,36730000,36730000,529244000,437489000,91755000,306878000,306878000,329228000,85122000,33081000,1250472000,279373000,75743000,36288000,14438000,25017000,355116000,1605588000,301205000,173557000,7251000,120397000,301254000,51470000,43511000,51470000,352724000,1157733000,35360000,1245418000,1252864000,1605588000,36281000,10534000,17516000,186221000,250552000,-20224000,-62634000,-82858000,-8633000,1.16415321826935e-10,5338000,5338000,302000,-2993000,164701000,164701000,-1372000,163329000,60385000,0,242180000,0.44591,0.09351,0.0689,0.02932,0.02288,6.59352,4.15089,0.28153,0,0.5317,0.5255,7.71728,18.02863,3.50579,0.12497,0.03478,0.18567,0.23504,-8.76448999999995,-10.61652
"15","2014_Q2",37.995873015873,"Up",424084000,-226998000,197086000,-163359000,-163359000,33727000,-327000,29000,33400000,35124000,-11448000,23676000,23676000,22255000,22255000,567575000,528038000,39537000,249115000,249115000,290196000,85306000,34810000,1192192000,282290000,75047000,35955000,14438000,24654000,357337000,1549529000,206070000,104863000,6088000,95119000,206135000,68703000,60598000,68703000,274838000,1170226000,30209000,1266322000,1274691000,1549529000,23676000,10252000,4604000,4964000,43496000,-17747000,52412000,34665000,-9762000,0,11168000,11168000,15838000,17244000,95405000,95405000,-4856000,90549000,43979000,0,42644000,0.46473,0.07953,0.05248,0.01746,0.01436,1.91615,5.78355,0.21561,0,0.32059,0.31617,6.10914,18.24198,0.61431,0.14063,0.02383,0.03174,0.43864,-12.90559,-16.82851
"16","2014_Q3",35.444375,"Down",324246000,-180221000,144025000,-162196000,-162196000,-18171000,-42000,107000,-18213000,-17031000,10293000,-6738000,-6738000,-6329000,-6329000,394403000,367165000,27238000,204527000,204527000,456448000,94753000,42551000,1150131000,291270000,243890000,149221000,69257000,25412000,535160000,1685291000,347553000,239906000,3315000,104332000,347619000,59707000,51446000,59707000,407326000,1154103000,38075000,1269971000,1277965000,1685291000,-6738000,12982000,2483000,10731000,19458000,-7201000,12323000,-183345000,-9794000,0,7849000,7849000,1304000,-641000,-164528000,-164528000,3655000,-160873000,-5188999.99999999,-1.16415321826935e-10,-11952000,0.44418,-0.05604,-0.01952,-0.00495,-0.00376,1.88845,3.3086,0.31873,0,-0.0905199999999999,-0.09052,4.63765,18.16424,-0.17095,0.14008,0.00259,-0.00893000000000004,-1.54748,76.00752,21.70508
"17","2014_Q4",37.326875,"Up",675296000,-368515000,306781000,-210659000,-210659000,96122000,622000,-44000,96744000,98904000,-30972000,67932000,67932000,65644000,65644000,185784000,185247000,537000,458844000,458844000,494795000,93626000,42916000,1233049000,289480000,239348000,146184000,68594000,24570000,528828000,1761877000,378386000,218804000,18922000,140660000,380610000,54732000,54514000,54732000,435342000,1209934000,27096000,1316059000,1326535000,1761877000,67932000,15391000,-2548000,-252258000,-171483000,-17837000,26689000,8852000,-9813000,2288000,269000,276000,-10000,-7266000,-169897000,-169897000,-12021000,-181918000,111513000,2185000,-127610000,0.45429,0.14234,0.09721,0.04949,0.03726,-1.94397,3.23967,0.32818,0.00124,0.93653,0.92694,9.63429,18.7759,-1.82058,0.14,0.05454,-0.09224,0.14949,-1.64644,-1.91006
"18","2015_Q1",46.5513114754098,"Up",676964000,-369905000,307059000,-226849000,-226849000,80210000,-576000,-141000,79634000,81524000,-24535000,56989000,56989000,55603000,55603000,440825000,413558000,27267000,344390000,344390000,384650000,96176000,39175000,1266041000,291563000,234605000,143731000,68594000,19455000,526168000,1792209000,372951000,214275000,14388000,144288000,373120000,63855000,60551000,63855000,436975000,1255070000,15833000,1343603000,1355234000,1792209000,56989000,15392000,-4843000,226774000,294312000,-17427000,-26772000,-44199000,-10467000,-2137000,-12009000,2984000,726000,-23887000,226226000,226226000,2085000,228311000,95602000,-4.65661287307739e-10,329484000,0.45358,0.11848,0.08214,0.04103,0.03102,5.92565,3.39312,0.32244,0,0.79659,0.77658,9.69849,19.24905,4.72033,0.14995,0.04656,0.23218,0.18825,-4.61104,-5.49589
"19","2015_Q2",54.664126984127,"Up",478982000,-250208000,228774000,-186502000,-186502000,42272000,-2093000,103000,40179000,42029000,-14110000,27919000,27919000,26471000,26471000,454542000,401604000,52938000,251702000,251702000,363656000,102210000,47502000,1172110000,283091000,233872000,142444000,68594000,20117000,516963000,1689073000,249325000,144488000,6889000,97948000,249446000,65192000,61733000,65192000,314638000,1270984000,2778000,1361329000,1374435000,1689073000,27919000,13936000,5447000,-18595000,28707000,-15398000,-25796000,-41194000,-10557000,0,11101000,11101000,773000,1317000,-11170000,-11170000,-784000,-11954000,56208000,0,36325000,0.47763,0.08825,0.05527,0.01926,0.01567,1.37226,4.69885,0.22892,0,0.37773,0.37278,6.83479,19.42536,0.51834,0.15064,0.02572,0.02523,0.39881,-8.08678,-10.75279
"20","2015_Q3",57.7346875,"Up",380234000,-208916000,171318000,-181502000,-181502000,-10184000,763000,296000,-9421000,-8199000,2395000,-5803999.99999999,-5803999.99999999,-6545000.00000001,-6545000.00000001,417490000,371062000,46428000,198296000,198296000,581031000,101032000,45513000,1297849000,285833000,234974000,141158000,68594000,22231000,520807000,1818656000,400587000,286623000,3436000,110528000,400712000,66452000,63348000,66452000,467164000,1253883000,3417000,1337646000,1351492000,1818656000,-5803999.99999999,13842000,2345000,-14954000,-4571000.00000003,-12863000,6801000,-6062000,-10556000,0,-11255000,3270000,1038000,-20773000,-31406000,-31406000,864000,-30541999.9999999,3658000,9.31322574615479e-10,-26554000,0.45056,-0.02678,-0.01721,-0.00484,-0.0036,4.05714,3.23886,0.34567,4.33680868994202e-19,-0.0930499999999999,-0.0930500000000001,5.40574,19.01713,-0.37751,0.15007,0.00283000000000001,-0.01873,-1.61283,-114.13067,40.9947
"21","2015_Q4",47.46984375,"Down",767550000,-411090000,356460000,-226778000,-226778000,129682000,-1524000,34000,128158000,130745000,-37805000,92940000,92940000,91061000,91061000,174039000,173410000,629000,529844000,529844000,546685000,98028000,35140000,1348596000,294926000,233354000,139871000,68594000,21917000,528280000,1876876000,364580000,170168000,30515000,163897000,385751000,69601000,65237000,69601000,455352000,1334390000,-14862000,1406397000,1421524000,1876876000,92940000,14143000,-2843000,-339241000,-235001000,-19409000,45767000,26358000,-10554000,21176000,2530000,2530000,1198000,14350000,-194293000,-194293000,-3359000,-197652000,143825000,21045000,-177020000,0.46441,0.16896,0.11864,0.06406,0.04852,-1.94397,3.49603,0.32033,0.01121,1.29462,1.27825,10.91231,19.99484,-2.51671,0.15005,0.0672,-0.11706,0.1159,-1.06375,-1.17976
"22","2016_Q1",51.0655737704918,"Up",699414000,-382466000,316948000,-237189000,-237189000,79759000,452000,-999.999999999971,80211000,82744000,-17948000,64796000,64796000,63350000,63350000,370399000,369770000,629000,371953000,371953000,473637000,33400000,33400000,1249389000,291687000,305077000,138584000,68594000,21718000,596764000,1846153000,364130000,217230000,5038000.00000001,141862000,366070000,64270000,64041000,64270000,430340000,1385860000,-20836000,1399800000,1415813000,1846153000,64796000,14600000,-7761000,234335000,305970000,-22103000,0,-22103000,-11880000,-19226000,-55002000,541000,-31000,-86139000,197728000,197728000,-1368000,196360000,94359000,1940000,324539000,0.45316,0.11404,0.09058,0.04474,0.03431,5.12295,3.41298,0.30395,0.00105,0.90641,0.88394,10.00721,20.02833,4.6435,0.16998,0.05076,0.21898,0.18753,-3.90486000000003,-4.61965
"23","2016_Q2",53.53078125,"Up",525136000,-277759000,247377000,-205025000,-205025000,42352000,-148000,227000,42204000,44117000,-9923000,34194000,34194000,31770000,31770000,451227000,4.3e+08,21227000,268871000,268871000,412228000,30116000,30116000,1162442000,289663000,308657000,137298000,68594000,24675000,598320000,1760762000,238990000,113013000,4911000,121066000,238990000,67857000,67626000,67857000,306847000,1405789000,-11014000,1435285000,1453915000,1760762000,34194000,14682000,4555000,43565000,96996000,-10024000,-20781000,-30805000,-11841000,-1940000,7417000,7417000,-4756000,-11120000,55071000,55071000,5159000,60230000,57034000,0,100498000,0.47107,0.08065,0.0605,0.02185,0.01804,3.1633,4.86398,0.21105,0,0.45751,0.45093,7.56233,20.66913,1.44724,0.17052,0.02866,0.06604,0.37271,-7.91154,-10.65421
"24","2016_Q3",53.408125,"Down",388745000,-209161000,179584000,-193321000,-193321000,-13737000,689000,430000,-13048000,-11097000,3224000,-7873000,-7873000,-8172000,-8172000,428803000,415944000,12859000,192354000,192354000,653636000,35657000,35657000,1310450000,287869000,309235000,136011000,68594000,25979000,597104000,1907554000,399399000,274609000,3094000,121696000,401763000,68183000,67955000,68183000,469946000,1385769000,-10773000,1419521000,1437608000,1907554000,-7873000,14809000,5872000,-7101999.99999994,5705999.99999997,-12908000,8373000,-4535000,-11848000,2363000,1685000,1685000,-50000,-7850000,-6679000,-6679000,-7377000,-14056000,1072000,2364000,-22162000,0.46196,-0.03534,-0.02102,-0.00568,-0.00428,2.71194,3.26175,0.32689,0.00124,-0.11726,-0.11726,5.57788,20.36791,-0.31799,0.17,0.00244,-0.01469,-1.44983,-397.79757,31.0431
"25","2016_Q4",55.1314285714286,"Up",745714000,-400002000,345712000,-224497000,-224497000,121215000,-480000,140000,120735000,123150000,-36598000,86552000,86552000,83585000,83585000,219656000,219189000,467000,486236000,486236000,588021000,33514000,33514000,1327427000,285514000,308874000,134724000,68594000,25622000,594388000,1921815000,332495000,136667000,29332000,166496000,332515000,68648000,68419000,68648000,401163000,1457495000,-6934000,1499652000,1520652000,1921815000,86552000,14987000,2600000,-292008000,-187869000,-12604000,12408000,-196000,-11859000,-2343000,1629000,1640000,-64000,-12637000,-200702000,-200702000,3947000,-196755000,136202000,20000,-131812000,0.4636,0.16255,0.11209,0.05497,0.04349,-1.57698,3.99208,0.26381,1e-05,1.19816,1.18342,10.68955,21.497,-1.88948,0.16999,0.06005,-0.08294,0.14188,-1.61258,-1.81195
"26","2017_Q1",52.8261290322581,"Down",717450000,-379775000,337675000,-241241000,-241241000,96434000,329000,165000,96763000,100728000,-15162000,85566000,85566000,84715000,84715000,551861000,551389000,472000,333678000,333678000,487997000,38487000,38487000,1412023000,279650000,322221000,133438000,68594000,27695000,601871000,2013894000,362851000,215048000,5645000,142158000,362851000,69532000,69385000,69532000,432383000,1529636000,-22617000,1560820000,1581511000,2013894000,85566000,15538000,-16414000,275644000,360334000,-14354000,0,-14354000,-12574000,-19999.9999999991,2425000,2425000,-247000,-10416000,335564000,335564000,-3364000,332200000,111972000,0,388424000,0.47066,0.13441,0.11808,0.05357,0.04207,4.58507,3.89147,0.2734,-1.33831205666179e-19,1.21306,1.18071,10.27335,22.34979,5.56195,0.18005,0.05893,0.23526,0.14843,-4.92855999999997,-5.72268
"27","2017_Q2",53.4166666666667,"Up",543793000,-285326000,258467000,-212815000,-212815000,45652000,653000,706000,46305000,48658000,-9773000,38885000,38885000,36006000,36006000,590476000,556006000,34470000,260456000,260456000,398842000,40863000,40863000,1290637000,279730000,317707000,132151000,68594000,26853000,597437000,1888074000,227917000,95253000,5798000,126866000,227917000,68140000,67991000,68140000,296057000,1553143000,-12892000,1568271000,1592017000,1888074000,38885000,14940000,7527000,26877000,88229000,-11248000,-33813000,-45061000,-12499000,0,-25209000,7791000,-3513000,-41221000,1947000,1947000,2670000,4617000,60592000,0,85994000,0.4753,0.08395,0.06621,0.02262,0.01907,2.38832,5.66275,0.18596,0,0.51728,0.51135,7.81244,22.53069,1.23544,0.17957,0.02922,0.0518,0.34714,-9.74511,-12.93429
"28","2017_Q3",54.9698412698413,"Up",398904000,-218042000,180862000,-200598000,-200598000,-19736000,1430000,1070000,-18306000,-15855000,4539000,-11316000,-11316000,-11535000,-11535000,622230000,620639000,1591000,181119000,181119000,559544000,42053000,42053000,1404946000,286006000,320248000,131045000,68594000,26095000,606254000,2011200000,382933000,264881000,3245000,114807000,382933000,56067000,55911000,56067000,4.39e+08,1529061000,-13296000,1546810000,1572200000,2011200000,-11316000,14992000,2011000,63131000.0000001,68818000,-12873000,32878000,20005000,-12547000,-1.16415321826935e-10,273000.000000004,2815000,-14262000,-26536000,62287000,62287000,2346000,64633000,-4744000.00000001,-1.45519152283669e-11,40974999.9999999,0.4534,-0.04948,-0.02892,-0.00734,-0.00574,-3.55223,3.66891,0.27923,1.35525271560688e-20,-0.16556,-0.16556,5.72546,22.20131,0.58811,0.18009,0.000619999999999992,0.02516,-1.08773,131.16147,31.52767
"29","2017_Q4",62.3912698412698,"Up",747367000,-398177000,349190000,-230446000,-230446000,118744000,931000,1035000,119675000,123818000,-32716000,91102000,91102000,94200000,94200000,430274000,411805000,18469000,466852000,466852000,558558000,36113000,36113000,1491797000,285582000,323435000,130300000,68594000,26479000,609017000,2100814000,384464000,190634000,22921000,170909000,384464000,57930000,57776000,57930000,442394000,1604214000,-13929000,1629292000,1658420000,2100814000,91102000,14728000,3580000,-278888000,-169478000,-17431000,-16884000,-34315000,-12571000,0,5450000,5450000,-46000,-7167000,-210960000,-210960000,2126000,-208834000,133472000,0,-130131000,0.46723,0.15888,0.12604,0.0568,0.04484,-1.38143,3.8802,0.26676,0,1.34928,1.33828,10.70496,23.33728,-1.86394,0.18006,0.06221,-0.07582,0.13345,-3.2237,-3.62354
"30","2018_Q1",71.7098360655738,"Up",776041000,-404598000,371443000,-267035000,-267035000,104408000,751000,1275000,105159000,110113000,-116469000,-6356000.00000001,-6356000.00000001,-13548000,-13548000,768149000,673166000,94983000,364862000,364862000,457927000,58559000,58559000,1649497000,281394000,282011000,129555000,68594000,27058000,563405000,2212902000,453636000,252301000,19107000,182228000,453636000,107007000,106839000,107007000,560643000,1585009000,-8887000,1621951000,1652259000,2212902000,-6356000.00000001,15285000,44946000,299684000,353559000,-11521000,-76892000,-88413000,-13292000,-2.91038304567337e-11,3890000,3890000,-77000.0000000019,-9479000,255667000,255667000,5694000,261361000,119693000,2.91038304567337e-11,524325000,0.47864,0.13454,-0.01746,-0.00819999999999997,-0.00612000000000001,-38.70128,3.63617,0.33932,-6.7762635780344e-21,-0.1937,-0.18992,11.09533,23.18961,7.49646,0.19004,-0.000149999999999997,0.29804,-0.9811,-6.41766000000002,-7.35719
"31","2018_Q2",81.5596875,"Up",607308000,-307870000,299438000,-243368000,-243368000,56070000,2028000,2296000,58098000,61349000,-12620000,48729000,48729000,45107000,45107000,808194000,717216000,90978000,316415000,316415000,405971000,72788000,72788000,1603368000,281213000,304103000,128810000,68594000,29656000,585316000,2188684000,383734000,167328000,10261000,206145000,383734000,113597000,113426000,113597000,497331000,1629279000,-8949000,1656520000,1691353000,2188684000,48729000,14536000,6385000,7702000,77352000,-12271000,3943000,-8328000,-15452000,0,-8719000,9380000,-4033000,-28204000,40820000,40820000,3230000,44050000,70606000,0,78657000,0.49306,0.09233,0.07427,0.02667,0.02061,1.74379,4.17833,0.29404,0,0.64365,0.63672,8.66592,23.63756,1.12239,0.22049,0.03355,0.04358,0.34256,-11.44653,-14.41402
"32","2018_Q3",87.0773015873016,"Up",481619000,-252998000,228621000,-222192000,-222192000,6428999.99999999,2832000,2928000,9260999.99999999,12581000,-2086000.00000001,10495000,10495000,9737000.00000001,9737000.00000001,774670000,510656000,264014000,238675000,238675000,570473000,76399000,76399000,1660217000,280726000,306007000,128065000,68594000,38997000,586733000,2246950000,486323000,290812000,4e+06,191511000,486323000,106252000,106239000,106252000,592575000,1623612000,-6374000,1640400000,1654375000,2246950000,10495000,14531000,2833000,-5886000.00000006,21973000,-17328000,-173128000,-190456000,-15404000,4.65661287307739e-10,-16416000,5591000,-98000,-31918000,-200401000,-200401000,-6159000,-206560000,20960000,0,-168000,0.47469,0.01335,0.02022,0.00588999999999999,0.00432999999999999,-0.0172500000000013,3.41382,0.35819,-1.0842021724855e-19,0.13906,0.13763,6.87821,23.42726,-0.00239999999999907,0.21999,0.01428,-9.99999999999682e-05,1.58201,-36.95945,-120.49619
"33","2018_Q4",85.2103174603175,"Down",795801000,-412098000,383703000,-259267000,-259267000,124436000,3260000,2524000,127696000,132404000,-30029000,102375000,102375000,106755000,106755000,451488000,182175000,269313000,552442000,552442000,617194000,91733000,77763000,1712857000,284744000,301738000,127320000,68594000,36911000,586482000,2299339000,501273000,237344000,8247000,255682000,509584000,108159000,108146000,108159000,617743000,1669390000,-4235000,1665365000,1681596000,2299339000,102375000,14477000,5111000,-319354000,-197391000,-15572000,-4366000,-19938000,-15304000,8311000,-65579000,1537000,-20039000,-92611000,-309940000,-309940000,-4571000,-314511000,138913000,8311000,-165984000,0.48216,0.15637,0.13415,0.06348,0.04643,-1.55481,3.36128,0.36736,0.00361,1.53408,1.51733,11.43573,23.93144,-2.3852,0.21992,0.06788,-0.09231,0.14336,-3.19032,-3.56149
