"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",45.5955555555556,"Up",493264000,-492370000,894000,-86035000,-86495000,460000,-85141000,-41916000,-43294000,1378000,-127057000,48371000,-78686000,34212000,-44474000,5727000,5727000,-38747000,-38747000,-38747000,40049000,35940000,291412000,307601000,116610000,3643000,755672000,3793041000,33298000,3884792000,3096300000,681872000,106620000,7711131000,8466803000,283453000,128974000,625344000,325344000,909222000,2101147000,1408219000,870384000,537835000,3509366000,4418588000,2572425000,127693000,2444732000,1666839000,-191049000,4048215000,4048215000,8466803000,-38747000,94197000,-95554000,6439000,-18705000,51064000,-3672000,28687000,-31600000,-11606000,21355000,4e+05,-21451000,13675000,13675000,13675000,9056000,2726491000,0.00181,-0.17261,-0.07855,-0.00957,-0.00458,0.83112,1.09149,0.32202,-0.30584,-0.30584,3.89341,31.9532,0.24942,7.80739485949622,-0.00087,-0.81555,296.64775,-31.55286
"2","2010_Q3",36.683125,"Down",736151000,-613815000,122336000,-82490000,-83377000,887000,39846000,-44956000,-43722000,-1234000,-5110000.00000001,-38637000,-43747000,21232000,-22515000,-1477000,-1477000,-23992000,-23992000,-23992000,46083000,42173000,389323000,311340000,110157000,3746000,856903000,3717015000,34078000,3878969000,3096300000,681059000,101610000,7630062000,8486965000,328420000,168269000,745300000,425300000,1074129000,2001180000,1382337000,843408000,538929000,3383517000,4457646000,2605942000,128270000,2477672000,1610835000,-187458000,4029319000,4029319000,8486965000,-23992000,97279000,-17112000,12217000,-20229000,-110000,-357000,-20696000,-3.2e+07,19906000,26556000,250000,14712000,6233000,6233000,6233000,137125000,2746480000,0.16618,0.05413,-0.03259,-0.00595,-0.00283,0.79777,1.1063,0.32361,-0.18713,-0.18713,5.74167,31.427,0.24959,4,0.000980000000000001,-1.33378,19.6929600000001,67.77084
"3","2010_Q4",36.86546875,"Up",743204000,-616458000,126746000,-76789000,-77559000,770000,49957000,-45889000,-47525000,1636000,4068000,476000,4544000,6047000,10591000,2655000,2655000,13246000,13246000,13246000,86406000,82496000,404934000,316244000,114160000,531000,921744000,3677048000,33808000,3888918000,3096300000,685696000,106922000,7599774000,8521518000,345547000,138462000,325249000,325249000,671256000,2432521000,1393672000,856631000,537041000,3826193000,4497449000,2615929000,128391000,2487538000,1591969000,-183829000,4024069000,4024069000,8521518000,13246000,97698000,7459000,109171000,-19162000,-35404000,4392000,-50174000,-32096000,11194000,6420000,-4192000,-18674000,40323000,40323000,40323000,147655000,2757770000,0.17054,0.06722,0.01782,0.00329,0.00155,1.37316,1.11764,0.32362,0.10299,0.10299,5.77847,31.28747,0.24955,3.23086838016793,0.00555,2.42307,18.09193,53.47327
"4","2011_Q1",39.5587096774194,"Up",586243000,-535493000,50750000,-89254000,-80106000,-9148000,-38504000,-44905000,-46199000,1294000,-83409000,9092000,-74317000,28172000,-46145000,-851999.999999999,-851999.999999999,-46997000,-46997000,-46997000,47541000,47541000,260814000,319845000,145551000,57531000,773751000,3632914000,37386000,3895485000,3097016000,691693000,106776000,7565785000,8339536000,291486000,102315000,290746000,5246000,582348000,2427516000,1373874000,843599000,246129000,3801390000,4383738000,2629456000,128570000,2500886000,1503681000,-177339000,3955798000,3955798000,8339536000,-46997000,92919000,2372000,74879000,-14626000,-35130000,3563000,-46193000,-32096000,-39710000,7905000,260000,-63641000,-34955000,-34955000,-34955000,54415000,2718262000,0.08657,-0.06568,-0.08017,-0.01188,-0.00564,1.32867,1.10818,0.32595,-0.36522,-0.36522,4.55582,30.74136,0.24942,4,-0.00185,-0.682939999999999,49.0806,-69.36217
"5","2011_Q2",37.8761904761905,"Down",487200000,-494306000,-7106000,-80078000,-77516000,-2562000,-87184000,-40868000,-42250000,1382000,-128052000,2.6e+07,-102052000,37430000,-64622000,9889000,9889000,-54733000,-54733000,-54733000,63164000,63164000,278126000,329187000,96418000,109000,766895000,3592830000,37271000,3903440000,3097016000,701046000,105378000,7533541000,8300436000,329364000,119702000,305238000,5238000,634958000,2427596000,1341447000,807029000,534418000,3769043000,4404001000,2653621000,129107000,2524514000,1416486000,-173672000,3896435000,3896435000,8300436000,-54733000,90586000,-60177000,44050000,-23615000,12284000,4e+05,-10931000,-32265000,11441000,3303000,25000,-17496000,15623000,15623000,15623000,3402000,2732834000,-0.01459,-0.17895,-0.11234,-0.01405,-0.00659,1.20779,1.13026,0.32924,-0.42403,-0.42403,3.77446,30.18667,0.24997,4,-0.00282,-0.5895,784.73545,-30.6211
"6","2011_Q3",31.0596875,"Down",701971000,-601131000,100840000,-78133000,-73755000,-4378000,22707000,-70932000,-70911000,-21000.0000000002,-48225000,782000,-47443000,40341000,-7102000,-1037000,-1037000,-8139000,-8139000,-8139000,106744000,106744000,389782000,329265000,68207000,108999.999999993,893998000,3542745000,37251000,3913261000,3097016000,694509000,121736000,7493257000,8387255000,332406000,153729000,105230000,5229999.99999999,437636000,2785843000,1291693000,756557000,535136000,4077536000,4515172000,2663786000,129224000,2534562000,1376026000,-167729000,3872083000,3872083000,8387255000,-8139000,92137000,-15067000,-37034000,-21180000,-7.45058059692383e-09,964000,-20216000,-32305000,146167000,4865000,-17897000,100830000,43580000,43580000,43580000,114844000,2891073000,0.14365,0.03235,-0.01159,-0.0021,-0.00097,2.04279,1.16608,0.3447,-0.06287,-0.06287,5.4228,29.91227,0.24956,2,0.003,-3.96916,24.2444400000001,122.61985
"7","2011_Q4",30.4452380952381,"Down",760752000,-644972000,115780000,-70588000,-67019000,-3569000,45192000,-54423000,-50678000,-3745000,-9231000,61476000,52245000,-29833000,22412000,-2453000,-2453000,19959000,19959000,19959000,152379000,152379000,430039000,317777000,103516000,81000,1003711000,3443468000,28917000,3907430000,3086716000,698703000,122011000,7379815000,8383526000,374291000,134853000,5215000,5215000,380980000,2816223000,1319406000,794921000,524485000,4135629000,4516609000,2668220000,129233000,2538987000,1363640000,-164943000,3866917000,3866917000,8383526000,19959000,90948000,-1930000,114710000,-20807000,60546000,320000,40059000,-32308000,-100213000,0,23387000,-109134000,45635000,45635000,45635000,136140000,2821438000,0.15219,0.0594,0.02624,0.00516,0.00238,2.63455,1.16801,0.33655,0.15413,0.15413,5.87467,29.86105,0.24949,6,0.00653,1.61872,19.60525,59.06043
"8","2012_Q1",41.0329032258065,"Up",614627000,-540272000,74355000,-70584000,-71703000,1119000,3771000,-50959000,-53345000,2386000,-47188000,-9300000,-56488000,30545000,-25943000,-1922000,-1922000,-27865000,-27865000,-27865000,155839000,155839000,299166000,327657000,80438000,15808000,863100000,3418179000,29004000,3919031000,3086716000,697502000,134813000,7366214000,8229314000,271491000,103931000,134762000,134762000,406253000,2680677000,1350767000,732528000,238158000,4031444000,4437697000,2673985000,129245000,2544740000,1334476000,-216844000,3791617000,3791617000,8229314000,-27865000,88048000,-32818000,47317000,-19635000,-8622000,-134000,-28391000,-1294000,-5123000,383000,-9432000.00000001,-15466000,3460000,3460000,3460000,91819000,2815439000,0.12098,0.00614,-0.04534,-0.00735,-0.00339,2.12454,1.1704,0.34212,-0.21517,-0.21517,4.74612,29.27867,0.00999,6,-0.00334,-0.0464400000000003,28.96568,705.27711
"9","2012_Q2",35.5328571428571,"Down",535882000,-513924000,21958000,-63287000,-64912000,1625000,-41329000,-49168000,-52266000,3098000,-90497000,-4950000,-95447000,38397000,-57050000,4997000,4997000,-52053000,-52053000,-52053000,191172000,191172000,318176000,341333000,67968000,31359940.9255197,918649000,3349694000,29172000,3918524000,3086716000,695852000,135956000,7297390000,8216039000,336387000,125101000,144706000,144706000,481093000,2669752000,1319587000,704166000,615421000,3989339000,4470432000,2677348000,129389000,2547959000,1281080000,-212821000,3745607000,3745607000,8216039000,-52053000,85167000,-49798000,29144000,-8098000,11827000,31000,3760000,-1295000,-90000,3483000,331000,2429000,35333000,35333000,35333000,43838000,2814458000,0.04098,-0.07712,-0.09714,-0.0139,-0.00634,1.9095,1.19351,0.34256,-0.40167,-0.40167,4.13512,28.90285,0.00999,6,-0.00644,-0.02488,59.84046,-63.47325
"10","2012_Q3",38.9906349206349,"Up",694136000,-588197000,105939000,-62819000,-61914000,-905000,43120000,-54395000,-53688000,-707000,-11275000,-23459000,-34734000,17748000,-16986000,-1297000,-1297000,-18283000,-18283000,-18283000,158301000,158301000,390131000,334606000,68197000,38036707.2241206,951235000,3278511000,28506000,3921823000,3086716000,694972000,140135000,7228840000,8180075000,331315000,171834000,285152000,285152000,616467000,2528387000,1292285000,687337000,604948000,3820672000,4437139000,2690217000,129393000,2560824000,1261501000,-208782000,3742936000,3742936000,8180075000,-18283000,84116000,-32177000,-32205000,583000.000000002,0,17999.9999999999,601000,-1295000,-15000,41000,2000,-1267000,-32871000,-32871000,-32871000,127236000,2813539000,0.15262,0.06212,-0.02634,-0.00488,-0.00224,1.54304,1.18547,0.34395,-0.14099,-0.14099,5.35289,28.86398,0.00999,3,-0.00216,-0.0708299999999999,20.86861,61.5778800000001
