"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",3.0221875,"Down",6012867,-8839148,-3763046,-153941,-4922161,-2826281,34740,-38752,73492,-2791541,424885,-2366656,-474098,-2840754,-2840754,-2840754,-2840754,2493652,2493652,3050043,3050043,881865,351730,530135,6425560,1001377,18013711,9990222,7977158,46331,19015088,25440648,2945333,1139428,1805905,1310007,5442297,41987,5400310,9697637,587500,43596,543904,615922,10313559,18868361,-3464706,-276566,15127089,15127089,25440648,-2840754,1252168,451593,-989374,-2126367,-468892,5163285,-592203,-592203,2444715,2444715,16416,2461131,-1574113,1338429,-2558281,-0.47004,-0.47245,-0.18779,-0.11166,0.90056,0.66259,0.68179,0.05261,-0.33841,-0.33841,0.71629,1.80202,-0.30476,-0.16658,-0.15002,0.73389,0.40874
"2","2015_Q1",2.54770491803279,"Down",7104718,-9420422,-3584617,-135194,-5700611,-2315704,-47106,-21053,-26053,-2362810,1386477,-976333,-19090.0000000001,-995423,-995423,-995423,-995423,1048660,1048660,3007314,3007314,528726,504442,24284,4584700,1444334,17078226,8377837,8560336,140053,18522560,23107260,3185906,1082342,2103564,1066705,3891514,37508,3854006,8144125,593974,42631,551343,642538,8786663,18989688,-4460129,-208962,14320597,14320597,23107260,-995423,998079,289526,-967867,-675685,-544974,-544974,-249484,-249484,-1470143,-1470143,25151,-1444992,-1317625,1115269,-2811376,-0.32594,-0.14011,-0.06951,-0.04308,2.8243,0.56295,0.61357,0.04826,-0.10219,-0.10219,0.7294,1.47022,-0.28863,-0.0621,-0.17538,-0.05055,-0.0287599999999999
"3","2015_Q2",2.02015873015873,"Down",6137859,-8133756,-3262851,-164934,-4705971,-1995897,10849,-35272,46121,-1985048,828762,-1156286,-9624,-1165910,-1165910,-1165910,-1165910,1185943,1185943,2933072,2933072,611987,320211,291776,4731002,1427424,16038832,7315899,8560336,162597,17466256,22197258,2684229,694376,1989853,816987,4974511,25700,4948811,8475727,578210,41344,536866,621310,9097037,18976011,-5626039,-249751,13100221,13100221,22197258,-1165910,1159515,110488,-1401407,-1297314,-83588,-83588,1530173,1530173,149271,149271,-11988,137283,-836382,860087,-2311753,-0.32518,-0.18995,-0.089,-0.05252,1.98279,0.55818,0.69442,0.03875,-0.12036,-0.12036,0.63361,1.35234,-0.23864,-0.08019,-0.15901,0.3896,0.16326
"4","2015_Q3",1.975,"Down",5966204,-7554838,-3273966,-165241,-4115631,-1588634,20624,-36614,57238,-1568010,87053,-1480957,-6420.99999999999,-1487378,-1487378,-1487378,-1487378,632032,632032,2636879,2636879,405063,178669,226394,3673974,1450090,15029220,6289676,8560336,179208,16479310,20153284,2376293,664739,1711554,600298,4889897,24201,4865696,7866488,563027,38462,524565,627118,8493606,19069552,-7113417,-296457,11659678,11659678,20153284,-1487378,1202409,173520,-43962,-155411,-118357,-177715,-231353,-231353,-564479,-564479,10568,-553911,-386225,664389,-542123,-0.26627,-0.2493,-0.12757,-0.0738,0.36448,0.46704,0.72846,0.03297,-0.15302,-0.15302,0.6138,1.19955,-0.05577,-0.11542,-0.04207,-0.0837800000000001,-0.02037
"5","2015_Q4",1.4953125,"Down",5612715,-7257702,-3149061,-159142,-3949499,-1644987,-7860,-69729,61869,-1652847,367479,-1285368,52043,-1233325,-1233325,-1233325,-1233325,1613242,1613242,2384888,2384888,767220,742686,24534,4765350,1447687,15368538,5978684,8980252,409602,16816225,21581575,2113108,758879,1354229,743512,4142848,85015,4057833,6999468,538361,34053,504308,4000107,10999575,19293099,-8346742,-364357,10582000,10582000,21581575,-1233325,1137261,167395,-517283,-445952,-125507,-186711,1644121,1644121,1011458,1011458,-30248,981210,-507726,4205258,-1202559,-0.29308,-0.21974,-0.11655,-0.05715,0.97505,0.68082,1.03946,0.19485,-0.12674,-0.12674,0.57679,1.08745,-0.12358,-0.08047,-0.07847,-5.10515,-1.57571
"6","2016_Q1",0.940655737704918,"Down",5363072,-6378183,-2750745,-169859,-3457579,-1015111,-114943,-119996,5053,-1130054,503073,-626981,-173784,-800765,-800765,-800765,-1007772,8039562,8039562,2211979,2211979,634692,621492,13200,10886233,1372283,14418382,5379404,8971994,66984,15790665,26676898,1818048,370441,1288371,1507971,2858067,73520,2784547,6184086,697939,36082,490588,5600862,11784948,24560235,-9147507,-398979,14891950,14891950,26676898,-800765,1099425,477348,-760112,15896.0000000001,-94406,-154409,2050671,6560065,6421552,6421552,4768.00000000001,6426320,84314,6410894,-596420,-0.18928,-0.18791,-0.06767,-0.03778,0.59182,1.76036,0.79136,0.24032,-0.10291,-0.10291,0.54764,1.52064,-0.0609,-0.04363,-0.02711,-19.3167,1.60442
"7","2016_Q2",0.9440625,"Up",5109849,-6959054,-3253379,-190786,-3514889,-1849205,-136354,-134282,-2072,-1985559,44753,-1940806,-42780,-1983586,-1983586,-1983586,-2142822,7367102,7367102,2427608,2427608,572114,547376,24738,10366824,1432824,15102049,5440035,9515994,146020,16534873,26901697,1947706,674876,1113594,2254841,3095506,62406,3033100,7298053,717954,33162,476945,6785176,14083229,24877916,-11131093,-379433,12818468,12818468,26901697,-1983586,1213510,556618,-190169,-403627,-102646,-1352646,1650364,1064005,-692268,-692268,19808,-672460,-635695,8322063,-885730,-0.36189,-0.41935,-0.16717,-0.07965,0.41335,1.42049,1.09867,0.30935,-0.21248,-0.21248,0.50668,1.27103,-0.08783,-0.09075,-0.04052,-1.50223,-0.51642
"8","2016_Q3",0.9215625,"Down",5212836,-6649613,-2914419,-209396,-3525798,-1436777,-185723,-161281,-24442,-1622500,366344,-1256156,-38149,-1294305,-1294305,-1294305,-1453541,6618921,6618921,2156152,2156152,477536,452798,24738,9252609,1446953,14274090,4660520,9430994,182576,15721043,24973652,1898444,548707,1190501,2692070,2786291,83546,2702745,7376805,733007,27826,460571,6247020,13623825,24831332,-12425398,-388163,11349827,11349827,24973652,-1294305,1205147,348478,-172398,86921.9999999999,-89763,-264763,-270706,-557464,-735305.000000001,-735305.000000001,-12876,-748181.000000002,-231630,8206083,-455642,-0.27562,-0.27884,-0.12807,-0.0582,0.31347,1.25428,1.20036,0.32859,-0.14531,-0.14531,0.52113,1.13463,-0.04555,-0.06379,-0.02246,-6.85214,-1.10467
"9","2016_Q4",0.85952380952381,"Down",5341002,-6807740,-2844195,-174877,-3788668,-1466738,-179541,-165608,-13933,-1646279,196881,-1449398,-45307,-1494705,-1494705,-1494705,-1726178,7110495,7110495,2136747,2136747,683105,658117,24988,9930347,1401099,13500768,3929856,9473765,97147,14901867,24832214,1958150,592381,1163191,3594708,2652880,54869,2598011,8205738,753632,21821,445649,5560458,13766196,26036285,-13920103,-386674,11066018,11066018,24832214,-1494705,1118283,337135,-129736,-169023,-127461,-127461,-298724,783673,487189,487189,4385,491574,-348455,8401534,-560345,-0.27462,-0.32319,-0.15599,-0.06951,0.32462,1.21017,1.24401,0.33833,-0.17252,-0.17252,0.53379,1.10593,-0.056,-0.07606,-0.02771,-3.70504,-0.88021
"10","2017_Q1",0.727096774193548,"Down",8829756,-12693504,-4671070,-327127,-7695307,-3863748,-197330,-184501,-12829,-4061078,107517,-3953561,-70566,-4024127,-4024127,-4024127,-4226707,3476880,3476880,4330901,4330901,631701,618501,13200,8439482,1588937,18295287,5833706,12178868,282713,19884224,28323706,5370856,1905131,3263146,8242198,2638580,41666,2596914,16251634,805389,26673,433186,5005241,21256875,26048856,-17944230,-376090,7066831,7066831,28323706,-4024127,1571095,1318413,731005,-403614,-143529,-2088612,-752706,-1141408,-3633634,-3633634,18.9999999999964,-3633615,-2292653,12442050,-1634611,-0.43758,-0.47869,-0.59811,-0.14923,0.38673,0.5193,3.00798,0.43928,-0.42039,-0.42039,0.87821,0.70284,-0.16258,-0.19809,-0.08047,-3.91039,-2.32033
