"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2015_Q1",22.4044262295082,"Up",123500000,-54600000,-9300000,-10200000,-35100000,68900000,7400000,-1e+05,-1e+05,6700000,76300000,76300000,76100000,76100000,-135500000,-59400000,-59400000,150200000,150200000,34400000,18300000,8400000,4300000,4100000,1.93e+08,372200000,164900000,537100000,730100000,1.5e+07,11600000,3400000,46900000,48200000,5.38e+08,-1.8e+07,5.2e+08,161900000,681900000,730100000,-5132389.10531726,-16549343.2169957,12659982.7228084,63690791.6178065,54669042.018302,27840876.8106302,27840876.8106302,27840876.8106302,-63215972.3507077,305133920.131877,1461308812.36557,-232018608.398906,-1710560.16811348,358092401.982065,358092401.982065,358092401.982065,-15329437.5280272,0,0.55789,-0.48097,-0.08711,-0.08136,4.11514,0.07068,0,-0.15103,-0.13375,0.31401,1.32215,-3.71552569890076,-0.08694,-57.9429160769239,-2.17997
"2","2015_Q2",24.4071428571429,"Up",65900000,-30500000,-7300000,-5200000,-1.8e+07,35400000,13900000,-2e+05,-2e+05,12500000,49300000,49300000,49100000,49100000,-25500000,23600000,23600000,156900000,156900000,20500000,16300000,5600000,2500000,3100000,1.83e+08,273600000,161700000,435300000,618300000,10600000,4400000,6200000,37500000,37500000,5.65e+08,-138800000,426200000,154600000,580800000,618300000,49100000,5200000,7e+05,17600000,72600000,-2600000,-2600000,-2600000,-8700000,-11300000,-14400000,-40200000,-54600000,6700000,6700000,6700000,40600000,0,0.53718,0.35812,0.04063,0.03817,4.88,0.0645699999999997,1.38777878078145e-17,0.06001,0.05314,0.16756,1.08365,0.03661,0.06543,0.61017,-4.4322
"3","2015_Q3",22.4484375,"Down",79800000,-32800000,-9300000,-5300000,-18200000,4.7e+07,13800000,-3e+05,-3e+05,10800000,60800000,60800000,60700000,60700000,-28500000,32200000,32200000,1.13e+08,1.13e+08,22400000,14700000,4700000,1400000,3300000,140100000,272700000,162200000,434900000,5.75e+08,32600000,5300000,27300000,59700000,130500000,749600000,-404100000,345500000,9.9e+07,444500000,5.75e+08,60700000,5300000,-1300000,-5e+05,64200000,-2100000,-2100000,-2100000,2200000,-55300000,-416700000,-4600000,-52800000,-43900000,-43900000,-43900000,52300000,70800000,0.58897,0.40351,0.07244,0.056,2.34673,0.29359,0.12313,0.08187,0.07251,0.2029,0.87846,1.0595,0.87114,12.94099,-0.89787
"4","2015_Q4",20.18828125,"Down",96200000,-31100000,-8e+06,-5500000,-17600000,65100000,25200000,-1700000,-1700000,24100000,90300000,90300000,90600000,90600000,-36300000,54300000,54300000,117500000,117500000,2e+07,16200000,5900000,1300000,4600000,143400000,271800000,193500000,465300000,608700000,18500000,6100000,12400000,31200000,4.52e+08,775300000,-722700000,52600000,104100000,156700000,608700000,90600000,5500000,-9e+05,-8200000,8.7e+07,-6500000,-6500000,-6500000,-9e+05,-37900000,-347200000,-47400000,-44600000,4500000,4500000,4500000,70600000,420800000,0.67672,0.56445,0.34652,0.08921,4.59615,2.88449,0.69131,0.13806,0.12227,0.2446,0.13374,0.88279,0.69524,6.39411,4.65899
"5","2016_Q1",20.4201639344262,"Up",243600000,-138200000,-31300000,-21900000,-8.5e+07,105400000,68400000,-2100000,-2100000,57300000,173800000,173500000,173600000,173600000,-116600000,5.7e+07,5.7e+07,9.3e+07,9.3e+07,28600000,18800000,9200000,5e+06,4200000,130800000,392900000,1.85e+08,584100000,714900000,19900000,9500000,10400000,26100000,507800000,1097300000,-998600000,98700000,108400000,207100000,714900000,173600000,21900000,-4500000,-1.9e+07,1.72e+08,-40500000,-40500000,-40500000,8e+06,-126400000,-320300000,-82900000,-69300000,-23700000,-23700000,-23700000,127300000,457600000,0.43268,0.23399,0.27523,0.07973,5.01149,2.45196,0.64009,0.14493,0.12835,0.61937,0.25095,0.81439,0.54776,5.6193,3.4592
"6","2016_Q2",20.15921875,"Down",76700000,-31700000,-7800000,-5900000,-1.8e+07,4.5e+07,2.3e+07,-3e+06,-3e+06,23200000,6.8e+07,6.8e+07,6.8e+07,6.8e+07,-12700000,55300000,55300000,1.38e+08,1.38e+08,26600000,18500000,8e+06,3400000,4600000,172600000,392100000,181900000,580200000,752800000,1.9e+07,9900000,9100000,23400000,96200000,1536500000,-988600000,547900000,108700000,656600000,752800000,6.8e+07,5900000,-1300000,-2e+05,72400000,-4700000,-4700000,-4700000,4100000,-6e+05,-35300000,-1900000,-26800000,4.5e+07,4.5e+07,4.5e+07,50900000,47700000,0.5867,0.72099,0.08422,0.07346,7.37607,0.14651,0.0633600000000001,0.14061,0.12452,0.19502,1.39308,0.08975,0.12421,0.63834,-2.00667
"7","2016_Q3",18.49,"Down",102300000,-55800000,-11300000,-12100000,-32400000,46500000,28200000,-2e+06,-2e+06,25600000,74700000,74700000,74700000,74700000,-10900000,63800000,63800000,168600000,168600000,24400000,17700000,6800000,1800000,5e+06,199800000,394400000,177500000,583300000,783100000,16100000,6700000,9400000,20600000,390900000,1954200000,-1584200000,3.7e+08,22200000,392200000,783100000,74700000,12100000,2800000,5500000,95100000,-1.5e+07,-1.5e+07,-1.5e+07,3900000,-104800000,-640900000,-13200000,40300000,30600000,30600000,30600000,58600000,344400000,0.45455,0.62366,0.16267,0.08147,9.69903,0.99669,0.43979,0.16222,0.14366,0.26011,0.94076,1.62954,0.9242,10.04545,3.78065
"8","2016_Q4",16.4914285714286,"Down",81900000,-42900000,-9600000,-9100000,-24200000,3.9e+07,22800000,-2800000,-2800000,21400000,61800000,61800000,61800000,61800000,-5500000,56300000,56300000,160800000,160800000,20500000,13300000,8500000,7e+05,7800000,189800000,395500000,174200000,607400000,797200000,20700000,7200000,13500000,26500000,396800000,1.959e+09,-1580600000,378400000,2.2e+07,400400000,797200000,61800000,9100000,-2400000,12500000,8.1e+07,-9100000,-9100000,-9100000,1600000,-33800000,-4.9e+07,-6e+06,-5.5e+07,-7800000,-7800000,-7800000,48100000,343900000,0.47619,0.68742,0.14061,0.07062,7.16226,0.99101,0.43138,0.14315,0.12677,0.20824,0.96212,0.12459,0.13663,0.87034,4.69487
"9","2017_Q1",19.008064516129,"Up",1.92e+08,-98800000,-24700000,-1.6e+07,-58100000,93200000,8e+07,-4500000,-4500000,67900000,173200000,1.73e+08,1.73e+08,1.73e+08,-103500000,69500000,69500000,122100000,122100000,4.2e+07,22700000,18400000,6700000,11700000,182500000,733700000,325600000,1121400000,1303900000,36400000,12800000,23600000,50300000,769700000,2386400000,-1873700000,512700000,21500000,534200000,1303900000,1.73e+08,1.6e+07,3900000,-12200000,180700000,-1.7e+07,-1.7e+07,-1.7e+07,6200000,-105600000,-3.51e+08,-105600000,-114600000,-39500000,-39500000,-39500000,109200000,0,0.48542,0.36198,0.1301,0.0533,3.62823,1.44085,0,0.17671,0.1565,0.48818,1.30359,0.89245,0.33543,5.05036,-1.31009
"10","2017_Q2",18.6855555555556,"Down",109100000,-6.3e+07,-14100000,-11300000,-37600000,46100000,5.2e+07,-4800000,-4800000,46700000,98100000,98100000,98100000,98100000,-27300000,70800000,70800000,154600000,154600000,29400000,16100000,14400000,6500000,7900000,198400000,403800000,256800000,700400000,898800000,25400000,6500000,18900000,47400000,761300000,1981600000,-1864700000,116900000,20600000,137500000,898800000,98100000,11300000,-9e+05,7600000,116100000,-10500000,-10500000,-10500000,7200000,-3300000,-58600000,-21100000,-79900000,32900000,32900000,32900000,57400000,0,0.42255,0.64895,0.51491,0.07877,4.18565,5.53673,2.77555756156289e-17,0.18002,0.15942,0.2774,0.29723,0.149,0.15198,0.82768,-3.35358
