"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",7.6871875,"Down",1474347000,-1064357000,409990000,-319686000,-303366000,-13946000,90304000,-29480000,-29480000,60824000,0,60824000,-8201000,52623000,52623000,-34606000,18017000,18017000,101260000,101260000,98125000,98125000,1547496000,164005000,43761000,120244000,1910886000,376172000,1385455000,33005000,383676000,128492000,840282000,1761627000,3672513000,386690000,223510000,163180000,813635000,211642000,84247000,127395000,1411967000,2036633000,198300000,61502000,136798000,2234933000,3646900000,50982000,-12453000,38529000,-12916000,25613000,3672513000,52623000,13946000,12346000,95284000,174199000,-40167000,-17439000,-57606000,-5711000,-46755000,-32852000,-85318000,31275000,31275000,31275000,104250000,2850268000,167568000,0.27808,0.06125,0.01222,0.70343,0.00491,9.30055,1.35335,142.38473,0.77611,0.48382,0.48382,39.59148,1.03464,4.4998,0.15336,0.00772,0.05451,0.31698,26.36938,30.44171
"12","2019_Q4",9.15328125,"Up",1387972000,-1049499000,338473000,-370780000,-299564000,-14104000,-32307000,-26573000,-26573000,-58880000,7.45058059692383e-09,-58880000,-6383000,-65263000,-65263000,34571000,-30692000,-30692000,130234000,130234000,86788000,86788000,1380214000,126521000,37759000,88762000,1723757000,330182000,1387088000,31386000,386915000,126487000,842300000,1717270000,3441027000,333729000,177336000,156393000,693889000,225387000,93609000,131778000,1253005000,2053359000,200268000,60112000,140156000,2253627000,3506632000,52004000,-48872000,3132000,-68737000,-65605000,3441027000,-65263000,14104000,77049000,197072000,222962000,-1369000,-9800000,-11169000,-5727000,-153952000,-23140000,-182819000,28974000,28974000,28974000,-18203000,2747248000,183883000,0.24386,-0.02328,-0.02211,0.46783,-0.00892,-5.99124,1.3757,-53.45068,0.79838,-0.82143,-0.82143,37.14731,0.08382,4.92139,0.15328,-0.00866,0.06381,-0.1866,-143.76828,-81.00455
"13","2020_Q1",10.2664516129032,"Up",964931000,-724323000,240608000,-228978000,-270648000,-18288000,11630000,-24165000,-24165000,-12535000,-76234000,-88769000,7915000,-80854000,-80854000,52333000,-28521000,-28521000,147521000,147521000,81847000,81847000,1358539000,102774000,57827000,44947000,1690681000,314374000,1371185000,29707000,386941000,129710000,824827000,1685559000,3376240000,237275000,106959000,130316000,862112000,196567000,87093000,109474000,1295954000,1194436000,1045086000,58079000,987007000,2239522000,3535476000,50532000,-83134000,-32602000,-126634000,-159236000,3376240000,-80854000,18288000,40695000,-49336000,-71207000,-12836000,-10000,-12846000,-5741000,117258000,-10177000,101340000,17287000,17287000,17287000,29918000,2056548000,-40169000,0.24935,0.01205,-0.02956,0.17911,-0.00845,1.4084,1.30458,-22.20274,0.60912,-0.76174,-0.7585,25.77135,-0.87073,-1.07283,0.15333,-0.00774,-0.01365,-0.20129,63.80864,164.14678
"14","2020_Q2",13.4720634920635,"Up",1027273000,-724610000,302663000,-281734000,-267656000,-14078000,20929000,-23262000,-23262000,-2333000,-7664000,-9997000,-4132000,-14129000,-14129000,5969000,-8160000,-8160000,109406000,109406000,71989000,71989000,1439453000,106623000,51829000,54794000,1727471000,304234000,1370856000,28824000,386945000,127746000,827341000,1675090000,3402561000,292800000,159189000,133611000,846424000,209845000,82187000,127658000,1349069000,2037088000,200822000,57915000,142907000,2237910000,3586979000,51976000,-97046000,-45070000,-139348000,-184418000,3402561000,-14129000,14078000,28975000,-44113000,-15189000,-8456000,-20231787.8643943,-8456000,-5752000,-96000,-8622000,-14469999.9999999,-38115000,-38115000,-38115000,35007000,2883512000,-13430000,0.29463,0.02037,-0.00794,0.04425,-0.0024,1.64583,1.28049,-19.45027,0.84745,-0.2174,-0.2174,27.36913,-1.20078,-0.35781,0.15325,-0.000829999999999999,-0.00463,-0.7049,79.24432,132.54843
"15","2020_Q3",27.431875,"Up",1606745000,-1118107000,488638000,-284158000,-271591000,-12567000,204480000,-19645000,-19645000,184835000,-1140000,183695000,-20473000,163222000,163222000,-105145000,58077000,58077000,227902000,227902000,84493000,84493000,1052222000,227411000,55974000,171437000,1592028000,325053000,1347470000,28101000,387049000,126097000,806223000,1672523000,3264551000,417740000,232989000,184751000,470871000,228729000,84286000,144443000,1117340000,1186112000,1031038000,61928000,969110000,2217150000,3334490000,53130000,-44754000,8376000,-78315000,-69939000,3264551000,163222000,12567000,16632000,338681000,531102000,-4863000,-55005741.3116086,-4863000,-5785000,-354755000,-47362000,-407743000,118496000,118496000,118496000,217047000,1656983000,571338000,0.30412,0.12726,0.03615,-0.8304,0.01779,9.83759,1.42484,-47.67712,0.50757,1.54312,0.41008,42.6917,0.22255,15.18062,0.15371,0.02439,0.21823,0.09961,6.5842,6.98885
"16","2020_Q4",24.8659375,"Down",1678753000,-1145604000,533149000,-337251000,-322990000,-12304000,195898000,-15911000,-15911000,179987000,-2805000,177182000,-22398000,154784000,154784000,-96734000,58050000,58050000,482640000,482640000,82135000,82135000,927722000,127897000,42893000,85004000,1620394000,313496000,1372950000,27741000,387066000,159853000,798290000,1686446000,3306840000,362600000,203311000,159289000,430514000,239218000,94129000,145089000,1032332000,1171398000,1070892000,62449000,1008443000,2242290000,3274622000,56165000,6032999.99999999,62198000,-29980000,32218000,3306840000,154784000,12304000,36549000,208968000,412605000,-551000,-74172074.1030186,-551000,-7263000,-92944000.0000001,-60256000,-157316000,254738000,254738000,254738000,208202000,1601912000,439017000,0.31759,0.11669,0.03458,1.80179,0.01755,7.56274,1.56964,101.63952,0.48442,1.45496,0.64151,42.07612,1.55893,11.00348,0.18204,0.02415,0.1623,0.12512,5.37589000000001,5.71354
"17","2021_Q1",31.1583606557377,"Up",1133820000,-755791000,378029000,-309456000,-293834000,-13032000,68573000,-15560000,-15560000,53013000,-1935000,51078000,-10740000,40338000,40338000,-25960000,14378000,14378000,166072000,166072000,83422000,83422000,1136345000,108386000,60211000,48175000,1494225000,367898000,1394308000,30122000,413123000,165708000,785355000,1762206000,3256431000,286150000,148462000,137688000,534629000,214742000,88213000,126529000,1035521000,1171302000,1058839000,61519000,997320000,2230141000,3265662000,63775000,-21814000,26774000,-36005000,-9231000,3256431000,40338000,13032000,27191000,-261410000,-180849000,-61994000,-47571000.0000001,-112065000,-42225000,64240000,-25476000,-23654000,-316568000,-316568000,-316568000,81605000,1705931000,-231059000,0.33341,0.06048,0.01268,-1.55758,0.00442,-16.07032,1.44297,-353.77121,0.52387,0.33859,0.35937,26.70073,0.63051,-5.44129,0.99437,0.02054,-0.08385,2.93678,18.86966,22.45576
"18","2021_Q2",36.5334920634921,"Up",1557781000,-1037287000,520494000,-349735000,-337034000,-12701000,170759000,-15568000,-15613000,155191000,-5723000,149468000,-2043000,147425000,147425000,-85103000,62322000,62322000,256870000,256870000,89142000,89142000,1189508000,216833000,51082000,165751000,1752353000,405035000,1445772000,29185000,420135000,213180000,783272000,1850807000,3603160000,431049000,245261000,185788000,551861000,228435000,88006000,140429000,1211345000,1179257000,1087908000,64269000,1023639000,2267165000,3478510000,69671000,30155000,88175000,36475000,124650000,3603160000,147425000,12701000,12744000,-85038000,87831999.9999999,-35459000,-10406000,-46215000,-10353000,74700000,-17140000,49181000,90797999.9999999,90797999.9999999,90797999.9999999,183460000,1731118000,65005999.9999999,0.33413,0.10962,0.04001,0.49998,0.0173,1.04307,1.44662,27.90622,0.48044,1.42993,0.69064,35.74204,2.0231,1.49151,0.23754,0.02469,0.02208,0.16612,8.0358,8.6335
"19","2021_Q3",35.05296875,"Down",2061807000,-1301964000,759843000,-445293000,-432249000,-13044000,314550000,-15160000,-15160000,299390000,-10967000,288423000,-42347000,246076000,246076000,-136888000,109188000,109188000,191507000,191507000,95854000,95854000,1196705000,206226000,55307000,150919000,1690292000,456406000,1550124000,30769000,483295000,223248000,812812000,2006530000,3696822000,474087000,261696000,212391000,496928000,251107000,94448000,156659000,1222122000,1090587000,1168638000,69868000,1098770000,2259225000,3481347000,93983000,127783000,166983000,48492000,215475000,3696822000,246076000,13044000,28932000,84245000,372297000,-59475000,-88610000,-148085000,-11560000,-124350000,-108738000,-289575000,-65363000,-65363000,-65363000,327594000,1587515000,394711000,0.36853,0.15256,0.05296,0.50673,0.02954,3.61497,1.38308,16.15662,0.42943,2.50523,1.21,47.30651,3.83129,9.05633,0.26523,0.04063,0.13283,0.10587,4.2614,4.43811
"20","2021_Q4",36.5009375,"Up",1916574000,-1225198000,691376000,-447937000,-424385000,-23552000,243439000,-14497000,-14375000,228942000,-765000,228177000,-38869000,189308000,189308000,-109605000,79703000,79703000,132795000,132795000,113831000,113831000,1361122000,149861000,44959000,104902000,1757609000,490608000,1538374000,29579000,483553000,221695000,803547000,2028982000,3786591000,453953000,213257000,240696000,532880000,255443000,100687000,154756000,1242276000,1137237000,1121178000,72716000,1048462000,2258415000,3500691000,97798000,184553000,201746000,84154000,285900000,3786591000,189308000,23552000,25255000,-126368000,111747000,-53649000,-733000,-62015000,-22933000,17425000,-62840000,-108444000,-58712000,-58712000,-58712000,266991000,1670117000,125843000,0.36074,0.12702,0.04159,0.27878,0.02105,1.5789,1.41483,12.24446,0.44106,1.7468,1.69502,42.00434,4.42154,2.75802,0.50261,0.03335,0.0409,0.28773,5.75795,6.31502
"21","2022_Q1",30.0285483870968,"Down",1377592000,-892977000,484615000,-399273000,-379941000,-17121000,85342000,-15917000,-15872000,69425000,-1294000,68131000,-8865000,59266000,59266000,-32018000,27248000,27248000,267332000,267332000,101644000,101644000,1792865000,122036000,64295000,57741000,2283877000,599324000,1489728000,30970000,483634000,199321000,775803000,2089052000,4372929000,326352000,136757000,189595000,1027167000,244804000,95467000,149337000,1598323000,1473388000,1067324000,69024000,998300000,2540712000,4139035000,98592000,189471000,158057000,75837000,233894000,4372929000,59266000,17121000,49969000,-544228000,-417872000,-99089000,-368000,-99457000,-22330000,770050000,-26758000,651866000,134537000,134537000,134537000,102463000,2500555000,-531989000,0.35178,0.06195,0.01978,0.1165,0.00623,-19.52397,1.42892,17.6962,0.57183,0.59718,0.57947,30.19181,3.46404,-11.65927,0.48939,0.01304,-0.13993,0.81951,21.79541,26.16792
"22","2022_Q2",24.7275806451613,"Down",1662396000,-1102194000,560202000,-410850000,-385315000,-25535000,149352000,-20790000,-20567000,128562000,-227000,128335000,-21036000,107299000,107299000,-62569000,44730000,44730000,139480000,139480000,116593000,116593000,2152400000,193276000,57763000,135513000,2601749000,636500000,1489286000,21450000,506954000,185616000,775266000,2125786000,4727535000,446985000,221990000,224995000,1253033000,256321000,92747000,163574000,1956339000,1467669000,1093357000,69902000,1023455000,2561026000,4517365000,126551000,207774000,128227000,81943000,210170000,4727535000,107299000,25535000,31585000,-374473000,-210054000,-49199000,-34808000,-84007000,-26427000,298236000,-26074000,166209000,-127852000,-127852000,-127852000,174887000,2720702000,-227749000,0.33698,0.08984,0.02691,0.21283,0.00946,-5.09164,1.32991,21.49386,0.5755,0.98032,0.95126,36.43368,2.81027,-4.99143,0.57918,0.01768,-0.05659,0.59081,14.75937,17.28281
"23","2022_Q3",26.6671875,"Up",2168632000,-1451839000,716793000,-458750000,-441123000,-17627000,258043000,-23740000,-23668000,234303000,-3943000,230360000,-32375000,197985000,197985000,-113674000,84311000,84311000,133957000,133957000,125957000,125957000,1995796000,212237000,61308000,150929000,2467947000,688297000,1454057000,22943000,507284000,182212000,741618000,2142354000,4610301000,488159000,249218000,238941000,1016634000,265770000,95730000,170040000,1770563000,1488933000,1050874000,73076000,977798000,2539807000,4310370000,127988000,265974000,191401000,108530000,299931000,4610301000,197985000,17627000,32373000,146063000,394048000,-41118000,-3380000.00000001,-47498000,-26111000,-240910000,-85093000,-352073000,-5523000,-5523000,-5523000,275670000,2505567000,412990000,0.33053,0.11899,0.03888,0.2811,0.01829,4.89841,1.39388,14.37121,0.54347,2.00812,1.98355,51.65254,4.55879,9.83661,0.62191,0.02863,0.10709,0.3097,8.60308,9.19076
