"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"20","2020_Q2",88.3371428571429,"Down",2225474,-1015492,1209982,-6601538,-4675263,-1926275,-5391556,-61166,-83434,-5452722,-5452722,-5457898,-5457898,-5457898,-5457898,31958015,10403697,1202469,1202469,1637898,3795894,525647,38594276,2169663,3331794,41926070,2862646,1666819,1195827,5226578,5226578,8369224,6629972,5013690,5013690,11643662,20012886,197640444,-175775541,21913184,21913184,41926070,-5457898,348633,596844,581870,-3930551,-25230.9999999999,3952471,-256229,3035942,3035942,2760828,2782748,2782748,2783949.00000001,-5042923,6909972,0.5437,-2.42266,-2.45247,-0.24907,-0.13018,4.61145,0.91328,0.16481,-15.2138,-15.2138,6.20347,61.08249,-0.1613,4.96697,4.64579
"21","2020_Q3",89.3275,"Up",1963294,-974642,988652,-5988261,-4255485,-1732776,-4999609,-182757,-182757,-5182366,-5704760,-5710551,-5710551,-5710551,-5710551,32866548,21014375,1011462,1011462,1388570,1236192,1236192,36502772,1825191,2800015,39302787,1875211,927829,947382,1897541,1897541,4915763,10705219,4997898,4997898,15703117,20618880,200146972,-181486092,18683907,18683907,39302787,-5710551,351643,1282395,-376720,-4453233,-297141,9402859,1526547,820161,820161,2388201,7337827,7337827,7340431,-4647966,11848230,0.50357,-2.54654,-2.90866,-0.30564,-0.1453,7.42566,1.10356,0.30146,-15.63011,-15.63011,5.37365,51.13889,-0.16072,4.52205,4.20399
"22","2020_Q4",58.21546875,"Down",1777098,-940892,836206,-6007737,-4752321,-1255416,-5171531,-238676,-238676,-5410207,-5410207,-5411788,-5411788,-5411788,-5411788,30516628,18884468,1370201,1370201,1538553,946979,946979,34372361,1526698,2337744,36710105,2262061,875236,1386825,1457506,1457506,5986451,9446985,5075315,5075315,14522300,20508751,203092483,-186897880,16201354,16201354,36710105,-5411788,339713,694446,19176,-4358453,-96339.9999999999,110076,-407803,2557012,2557012,2112992,-2135385,-2135385,-2129907,-4831818,11713869,0.47055,-2.9101,-3.0453,-0.33403,-0.14742,5.74169,1.26587,0.31909,-13.4579,-13.4579,4.41924,40.28905,-0.16404,3.89145,3.63582
"23","2021_Q1",75.8468852459016,"Up",2582998,-1060506,1522492,-5545435,-4379995,-1165440,-4022943,-265171,-265171,-4288114,-4288114,-4289981,-4289981,-4289981,-4289981,28695887,22397812,1492126,1492126,1588767,1094273,1094273,32871053,1227402,2326855,35197908,2808640,1348762,1459878,1405595,1220512,7236374,8568308,4908566,4908566,13476874,20713248,205661999,-191187861,14484660,14484660,35197908,-4289981,306571,814169,-380899,-3550140,-34840,5265701,582990,1173699,1173699,1787457,3503018,3503018,3513344,-3716372,11590447,0.58943,-1.55747,-1.66085,-0.29617,-0.12188,4.54248,1.43001,0.32929,-10.3176,-10.3176,6.21223,34.82369,-0.13846,4.60273,4.25197
"24","2021_Q2",54.1333333333333,"Down",1435146,-785200,649946,-5231659,-3859619,-1372040,-4581713,-264145,-264145,-4845858,-4845858,-4848307,-4848307,-4848307,-4848307,30765531,21777687,1250048,1250048,1602874,1530203,1530203,35148656,1124258,1479185,36627841,2467647,1352837,1114810,1367511,888108,8336899,7046617,4404263,4404263,11450880,19787779,212866206,-196036168,16840062,16840062,36627841,-4848307,197951,802835,-505740,-4353261,-98509,-2784678,-319876,6855524,6855524,6527546,-610392.999999999,-610392.999999999,-620125.000000001,-4383762,11548358,0.45288,-3.19251,-3.37827,-0.2879,-0.13237,4.21603,1.17504,0.31529,-9.63505,-9.63505,2.85207,33.45381,-0.14785,4.38372,4.19432
"25","2021_Q3",71.518125,"Up",2074204,-971043,1103161,-5185176,-3903815,-1281361,-4082015,-252469,-252469,-4334484,-2598692,-2614952,-2614952,-2614952,-2614952,29758273,13576445,1421780,1421780,2318130,2448678,2448678,35946861,1120966,1373030,37319891,2999980,1682290,1317690,977478,977478,7141871,7443275,4293931,4293931,11737206,18879077,217080903,-198651120,18440814,18440814,37319891,-2614952,177383,-1177938,-933408,-4548915,-142965,-7330019,-194844,3864058,3864058,3675424,-8203510,-8203510,-8201242,-3904632,10607688,0.53185,-1.96799,-1.2607,-0.1418,-0.07007,5.03326,1.02377,0.28424,-4.69174,-4.69174,3.72153,33.07313,-0.07843,4.90458,4.69145
"26","2021_Q4",58.2203125,"Down",2520410,-983761,1536649,-5767131,-4232313,-1534818,-4230482,-258206,-258206,-4488688,-4488688,-4490622,-4490622,-4490622,-4490622,25417318,10229646,1904534,1904534,2340766,2082410,2082410,31745028,1219190,2762366,34507394,2754869,1145868,1609001,1159990,946528,8081966,6309416,5228640,5228640,11538056,19620022,218018993,-203141742,14887372,14887372,34507394,-4490622,193046,603179,-521973,-4216370,-349262,652758,222876,0,0,222197,-3341415,-3341415,-3346799,-4037436,10476523,0.60968,-1.67849,-1.7817,-0.30164,-0.13014,3.92788,1.3179,0.3036,-7.23408,-7.23408,4.0602,23.97037,-0.14679,3.70057,3.5317
"27","2022_Q1",32.085,"Down",2877068,-1354976,1522092,-6451708,-4550993,-1900715,-4929616,-259841,-259841,-5189457,-5189457,-5191289,-5191289,-5191289,-5191289,21943406,9599950,2092466,2092466,1987753,1163339,1163339,27186964,1118886,3273723,30460687,3672009,1649440,2022569,1103915,1103915,9943510,5178629,4938724,4938724,10117353,20060863,218730961,-208333031,10399824,10399824,30460687,-5191289,152866,677044,971371,-3390008,-53645,2797195,-105268,72391,72391,-33545,-626358,-626358,-629696,-4776750,10346215,0.52904,-1.71342,-1.80437,-0.49917,-0.17043,2.73414,1.92896,0.33966,-13.46618,-13.46618,7.4631,26.9771,-0.20212,2.42784,2.35255
"28","2022_Q2",9.37887096774194,"Down",1184454,-855048,329406,-6583441,-4663011,-1920430,-6254035,-243098,-243098,-6497133,-6497133,-6497519,-6497519,-6497519,-6497519,21563011,14614427,749220,749220,2022478,1082135,1082135,25416844,941809,3047458,28464302,2341993,1317009,1024984,1152500,1152500,8494493,4046356,4654979,4654979,8701335,17195828,226090840,-214830550,11268474,11268474,28464302,-6497519,185492,537090,-164626,-5939563,-8415,5391585,5578789,1161878.62988329,1161878.62988329,5566025,5018047,5018047,5014477,-6068543,9046356,0.27811,-5.2801,-5.48567,-0.57661,-0.22827,2.99216,1.52601,0.31781,-10.48366,-10.48366,1.9111,18.16768,-0.26022,2.06255,2.00137
"29","2022_Q3",12.15984375,"Up",1491582,-1014469,477113,-6154017,-4306916,-1847101,-5676904,-206425,-206425,-5883329,-5883329,-5888209,-5888209,-5888209,-5888209,14098762,5756578,1259093,1259093,1955922,2011072,2011072,19324849,780695,2880620,22205469,2453739,1119452,1334287,1090693,1090693,10159249,2023579,4452952,4452952,6476531,16635780,226293112,-220718759,5569689,5569689,22205469,-5888209,167777,538784,-667893,-5849541,-6663,-1413387,-1612401,23327,23327,-1583913,-8846841,-8846841,-8857849,-5509127,8638396,0.31987,-3.80596,-3.94763,-1.05719,-0.26517,1.90219,2.98684,0.38902,-6.42464,-6.42464,1.62747,6.06505,-0.31553,0.99115,0.96186
