"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",13.7260317460317,"Up",503731000,304114000,199617000,-92591000,411140000,-174881000,-58566000,-116315000,236259000,30079000,-11640000,-12832000,1192000,18546000,-40000,266338000,-1953000,264385000,-29667000,234718000,234718000,-140099000,94619000,94619000,2371419000,980421000,1390998000,10790000,10790000,2382209000,2161472000,88852000,596228000,1451699000,3108006000,5490215000,238420000,116277000,122143000,1332086000,204516000,1127570000,1570506000,2194698000,114146000,114146000,2308844000,3879350000,1876342000,-5450000,723094000,887771000,1610865000,5490215000,234718000,4646000,45125000,-13496000,270993000,-5124000,-45451000,489000,-50420000,-76508000,-75115000,-151623000,68950000,68950000,68950000,240905000,2194698000,251952000,0.81619,0.46902,0.18784,0.05874,0.01723,2.66281,1.51684,2.40824,0.39975,0.51299,0.51299,2.73102,3.92032,1.36598,0.02414,0.06428,-0.733569999999996,-0.748
"12","2017_Q1",16.5251612903226,"Up",788558000,1092514000,-303956000,-99117000,689441000,-265802000,-59715000,-206087000,423639000,19375000,-11978000,-12977000,999000,91632000,4077000,443014000,-20468000,422546000,-28199000,394347000,394347000,-227380000,166967000,166967000,3256218000,847647000,2408571000,12015000,12015000,3268233000,2361320000,88852000,572263000,1677484000,2361320000,5629553000,110219000,57465000,52754000,1363167000,174893000,1188274000,1473386000,2138992000,149647000,149647000,2288639000,3762025000,1830025000,-8723000,835116000,1032412000,1867528000,5629553000,394347000,4596000,-396644000,24315000,26614000.0000001,-6177000,-2291000,-638000,-11456000,-73752000,-77183000,-150935000,-135777000,-135777000,-135777000,428235000,2138992000,474572000,0.87431,0.53723,0.21174,0.08941,0.02966,2.84231,2.21818,2.01444,0.37996,0.90163,0.90163,4.25825,4.50967,2.56271,0.04017,0.11419,-2.60891,-2.63721
"13","2017_Q2",20.121746031746,"Up",682104000,643551000,38553000,-101613000,580491000,-229471000,-62040000,-167431000,351020000,45076000,-12196000,-12999000,803000,38625000,18647000,396096000,-1905000,394191000,-39161000,355030000,355030000,-209834000,145196000,145196000,2719991000,1144304000,1575687000,12826000,12826000,2732817000,2537693000,88852000,561524000,1866311000,3528746000,6261563000,126427000,72170000,54257000,1404910000,171267000,1233643000,1531337000,2150900000,231535000,231535000,2382435000,3913772000,1763146000,-11803000,1177340000,1170451000,2347791000,6261563000,355030000,4385000,-183276000,312146000,488285000,-6436000,-23771000,-109000,-30316000,-90122000,-70379000,-160501000,297468000,297468000,297468000,355405000,2150900000,700276000,0.85103,0.51461,0.21286,0.06184,0.02319,4.82297,1.7846,1.667,0.34351,0.77837,0.77837,3.65666,4.89262,3.75408,0.0307,0.14804,-1.60125,-1.62125
"14","2017_Q3",22.1306349206349,"Up",449708000,432872000,16836000.0000001,-105545000,344163000,-140528000,-59729000,-80799000,203635000,-6211999.99999999,-12573000,-13195000,622000,5619000,742000,197423000,-5258000,192165000,777000.000000007,192942000,192942000,-101262000,91680000,86908000,2692370000,1115531000,1576839000,14695000,14695000,2707065000,2465326000,88852000,598397000,1758323000,3514855000,6221920000,157609000,60094000,97515000,1310721000,116095000,1194626000,1468330000,2243205000,157197000,157197000,2400402000,3868732000,1716138000,-3022000,1222049000,1131139000,2353188000,6221920000,192942000,4060000,77453000,-78373000,196082000,-3014000,2610000,-681000,-5784000.00000001,-93847000,-123355000,-217202000,-26903999.9999999,-26903999.9999999,-26903999.9999999,207695000,2243205000,125531000,0.7653,0.45282,0.19325,0.03693,0.01397,1.44441,1.84364,1.64404,0.36053,0.45599,0.45599,2.35954,5.02462,0.65864,0.01828,0.02641,-2.16262,-2.20574
"15","2017_Q4",24.4511111111111,"Up",711720000,664232000,47488000,-108853000,602867000,-229930000,-68149000,-161781000,372937000,83365000,-11799000,-13303000,1504000,69777000,25387000,456302000,-5397000,450905000,-16542000,434363000,434363000,-231411000,202952000,198569000,4052588000,975074000,3077514000,14360000,14360000,4066948000,2793406000,88852000,591754000,2093647000,2793406000,6860354000,223726000,79062000,144664000,1509355000,155081000,1354274000,1733081000,2333676000,201614000,201614000,2535290000,4268371000,1627767000,-2061000,1329491000,1262492000,2591983000,6860354000,434363000,6796000,-213942000,23206000,250423000,-2313000,-14712000,-351000,-226319000,-59491000,-105405000,-164896000,-140792000,-140792000,-140792000,379733000,2333676000,417168000,0.84706,0.52399,0.279,0.07661,0.02894,2.10087,2.34666,1.64676,0.34017,1.02932,1.02932,3.68932,5.52109,2.16246,0.03873,0.08136,-4.52663,-4.60912
"16","2018_Q1",26.6590163934426,"Up",928271000,869518000,58753000,-112871000,815400000,-264452000,-67940000,-196512000,550948000,182728000,-9884000,-13376000,3492000,-8252000.00000001,200864000,733676000,-1353000,732323000,-271019000,461304000,461304000,-272028000,189276000,184893000,4768668000,844185000,3924483000,47051000,47051000,4815719000,979161000,88852000,337638000,533829000,2175351000,6991070000,131347000,68873000,62474000,1308435000,128146000,1180289000,1439782000,2364465000,289027000,289027000,2653492000,4093274000,1579797000,-1809000,1462926000,1434870000,2897796000,6991070000,461304000,3138000,-328366000,53384000,189460000,-2880000,140999.999999996,-7480000,-173100000,307938000,-80509000,-157734000,-141374000,-141374000,-141374000,554086000,2364465000,875609000,0.87841,0.59352,0.19918,0.0638,0.02645,4.73576,3.34476,1.41255,0.33821,0.95461,0.92315,4.7927,6.18805,4.52081,0.09936,0.15773,-4.33904,-4.36376
"17","2018_Q2",24.65765625,"Down",166903000,179897000,-12994000,-115826000,51077000,-84925000,-61677000,-23248000,-33848000,-66593000,-10238000,-13797000,3559000,-60601000,4246000,-100441000,-327000,-100768000,-8580000,-109348000,-109348000,51086000,-58262000,-62645000,4487277000,1063082000,3424195000,11796000,11796000,4499073000,1063356000,88852000,380565000,576078000,2449424000,6948497000,142037000,81548000,60489000,1271649000,145282000,1126367000,1413686000,2387723000,240332000,240332000,2628055000,4041741000,1483244000,-815000,1554870000,1351886000,2906756000,6948497000,-109348000,3877000,167736000,269077000,331342000,-2174000,-11539000,45000,97215000,-212145000,2515000,-209630000,218927000,218927000,218927000,-29971000,2387723000,245512000,0.30603,-0.2028,-0.37534,-0.02155,-0.00902,-3.9191,3.18251,1.39046,0.34363,-0.3157,-0.3157,0.84111,5.04281,1.23726,-0.01132,0.04436,70.05285,62.02889
"18","2018_Q3",28.46,"Up",523316000,501141000,22175000,-115075000,408241000,-170846000,-62517000,-108329000,237395000,-74350000,-10615000,-15162000,4547000,-58292000,-5443000,163045000,-311000,162734000,-18924000,143810000,143810000,-80200000,63610000,54658000,4382696000,1152108000,3230588000,21355000,21355000,4404051000,1052191000,88852000,364061000,581972000,2234962000,6639013000,184777000,74466000,110311000,1181181000,109182000,1071999000,1365958000,2237855000,213223000,213223000,2451078000,3817036000,1429307000,-3130000,1550055000,1271922000,2821977000,6639013000,143810000,3697000,253762000,-47721000,353548000,-4584000,-95037000,126000,126336000,-184500000,-153922000,-390904000,88980000,88980000,88980000,241092000,2237855000,207711000,0.7801,0.45364,0.10445,0.01937,0.00823,3.80019,3.22415,1.35261,0.33708,0.2723,0.2723,2.60714,4.96125,1.03481,0.01037,0.03939,-8.89636,-9.0349
"19","2018_Q4",23.748253968254,"Down",517731000,501578000,16153000,-112722000,405009000,-184050000,-70657000,-113393000,220959000,161571000,-9798000,-15209000,5411000,168284000,3085000,382530000,-746000,381784000,-19092000,362692000,362692000,-191171000,171521000,162357000,4713482000,907869000,3805613000,11170000,11170000,4724652000,1045321000,88852000,348588000,589004000,2247506000,6972158000,241524000,82008000,159516000,1279501000,182045000,1097456000,1521025000,2241594000,215710000,215710000,2457304000,3978329000,1350331000,-3600000,1627409000,1366420000,2993829000,6972158000,362692000,3641000,-3831000,13313000,375815000,-6247000,5240000,39000,-393155000,194664000,-82806000,-227298000,-244638000,-244638000,-244638000,224600000,2241594000,250758000,0.78228,0.42678,0.31359,0.05423,0.02329,1.54449,3.10623,1.32884,0.32151,0.81034,0.81034,2.58405,5.35643,1.25156,0.08661,0.046,-11.00573,-11.18709
"20","2019_Q1",23.9854098360656,"Up",-114885000,-94673000,-20212000,-115981000,-230866000,57982000.0000001,-71593000,129575000,-172884000,-164856000,-8069000,-15206000,7137000,-190728000,33941000,-337740000,-738000,-338478000,-39425000,-377903000,-377903000,190658000,-187245000,-196408000,3774962000,659418000,3115544000,10249000,10249000,3785211000,1030766000,88852000,306094000,635820000,2206443000,5991654000,144461000,70878000,73583000,988673000,111097000,877576000,1133134000,2215909000,190771000,190771000,2406680000,3539814000,1299418000,-4159000,1376196000,1075644000,2451840000,5991654000,-377903000,4018000,422028000,-4774000,43369000,-5031000,-46042000,14000,-77656000.0000001,-12495999.9999999,-95538000,-214167000,-248454000,-248454000,-248454000,-168866000,2215909000,-139246000,2.00954,1.50484,1.70961,-0.08011,-0.03278,0.708960000000001,3.34048,1.44374,0.36983,-0.9807,-0.9807,-0.57364,4.1043,-0.69528,-0.02044,-0.02866,9.23249,9.01791
"21","2019_Q2",27.2615873015873,"Up",677777000,651752000,26025000,-119163000,558614000,-240186000,-71662000,-168524000,318428000,16353000,-12032000,-19108000,7076000,28295000,90000,334781000,440000,335221000,-19654000,315567000,315567000,-166510000,149057000,139893000,4421297000,767894000,3653403000,3450000,3450000,4424747000,1125293000,88852000,291607000,744834000,2296753000,6721500000,144319000,83766000,60553000,1096033000,183458000,912575000,1240352000,2749728000,289180000,289180000,3038908000,4279260000,1144664000,-4810000,1321491000,1120749000,2442240000,6721500000,315567000,3644000,-8788000,-18322000,292101000,-5348000,-43171000,108000,-374608000,501614000,-120018000,190976000,108469000,108469000,108469000,322072000,2749728000,318056000,0.82419,0.46981,0.2064,0.05728,0.02081,2.27357,3.56733,1.75219,0.40909,0.69657,0.69657,3.37484,3.82049,1.58369,0.04711,0.05803,-5.19005,-5.24944
"22","2019_Q3",31.71625,"Up",636579000,596977000,39602000,-123669000,512910000,-194779000,-81839000,-112940000,318131000,41702000,-14592000,-23302000,8710000,49691000,6603000,359833000,-775000,359058000,-16897000,342161000,342161000,-177338000,164823000,155659000,4945821000,1012810000,3933011000,17651000,17651000,4963472000,1201285000,88852000,277037000,835396000,2384772000,7348244000,202568000,89776000,112792000,1089859000,92274000,997585000,1292427000,3210272000,304555000,304555000,3514827000,4807254000,1052259000,-5192000,1379273000,1161717000,2540990000,7348244000,342161000,3748000,-175819000,-11581000,158509000,-5801000,-18536000,-121000,-23639000,404476000,-150113000,124247000,259117000,259117000,259117000,321879000,3210272000,321394000,0.80573,0.49975,0.24452,0.06126,0.02118,2.06473,3.84043,1.89188,0.43688,0.77996,0.77996,3.18972,4.13415,1.61042,0.04161,0.05307,-5.39193,-5.45545
"23","2019_Q4",37.6790625,"Up",702721000,669328000,33393000,-126695000,576026000,-216588000,-85313000,-131275000,359438000,-69984000,-17681000,-27833000,10152000,-9159000,-43144000,289454000,-256000,289198000,231896000,521094000,521094000,-157824000,363270000,354106000,5309206000,1284616000,4024590000,22870000,22870000,5332076000,1568247000,88852000,530954000,948441000,2732228000,8064304000,262981000,96820000,166161000,1372888000,172157000,1200731000,1635869000,3177264000,408738000,408738000,3586002000,5221871000,1217231000,-6827000,1764617000,1077816000,2842433000,8064304000,521094000,4050000,-98683000,-42059000,384402000,-9226000,-6922000,157000,145955000,-13634000,-133376000,-256425000,273932000,273932000,273932000,363488000,3177264000,80307000,0.81971,0.51149,0.50391,0.12458,0.04391,0.22679,3.25948,1.83711,0.39399,1.72014,1.67956,3.4136,5.87977,0.39011,0.07139,0.01249,-5.86523,-5.93132
"24","2020_Q1",38.5322580645161,"Up",914772000,847265000,67507000,-144986000,769786000,-425363000,-91528000,-333835000,344423000,80840000.0000001,-18542000,-28126000,9584000,109238000,-9856000,425263000,-891000,424372000,-66351000.0000001,358021000,358021000,-191978000,166043000,156879000,5765777000,1601531000,4164246000,22193000,22193000,5787970000,1540978000,93911000,473165000,973902000,2754147000,8542117000,158757000,94364000,64393000,1344695000,84639000,1260056000,1503452000,3500747000,499791000,499791000,4000538000,5503990000,1302587000,-4578000,1852222000,1185905000,3038127000,8542117000,358021000,4316000,-155888000,41233000,247682000,-19120000,8673000,-2165000,-11680000,327633000,-130869000,80915000,316917000,316917000,316917000,348739000,3500747000,437203000,0.84151,0.37651,0.1715,0.05164,0.01837,2.78688,3.84979,1.81164,0.40982,0.70658,0.70111,4.12011,5.8462,1.96915,0.03875,0.06211,-6.49491,-6.5763
"25","2020_Q2",39.9603174603175,"Up",-1469086000,-1281237000,-187849000,-139269000,-1608355000,499354000,-84522000,583876000,-1109001000,-1470286000,-23308000,-31242000,7934000,-1430471000,-16507000,-2579287000,-409000,-2579696000,295853000,-2283843000,-2283843000,1287625000,-996218000,-1005382000,4646306000,1276881000,3369425000,20628000,20628000,4666934000,2216612000,93911000,875598000,1247103000,11655863000,16322797000,167042000,100229000,66813000,1808202000,128087000,1680115000,3837450000,7750716000,1235597000,1235597000,8986313000,12823763000,1085949000,-8201000,556638000,2942396000,3499034000,16322797000,-2283843000,4478000,3420871000,-273892000,867614000,-18318000,-51176000,-118000,-759388000,-185028000,29191000,-432891000,-324665000,-324665000,-324665000,-1104523000,9612922000,-1692586000,1.0948,0.75489,0.68436,-0.28733,-0.06159,1.68353,1.21615,3.66494,0.58893,-4.43373,-4.43373,-6.47866,0.0106899999999994,-7.4643,-0.05524,-0.11797,-4.49662,-4.47846
"26","2020_Q3",44.215625,"Up",1508335000,1396714000,111621000,-151019000,1357316000,-519108000,-83729000,-435379000,838208000,301559000,-28297000,-32291000,3994000,326529000,3327000,1139767000,-359000,1139408000,-140323000,999085000,999085000,-552756000,446329000,437164000,5722943000,1611585000,4111358000,82242000,82242000,5805185000,2114423000,116958000,744733000,1252732000,12153223000,17958408000,259684000,119934000,139750000,1261797000,63156000,1198641000,3474100000,8826769000,1415602000,1415602000,10242371000,13716471000,1032442000,-3879000,929031000,3312906000,4241937000,17958408000,999085000,4071000,-996101000,62705000,69760000.0000001,-19301000,31805000,-438000,-15542000,658461000,-216572000,342100000,396318000,396318000,396318000,842279000,10779388000,1026006000,0.89988,0.55572,0.28983,0.10306,0.02434,2.34696,1.67099,3.23354,0.60024,1.9203,1.9203,6.62555,1.64644,4.50686,0.03267,0.06242,6.00329,6.03245
"27","2020_Q4",41.47109375,"Down",1018274000,967552000,50722000,-163197000,855077000,-332357000,-90822000,-241535000,522720000,243348000,-33404000,-34889000,1485000,266591000,10161000,766068000,-612000,765456000,-89357000,676099000,676099000,-403700000,272399000,263236000,13177459683.1065,2055436611.047,11122023072.0595,-41607853.5813224,-41607853.5813224,13135851829.5252,2052929062.00711,122723650.782485,605775465.080572,1324431704.96269,6678599371.19301,19814451200.7182,247487198.365847,120943753.785196,126543444.580651,1080381341.6624,-3101840.90649973,1083483182.5689,1445320233.08921,12238573276.8928,1293483457.60167,1293483457.60167,13532056734.4944,14977376967.5837,946224061.340298,-1501141.81106483,1262167142.03108,3574907091.10347,4837074233.13455,19814451200.7182,676099000,4509000,-18591000,-84675000,577342000,-10465000,15199000,10422000,767463000,-109912000,-122492000,-375899000,968906000,968906000,968906000,527229000,0,521446000,0.83973,0.51334,0.25851,0.200166501056241,0.0455219722046883,1.98091,9.74630605715141,2.92117395856324,0.610929685622072,1.15568,1.15568,4.47051,3.11974063088728,2.28929,0.0543629358439488,0.0839703756161538,0.70450320566966,0.661034851730407
