"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",4.48746031746032,"Up",55241000,-50242000,4999000,-1779000,-753000,-1026000,3220000,637000,642000,-134000,776000,3857000,95000,3952000,-1236000,2716000,2716000,2716000,2716000,59360997.0263593,32355367.1819181,27005629.8444412,92461519.5283401,92461519.5283401,57905121.8318677,7612217.14451934,5782829.59487114,1828672.62532105,217339855.531086,139120984.255506,2551173.75412291,2453197.03519235,141672158.009629,359012013.540715,977722.112127695,16731593.6660313,-20706641.2656613,20908703.3024853,7267532.51872481,21886425.414613,51591320.7229435,21244543.5094671,30346777.2134764,51591320.7229435,73477746.1375565,253601689.623417,8400355.48649212,23532222.2932494,285534267.403159,285534267.403159,359012013.540715,2716000,1911000,-1399000,19738000,22966000,-8163000,-38734000,16201000,-30696000,-3999000,-3964000,-11694000,-11694000,-11694000,5131000,0,17942000,0.09049,0.05829,0.04917,-0.0282120099104637,-0.0194845904809543,6.60604,9.25650653862435,0.25472517575803,0,0.06793,0.06768,1.38162,7.60868037021232,0.44874,0.10002,-0.00949545932659592,-0.60603165095065,1.47239,-14.8076136259325,-17.6168172996999
"2","2011_Q3",4.06234375,"Down",74728000,-59299000,15429000,-2773000,-861000,-1912000,12656000,753000,775000,-36000,811000,13409000,-37000,13372000,-4933000,8439000,8439000,8439000,8439000,147281000,94525000,52756000,30251000,30251000,40376000,2767000,854000,1913000,220675000,137605000,2259000,2221000,139864000,360539000,21734000,14260000,7474000,6557000,1726000,28291000,60034000,26945000,33089000,60034000,88325000,253427000,17828000,959000,272214000,272214000,360539000,8437000,1973000,3549000,-2130000,11829000,-7150000,-4248000.00000001,2965000,-8433000,-3997000,11766000,15162000,15162000,15162000,14629000,0,10282000,0.20647,0.16936,0.11293,0.031,0.02341,1.21839,7.80018,0.32447,0,0.20975,0.20869,1.85732,6.76573,0.25555,0.09934,0.03743,0.03095,0.47363,-10.06774,-11.63725
"3","2011_Q4",4.15063492063492,"Up",90307000,-68312000,21995000,-2637000,-996000,-1641000,19358000,883000,949000,-6000,955000,20241000,-240000,20001000,-7268000,12733000,12733000,12733000,12733000,158826000,102556000,56270000,25766000,25766000,43716000,2291000,413000,1878000,230599000,138946000,2189000,2180000,141135000,371734000,26486000,15505000,10981000,5707000,1770000,32193000,62172000,28654000,33518000,62172000,94365000,253427000,26433000,-2491000,277369000,277369000,371734000,12735000,2467000,3197000,6917000,25316000,-3524000,-9389000,-242000,-13155000,-4130000,-4130000,8031000,8031000,8031000,21825000,0,32486000,0.24356,0.21436,0.141,0.04591,0.03425,2.55132,7.16302,0.34021,0,0.30832,0.30698,2.18672,6.71631,0.78663,0.10001,0.04966,0.09568,0.32435,-7.27725,-8.20467
"4","2012_Q1",4.22645161290323,"Up",89609000,-70277000,19332000,-2951000,-902000,-2049000,16381000,776000,945000,-8000,953000,17157000,-1707000,15450000,-4829000,10621000,10621000,10621000,10621000,146039000,89745000,56294000,35554000,35554000,57439000,3493000,1460000,2033000,242525000,140517000,2202000,2202000,142719000,385244000,26079000,18665000,6291000,9720000,3558000,35799000,61207000,28506000,32701000,61207000,97006000,253509000,32926000,1803000,288238000,288238000,385244000,10621000,2747000,1487000,-24537000,-9682000,-4359000,5247000,29000.0000000001,917000.000000004,-4128000,-4046000,-12811000,-12811000,-12811000,19128000,0,-4939000.00000001,0.21574,0.18281,0.11853,0.03685,0.02757,-0.46502,6.77463,0.33655,0,0.25705,0.25593,2.1687,6.97588,-0.11953,0.09991,0.04221,-0.01413,0.38866,-7.63483,-8.91515
"5","2012_Q2",3.69444444444444,"Down",85727000,-72926000,12801000,-2218000,-843000,-1375000,10583000,1082000,1134000,-6000,1140000,11665000,314000,11979000,-4866000,7113000,7113000,7113000,7113000,157080000,88886000,68194000,21947000,21947000,67952000,3553000,1244000,2309000,250532000,139952000,2173000,2173000,142125000,392657000,29650000,21441000,8209000,10244000,3558000,39894000,60338000,28522000,31816000,60338000,100232000,253589000,35907000,2929000,292425000,292425000,392657000,7113000,2584000,-1672000,5958000,13983000,-2082000,-9758000,1050000,-10790000,-4132000,-4052000,-859000,-859000,-859000,13167000,0,21909000,0.14932,0.12345,0.08297,0.02432,0.01812,3.08013,6.27994,0.34276,0,0.17217,0.17143,2.07497,7.07796,0.53029,0.10001,0.03188,0.06211,0.58091,-11.92982,-14.84267
"6","2012_Q3",3.85698412698413,"Up",103237000,-88837000,14400000,-2828000,-829000,-1999000,11572000,1234000,1138000,-9000,1147000,12806000,-116000,12690000,-4217000,8473000,8473000,8473000,8473000,178968000,112031000,66937000,26451000,26451000,43357000,1017000,881000,136000,249793000,139237000,2189000,2189000,141426000,391219000,25852000,17930000,7922000,8329000,3770000,34181000,61186000,28585000,32601000,61186000,95367000,253848000,40248000,1756000,295852000,295852000,391219000,8473000,2594000,1102000,17238000,29407000,-1923000,-763000.000000004,556000,-2130000,-4132000,-4132000,23145000,23145000,23145000,14166000,0,33698000,0.13948,0.11209,0.08207,0.02864,0.02166,3.9771,7.30795,0.32235,0,0.20506,0.20435,2.49853,7.16018,0.81556,0.1,0.0353,0.09438,0.48767,-12.63363,-15.46561
"7","2012_Q4",4.59677419354839,"Up",88276000,-66313000,21963000,-2782000,-954000,-1828000,19181000,1206000,1138000,-6000,1144000,20387000,83000,20470000,-7921000,12549000,12549000,12549000,12549000,196400000,114593000,81807000,19886000,19886000,49078000,2957000,410000,2547000,268321000,139143000,2249000,2249000,141392000,409713000,27439000,16109000,11330000,14114000,6035000,41553000,60405000,28736000,31669000,60405000,101958000,253911000,48665000,5179000,307755000,307755000,409713000,12549000,2611000,-163000,3752000,18749000,-2472000,-9230000,-394000,-12096000,-4132000,-4091000,2562000,2562000,2562000,21792000,0,30993000,0.2488,0.21728,0.14216,0.04078,0.03063,2.46976,6.45732,0.3313,0,0.3037,0.30259,2.13638,7.44801,0.75006,0.1,0.04531,0.08418,0.32927,-9.01248,-10.2393
"8","2013_Q1",5.42433333333333,"Up",74589000,-66500000,8089000,-3333000,-818000,-2515000,4756000,1339000,1339000,-6000,1345000,6095000,3646000,9741000,-3572000,6169000,6169000,6169000,6169000,146505000,58737000,87768000,22782000,22782000,41992000,2657000,1595000,1062000,213936000,138865000,2436000,2436000,141301000,355237000,20689000,12589000,7480000,15545000,8592000,36234000,58669000,30037000,28632000,58669000,94903000,257045000,692000,2597000,260334000,260334000,355237000,6169000,2665000,-2505000,-3580000,2749000,-2388000,-6507000,1298000,-7597000,-54142000,-51008000,-55856000,-55856000,-55856000,7421000,0,5025000,0.10845,0.06376,0.08271,0.0237,0.01737,0.81456,5.90429,0.36454,0,0.1486,0.14828,1.79676,6.27113,0.12105,1.30421,0.18906,0.01575,8.77646,-19.74195,-30.80425
"9","2013_Q2",5.65578125,"Up",92165000,-70784000,21381000,-2431000,-916000,-1515000,18950000,1147000,1147000,-6000,1153000,20097000,59000,20156000,-6106000,14050000,14050000,14050000,14050000,158563000,62211000,96352000,27903000,27903000,70702000,7526000,1423000,6103000,264694000,138142000,2492000,2492000,140634000,405328000,35134000,21826000,13308000,15734000,6094000,50868000,60172000,29721000,30451000,60172000,111040000,276337000,9974999.99999999,7976000,294288000,294288000,405328000,14050000,2658000,288000,-24331000,-7335000,-2318000,207000,-1605000,-3716000,-4767000,14525000,3474000,3474000,3474000,21608000,0,1065000,0.23199,0.20561,0.15244,0.04774,0.03466,0.0758,5.20355,0.37732,0,0.32729,0.32713,2.14696,6.85537,0.02481,0.11105,0.05309,0.003,0.33929,-7.33816,-8.36744
"10","2013_Q3",6.96,"Up",106063000,-78437000,27626000,-2651000,-791000,-1860000,24975000,1649000,1683000,-6000,1689000,26624000,2030000,28654000,-10498000,18156000,18156000,18156000,18156000,185711000,87145000,98566000,24626000,24626000,50626000,8237000,898000,7339000,269200000,138831000,2516000,2516000,141347000,410547000,30474000,18041000,12433000,14812000,6181000,45286000,59420000,29810000,29610000,59420000,104706000,276337000,23364000,6140000,305841000,305841000,410547000,18156000,2726000,-2019000,1.8e+07,36863000,-3415000,-3163000,-584000,-7162000,-4766999.99999999,-4767000,24934000,24934000,24934000,27701000,0,52784000,0.26047,0.23547,0.17118,0.05936,0.04422,2.90725,5.94444,0.34235,0,0.41897,0.41871,2.44755,7.05769,1.21806,0.11,0.06276,0.14451,0.262559999999999,-6.70413,-7.43588
