"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.6747619047619,"Up",80447000,-4385000,76062000,-27780000,-5491000,-22289000,48282000,-18157000,-18414000,30125000,-35000,30090000,-78000,29984000,29984000,29984000,29984000,80549512.8615589,80549512.8615589,2242248.97903419,2242248.97903419,82518906.9305025,3884609774.34141,4362024048.5687,-477414274.227289,-14238663.8117656,81386406.0616305,-95625069.8733961,3999376952.83587,4081895859.76637,22982467.651568,22982467.651568,-36330783.6898908,-36330783.6898908,776521752.202609,511333565.990561,521506285.420188,1298028037.6228,2105025672.24026,683092120.848802,2783867822.14357,2783867822.14357,4081895859.76637,29984000,22289000,861000,-1125000,52009000,-6362000,-6382000,-45856000,-4196000,-583000,-50635000,-5008000,-5008000,-5008000,70571000,0,63162000,0.94549,0.60017,0.37272,0.0121098003760682,0.00855557006979287,2.10652,0.0777600388538372,0.413008488929135,0.308245459621036,0.23539,0.23539,0.63155,22.4002961865042,0.49585,0.35999,0.0179712252381928,-0.406416542502828,1.52935,6.92576538830295,3.67568883202584
"2","2010_Q3",10.431875,"Up",80765000,-4154000,76611000,-27748000,-5403000,-22345000,48863000,-20272000,-20515000,28591000,-3932000,24659000,-76000,24559000,24559000,24559000,24559000,25230000,25230000,4930000,4930000,30160000,2852024000,3348752000,-496728000,111043000,41855000,69188000,2963067000,2993227000,14609000,14609000,25445000,25445000,1121047000,9621000,9621000,1130668000,1167717000,694576000,1862559000,1862559000,2993227000,24559000,22345000,4450000,3339000,54693000,-24927000,-24951000,-45865000,39036000,-3169000,-9998000,19744000,19744000,19744000,71208000,1090614000,49696000,0.94857,0.605,0.30408,0.01319,0.0082,2.02354,0.0269,0.60705,0.36436,0.19276,0.19276,0.63391,14.61885,0.39005,0.35999,0.02385,0.01683,1.86754,14.96158,21.80349
"3","2010_Q4",10.6846875,"Up",80961000,-4599000,76362000,-28050000,-5545000,-22505000,48312000,-20023000,-20226000,28289000,-286000,28003000,-69000,27969000,27969000,27969000,28078000,8513000,8513000,5363000,5363000,13876000,2861758000,3378618000,-516860000,124078000,44743000,79335000,2985836000,2999712000,13358000,13358000,33161000,33161000,1125536000,21404000,21404000,1146940000,1123095000,722654000,1852772000,1852772000,2999712000,28078000,22505000,727000,3399000,54709000,-36847000,-35428000,-45868000,9939000,-69000,-35998000,-16717000,-16717000,-16717000,70817000,1100421000,37438000,0.94319,0.59673,0.34681,0.01515,0.00936,1.33336,0.01233,0.61904,0.36684,0.22035,0.22035,0.63537,14.54033,0.29381,0.35997,0.02504,0.01268,1.63359,15.41873,22.60118
"4","2011_Q1",10.6541935483871,"Down",97940000,-7031000,90909000,-28508000,-5238000,-23270000,62401000,-20721000,-20862000,41680000,-7755000,33925000,-77000,33864000,33864000,33864000,33864000,10866000,10866000,4994000,4994000,15860000,3222840000,3761712000,-538872000,124707000,63593000,61114000,3376796000,3392656000,14993000,14993000,24256000,24256000,1116139000,146239000,148540000,1264679000,1357923000,756518000,2127977000,2127977000,3392656000,33864000,23270000,-454000,-4292000,52388000,-397799000,-397800000,-47168000,113787000,-840000,347765000,2353000.00000001,2353000.00000001,2353000.00000001,85671000,1223129000,-316343000,0.92821,0.63713,0.34576,0.01591,0.00998,-9.34157,0.01421,0.59431,0.36052,0.26018,0.26018,0.75248,16.34931,-2.43047,0.36239,0.02416,-0.09433,1.39287,14.15021,19.42698
"5","2011_Q2",11.3046031746032,"Up",98552000,-10433000,88119000,-32517000,-6156000,-26361000,55602000,-22514000,-22746000,33088000,-1279000,31809000,-71000,31775000,31775000,31775000,31775000,14810000,14810000,5158000,5158000,19968000,3310509000,3873118000,-562609000,194931000,72339000,122592000,3505440000,3525408000,16063000,16063000,32554000,32554000,1370684000,43806000,43806000,1414490000,1305541000,788293000,2110918000,2110918000,3525408000,31775000,26361000,-1885000,8523000,64774000,-148238000,-148238000,-52486000,141974000,-1977000,87408000,3944000,3944000,3944000,81963000,1365873000,-57681000,0.89414,0.56419,0.32242,0.01505,0.00901,-1.8153,0.01457,0.67008,0.38744,0.224,0.224,0.69474,14.88081,-0.40662,0.37,0.02424,-0.01659,1.6518,16.48382,24.29882
"6","2011_Q3",11.14234375,"Down",101162000,-11302000,89860000,-33728000,-6793000,-26935000,56132000,-23117000,-23361000,33015000,-3241000,29774000,-87000,29733000,29733000,29733000,51048000,28082000,28082000,5712000,5712000,42794000,3499120000,4076397000,-577277000,191504000,70843000,120661000,3690624000,3733418000,20093000,20093000,40108000,40108000,1428362000,202034000,202034000,1630396000,1253285000,839341000,2103022000,2103022000,3733418000,51048000,26935000,-22872000,11846000,66957000,-175043000,-150380000,-52490000,156812000,-7627000,96695000,13272000,13272000,13272000,83067000,1570195000,-80043000,0.88828,0.55487,0.50462,0.02427,0.01367,-1.56799,0.02996,0.77526,0.42058,0.35982,0.35982,0.71307,14.82369,-0.5642,0.36999,0.02819,-0.02179,1.02825,18.56469,27.47297
"7","2011_Q4",10.7719047619048,"Down",113700000,-20153000,93547000,-35388000,-6564000,-28824000,58159000,-24336000,-24730000,33823000,-3648000,30175000,-207000,29996000,29996000,29996000,29996000,26845000,26845000,7169000,7169000,82014000,3691512000,4294821000,-603309000,229787000,98840000,130947000,3921299000,4003313000,15933000,15933000,54226000,54226000,1464936000,228853000,228853000,1693789000,1445512000,869337000,2309524000,2309524000,4003313000,29996000,28824000,-492000,-22216000,36112000,-212462000,-251462000,-56748000,23528000,-269000,214113000,-1237000,-1237000,-1237000,86983000,1623630000,-147488000,0.82275,0.51151,0.26382,0.01299,0.00749,-4.91692,0.05598,0.73339,0.40557,0.19556,0.19556,0.74127,15.05704,-0.96155,0.36997,0.02205,-0.0375,1.89185,18.35744,27.45551
"8","2012_Q1",11.1856451612903,"Up",126617000,-23512000,103105000,-35367000,-6528000,-28839000,67738000,-26844000,-27425000,40894000,-6488000,34406000,53000,34487000,38600000,38600000,38600000,23560000,23560000,7128000,7128000,68688000,4091330000,4721591000,-630261000,206165000,100235000,105930000,4314360000,4383048000,22281000,22281000,39445000,39445000,1889111000,17778000,21331000,1910442000,1568441000,907937000,2472606000,2472606000,4383048000,38600000,31145000,-271000,16919000,86393000,-300679000,-290679000,-61805000,81959000,-3887000,201001000,-3285000,-3285000,-3285000,98883000,1845163000,-184930000,0.81431,0.53498,0.30486,0.01561,0.00881,-4.79093,0.03636,0.77264,0.42098,0.23946,0.23946,0.78547,15.33884,-1.14722,0.38341,0.02323,-0.04279,1.60117,18.4218,26.89189
"9","2012_Q2",10.9528571428571,"Down",145073000,-39334000,105739000,-41062000,-7685000,-33377000,64677000,-28407000,-28889000,36270000,-3759000,32511000,-204000,32352000,32352000,32352000,32352000,25302000,25302000,10296000,10296000,73598000,4078696000,4737687000,-658991000,231527000,95337000,136190000,4310223000,4383821000,19604000,19604000,49827000,49827000,1656230000,281756000,281756000,1937986000,1507088000,940289000,2445835000,2445835000,4383821000,32352000,33377000,2269000,4376000,72374000,-32850000,-32850000,-61806000,24093000,-69000,-37782000,1742000,1742000,1742000,98054000,1868555000,69784000,0.72887,0.44582,0.223,0.01323,0.00738,2.15702,0.04444,0.79236,0.42624,0.19891,0.19891,0.89195,15.03769,0.42905,0.38,0.02182,0.01617,1.91042,18.79835,28.49936
"10","2012_Q3",11.6703174603175,"Up",141916000,-38970000,102946000,-42088000,-8068000,-34020000,60858000,-27893000,-28120000,32965000,-2006000,30959000,-43000,30992000,33251000,33251000,33251000,20405000,20405000,10044000,10044000,30449000,4177983000,4866390000,-688407000,258120000,100619000,157501000,4436103000,4466552000,13315000,13315000,57059000,57059000,1675302000,375091000,375091000,2050393000,1445479000,973540000,2416159000,2416159000,4466552000,33251000,35230000,-2527000,8201000,74155000,-111032000,-73032000,-61813000,56018000,-225000.000000001,-6020000.00000003,-4897000,-4897000,-4897000,96088000,1980019000,-6699999.99999997,0.7254,0.42883,0.2343,0.01376,0.00744,-0.201500000000001,0.01818,0.84862,0.4433,0.20441,0.20441,0.87242,14.85313,-0.0411900000000002,0.37999,0.02162,-0.00152,1.85898,20.39395,32.19978
