"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",13.9163492063492,"Up",4.155e+09,-2.616e+09,1.539e+09,-1.123e+09,-1.123e+09,4.16e+08,-5.7e+07,-6.6e+07,3.59e+08,-1.1e+07,3.48e+08,-5.1e+07,2.97e+08,3.03e+08,-1e+06,3.02e+08,3.02e+08,4989758297.43346,4989758297.43346,3169127245.47665,3169127245.47665,1922836626.9926,796564870.058529,10878287039.9612,2181628092.20964,9637849886.69657,6987115981.23989,2072737707.31216,11819477978.9062,22697765018.8674,5159145434.95264,1635039842.82149,3524105592.13115,501617052.698769,380680152.677973,504066118.128641,6041442640.32938,5240087309.97334,2503172234.46039,1429917888.67301,7743259544.43373,13784702184.7631,9554154073.08646,-900016501.184476,-912623246.738134,1139474509.2858,8880988833.32125,32074000.7830782,8913062834.10433,22697765018.8674,0,0.3704,0.10012,0.07268,0.00826017125763046,0.00129487801698016,1.92144322328358,1.33248814755387,0.242530901597876,0.66435,0.66019,9.14031,20.7411456616301,-0.00980424985895342,-40.8171373575967
"2","2010_Q3",13.90640625,"Down",4.094e+09,-2.603e+09,1.491e+09,-1.094e+09,-1.094e+09,3.97e+08,-6.4e+07,-6.7e+07,3.33e+08,2.8e+07,3.61e+08,-5.3e+07,3.08e+08,3.12e+08,-2e+06,3.1e+08,3.1e+08,2.733e+09,2.733e+09,2.46e+09,2.46e+09,1.464e+09,1.34e+09,7.997e+09,3.501e+09,1.3974e+10,8.665e+09,2.611e+09,1.7475e+10,2.5472e+10,3.605e+09,1.164e+09,2.441e+09,5.36e+08,6.14e+08,6.14e+08,4.755e+09,3.995e+09,3.799e+09,2.689e+09,7.794e+09,1.2549e+10,1.3686e+10,-1.65e+08,-2.08e+08,-4.06e+08,1.2907e+10,1.6e+07,1.2923e+10,2.5472e+10,4.531e+09,0.36419,0.09697,0.07572,0.02399,0.01217,1.68181,0.97106,0.17788,0.68195,0.67768,9.00612,28.39324,0.01962,4.52897
"3","2010_Q4",14.54109375,"Up",4.274e+09,-2.693e+09,1.581e+09,-1.163e+09,-1.163e+09,4.18e+08,-1.49e+08,-6.4e+07,2.69e+08,-4.3e+07,2.26e+08,2.6e+07,2.52e+08,2.56e+08,-2e+06,2.54e+08,2.54e+08,1.823e+09,1.823e+09,2.416e+09,2.416e+09,1.417e+09,1.673e+09,7.329e+09,4.09e+09,1.5489e+10,9.388e+09,2.684e+09,1.9579e+10,2.6908e+10,3.683e+09,1.213e+09,2.47e+09,5.35e+08,7.41e+08,6.44e+08,4.959e+09,3.633e+09,4.175e+09,3.074e+09,7.808e+09,1.2767e+10,1.5057e+10,-3.93e+08,4.6e+07,-5.85e+08,1.4125e+10,1.6e+07,1.4141e+10,2.6908e+10,4.168e+09,0.36991,0.0978,0.05943,0.01796,0.00944,1.47792,0.90284,0.1549,0.54169,0.5384,9.11485,30.12337,0.01561,5.61005
"4","2011_Q1",16.7409677419355,"Up",-1.503e+09,5.08e+08,-9.95e+08,4.34e+08,4.34e+08,-5.61e+08,-6e+07,-5.7e+07,-6.21e+08,-2.9e+07,-6.5e+08,9.5e+07,-5.55e+08,2.66e+08,-2e+06,2.64e+08,2.64e+08,1.775e+09,1.775e+09,2.493e+09,2.493e+09,1.443e+09,1.642e+09,7.353e+09,4.156e+09,1.5619e+10,9.577e+09,2.596e+09,1.9775e+10,2.7128e+10,4.011e+09,1.34e+09,2.671e+09,5.36e+08,7.21e+08,6.18e+08,5.268e+09,3.652e+09,4.107e+09,3.001e+09,7.759e+09,1.3027e+10,1.5069e+10,-9.76e+08,3.12e+08,-3.21e+08,1.4084e+10,1.7e+07,1.4101e+10,2.7128e+10,4.188e+09,0.66201,0.37325,-0.17565,0.01872,0.00973,1.39579,0.92384,0.15438,0.55622,0.55288,-3.16664,29.67333,0.01179,-4.30125
"5","2011_Q2",18.2009523809524,"Up",4.379e+09,-2.75e+09,1.629e+09,-1.137e+09,-1.137e+09,4.92e+08,-5.3e+07,-5.3e+07,4.39e+08,2.14e+08,6.53e+08,-1.63e+08,4.9e+08,6.59e+08,-2119484.3275051,6.59e+08,6.59e+08,2.062e+09,2.062e+09,2.22e+09,2.22e+09,1.253e+09,1.285e+09,6.82e+09,3.916e+09,1.5646e+10,9.593e+09,2.622e+09,1.9562e+10,2.6382e+10,3.421e+09,1.158e+09,2.263e+09,5.19e+08,5.71e+08,5.71e+08,4.511e+09,3.634e+09,4.041e+09,2.876e+09,7.675e+09,1.2186e+10,1.5035e+10,-1.387e+09,9.71e+08,-4.3e+08,1.4189e+10,7e+06,1.4196e+10,2.6382e+10,4.153e+09,0.372,0.11235,0.15049,0.04642,0.02498,1.51186,0.85841,0.15742,1.41404,1.40255,9.39619,30.44588,0.03448,4.25
"6","2011_Q3",16.32796875,"Down",3.991e+09,-2.443e+09,1.548e+09,-1.085e+09,-1.085e+09,4.63e+08,-6e+07,-5.4e+07,4.03e+08,-2.6e+07,3.77e+08,-5.7e+07,3.2e+08,3.16e+08,-1e+06,3.15e+08,3.15e+08,1.84e+09,1.84e+09,2.312e+09,2.312e+09,1.353e+09,1.256e+09,6.761e+09,3.959e+09,1.5834e+10,9.721e+09,2.676e+09,1.9793e+10,2.6554e+10,3.812e+09,1.167e+09,2.645e+09,2e+06,6.53e+08,6.53e+08,4.467e+09,4.129e+09,4.064e+09,2.906e+09,8.193e+09,1.266e+10,1.4573e+10,-1.827e+09,1.288e+09,-1.46e+08,1.3888e+10,6e+06,1.3894e+10,2.6554e+10,4.131e+09,0.38787,0.11601,0.07893,0.02267,0.01186,1.51354,0.91118,0.15557,0.69882,0.69005,8.85394,30.81019,0.01929,4.94816
"7","2011_Q4",17.2006349206349,"Up",4.292e+09,-2.64e+09,1.652e+09,-1.142e+09,-1.142e+09,5.1e+08,-5.5e+07,-5.2e+07,4.55e+08,-3.5e+07,4.2e+08,-5.8e+07,3.62e+08,3.58e+08,1e+06,3.59e+08,3.59e+08,1.629e+09,1.629e+09,2.47e+09,2.47e+09,1.406e+09,1.313e+09,6.818e+09,4.007e+09,1.6152e+10,9.895e+09,2.699e+09,2.0159e+10,2.6977e+10,3.938e+09,1.23e+09,2.708e+09,41999999.9999999,6.38e+08,6.38e+08,4.618e+09,4.145e+09,4.032e+09,2.876e+09,8.177e+09,1.2795e+10,1.3513e+10,-9.88e+08,1.642e+09,1e+07,1.4177e+10,5e+06,1.4182e+10,2.6977e+10,4.187e+09,0.3849,0.11883,0.08364,0.02531,0.01331,1.4764,0.9022,0.15521,0.80324,0.79475,9.60308,31.72014,0.02129,5.01569
"8","2012_Q1",19.4440322580645,"Up",-2.105e+09,9.43e+08,-1.162e+09,5.3e+08,5.3e+08,-6.32e+08,-5e+07,-5.4e+07,-6.82e+08,-3999999.99999999,-6.86e+08,1.44e+08,-5.54e+08,3.87e+08,-1e+06,3.86e+08,3.86e+08,1.229e+09,1.229e+09,1.547e+09,1.547e+09,5.39e+08,1.4927e+10,1.8242e+10,1.609e+09,6.851e+09,4.238e+09,1.868e+09,8.46e+09,2.6702e+10,2.576e+09,7.82e+08,1.794e+09,1e+06,3.079e+09,3.77e+08,5.656e+09,4.105e+09,2.694e+09,2.251e+09,6.799e+09,1.2455e+10,1.3509e+10,-9.51e+08,2.027e+09,-4.36e+08,1.4149e+10,9.8e+07,1.4247e+10,2.6702e+10,4.106e+09,0.55202,0.30024,-0.18337,0.02709,0.01446,3.22525,0.87422,0.15377,0.86365,0.85452,-4.7098,31.65749,0.01834,-4.55222
"9","2012_Q2",20.6974603174603,"Up",2.478e+09,-1.579e+09,8.99e+08,-6.77e+08,-6.77e+08,2.22e+08,-5.1e+07,-5.3e+07,1.71e+08,-3.6e+07,1.35e+08,-2.7e+07,9.8e+07,3.22e+08,-1456839.26092503,3.22e+08,3.22e+08,1.013e+09,1.013e+09,2.293e+09,2.293e+09,1.465e+09,1.366e+09,6.137e+09,4.063e+09,1.6298e+10,9.991e+09,2.634e+09,2.0361e+10,2.6498e+10,3.332e+09,1.243e+09,2.089e+09,3.7e+07,6.16e+08,6.16e+08,3.985e+09,4.137e+09,3.998e+09,2.856e+09,8.135e+09,1.212e+10,1.3427e+10,-1.032e+09,2.391e+09,-5.07e+08,1.4279e+10,9.9e+07,1.4378e+10,2.6498e+10,4.174e+09,0.36279,0.08959,0.12994,0.0224,0.01215,1.54003,0.84295,0.15752,0.72667,0.71892,5.59216,32.22378,0.01942,14.23874
"10","2012_Q3",21.1780952380952,"Up",2.542e+09,-1.634e+09,9.08e+08,-6.6e+08,-6.6e+08,2.48e+08,-5.9e+07,-5.5e+07,1.89e+08,-2e+07,1.69e+08,-3.3e+07,1.34e+08,3.23e+08,-124232.548075537,3.23e+08,3.23e+08,1.086e+09,1.086e+09,2.441e+09,2.441e+09,1.543e+09,1.393e+09,6.463e+09,4.15e+09,1.6449e+10,1.013e+10,2.574e+09,2.0599e+10,2.7062e+10,3.602e+09,1.326e+09,2.276e+09,3e+06,6.81e+08,6.81e+08,4.286e+09,4.137e+09,3.954e+09,2.803e+09,8.091e+09,1.2377e+10,1.321e+10,-1.06e+09,2.718e+09,-3.06e+08,1.4562e+10,1.23e+08,1.4685e+10,2.7062e+10,4.14e+09,0.3572,0.09756,0.12707,0.022,0.01194,1.50793,0.84283,0.15298,0.73208,0.72115,5.76143,33.00469,0.01923,12.31452
