"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",13.485,"Down",24312.4898711916,-6070000,-1297000,-4773000,-6070000,162000,162000,-5908000,-5908000,-5908000,-5908000,-5908000,-5908000,-22165322.8332028,-7650079.35165912,5413355.2040065,-355309.849778951,229753910.958333,-16751967.6291964,1287452.66518772,-1214973.20751227,-1214973.20751298,72301.4376472023,-16679666.1915492,-3301486.70562001,-4343901.76132384,1042415.05570383,4063621.73852295,3302441.58882183,762135.032898615,2365824.10945419,-2975290.30313399,2365824.10944848,3127959.14234709,200973368.947215,-220748434.983672,-32559.2973916186,-19807625.3338962,-19807625.3338962,-16679666.1915492,-5908000,134000,105000,-409000,-6078000,-2197000,6223000,65000,65000,65000,210000,210000,210000,-5936000,0,-0.123720863889637,-0.356780233302389,-4.20947125818266,-0.0454600303774995,-3.27711044476786e-12,-1.93126,-1.93126,0.00255558636049114,-5.35287830424829,-0.424390471682766,-5.21173510234,-4.93982745353631
"2","2011_Q1",20.5611290322581,"Up",0,-6123000,-1380000,-4743000,-6123000,-431000,-431000,-6554000,-6554000,-6554000,-6554000,-6554000,-6554000,14699000,8691000,944000,473000,471000,15643000,271000,290000,290000,561000,16204000,1075000,252000,823000,2439000,2439000,3514000,7747000,7747000,7747000,11261000,231417000,-226475000,1000,4943000,4943000,16204000,-6554000,110000,732000,535000,-5177000,-2661000,10064000,-1000,-1000,-135000,4752000,4752000,4752000,-6013000,0,-1.32592,-0.40447,4.45162,2.27817,0,-2.14243,-2.14243,0,1.61581,-0.51647,2.44454,2.40062
"3","2011_Q2",19.5442857142857,"Down",-24904.1632903972,-7394000,-1297000,-6097000,-7394000,-936000,-936000,-8330000,-8330000,-8330000,-8330000,-8330000,-8330000,29848857.6110676,12779276.450553,-471951.734668832,940686.616592983,-100280296.575,29376905.8763988,-19984.2217292394,566241.069170756,566241.069170992,546316.187450933,29923222.0638497,2218745.56854,1247383.92044128,971361.648098725,2032626.08715902,2286352.80372606,4251371.65570046,10655308.6301819,12435680.1010447,10655308.6301838,14906680.2858843,247857127.017595,-232847105.005443,6519.76579720621,15016541.7779654,15016541.7779654,29923222.0638497,-8330000,88000,1188000,1049000,-6005000,-5744000,-2459000,29692000,29692000,29692000,21228000,21228000,21228000,-7306000,0,-1.28821054537012,-0.32277325556587,7.64546875272755,2.44543251012583,1.09237014825595e-12,-2.72298,-2.72298,-0.00452452878683038,4.1481511014161,-0.404477342772411,5.16050170078,5.00809415117877
"4","2011_Q3",17.77234375,"Down",0,-6753000,-1685000,-5068000,-6753000,-1170000,-1170000,-7923000,-7923000,-7923000,-7923000,-7923000,-7923000,31494000,10597000,1080000,1080000,-109365528.766667,32574000,128000,290000,290000,418000,32992000,1793000,478000,1315000,2677000,2677000,4470000,15785000,15785000,15785000,20255000,255467000,-242728000,-2000,12737000,12737000,32992000,-7923000,156000,1385000,-381000,-6763000,-15484000,-12534000,-24999.9999999963,-24999.9999999963,-24999.9999999963,-19322000,-19322000,-19322000,-6597000,0,-0.62205,-0.24015,7.28725,1.59025,0,-2.04322,-2.04322,0,3.28468,-0.27779,4.77399,4.66371
"5","2011_Q4",16.2288888888889,"Down",0,-7789000,-1308000,-6481000,-7789000,3664000,3664000,-4125000,-4125000,-4125000,-4125000,-4125000,-4125000,25287000,6076000,830000,830000,-63650246.575,26117000,409000,349000,349000,758000,26875000,1926000,305000,1621000,3461000,3461000,5387000,12034000,12034000,12034000,17421000,256316000,-246853000,-9000,9454000,9454000,26875000,-4125000,151000,-3383000,1016000,-6341000,-5495000,1263000,557000,557000,557000,-4521000,-4521000,-4521000,-7638000,0,-0.43632,-0.15349,4.84815,1.84271,0,-0.92389,-0.92389,0,2.11744,-0.19197,3.31068,3.2465
"6","2012_Q1",45.1338709677419,"Up",-256007.265500578,-8162000,-1420000,-6742000,-8100000,2825000,2825000,-5275000,-5275000,-5275000,-5275000,-5275000,-5275000,20290000,5882000,254000,254000,0,20544000,543000,1349000,1349000,1892000,22436000,4126000,2389000,1737000,4465000,4465000,8591000,9362000,9362000,9361999.99999999,17953000,256612000,-252128000,-1000,4483000,4483000,22436000,-5275000,130000,-2526000,2929000,-4742000,-1959000,4548000,1.86264514923096e-09,1.86264514923096e-09,1.86264514923096e-09,-194000,-194000,-194000,-7970000,3.3881317890172e-21,-1.17667,-0.23511,2.39134,4.00468,1.61558713389263e-27,-1.18035,-1.18035,-0.0488375980979354,1.00313,-0.381,2.5458,2.50494
"7","2012_Q2",73.9095238095238,"Up",252000,-7395000,-1708000,-5687000,-7143000,-108390000,-108390000,-115533000,-115533000,-115533000,-115533000,-115533000,-115533000,49731000,25935000,38307000,767000,37540000,88038000,617000,1059000,1059000,1676000,89714000,3323000,1307000,2016000,11891000,4703000,15214000,151947000,101887000,151947000,167161000,290213000,-367661000,1000,-77447000,-77447000,89714000,-115533000,23000,108789000,19029000,12308000,-17974000,-9482000,17227000,17227000,17227000,20053000,20053000,20053000,-7120000,0,1.49177,-1.28779,5.78664,-2.15839,0,-25.25514,-25.25514,0.05509,-16.92966,-1.55078,6.98469,6.9622
"8","2012_Q3",84.4387301587302,"Up",1797000,-4677000,-1780000,-2897000,-2880000,19881000,19881000,17001000,17001000,17001000,17001000,17001000,17001000,66535000,8307000.00000001,18064000,1652000,16412000,84599000,684000,1059000,1059000,1743000,86342000,2432000,995000,1437000,10989000,3801000,13421000,124295000,76032000,124295000,137716000,299299000,-350660000,-13000,-51374000,-51374000,86342000,17001000,308000,-19107000,16665000,14867000,-42831000,-34821000,2326000,2326000,2326000,-17628000,-17628000,-17628000,-2572000,-5.42101086242752e-20,-0.33093,0.1969,6.30348,-2.68066,0,3.42897,3.42897,0.36244,-10.36174,0.23314,25.86897,23.10243
"9","2012_Q4",51.5824193548387,"Down",1797000,-5780000,-1741000,-4039000,-3983000,2992000,2992000,-991000,-991000,-991000,-991000,-991000,-991000,65825000,8634000,18606000,1149000,17457000,84431000,728000,1059000,1059000,1787000,86218000,2556000,739000,1817000,13633000,6445000,16189000,114113000,67646000,114113000,130302000,307553000,-351651000,14000,-44084000,-44084000,86218000,-991000,337000,-2023000,427000,-2250000,-14936000,684000,1893000,1893000,1893000,327000,327000,327000,-3646000,0,0.02248,-0.01149,5.21533,-2.95577,0,-0.19581,-0.19581,0.35506,-8.71031,-0.01415,18.05403,16.52649
"10","2013_Q1",51.5388333333333,"Down",2021000,-8014000,-1851000,-6163000,-5993000,34381000,34381000,28388000,28388000,28388000,28388000,28388000,28388000,70848000,11029000,16802000,1167000,15635000,87650000,812000,1059000,1059000,1871000,89521000,3165000,908000,2257000,14286000,5750000,17451000,85923000,32826000,85923000,103374000,309399000,-323263000,11000,-13853000,-13853000,89521000,28388000,340000,-33433000,9693000,4988000,-18486000,-3057000,464000,464000,464000,2395000,2395000,2395000,-5653000,-8.67361737988404e-19,-2.04923,0.31711,5.02263,-7.46221,0,5.5443,5.5443,0.39471,-2.70555,0.39389,12.53281,11.82179
"11","2013_Q2",56.370625,"Up",2922000,-8983000,-2515000,-6468000,-6061000,-3080000,-3080000,-9141000,-9141000,-9214000,-9214000,-9214000,-9214000,104238000,20355000,7815000,1162000,6653000,112053000,760000,1059000,1059000,1819000,113872000,5444000,2354000,3090000,18346000,5624000,23790000,111897000,35908000,111897000,135687000,310656000,-332477000,6000,-21815000,-21815000,113872000,-9214000,316000,4169000,38213000,33484000,-46421000,-24333000,175000,175000,175000,9326000,9326000,9326000,-5745000,0,0.42237,-0.08092,4.71009,-6.21989,0,-1.7945,-1.7945,0.56908,-4.24865,-0.10228,18.14413,17.19815
"12","2013_Q3",54.77828125,"Down",3180000,-10149000,-2166000,-7983000,-6969000,-5788000,-5788000,-12757000,-12757000,-12788000,-12788000,-12788000,-12788000,98212000,4413000,4461000,1913000,2548000,102673000,773000,1059000,1059000,1832000,104505000,2925000,884000,2041000,19741000,7019000,22666000,107049000,34240000,107049000,129715000,320082000,-345265000,-27000,-25210000,-25210000,104505000,-12788000,348000,7094000,-956000,-6302000.00000001,-28580000,-10310000,670000,670000,670000,-15942000,-15942000,-15942000,-6621000,0,0.507260000000001,-0.12237,4.52982,-5.14538,3.30872245021211e-24,-2.46651,-2.46651,0.61335,-4.86242,-0.15626,14.83341,14.0927
"13","2013_Q4",50.27171875,"Down",3181000,-8401000,-2051000,-6350000,-5220000,6413000,6413000,1193000,1193000,1176000,1176000,1176000,1176000,91914000,4001000,7364000,1819000,5545000,99278000,708000,1059000,1059000,1767000,101045000,3864000,1375000,2489000,21013000,8291000,24877000,93668000,24040000,93668000,118545000,326551000,-344089000,38000,-17500000,-17500000,101045000,1176000,430000,-5148000,-3880000,-7422000,-14056000,5586000,1424000,1424000,1424000,-412000,-412000,-412000,-4790000,0,-0.0672,0.01164,3.99075,-6.774,0,0.22099,0.20354,0.59777,-3.28857,0.01544,19.18873,17.60805
"14","2014_Q1",54.1406557377049,"Up",3212000,-10986000,-2453000,-8533000,-7774000,266000.000000002,266000,-7508000,-7508000,-7589000,-7589000,-7589000,-7589000,65669000,7279000,20340000,2246000,18094000,86009000,686000,1059000,1059000,18109000,104118000,4850000,1689000,3161000,22166000,7444000,27016000,100577000,23661000,100577000,127593000,328175000,-351678000,28000,-23475000,-23475000,104118000,-7589000,412000,1127000,-3559000,-9609000,-13069000,12764000,123000,123000,123000,3278000,3278000,3278000,-7362000,-1.11022302462516e-16,0.32328,-0.07289,3.18363,-5.43527,2.64697796016969e-23,-1.40876,-1.53911,0.59625,-4.35771,-0.09843,8.91999,8.44726
"15","2014_Q2",44.1666666666667,"Down",3681000,-12287000,-2634000,-9653000,-8606000,1497000,1497000,-7109000,-7109000,-7109000,-7109000,-7109000,-7109000,71993000,6743000,6503000,1311000,5192000,78496000,632000,1159000,1159000,16184000,94680000,7968000,4006000,3962000,20214000,5492000,28182000,95486000,22251000,95486000,123668000,329786000,-358787000,13000,-28988000,-28988000,94680000,-7109000,390000,-191000,11269000,4359000,-22373000,-5240000,345000,345000,345000,-536000,-536000,-536000,-8216000,0,0.24524,-0.07508,2.78532,-4.26618,0,-1.31877,-1.2758,0.68285,-5.37747,-0.10691,8.76254,8.36544
