"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",8.52603174603175,"Up",8032000,-6039000,-2014000,-2416000,-1609000,1993000,-1281000,-1281000,712000,-4287000,-3575000,-3558000,-3558000,465000,-3093000,-3093000,-528450711.09852,-528450711.09852,210719829.698938,-17522590.6737922,228242420.37273,-317745762.442029,-2965659794.45892,-2899733816.49891,-65925977.9600127,-120815365.089474,1338748.64947318,-122154113.738947,-3086475159.54839,-3404220921.99042,-97050622.9995061,19117496.947796,-116168119.947303,1379273855.61694,19789127.5835002,19789127.5835002,1302012360.20094,287599767.768305,-18204538.7060019,-18204538.7060019,269395229.062303,1571407589.26324,-4628121764.18493,34284015.7412601,-4593800947.51138,-381827563.742285,-4975628511.25366,-3404220921.99042,-3558000,2416000,-119000,881000,-380000,-138779000,-138779000,-138779000,-6841000,-145620000,-4848000,106166000,-57000,-57000,149647915.826965,-1647000,99614000,-46386000,-46386000,-46386000,4409000,0,0.24813,-0.38508,0.157734580930373,0.122601784324928,-12.3307630342129,4.59286998835358,3.34359105440998,-0.14522,-0.14522,0.37711,-33.4255077659752,0.22762,0.0925482669734578,-1.56741,210.5544628382,427.058933598796
"2","2014_Q3",9.0596875,"Up",11447000,-8371000,-2408000,-3736000,-2227000,3076000,-1657000,-1657000,1419000,-2045000,-626000,-6e+05,-6e+05,39000.0000000001,-560999.999999999,-560999.999999999,-237719355.54926,-237719355.54926,99979414.849469,-7395795.3368961,107375210.186365,-137747381.221015,-983319897.22946,-933858408.249454,-49461488.9800063,-47068682.5447368,1330374.32473659,-48399056.8694734,-1030388579.7742,-1168135960.99521,-42683811.499753,8780748.47389802,-51464559.9736514,772136927.808472,17932563.7917501,17932563.7917501,747385680.100469,161552883.884152,-5922269.35300097,-5922269.35300097,155630614.531151,903016294.63162,-1905566382.09246,-2581492.12936996,-1908129473.75569,-163022781.871142,-2071152255.62683,-1168135960.99521,-6e+05,3736000,-132000,1287000,4291000,-69426000,-69426000,-69426000,-1500000,-70926000,-4868000,-80419000,149974000,149974000,44826971.9423217,-1447000,63240000.0000001,-3395000,-3395000,-3395000,6812000,0,0.26872,-0.04901,0.0725272904651864,0.0559558921624642,-5.45761651710644,2.44230999417679,1.70917052720499,-0.02144,-0.02144,0.43751,-9.21077888298758,0.18606,0.0489441334867289,-8.67736,106.4371064191,211.229501799398
"3","2014_Q4",9.8325,"Up",14161000,-11389000,-4445000,-4413000,-2531000,2772000,-1911000,-1911000,861000,-3138000,-2277000,-2251000,-2251000,157000,-2094000,-2094000,-65751451.8497533,-65751451.8497533,39962804.949823,-1481931.77896537,41444736.7287884,-25791127.0736715,179736367.59018,223193863.916849,-43457496.3266688,-1984894.18157895,1325791.44157886,-3310685.62315781,177751473.408601,151960346.334929,-9966937.16658435,3059582.82463267,-13026519.9912171,364712309.269491,16901854.59725,16901854.59725,371647226.700156,97846627.9613841,490576.882333009,490576.882333009,98337204.8437171,469984431.543873,-255805127.364155,-30606164.0431233,-286405157.918563,-31618927.2903808,-318024085.208944,151960346.334929,-2251000,4413000,304000,1068000,3534000,-196826000,-197061000,-197061000,-32000,-196858000,-7727000,69569000,145372000,145693000,-321000,-3562000,203652000,10328000,10328000,10328000,7185000,0,0.19575,-0.14787,0.0241690968217288,0.0183586307208214,-1.53365883903548,1.11039999805893,0.735166842401663,-0.0574,-0.0574,0.3882,4.73107703900414,0.21182,0.025214711162243,-3.69007,44.5647654730333,85.4496139331327
"4","2015_Q1",11.0118032786885,"Up",19694000,-12526000,-2573000,-6166000,-3787000,7168000,-2058000,-2058000,5110000,-3145000,1965000,1991000,1991000,-280000,1711000,1711000,15923000,15923000,17200000,1324000,15876000,33123000,756450000,802019000,-45569000,2.2e+07,1324000,20676000,778450000,811573000,6840000,7e+05,6140000,1.38e+08,16548000,16548000,161388000,78105000,2871000,2871000,80976000,242364000,586527000,-51797000,534730000,34479000,569209000,811573000,1991000,6166000,1213000,-3520000,5850000,-96761000,-96761000,-96761000,-8645000,-105406000,-10661000,62685000,47228000,54774000,-7546000,-798000,98454000,-1102000,-1102000,-1102000,13334000,216105000,0.36397,0.08688,0.00301,0.00211,0.20524,0.42579,0.26628,0.03542,0.03542,0.40765,11.06846,0.22067,0.0157,6.23086,15.0129,27.92718
"5","2015_Q2",10.9553968253968,"Down",24484000,-17301000,-3352000,-8240000,-5709000,7183000,-1710000,-1710000,5473000,-5947000,-474000,-448000,-448000,-8000,-456000,-522000,35774000,35774000,18221000,2127000,16094000,53995000,979762000,1033213000,-53451000,32450000,1324000,31126000,1012212000,1066207000,13477000,448000,13029000,7.3e+07,16722000,16722000,103199000,83952000,3056000,3056000,87008000,190207000,886795000,-68161000,818634000,57366000,8.76e+08,1066207000,-448000,8240000,-558000,2491000,9725000,-204756000,-206306000,-206306000,-4620000,-209376000,-15792000,-65466000,301567000,301772000,-205000,-807000,219502000,19851000,19851000,19851000,15423000,156952000,0.29338,-0.02132,-6e-04,-0.000489999999999999,0.52321,0.21713,0.14721,-0.00795,-0.00795,0.37295,12.46977,0.24055,0.01474,-30.25287,7.85697,16.87011
"6","2015_Q3",10.30328125,"Down",29683000,-21644000,-3989000,-10351000,-7304000,8039000,-2193000,-2193000,5846000,-2575000,3271000,3297000,3297000,-301000,2996000,2571000,22549000,22549000,27653000,2333000,25320000,50202000,1116528000,1180881000,-64353000,36726000,1324000,35402000,1153254000,1203456000,16094000,1097000,14997000,1.91e+08,16942000,16942000,224036000,95774000,3171000,3171000,98945000,322981000,904715000,-81683000,823032000,57443000,880475000,1203456000,3297000,10351000,-148000,-765000,12735000,-131637000,-131637000,-131637000,-11011000,-142648000,-16059000,117500000,16221000,16269000,-48000,-974000,116688000,-13225000,-13225000,-13225000,18390000,286774000,0.27083,0.08662,0.00292,0.00214,0.22408,0.36683,0.23829,0.03653,0.03462,0.42177,11.69462,0.22819,0.01592,6.24620999999999,14.36786,32.86789
"7","2015_Q4",10.8325,"Up",34870000,-24460000,-4018000,-12476000,-7966000,10410000,-3341000,-3341000,7069000,-3112000,3957000,3983000,3983000,-279000,3704000,3404000,4718000,4718000,32026000,3047000,28979000,36744000,1399689000,1475619000,-75930000,42392000,1323000,41069000,1442081000,1478825000,20431000,1393000,19038000,4.73e+08,17059000,17059000,510490000,95195000,5053000,5053000,100248000,610738000,905652000,-94370000,811282000,56805000,868087000,1478825000,3983000,12476000,-448000,3180000,19191000,-294430000,-295919000,-295919000,-3652000,-298082000,-16174000,281480000,-466000,129000,-595000,-3780000,261060000,-17831000,-17831000,-17831000,22886000,568195000,0.29854,0.09762,0.00392,0.0023,0.07198,0.70354,0.38422,0.04788,0.04298,0.49048,11.41141,0.2275,0.01358,4.75147,24.62103,54.12843
"8","2016_Q1",11.9050819672131,"Up",40404000,-2.8e+07,-3549000,-14404000,-10047000,12404000,-3392000,-3392000,9012000,-3129000,5883000,5909000,5909000,-365000,5544000,5146000,3143000,3143000,42326000,2977000,39349000,45469000,1538812000,1630062000,-91250000,54605000,1322000,53283000,1593417000,1638886000,25117000,644000,24473000,389375000,20783000,20783000,435275000,94240000,5950000,5950000,100190000,535465000,1130156000,-109024000,1021132000,82289000,1103421000,1638886000,5909000,14404000,-496000,-2116000,17701000,-123933000,-123933000,-123933000,-27677000,-149610000,-16258000,-78536000,226707000,226947000,-240000,-1579000,130334000,-1575000,-1575000,-1575000,26808000,483615000,0.307,0.12736,0.00466,0.00314,0.10446,0.48528,0.29509,0.06135,0.05845,0.48167,12.17336,0.19382,0.01344,3.15935,17.92271,38.73525
"9","2016_Q2",13.42,"Up",44134000,-31168000,-4121000,-16010000,-11037000,12966000,-4197000,-4197000,8769000,-3377000,5392000,5424000,5424000,-490000,4934000,4386000,22906000,22906000,41961000,6024000,35937000,64867000,1725041000,1833280000,-108239000,60984000,1327000,59657000,1786025000,1850892000,30607000,1659000,28948000,265340000,25701000,25701000,321648000,114816000,6407000,6407000,121223000,442871000,1452434000,-129183000,1323251000,84770000,1408021000,1850892000,5424000,16010000,-664000,-622000,20148000,-199696000,-199696000,-199696000,2658000,-197038000,-19870000,-103041000,321238000,321238000,-8149468.63048439,-1674000,196653000,19763000,19763000,19763000,28976000,380156000,0.29379,0.09938,0.00312,0.00237,0.20167,0.31453,0.20539,0.04271,0.04093,0.42972,12.88412,0.19347,0.01352,4.53032,12.32917,27.55283
"10","2016_Q3",14.956875,"Up",53216000,-38523000,-4926000,-19799000,-13798000,14693000,-4279000,-4279000,10414000,-3256000,7158000,7184000,7184000,-261000,6923000,6486000,37945000,37945000,42201000,3427000,38774000,80146000,2387212000,2516348000,-129136000,65554000,1354000,64200000,2452766000,2532912000,40316000,1723000,38593000,519246000,31771000,31771000,591333000,114296000,9348000,9348000,123644000,714977000,1891364000,-153243000,1738121000,79814000,1817935000,2532912000,7184000,19799000,-1117000,13527000,39393000,-679781000,-679781000,-679781000,-2504000,-682285000,-24985000,256452000,431082000,442967000,-11885000,-4618000,657931000,15039000,15039000,15039000,34492000,633542000,0.2761,0.12188,0.00357,0.00256,0.13553,0.39329,0.25012,0.04933,0.04769,0.40474,13.21953,0.19003,0.01279,3.85214,17.26769,40.53611
