"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.4098412698413,"Up",2.203e+09,-1.28e+09,9.23e+08,-4.45e+08,-4.17e+08,-2.9e+07,1e+06,4.78e+08,-2.7e+07,-2.7e+07,4.51e+08,-116988918.177333,4.51e+08,-1.47e+08,3.04e+08,3.04e+08,3.04e+08,3.04e+08,7.6e+07,7.6e+07,7.9e+08,7.9e+08,8.39e+08,1.47e+08,1.47e+08,1.852e+09,1.985e+09,1.985e+09,2.594e+09,1.966e+09,5.28e+08,1e+08,4.579e+09,6.431e+09,1.328e+09,8.8e+07,8.8e+07,1.152e+09,6.56e+08,1.984e+09,2.249e+09,1.243e+09,2.87e+08,9.56e+08,3.492e+09,5.476e+09,3.11e+08,-7.232e+09,8.505e+09,-6.32e+08,9.52e+08,3e+06,9.55e+08,6.431e+09,3.04e+08,6e+07,9.7e+07,-4.97e+08,-3.6e+07,-4.4e+07,1e+06,-4.3e+07,-8.8e+07,2.69e+08,-9.4e+07,-9.4e+07,1.4e+07,1.01e+08,2.2e+07,2.2e+07,3e+06,2.5e+07,5.38e+08,2.905e+09,1.44e+08,0.41897,0.21698,0.13799,0.31832,0.04727,0.47368,0.93347,5.73403,0.45172,0.8863,0.87861,6.42274,2.77551,0.41983,0.25656,0.07682,0.02822,0.28947,5.25836,5.91841
"2","2010_Q3",24.866875,"Up",2.153e+09,-1.282e+09,8.71e+08,-4.8e+08,-4.5e+08,-2.8e+07,-2e+06,3.91e+08,-2.6e+07,-2.6e+07,3.65e+08,-48996306.0591111,3.65e+08,-1.06e+08,2.59e+08,2.59e+08,2.59e+08,2.59e+08,1.13e+08,1.13e+08,6.79e+08,6.79e+08,7e+08,1.4e+08,1.4e+08,1.632e+09,1.969e+09,1.969e+09,2.551e+09,1.926e+09,5.16e+08,1.09e+08,4.52e+09,6.152e+09,1.233e+09,4.9e+07,9.6e+07,1.088e+09,4e+08,1.633e+09,2.25e+09,1.243e+09,2.89e+08,9.54e+08,3.493e+09,5.126e+09,3.31e+08,-7.321e+09,8.668e+09,-6.55e+08,1.023e+09,3e+06,1.026e+09,6.152e+09,2.59e+08,6.2e+07,5.2e+07,1.59e+08,5.32e+08,-5.4e+07,1e+06,-5.3e+07,-8.7e+07,-2.61e+08,-1.19e+08,-1.19e+08,2.6e+07,-4.41e+08,3.8e+07,3.8e+07,-1e+06,3.7e+07,4.53e+08,2.65e+09,6.64e+08,0.40455,0.18161,0.1203,0.25244,0.0421,2.56371,0.99939,4.9961,0.43075,0.75953,0.75291,6.31378,3,1.94721,0.25513,0.07034,0.13499,0.33591,5.60044,6.48849
"3","2010_Q4",24.3284375,"Down",1.802e+09,-1.059e+09,7.43e+08,-4.39e+08,-4.08e+08,-3.1e+07,0,3.04e+08,-2.7e+07,-2.7e+07,2.77e+08,-1.2e+07,2.65e+08,-9.7e+07,1.68e+08,1.68e+08,1.68e+08,1.68e+08,8e+07,8e+07,5.43e+08,5.43e+08,6.39e+08,1.69e+08,1.69e+08,1.431e+09,1.995e+09,1.995e+09,2.56e+09,1.945e+09,5.12e+08,1.03e+08,4.555e+09,5.986e+09,1.169e+09,7.6e+07,9.5e+07,9.98e+08,9.45e+08,2.114e+09,1.542e+09,1.234e+09,2.97e+08,9.37e+08,2.776e+09,4.89e+09,3.48e+08,-7.377e+09,8.742e+09,-6.2e+08,1.093e+09,3e+06,1.096e+09,5.986e+09,1.68e+08,6.3e+07,5.1e+07,8.1e+07,3.63e+08,-7.4e+07,1e+06,-7.3e+07,-9.5e+07,-1.69e+08,-1.02e+08,-1.02e+08,4.1e+07,-3.25e+08,-3.5e+07,-3.5e+07,2e+06,-3.3e+07,3.67e+08,2.487e+09,4.71e+08,0.41232,0.1687,0.09323,0.15328,0.02807,2.80357,0.67692,4.46168,0.41547,0.49558,0.49123,5.31563,3.22419,1.38938,0.28024,0.0546,0.09778,0.56548,6.55858,7.91776
"4","2011_Q1",23.7846774193548,"Down",1.518e+09,-9.05e+08,6.13e+08,-4.26e+08,-3.88e+08,-3.5e+07,-3e+06,1.87e+08,-2.6e+07,-2.6e+07,1.61e+08,-1.86264514923096e-09,1.61e+08,-4.8e+07,1.13e+08,1.13e+08,1.13e+08,1.13e+08,2.54e+08,2.54e+08,5.12e+08,5.12e+08,7.24e+08,1.97e+08,1.97e+08,1.687e+09,2.051e+09,2.051e+09,2.538e+09,1.919e+09,5.09e+08,1.1e+08,4.589e+09,6.276e+09,1.23e+09,3e+07,9.5e+07,1.105e+09,8.35e+08,2.065e+09,1.945e+09,1.337e+09,2.58e+08,1.079e+09,3.282e+09,5.347e+09,3.61e+08,-7.459e+09,8.76e+09,-7.36e+08,9.26e+08,3e+06,9.29e+08,6.276e+09,1.13e+08,6.6e+07,5.3e+07,-3.4e+07,1.98e+08,-1.3e+08,-1e+06,-1.31e+08,-9.5e+07,2.96e+08,-1.57e+08,-1.57e+08,6.5e+07,1.09e+08,1.76e+08,1.76e+08,-2e+06,1.74e+08,2.53e+08,2.78e+09,1.37e+08,0.40382,0.12319,0.07444,0.12164,0.01801,1.21239,0.81695,5.75565,0.44296,0.33531,0.33235,4.50445,2.74777,0.40653,0.2819,0.04122,0.02715,0.84071,9.98419,13.50802
"5","2011_Q2",23.8207936507937,"Up",2.172e+09,-1.278e+09,8.94e+08,-4.5e+08,-4.17e+08,-3.1e+07,-2e+06,4.44e+08,-3e+07,-3e+07,4.14e+08,-3622691.28694445,4.14e+08,-1.35e+08,2.79e+08,2.79e+08,2.79e+08,2.79e+08,2.91e+08,2.91e+08,8.05e+08,8.05e+08,8.38e+08,1.9e+08,1.9e+08,2.124e+09,2.042e+09,2.042e+09,2.652e+09,2.016e+09,5.22e+08,1.14e+08,4.694e+09,6.818e+09,1.345e+09,1.01e+08,9.4e+07,1.15e+09,1.134e+09,2.479e+09,1.946e+09,1.289e+09,3e+08,9.89e+08,3.235e+09,5.714e+09,3.14e+08,-7.545e+09,8.945e+09,-6.13e+08,1.101e+09,3e+06,1.104e+09,6.818e+09,2.79e+08,6.5e+07,8.2e+07,-4.55e+08,-2.9e+07,-2e+07,-1246955.13924118,-2e+07,-9.4e+07,2.94e+08,-1.56e+08,-1.56e+08,2.5e+07,6.9e+07,2e+07,2e+07,1.7e+07,3.7e+07,5.09e+08,3.08e+09,1.69e+08,0.4116,0.20442,0.12845,0.25272,0.04092,0.60573,0.8568,5.17572,0.45175,0.83284,0.82544,6.48358,3.28657,0.50448,0.2806,0.06815,0.03088,0.33692,5.47937,6.28153
"6","2011_Q3",22.7425,"Down",2.127e+09,-1.289e+09,8.38e+08,-4.79e+08,-4.45e+08,-3.1e+07,-3e+06,3.59e+08,-3.1e+07,-3.1e+07,3.28e+08,3.72529029846191e-09,3.28e+08,-8.9e+07,2.39e+08,2.39e+08,2.39e+08,2.39e+08,3.25e+08,3.25e+08,7.12e+08,7.12e+08,7.03e+08,1.74e+08,1.74e+08,1.914e+09,2.018e+09,2.018e+09,2.648e+09,2.015e+09,5.2e+08,1.13e+08,4.666e+09,6.58e+09,1.231e+09,2.3e+07,9.7e+07,1.111e+09,1.184e+09,2.415e+09,1.937e+09,1.336e+09,3.47e+08,9.89e+08,3.273e+09,5.688e+09,3.36e+08,-7.939e+09,9.087e+09,-5.95e+08,8.89e+08,3e+06,8.92e+08,6.58e+09,2.39e+08,6.4e+07,9.5e+07,1.14e+08,5.12e+08,-4.5e+07,0,-4.5e+07,-9.4e+07,5.7e+07,-4.17e+08,-4.17e+08,1.9e+07,-4.35e+08,3.2e+07,3.2e+07,2e+06,3.4e+07,4.23e+08,3.121e+09,5.81e+08,0.39398,0.16878,0.11236,0.26794,0.03632,2.43096,0.79255,6.37668,0.47432,0.72644,0.71988,6.46505,2.70213,1.76596,0.28571,0.06225,0.10862,0.39331,6.60993,7.7883
"7","2011_Q4",23.6247619047619,"Up",1.813e+09,-1.081e+09,7.32e+08,-4.25e+08,-3.91e+08,-3.3e+07,-1e+06,3.07e+08,-2.4e+07,-2.4e+07,2.83e+08,0,2.83e+08,-9.7e+07,1.86e+08,1.86e+08,1.87e+08,1.87e+08,4.49e+08,4.49e+08,6.04e+08,6.04e+08,6.39e+08,1.5e+08,1.5e+08,1.842e+09,2.06e+09,2.06e+09,2.798e+09,2.147e+09,5.37e+08,1.14e+08,4.858e+09,6.7e+09,1.163e+09,7.4e+07,9.4e+07,9.95e+08,6.74e+08,1.837e+09,2.431e+09,1.361e+09,3.52e+08,1.009e+09,3.792e+09,5.629e+09,3.55e+08,-8.04e+09,9.18e+09,-4.33e+08,1.062e+09,9e+06,1.071e+09,6.7e+09,1.86e+08,6.5e+07,3.9e+07,8.5e+07,3.75e+08,-5.9e+07,1e+06,-5.8e+07,-9.6e+07,-2.7e+07,-1.23e+08,-1.23e+08,2.1e+07,-2.25e+08,9.2e+07,9.2e+07,3.2e+07,1.24e+08,3.72e+08,3.105e+09,4.95e+08,0.40375,0.16933,0.10314,0.1746,0.02791,2.64706,1.00272,5.25584,0.46343,0.58438,0.57895,5.66562,3.31875,1.54688,0.3,0.05111,0.0894,0.51337,7.13978,8.65147
"8","2012_Q1",23.4148387096774,"Down",1.031e+09,-6.07e+08,4.24e+08,-2.62e+08,-2.33e+08,-2.5e+07,-4e+06,1.62e+08,-2.7e+07,-2.7e+07,1.35e+08,-6e+07,7.5e+07,-3e+07,4.5e+07,9.8e+07,1e+08,1e+08,4.84e+08,4.84e+08,5.6e+08,5.6e+08,7.67e+08,1.52e+08,1.52e+08,1.963e+09,2.103e+09,2.103e+09,2.796e+09,2.133e+09,5.27e+08,1.36e+08,4.899e+09,6.862e+09,1.332e+09,3.3e+07,9.5e+07,1.204e+09,6.57e+08,1.989e+09,2.427e+09,1.35e+09,3.67e+08,9.83e+08,3.777e+09,5.766e+09,3.51e+08,-8.021e+09,9.185e+09,-4.27e+08,1.088e+09,8e+06,1.096e+09,6.862e+09,9.8e+07,7.4e+07,8.8e+07,23999999.9999999,2.84e+08,-1.39e+08,1e+06,-1.38e+08,-9.4e+07,-2.9e+07,-3.2e+07,-3.2e+07,4.6e+07,-1.09e+08,3.7e+07,3.7e+07,-2000000.00000001,3.5e+07,2.36e+08,3.084e+09,1.51e+08,0.41125,0.15713,0.09699,0.09124,0.01457,1.51,0.98693,5.26095,0.44943,0.3125,0.3096,3.22188,3.4,0.47188,0.29375,0.03508,0.02731,0.94,11.01695,16.04938
"9","2012_Q2",23.9565079365079,"Up",2.161e+09,-1.307e+09,8.54e+08,-4.36e+08,-4.06e+08,-3e+07,0,4.18e+08,-2.8e+07,-2.8e+07,3.9e+08,-2e+06,3.88e+08,-1.25e+08,2.63e+08,2.63e+08,2.65e+08,2.65e+08,2.85e+08,2.85e+08,7.88e+08,7.88e+08,8.89e+08,1.61e+08,1.61e+08,2.123e+09,2.057e+09,2.057e+09,2.768e+09,2.096e+09,5.23e+08,1.49e+08,4.825e+09,6.948e+09,1.466e+09,1.05e+08,9.4e+07,1.267e+09,5.67e+08,2.033e+09,2.422e+09,1.326e+09,4.02e+08,9.24e+08,3.748e+09,5.781e+09,3.33e+08,-8.061e+09,9.355e+09,-4.66e+08,1.161e+09,6e+06,1.167e+09,6.948e+09,2.63e+08,6.3e+07,8.3e+07,-3.36e+08,7.3e+07,-3.5e+07,1e+06,-3.4e+07,-9.5e+07,-6.5e+07,-8.5e+07,-8.5e+07,1.6e+07,-2.29e+08,-1.9e+08,-1.9e+08,-9e+06,-1.99e+08,4.81e+08,2.989e+09,2.35e+08,0.39519,0.19343,0.12263,0.22708,0.03814,0.88679,1.04427,4.95373,0.4302,0.82812,0.82298,6.75312,3.62812,0.73438,0.29688,0.06567,0.04287,0.35849,5.62162,6.4689
"10","2012_Q3",24.9444444444444,"Up",2.112e+09,-1.301e+09,8.11e+08,-4.79e+08,-4.49e+08,-2.9e+07,-1e+06,3.32e+08,-2.6e+07,-2.6e+07,3.06e+08,-3e+06,3.03e+08,-1.02e+08,2.01e+08,2.01e+08,2.05e+08,2.05e+08,3.22e+08,3.22e+08,6.83e+08,6.83e+08,7.46e+08,1.67e+08,1.67e+08,1.918e+09,2.047e+09,2.047e+09,2.7e+09,2.058e+09,5.11e+08,1.31e+08,4.747e+09,6.665e+09,1.282e+09,4e+07,9.3e+07,1.149e+09,8.7e+08,2.152e+09,2.008e+09,1.308e+09,4.25e+08,8.83e+08,3.316e+09,5.468e+09,3.52e+08,-8.138e+09,9.466e+09,-4.85e+08,1.195e+09,2e+06,1.197e+09,6.665e+09,2.01e+08,6.1e+07,7.3e+07,69999999.9999999,4.05e+08,-6.1e+07,-4.65661287307739e-10,-6.1e+07,-9.3e+07,-1.26e+08,-8.8e+07,-8.8e+07,6999999.99999999,-3e+08,4.4e+07,4.4e+07,-7e+06,3.7e+07,3.93e+08,2.878e+09,5.04e+08,0.384,0.1572,0.09706,0.17126,0.03076,2.45854,0.89126,4.56809,0.43181,0.64465,0.64062,6.64151,3.75786,1.58491,0.29245,0.05536,0.09363,0.45366,6.50382,7.6988
