"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2020_Q2",0.857460317460317,"Down",1216000,-1091000,125000,-2328000,-2203000,-713000,-713000,-2916000,-289000,-3205000,-3205000,-3205000,-3205000,-6549000,417000,417000,883000,883000,197000,197000,1692000,415000,16888000,488000,17303000,18995000,4019000,2186000,1833000,2508000,212000,212000,6739000,665000,665000,971000,7710000,75429000,-64144000,11285000,11285000,18995000,-3205000,281000,1462000,-127000,-1589000,-24000,-168000,1182000,-431000,-431000,-431000,-1922000,2814000,0.1028,-1.81168,-5.38569,-0.58033,-0.34477,0.25108,0.68321,0.14814,-0.78225,-0.78225,0.14525,1.34795,-0.44358,-1.24714,-1.08806
"26","2020_Q3",2.24859375,"Up",1308000,-1137000,171000,-2430000,-2259000,399000,246000,-1860000,-372000,-2232000,-2232000,-2232000,-2249000,-2249000,353000,353000,1354000,1354000,75000,75000,2015000,441000,16578000,436000,17019000,19034000,4033000,2083000,1950000,434000,213000,213000,4680000,981000,981000,1727000,6407000,79003000,-66393000,12610000,12627000,19034000,-2232000,283000,533000,-557000,-1973000,14000,638000,1895000,-64000,-64000,-64000,-1976000,1180000,0.13073,-1.72706,-1.71942,-0.17811,-0.11816,0.43056,0.5074,0.06199,-0.1981,-0.1981,0.11521,1.11071,-0.15208,-0.41852,-0.36609
"27","2020_Q4",2.205625,"Down",1627000,-1250000,377000,-2809000,-2432000,-3000,-3000,-2435000,-857000,-3292000,-3292000,-3292000,-3302000,-3302000,2158000,2158000,1086000,1086000,444000,444000,3968000,460000,16289000,385000,16749000,20717000,3633000,1829000,1804000,567000,267000,219000,4467000,1781000,1781000,2389000,6856000,83529000,-69695000,13834000,13861000,20717000,-3292000,265000,1552000,-946000,-2421000,-56000,-32000,4282000,1805000,1805000,1805000,-2167000,1175000,0.23171,-1.49478,-2.0295,-0.23822,-0.15939,0.88829,0.49463,0.05672,-0.20571,-0.20571,0.10136,0.86183,-0.19635,0.45362,0.40419
"28","2021_Q1",2.6544262295082,"Up",1941000,-1464000,477000,-2729000,-2252000,0,5.82076609134674e-11,-2252000,383000,-1869000,-1869000,-1869000,-1869000,-1869000,2656000,2656000,874000,874000,324000,324000,4204000,277000,16232000,565000,16509000,20713000,3729000,1693000,2036000,696000,231000,225000,4656000,1533000,1417000,1895000,6551000,85523000,-71564000,14135000,14162000,20713000,-1869000,264000,158000,-4000,-1451000,-30000,-29000,1979000,498000,498000,498000,-1988000,1058000,0.24575,-1.16023,-0.96291,-0.13197,-0.09023,0.90292,0.46258,0.05108,-0.06203,-0.06203,0.06442,0.46327,-0.11156,0.80382,0.70959
"29","2021_Q2",3.28015873015873,"Up",1824000,-1356000,468000,-2605000,-2137000,-7000,-7000,-2144000,693000,-1451000,-1451000,-1451000,-1452000,-1452000,2286000,2286000,625000,625000,476000,476000,3859000,513000,16051000,622000,16564000,20423000,3730000,1969000,1761000,30000,423000,322000,4183000,1502000,1390000,1682000,5865000,87365000,-73016000,14530000,14558000,20423000,-1451000,268000,277000,-354000,-1260000,-214000,-26000,1104000,-370000,-370000,-370000,-1869000,210000,0.25658,-1.1716,-0.79605,-0.09974,-0.0711,0.92254,0.40287,0.01028,-0.08128,-0.08128,0.1021,0.80322,-0.08924,1.11075,0.97146
"30","2021_Q3",3.13078125,"Down",2344000,-1593000,751000,-2883000,-2132000,-1000,-1000,-2133000,-877000,-3010000,-3010000,-3010000,-3013000,-3013000,15701000,15701000,443000,443000,280000,280000,16980000,571000,15989000,797000,16560000,33540000,3164000,1821000,1343000,273000,201000,143000,3638000,2470000,2271000,2644000,6282000,103029000,-76029000,27227000,27258000,33540000,-3010000,281000,1205000,-229000,-1753000,-142000,-37000,15310000,13415000,13415000,13415000,-1851000,447000,0.32039,-0.90956,-1.28541,-0.11054,-0.08983,4.6674,0.23046,0.01333,-0.14308,-0.14308,0.11131,1.28213,-0.09985,8.24095,7.15478
"31","2021_Q4",2.1440625,"Down",2246000,-1718000,528000,-2967000,-2439000,-6000,-6000,-2445000,591000,-1854000,-1854000,-1854000,-1860000,-1860000,13223000,13223000,570000,570000,617000,617000,15090000,813000,15702000,747000,16515000,31605000,3137000,1572000,1565000,270000,241000,93000,3648000,1873000,1686000,2040000,5688000,103542000,-77889000,25880000,25917000,31605000,-1854000,286000,-79000,-476000,-2123000,-309000,351000,-46000,-2478000,-2478000,-2478000,-2153000,437000,0.23508,-1.08593,-0.82814,-0.07177,-0.05885,4.13651,0.21947,0.01383,-0.08178,-0.08178,0.09875,1.12792,-0.06589,5.93869,5.24231
"32","2022_Q1",1.38887096774194,"Down",2435000,-1790000,645000,-3550000,-2905000,-6000,-6000,-2911000,709000,-2202000,-2202000,-2202000,-2205000,-2205000,11668000,11668000,697000,697000,549000,549000,13478000,836000,16125000,1408000,16961000,30439000,3781000,1863000,1918000,26000,406000,388000,4213000,1462000,1462000,1622000,5835000,104658000,-80094000,24564000,24604000,30439000,-2202000,296000,-199000,664000,-1441000,-56000,-58000,-58000,-1555000,-1555000,-1555000,-2609000,186000,0.26489,-1.19302,-0.90554,-0.08962,-0.07244,3.19915,0.23716,0.00611,-0.51986,-0.51986,0.57409,5.7913,-0.08399,4.40092,3.9525
"33","2022_Q2",1.13338709677419,"Down",2447000,-1744000,703000,-5512000,-4809000,2000,2000,-4807000,223000,-4584000,-4584000,-4584000,-4590000,-4590000,9261000,9261000,1154000,1154000,450000,450000,11387000,788000,15796000,1316000,16584000,27971000,3991000,2318000,1673000,221000,183000,162000,4395000,1170000,1040000,1324000,5719000,106663000,-84684000,22206000,22252000,27971000,-4584000,302000,2168000,-220000,-2334000,-10000,-63000,-63000,-2407000,-2407000,-2407000,-4507000,375000,0.28729,-1.96526,-1.87577,-0.20627,-0.1641,2.5909,0.25701,0.01341,-0.20213,-0.20213,0.10776,0.9679,-0.19288,1.9716,1.84779
"34","2022_Q3",1.170625,"Up",2359000,-1586000,773000,-3206000,-2433000,-2000,-2000,-2435000,297000,-2138000,-2138000,-2138000,-2144000,-2144000,7473000,7473000,1127000,1127000,364000,364000,9606000,813000,15560000,1318000,16373000,25979000,3989000,2555000,1434000,203000,202000,189000,4394000,872000,763000,1020000,5414000,107114000,-86828000,20513000,20565000,25979000,-2138000,302000,322000,-132000,-1646000,-96000,-46000,-46000,-1788000,-1788000,-1788000,-2131000,351000,0.32768,-1.03137,-0.90886,-0.10425,-0.08253,2.18616,0.26326,0.01351,-0.09441,-0.09441,0.10388,0.89331,-0.0984,3.34209,2.92725
