"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2019_Q4",19.8609375,"Down",375486000,-382839000,-103381000,-18807000,-260651000,-7353000,-3915000,-4078000,163000,-11268000,-11268000,2848000,-8420000,-8420000,-8420000,-8420000,15624000,6485000,9139000,212010000,212010000,39158000,18991000,20167000,266792000,317623000,350314000,106989000,158416000,2361000,82548000,667937000,934729000,187126000,101483000,83173000,292251000,117901000,56243000,61658000,444563000,736814000,35270000,-77248000,245332000,-5439000,197915000,197915000,934729000,-8420000,18807000,1905000,27847000,40139000,-31794000,597000,-31197000,22024000,-8721999.99999999,220000,220000,-194000,26000.0000000001,11454000,386556000,4659000,-0.01958,-0.02242,-0.04254,-0.00901,-0.55333,0.91289,3.72288,0.41355,-0.29793,-0.29792,13.2859,7.00287,0.16485,-0.0035,0.00663,32.38449,-50.44635
"15","2020_Q1",15.7908064516129,"Down",375931000,-360427000,-103668000,-21625000,-235134000,15504000,-3861000,-4467000,606000,11643000,11643000,-2906000,8737000,8737000,8737000,8737000,17095000,7726000,9369000,210534000,210534000,44214000,19676000,20770000,271843000,339823000,383769000,116111000,168451000,1460000,97747000,723592000,995435000,126734000,91909000,34825000,250419000,141663000,65692000,75971000,539799000,790218000,35270000,-77247000,251204000,-4010000,205217000,205217000,995435000,8737000,21625000,15873000,-50175000,-3940000,-12851000,350000,-66007000,70909000,70910000,963000,963000,278000,1241000,37129000,457612000,-22991000,0.04124,0.02324,0.04257,0.00878,-2.63145,1.08555,3.85065,0.45971,0.32062,0.32061,13.79563,7.5309,-0.84371,0.01086,-0.02858,11.8645,28.41312
"16","2020_Q2",13.6603174603175,"Down",382162000,-358254000,-106312000,-19518000,-232424000,23908000,-7814000,-4209000,-3605000,16094000,16094000,-3931000,12163000,12163000,12163000,12163000,14315000,7995000,6320000,219229000,219229000,42449000,21216000,21233000,275993000,355381000,377081000,112035000,170039000,1412000,93595000,732462000,1008455000,138569000,88801000,48508000,243594000,135321000,65892000,69429000,556198000,799792000,35465000,-82166000,260502000,-5138000,208663000,208663000,1008455000,12163000,19518000,10645000,-17160000,25166000,-30493000,-360000,-30853000,20767000,10373000,4686000,4686000,-4417000,269000,43426000,478781000,-296000,0.06256,0.03183,0.05829,0.01206,-0.02434,1.133,3.83294,0.47477,0.44679,0.44679,14.0382,7.66495,-0.01087,0.02175,-0.000359999999999999,10.69557,19.42722
"17","2020_Q3",18.76265625,"Up",257980000,-247141000,-64172000,-18530000,-164439000,10839000,-2627000,-3438000,811000,8212000,8212000,-2044000,6168000,6168000,6168000,6168000,15172000,7977000,7195000,180942000,180942000,45778000,25204000,20574000,241892000,350346000,371187000,107991000,170039000,1412000,91745000,721533000,963425000,169087000,111659000,53599000,269584000,133692000,64966000,68726000,477291000,746875000,35465000,-82247000,266670000,-3338000,216550000,216550000,963425000,6168000,18530000,5651000,52905000,83254000,-9367000,0,-9367000,-75162000,-75289000,-1402000,-1402000,1384000,-18000,29369000,403721000,74951000,0.04201,0.02391,0.02848,0.0064,12.15159,0.89728,3.44897,0.41905,0.22908,0.22908,9.58143,8.04271,2.7837,0.00818,0.09941,13.2299,35.84731
"18","2020_Q4",20.93578125,"Up",364988000,-342925000,-97468000,-16894000,-228563000,22063000,-3999000,-3504000,-495000,18064000,18064000,-4486000,13578000,13578000,13578000,13578000,15376000,8677000,6699000,248965000,248965000,50840000,27466000,23374000,315181000,363449000,378236000,106022000,170730000,1413000,100071000,741685000,1056866000,171685000,110758000,60927000,273345000,150542000,71684000,78858000,555893000,829238000,35465000,-82247000,280248000,-5838000,227628000,227628000,1056866000,13578000,16894000,15789000,-76941000,-30680000,-29998000,-1000,-31294000,62727000,62727000,753000,753000,-52999.9999999991,7e+05,38957000,466595000,-63496000,0.06045,0.0372,0.05965,0.01285,-4.67639,1.15305,3.64295,0.44149,0.50436,0.50436,13.55774,8.45541,-2.3586,0.01607,-0.07516,11.58249,20.45139
"19","2021_Q1",23.2388524590164,"Up",385953000,-362404000,-102933000,-19199000,-240272000,23549000,-2009000,-3428000,1419000,21540000,21540000,-5317000,16223000,16223000,16223000,16223000,15297000,8763000,6534000,259154000,259154000,47073000,23427000,23646000,321524000,364795000,376730000,102236000,170730000,2159000,101605000,741525000,1063049000,149059000,97916000,39588000,272807000,150262000,64426000,85836000,550669000,823476000,35465000,-82385000,293643000,-7150000,239573000,239573000,1063049000,16223000,19199000,-747000,-13079000,21596000,-16663000,1622000,-15041000,-6623000,-6761000,-206000,-206000,292000,86000,42748000,460120000,18323000,0.06102,0.04203,0.06772,0.01526,1.12945,1.17858,3.43727,0.43283,0.60266,0.60239,14.33757,8.89977,0.68067,0.01909,0.02156,10.4057,18.88925
"20","2021_Q2",24.2285714285714,"Up",415231000,-384075000,-116728000,-19085000,-248262000,31156000,-2157000,-3163000,1006000,28999000,28999000,-7344000,21655000,21655000,21655000,21655000,18329000,10799000,7530000,264385000,264385000,47169000,22109000,25060000,329883000,353361000,371428000,98756000,170730000,2159000,99783000,724789000,1054672000,151154000,98577000,43316000,278918000,146973000,64427000,82546000,515988000,794906000,35627000,-82385000,312474000,-5950000,259766000,259766000,1054672000,21655000,19085000,7056000,-4659000,43137000,-4180000,3000,-4177000,-31203000,-36895000,2065000,2065000,-29000.0000000001,2036000,50241000,429037000,48746000,0.07503,0.05215,0.08336,0.02053,2.25103,1.18272,3.06008,0.4068,0.80454,0.80412,15.42692,9.65099,1.81104,0.03272,0.05832,8.17476,13.18231
"21","2021_Q3",21.11765625,"Down",422784000,-391471000,-120693000,-16339000,-254439000,31313000,3153000,-2926000,6079000,34466000,34466000,-8861000,25605000,25605000,25605000,25605000,21013000,13098000,7915000,285432000,285432000,52714000,25613000,27101000,359159000,350340000,372721000,95245000,170730000,2159000,104587000,723061000,1082220000,150970000,104258000,41364000,275208000,152955000,64426000,88529000,525104000,800312000,35627000,-82385000,335252000,-6586000,281908000,281908000,1082220000,25605000,16339000,6690000,-38315000,10319000,-8883000,0,-8883000,3e+06,212000,1648000,1648000,651000,2299000,47652000,432157000,9315000,0.07406,0.06056,0.09083,0.02366,0.3638,1.30505,2.83891,0.39932,0.95129,0.9508,15.70753,10.47362,0.34608,0.03275,0.01074,8.62805,13.13014
"22","2021_Q4",19.4221875,"Down",445594000,-428880000,-129369000,-16456000,-283055000,16714000,-3112000,-3e+06,-112000,13602000,13602000,-3329000,10273000,10273000,10273000,10273000,20815000,13010000,7805000,326303000,326303000,49020000,23839000,25181000,396138000,345519000,379350000,91758000,170730000,2159000,114703000,724869000,1121007000,156813000,112856000,41225000,286425000,163787000,64427000,99360000,546763000,833188000,35627000,-82385000,342699000,-8122000,287819000,287819000,1121007000,10273000,16456000,8614000,-35051000,292000,-8056000,0,-8056000,11312000,8487000,723000,723000,-811000,-88000,33170000,443589000,-6608000,0.03751,0.02305,0.03569,0.00916,-0.64324,1.38304,2.89483,0.39571,0.38164,0.38144,16.55376,10.69244,-0.24549,0.01463,-0.00738,12.74567,25.2946
"23","2022_Q1",18.6646774193548,"Down",467371000,-443594000,-129501000,-15657000,-298436000,23777000,-2263000,-2510000,247000,21514000,21514000,-5314000,16200000,16200000,16200000,16200000,21963000,13932000,8031000,341398000,341398000,57334000,30209000,27125000,420695000,345583000,371213000,88349000,170730000,2060000,110074000,716796000,1137491000,165787000,117837000,43627000,312709000,156384000,61250000,95134000,522572000,835281000,35627000,-82385000,356071000,-7103000,302210000,302210000,1137491000,16200000,15657000,4756000,-7081000,29532000,-12117000,0,-12117000,-16362000,-16362000,1053000,1053000,-131000,922000,39434000,427348000,25550000,0.05087,0.03466,0.05361,0.01424,1.57716,1.34532,2.76391,0.37569,0.60174,0.60232,17.36019,11.22539,0.94904,0.01829,0.02884,10.28009,17.04946
"24","2022_Q2",23.6132258064516,"Up",523861000,-466013000,-146730000,-16228000,-303055000,57848000,-1480000,-2433000,953000,56368000,56368000,-14360000,42008000,42008000,42008000,42008000,23902000,14922000,8980000,392951000,392951000,60899000,30775000,30124000,477752000,337025000,374385000,84784000,170730000,2060000,116811000,711410000,1189162000,203697000,130516000,55085000,355833000,158386000,61250000,97136000,499615000,855448000,35789000,-87639000,395260000,-9696000,333714000,333714000,1189162000,42008000,16228000,7215000,-24331000,41120000,-3440000,-8574.87476318433,-3440000,-25768000,-36668000,1012000,1012000,-22000,990000,74076000,401699000,60665000,0.11043,0.08019,0.12588,0.03533,1.44413,1.34263,2.56342,0.3378,1.56053,1.5603,19.46064,12.39697,2.25361,0.05332,0.06787,5.10013,6.53086
"25","2022_Q3",32.86390625,"Up",527182000,-462531000,-138875000,-27058000,-296598000,64651000,-4742000,-3919000,-823000,59909000,59909000,-15210000,44699000,44699000,44699000,44699000,22920000,14683000,8237000,400017000,400017000,59692000,33613000,26079000,482629000,343729000,365108000,81224000,170730000,2060000,111094000,708837000,1191466000,173142000,118650000,43953000,307851000,153780000,61250000,92530000,516648000,824499000,35789000,-96690000,437182000,-9314000,366967000,366967000,1191466000,44699000,27058000,10873000,-54432000,28198000,-28537000,-114000,-28651000,14669000,1119000,666000,666000,-905000,-239000,91709000,415316000,23950000,0.12264,0.08479,0.12181,0.03752,0.53581,1.56774,2.24679,0.34858,1.68975,1.68879,19.92901,13.87242,0.90538,0.05072,0.02559,4.27871,6.06945
