"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.1412698412698,"Up",2.238e+09,-1.479e+09,7.59e+08,-2.04e+08,-2.04e+08,5.55e+08,-9.9e+07,-1.19e+08,2e+07,4.56e+08,4.56e+08,-1.99e+08,2.57e+08,2.57e+08,2.57e+08,2.57e+08,1.386e+09,1.161e+09,8.67e+08,8.67e+08,1.8e+08,2.13e+08,6.8e+07,2.646e+09,2.166e+09,2.21e+08,2.21e+08,2.5084e+10,2.773e+10,1.239e+09,9.87e+08,2.52e+08,6.48e+08,3.06e+08,3.06e+08,2.193e+09,6.379e+09,8.594e+09,6.8e+09,1.794e+09,1.4973e+10,1.7166e+10,2.242e+09,9.156e+09,-8.34e+08,1.0564e+10,1.0564e+10,2.773e+10,2.57e+08,2.06e+08,1.86e+08,1.09e+08,7.58e+08,-2.56e+08,-1.55e+08,5.1e+07,-3.6e+08,-1.26e+08,-1.28e+08,2.1e+07,-2.33e+08,1.65e+08,1.65e+08,1.65e+08,7.61e+08,7.027e+09,8.13e+08,0.33914,0.24799,0.11483,0.02433,0.00927,3.16342,1.20657,1.62495,0.25341,0.69553,0.68552,6.05683,28.58999,2.20027,0.341,20.1544705665209,0.01463,0.03105,0.49027,7.41261,10.16396
"2","2010_Q3",42.2828125,"Down",2.43e+09,-1.493e+09,9.37e+08,-2.04e+08,-2.04e+08,7.33e+08,-9.8e+07,-1.15e+08,1.7e+07,6.35e+08,6.35e+08,-2.43e+08,3.92e+08,3.92e+08,3.92e+08,3.92e+08,1.06e+09,8.55e+08,8.92e+08,8.92e+08,1.79e+08,1.97e+08,4.9e+07,2.328e+09,2.293e+09,2.26e+08,2.26e+08,2.5305e+10,2.7633e+10,1.29e+09,1.064e+09,2.26e+08,3.63e+08,2.84e+08,2.84e+08,1.937e+09,6.326e+09,8.609e+09,6.818e+09,1.791e+09,1.4935e+10,1.6872e+10,2.264e+09,9.317e+09,-8.2e+08,1.0761e+10,1.0761e+10,2.7633e+10,3.92e+08,2.05e+08,5e+06,2.2e+07,6.24e+08,-2.92e+08,-1.05e+08,2.6e+07,-3.71e+08,-1.26e+08,-3.4e+08,-9.3e+07,-5.59e+08,-3.06e+08,-3.06e+08,-3.06e+08,9.38e+08,6.689e+09,9.11e+08,0.3856,0.30165,0.16132,0.03643,0.01419,2.32398,1.20186,1.56788,0.24207,1.06032,1.04505,6.5729,29.10738,2.46416,0.34082,13.0157176354778,0.01988,0.03496,0.32143,6.00107,7.6794
"3","2010_Q4",46.7659375,"Up",2.456e+09,-1.506e+09,9.5e+08,-2.04e+08,-2.04e+08,7.46e+08,-3.2e+07,-1.13e+08,8.1e+07,7.14e+08,7.14e+08,-2.69e+08,4.45e+08,4.45e+08,4.45e+08,4.45e+08,1.358e+09,1.129e+09,9.08e+08,9.08e+08,1.79e+08,1.88e+08,3.5e+07,2.633e+09,2.307e+09,2.29e+08,2.29e+08,2.5429e+10,2.8062e+10,1.247e+09,1.131e+09,1.16e+08,3.61e+08,3.47e+08,3.47e+08,1.955e+09,6.574e+09,8.744e+09,6.96e+09,1.784e+09,1.5318e+10,1.7273e+10,2.254e+09,9.339e+09,-8.04e+08,1.0789e+10,1.0789e+10,2.8062e+10,4.45e+08,2.06e+08,7.9e+07,1.6e+07,7.46e+08,-2.78e+08,-1.81e+08,1.84e+08,-2.75e+08,-1.32e+08,2.41e+08,-3.06e+08,-1.97e+08,2.74e+08,2.74e+08,2.74e+08,9.52e+08,6.935e+09,9.59e+08,0.38681,0.30375,0.18119,0.04125,0.01586,2.15506,1.3468,1.60098,0.24713,1.21485,1.19817,6.70489,29.454,2.61807,0.36036,8.88089411330417,0.0218,0.03623,0.29663,5.85819,7.47587
"4","2011_Q1",49.4551612903226,"Up",2.392e+09,-1.543e+09,8.49e+08,-2.07e+08,-2.07e+08,6.42e+08,-8e+07,-1.15e+08,3.5e+07,5.62e+08,5.62e+08,-1.6e+08,4.02e+08,4.02e+08,4.02e+08,4.02e+08,1.11e+09,8.27e+08,8.07e+08,8.07e+08,1.69e+08,3.85e+08,2.4e+08,2.471e+09,2.193e+09,3.04e+08,3.04e+08,2.5728e+10,2.8199e+10,1.38e+09,1.181e+09,1.99e+08,4.58e+08,2.44e+08,2.44e+08,2.082e+09,6.567e+09,8.881e+09,7.088e+09,1.793e+09,1.5448e+10,1.753e+10,2.25e+09,9.224e+09,-8.05e+08,1.0669e+10,1.0669e+10,2.8199e+10,4.02e+08,2.09e+08,4.3e+07,-6.8e+07,5.86e+08,-5.47e+08,-6.3e+07,1.6e+08,-4.5e+08,-1.3e+08,8.8e+07,-3.96e+08,-4.38e+08,-3.02e+08,-3.02e+08,-3.02e+08,8.51e+08,7.025e+09,3.96e+08,0.35493,0.26839,0.16806,0.03768,0.01426,0.98507,1.18684,1.64308,0.24912,1.11512,1.09896,6.63523,29.59501,1.09847,0.36061,7,0.02002,0.0149,0.32338,6.95065,9.2134
"5","2011_Q2",54.5449206349206,"Up",2.62e+09,-1.809e+09,8.11e+08,-2.11e+08,-2.11e+08,6e+08,-8.5e+07,-1.12e+08,2.7e+07,5.15e+08,5.15e+08,-1.9e+08,3.25e+08,3.25e+08,3.25e+08,3.25e+08,4.88e+08,2.36e+08,9.34e+08,9.34e+08,1.9e+08,2.2e+08,7.2e+07,1.832e+09,2.199e+09,2.46e+08,2.46e+08,2.5896e+10,2.7728e+10,1.195e+09,1.093e+09,1.02e+08,6.3e+07,3.09e+08,3.09e+08,1.567e+09,6.554e+09,9.006e+09,7.212e+09,1.794e+09,1.556e+10,1.7127e+10,2.293e+09,9.094e+09,-7.86e+08,1.0601e+10,1.0601e+10,2.7728e+10,3.25e+08,2.13e+08,2.16e+08,-1.02e+08,6.52e+08,-4.33e+08,-4e+06,5.5e+07,-3.82e+08,-1.42e+08,-4.08e+08,-3.11e+08,-8.61e+08,-5.91e+08,-5.91e+08,-5.91e+08,8.13e+08,6.617e+09,4.68e+08,0.30954,0.22901,0.12405,0.03066,0.01172,1.44,1.16911,1.6156,0.23864,0.91498,0.90153,7.37613,29.84516,1.31757,0.39977,6.62303529556528,0.01781,0.01785,0.43692,7.53875,10.215
"6","2011_Q3",53.45125,"Down",2.866e+09,-1.778e+09,1.088e+09,-2.13e+08,-2.13e+08,8.75e+08,-7.9e+07,-1.13e+08,3.4e+07,7.96e+08,7.96e+08,-2.39e+08,5.57e+08,5.57e+08,5.57e+08,5.57e+08,9.06e+08,6.78e+08,9.91e+08,9.91e+08,2.01e+08,2.17e+08,5.4e+07,2.315e+09,2.235e+09,2.57e+08,2.57e+08,2.6163e+10,2.8478e+10,1.414e+09,1.254e+09,1.6e+08,5.5e+07,2.84e+08,2.84e+08,1.753e+09,6.931e+09,9.167e+09,7.372e+09,1.795e+09,1.6098e+10,1.7851e+10,2.3e+09,9.097e+09,-7.7e+08,1.0627e+10,1.0627e+10,2.8478e+10,5.57e+08,2.15e+08,1.33e+08,1.43e+08,1.048e+09,-4.35e+08,-6.3e+07,7.9e+07,-4.19e+08,-1.41e+08,3.66e+08,-4.12e+08,-1.87e+08,4.42e+08,4.42e+08,4.42e+08,1.09e+09,6.986e+09,1.037e+09,0.37962,0.3053,0.19435,0.05241,0.01956,1.86176,1.32059,1.67978,0.24531,1.56813,1.54508,8.06869,29.91836,2.91948,0.39696,7,0.02606,0.03872,0.25314,5.57798,6.94857
"7","2011_Q4",55.4152380952381,"Up",2.889e+09,-1.734e+09,1.155e+09,-2.17e+08,-2.17e+08,9.38e+08,-5.4e+07,-1.14e+08,6e+07,8.84e+08,8.84e+08,-3.3e+08,5.54e+08,5.54e+08,5.54e+08,5.54e+08,3.94e+08,2.42e+08,1.029e+09,1.029e+09,2.12e+08,1.9e+08,3e+07,1.825e+09,2.24e+09,2.68e+08,2.68e+08,2.6486e+10,2.8311e+10,1.55e+09,1.329e+09,2.21e+08,5.5e+07,3.31e+08,3.31e+08,1.936e+09,6.782e+09,9.338e+09,7.55e+09,1.788e+09,1.612e+10,1.8056e+10,2.249e+09,8.759e+09,-7.53e+08,1.0255e+10,1.0255e+10,2.8311e+10,5.54e+08,2.18e+08,1.36e+08,1.56e+08,1.064e+09,-4.95e+08,-2.1e+07,1.12e+08,-4.04e+08,-1.49e+08,-1.54e+08,-7.93e+08,-1.096e+09,-4.36e+08,-4.36e+08,-4.36e+08,1.156e+09,6.837e+09,1.147e+09,0.39979,0.32468,0.19176,0.05402,0.01957,2.0704,0.94267,1.7607,0.2415,1.55968,1.53675,8.13345,28.87106,3.22917,0.41948,7,0.0266,0.0434,0.26895,5.57353,6.86887
"8","2012_Q1",55.4433870967742,"Up",2.797e+09,-1.776e+09,1.021e+09,-2.21e+08,-2.21e+08,8e+08,-7.7e+07,-1.16e+08,3.9e+07,7.23e+08,7.23e+08,-2.43e+08,4.8e+08,4.8e+08,4.8e+08,4.8e+08,3.01e+08,2.76e+08,1.022e+09,1.022e+09,2.09e+08,2.19e+08,7.6e+07,1.751e+09,2.234e+09,8.4e+07,8.4e+07,2.6787e+10,2.8538e+10,1.299e+09,1.092e+09,2.07e+08,1.5e+08,2.52e+08,2.52e+08,1.701e+09,7.39e+09,9.536e+09,7.486e+09,2.05e+09,1.6926e+10,1.8627e+10,2.244e+09,8.693e+09,-1.026e+09,9.911e+09,9.911e+09,2.8538e+10,4.8e+08,2.23e+08,1.3e+08,-3.7e+08,4.63e+08,-7.13e+08,-4.7e+07,1.93e+08,-5.67e+08,-1.44e+08,6.97e+08,-4.15e+08,1.38e+08,3.4e+07,3.4e+07,3.4e+07,1.023e+09,7.54e+09,1.83e+08,0.36503,0.28602,0.17161,0.04843,0.01682,0.38125,1.02939,1.87943,0.26421,1.35135,1.33148,7.87444,27.90259,0.5152,0.40541,6,0.02312,0.00678,0.3,7.07625,9.04875
"9","2012_Q2",53.9957142857143,"Down",2.789e+09,-1.82e+09,9.69e+08,-2.24e+08,-2.24e+08,7.45e+08,-9.1e+07,-1.2e+08,2.9e+07,6.54e+08,6.54e+08,-2.44e+08,4.1e+08,4.1e+08,4.1e+08,4.1e+08,8.31e+08,8.29e+08,1.056e+09,1.056e+09,2.28e+08,2.17e+08,7.1e+07,2.332e+09,2.263e+09,7.7e+07,7.7e+07,2.7043e+10,2.9375e+10,1.563e+09,1.243e+09,3.2e+08,3.2e+07,3.37e+08,3.37e+08,1.932e+09,7.985e+09,9.643e+09,7.59e+09,2.053e+09,1.7628e+10,1.956e+10,2.244e+09,8.581e+09,-1.01e+09,9.815e+09,9.815e+09,2.9375e+10,4.1e+08,2.26e+08,1.31e+08,2.68e+08,1.035e+09,-4.59e+08,-4e+06,2.7e+07,-4.36e+08,-1.55e+08,4.78e+08,-3.69e+08,-4.6e+07,5.53e+08,5.53e+08,5.53e+08,9.71e+08,8.017e+09,1.024e+09,0.34744,0.26712,0.14701,0.04177,0.01396,2.49756,1.20704,1.99287,0.27292,1.15428,1.13731,7.85191,27.63232,2.88288,0.43637,7,0.02056,0.03727,0.37805,7.40062,9.64564
"10","2012_Q3",57.3620634920635,"Up",2.874e+09,-1.711e+09,1.163e+09,-2.29e+08,-2.29e+08,9.34e+08,-9.1e+07,-1.22e+08,3.1e+07,8.43e+08,8.43e+08,-3.19e+08,5.24e+08,5.24e+08,5.24e+08,5.24e+08,3.71e+08,3.56e+08,1.086e+09,1.086e+09,2.42e+08,1.85e+08,5.2e+07,1.884e+09,2.278e+09,6.1e+07,6.1e+07,2.7307e+10,2.9191e+10,1.448e+09,1.126e+09,3.22e+08,2.7e+07,2.99e+08,2.99e+08,1.774e+09,7.972e+09,9.667e+09,7.639e+09,2.028e+09,1.7639e+10,1.9413e+10,2.225e+09,8.544e+09,-9.91e+08,9.778e+09,9.778e+09,2.9191e+10,5.24e+08,2.3e+08,5.4e+07,-1.8e+08,6.28e+08,-4.94e+08,-8e+06,6e+06,-4.96e+08,-1.53e+08,-1.8e+07,-4.34e+08,-6.05e+08,-4.73e+08,-4.73e+08,-4.73e+08,1.164e+09,7.999e+09,8.09e+08,0.40466,0.32498,0.18232,0.05359,0.01795,1.54389,1.06201,1.98538,0.27402,1.47523,1.45354,8.09122,27.52815,2.27759,0.43074,4,0.02467,0.02948,0.29198,6.55326,8.16702
