"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q3",3.34921875,"Down",7009872,-1637491,5372381,-4483286,-1788238,-2695048,889095,98958,-38337.2044082196,98958,988053,988053,0,988053,988053,988053,988053,279582743.154228,101474629.906507,6327396.05719359,7054193.16824645,-61275012.4536035,-1593596.04158581,-1603900.30719573,223041530.716233,-39993500.3742613,-28969784.5783818,-30225467.1877642,994121.357630102,200002.300273769,-169419778.413991,53621752.3022417,-3161890.40075129,-7867502.74889703,4705612.34814574,-3161890.40079269,-10156251.6845026,-8958557.91233778,-10156251.6616786,-13318142.0624712,175735878.336261,-102456177.075391,-177498192.070189,66939894.364713,66939894.364713,53621752.3022417,988053,402021,262882,-2114311,-461355,-63955,-3748449,16752,16752,16752,-4193052,-4193052,-4193052,1291116,0,-887150,0.7664,0.12683,0.14095,-0.224983171341519,-0.201886145874342,-0.89788,38.8014202210636,-0.187759577046003,8.08786697024457e-11,0.03211,0.03195,0.22783,2.17465790542243,-0.02883,-0.220450052987606,2705.30294596767,-8495.38814332983
"2","2010_Q4",3.81140625,"Up",7306978,-1848552,5458426,-4931896,-1812617,-3119279,526530,96679,-29228.7348027399,96679,623209,623209,0,623209,623209,623209,623209,114807318.718076,42035818.3021691,3788347.35239786,2269835.72274882,-15172010.8178678,-134380.347195269,-137815.102398575,103289274.905411,-8802590.45808712,-5791148.52612727,-7005709.3959214,994040.452543367,200000.766757923,-35252009.137997,68037265.7674139,3282655.5330829,-1393752.58296568,4676408.11604858,3282655.5330691,-2214405.22816752,-1900026.30411259,-2214405.22055952,1068250.31250958,182370063.778754,-113685576.358464,-93688893.4421137,66969015.4549043,66969015.4549043,68037265.7674139,-2662674.54035472,381334.629124295,241882.20091746,7156512.37271103,5117054.66239806,-205739.570198499,9314947.73722588,-147932.243162967,104097.782069012,-147923.951763564,14284078.4478604,14284078.4478604,14271223.819357,-2328581.139619,0,1296923.78435055,0.74702,0.07206,0.08529,-0.0986843904471728,-0.0897853819581141,1.18282016180404,17.8285634070212,0.0188001409846657,2.69595565674819e-11,0.02025,0.02016,0.23739,2.17598263514081,0.0421560137869724,-0.097166684329202,865.848598655891,-2497.63729444328
"3","2011_Q2",3.80825396825397,"Down",5906385,-1769979,4136406,-6222907,-2438636,-3784271,-2086501,55814,-13484,69298,-2030687,-2030687,-38659.3798525522,-2030687,-2030687,-2030687,-2030687,49625064,14203544,3772209,1259607,1953976,492767,492767,55844016,2156315,2415458,1221458,994000,2e+05,16449974,72293990,4623124,930601,3692523,4623124,584162,584162,584162,5207286,185051318,-117964614,-40678382.7210568,67086704,67086704,72293990,-2030687,400281,260628,2813858.00000001,1444079.99999999,-206684,2984142.00000001,-19187,69214,-19186.9999999999,4409035,4409035,4409035,-1686220,0,2173694.67652583,0.70033,-0.35326,-0.34381,-0.03027,-0.02809,2.07591738556321,12.07928,0.07762,0,-0.06595,-0.06595,0.19181,2.17868,0.0707040206804586,-0.03001,29.42977,23.78387
"4","2011_Q3",3.420625,"Down",7653725,-1968680,5685045,-5806579,-2289118,-3517461,-121533.999999999,65937,0,65937,-55596.9999999995,-55597.0000000005,-87412.6137682564,-55596.9999999995,-55596.9999999995,-55596.9999999995,-55596.9999999995,43574267,7466587,5294274,2521817,2692789,660399,660399,52221729,1962627,2370771,1176771,994000,2e+05,19383800,71605529,3715877,922525,2793352,3715877,576527,576527,576527,4292404,185333336,-118020211,-11702556.9070189,67313125,67313125,71605529,-55597,406377,282017,-3343391,-2710594,-168002,-4026363,0,0,0,-6736957,-6736957,-6736957,284843,2.16840434497101e-19,2177448.87652583,0.74278,-0.01588,-0.00725999999999999,-0.000830000000000001,-0.000780000000000006,2.12469652842035,14.05368,0.06377,0,-0.0018,-0.0018,0.2484,2.18461,0.0708820206804586,-0.000820000000000001,-152.97644,358.53561
"5","2011_Q4",3.29746031746032,"Down",8631378,-2511234,6120144,-5567718,-2493093,-3074625,552426,52247,0,52247,604673,604673,-107186.290799832,604673,604673,604673,604673,49820236,10500112,6809933,4020475,2460085,925341,925341,60015595,1772116,2326083,1132083,994000,2e+05,12551935,72567530,4152964,580447,3572517,4152964,580326,580326,580326,4733290,184976465,-117144912,2687,67834240,67834240,72567530,604673,405831,244597,-1107012,148089,-170632,3216277,-330841,25,-330841,3033525,3033525,3033525,958257,0,1742472.58435055,0.70906,0.064,0.07006,0.00891,0.00833,1.67244244751833,14.45127,0.06978,0,0.01963,0.01963,0.28027,2.20264,0.0567580137869724,0.00884,-51.99047,-90.18445
"6","2012_Q2",4.89365079365079,"Up",12824461,-5734631,7089830,-6236999,-3428536,-2808463,852831,118304,-22381,31424,971135,1285379,-58907,1226472,1226472,1226472,1226472,27901259,12792899,7334479,4253891,13845705,1660146,1660146,50741589,10664193,9002130,7808130,994000,2e+05,29652008,80393597,8790747,1721334,7069413,8790747,2932636,2678079,2932636,11723383,185534400,-118065638,1201452,68670214,68670214,80393597,1226472,824409,-40706,-276353,1733822,-156742,-385902,113540,113540,113540,1461460,1461460,1625154,1677240,-1.73472347597681e-18,1303052,0.55284,0.0665,0.09564,0.01786,0.01526,1.06244,5.77216,0.17072,0,0.03991,0.03955,0.41733,2.23463,0.0424,0.01713,-16.63522,-32.71605
"7","2012_Q3",4.97428571428571,"Up",15523820,-7882190,7641630,-6323891,-3418233,-2905658,1317739,460454,-27360,29516,1778193,1778193,-208230,1569963,1569963,1569963,1569963,28381800,15880006,11391347,7811792,11503071,1082984,1082984,52359202,9868029,8370789,7176789,994000,2e+05,29089493,81448695,9732977,2584636,7148341,9732977,2985473,2742953,2985473,12718450,185770642,-116512720,-527677,68730245,68730245,81448695,1569963,872476,244263,-681701,2005001,-356773,1378673,21445.9999999999,21446.0000000001,21446.0000000001,3405120,3405120,3087107,2190215,0,1359971,0.49225,0.08488,0.10113,0.02284,0.01928,0.86624,5.37957,0.18505,0,0.0509,0.05042,0.50329,2.22826,0.04409,0.02189,-12.95845,-21.53826
"8","2012_Q4",5.83129032258064,"Up",15104295,-7013368,8090927,-5559287,-3126244,-2433043,2531640,-397402,7205,95807,2134238,1790306,16183,1806489,1806489,1806489,1806489,30307997,18389977,11599050,7636346,10768322,1117341,1117341,53792710,10116338,8570533,7376533,994000,2e+05,31103922,84896632,9035785,1766699,7269086,9035785,2156867,1900102,2156867,11192652,186810638,-114686061,1579403,73703980,73703980,84896632,1806489,895939,565579,-796666,2471341,-311546,-1292142,751718,751718,751718,1930917,1930917,2509971,3427579,2.77555756156289e-17,2303184,0.53567,0.16761,0.1196,0.02451,0.02128,1.27495,5.9533,0.15186,1.03397576569128e-25,0.05837,0.05781,0.48803,2.38145,0.07442,0.02381,-8.84239,-11.97169
"9","2013_Q1",6.65033333333333,"Up",18813960,-6540058,12273902,-5596366,-3253719,-2342647,6677536,6937,-14178,61857,6684473,6417528,3135585,9553113,9553113,9553113,9553113,40055016,29209821,13289273,4158758,11143695,1721467,1304887,66209451,9952461,10933396,7182012,994000,2e+05,30800712,97010163,10752228,2454238,8297990,10752228,2133339,2133339,2133339,12885567,187363203,-105150577,1911970,84124596,84124596,97010163,9553113,915768,-2598363,-641074,7229444,-438586,3140252,272360,272360,272360,10642056,10642056,10819844,7593304,0,3378059,0.65238,0.35492,0.50777,0.11356,0.09848,0.35361,6.15774,0.15317,0,0.30684,0.30214,0.6043,2.70205,0.1085,0.11075,-5.27504,-5.99847
"10","2013_Q2",8.3990625,"Up",16455993,-7473465,8982528,-5491503,-3308099,-2183404,3491025,77069,-13531,61519,3568094,3622068,-1283832,2338236,2338236,2338236,2338236,47907139,28570015,10758466,6912751,10264232,1769103,1352523,70698940,9693158,10774581,6910819,994000,2e+05,26615828,97314768,8894666,1900861,6993805,8894666,1009068,1009068,1009068,9903734,188569996,-102812341,1653379,87411034,87411034,97314768,2338236,818920,83694,353853,3594703,-322099,-5049245,956721,956721,956721,-497821,-497821,-639806,4309945,0,5625531,0.54585,0.21214,0.14209,0.02675,0.02403,2.40589,7.94846,0.1133,1.65436122510606e-24,0.07485,0.0734,0.52674,2.79796,0.18007,0.02644,-11.11549,-13.72294
