"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.15734375,"Up",147200000,-124140000,23060000,-24901000,-24901000,-1841000,348000,109000,239000,-1493000,-1493000,-829000,-2322000,-2322000,-2322000,-2322000,-3726736.44168019,-22264600.3618249,143906526.870526,143906526.870526,15414678.2146942,56834608.9949069,34236072.190047,212429077.638447,182233458.580548,65700295.7257474,15838564.631365,36304905.0585337,13556814.4002937,283590031.055568,496019108.694015,56863175.8166225,30009790.5842798,28473495.8008095,71004282.0559631,62177190.381266,130603018.818093,32627476.0374203,2912413.64449693,13143262.207577,35539889.6819173,166142908.50001,112550449.597589,230343597.896623,-13017847.3002075,329876200.194005,329876200.194005,496019108.694015,-2322000,6753000,-449000,-2273000,1709000,-2511000,0,-13890000,-2291000,0,40000,-2251000,-14432000,-14606000,83143.5113533697,-14606000,4912000,0,957000,0.15666,-0.01251,-0.01577,0.0686643836878786,0.0443881920528168,-0.41214,1.5613832284561,0.501922000602599,0.0713032605876668,-0.08411,-0.08411,5.33179,12.1579747272242,0.03466,0.08298,0.032437387703814,0.017758871439546,-0.98665,0.254979339653909,24.7154350776239
"2","2011_Q1",10.998064516129,"Up",147898000,-124677000,23221000,-28849000,-28849000,-5628000,-490000,-52000,-438000,-6118000,-6118000,2753000,-3365000,-4410000,-4410000,-4410000,35465000,24302000,100967000,100967000,32608000,44883000,28136000,213923000,179201000,102265000,19655000,62004000,20606000,297175000,511098000,61413000,34943000,26470000,51546000,47523000,113946000,30712000,38763000,33258000,69475000,183421000,117608000,210203000,-134000,327677000,327677000,511098000,-3365000,7690000,5622000,7193999.99999999,17141000,-1575000,-23955000,-3059000,-2293000,-293000,-1222000,-3808000,10274000,10044000,6000,10050000,2062000,31699000,4928000,0.15701,-0.03805,-0.02982,-0.01346,-0.00863,-1.11746,1.87741,0.55976,0.06202,-0.15921,-0.15921,5.33928,11.82949,0.17791,0.08278,-0.00532,0.01238,-0.51995,-1.82638,0.66915
"3","2011_Q2",10.641746031746,"Down",153338000,-129652000,23686000,-27114000,-27114000,-3428000,-29000,-32000,3000,-3457000,-3457000,1280000,-2177000,-2177000,-2177000,-2177000,40100745.4805601,33422783.4539416,96718741.043158,96718741.043158,39614023.9284353,38643463.6683644,22483059.2699843,215076974.120518,173499347.139817,112355318.091418,20147895.1228784,69630281.6471554,22577145.1999021,295909322.981477,510986297.101995,63019774.7277925,38153236.4719067,24552751.3997302,42435572.6480123,40827603.2062447,105707577.060636,30170591.3208599,50417445.4518344,39277995.9308077,80588036.7726942,186295613.83333,119419766.800804,201946050.701126,3324865.76673584,324690683.268665,324690683.268665,510986297.101995,-2177000,7022000,684000,-26065000,-20536000,8692000,-816000,10489000,-4152158.06487077,-2e+05,-690000,-890000,-10937000,-14209000,17000,-14192000,3594000,0,-15059000,0.15447,-0.02236,-0.0142,-0.0273864612292929,-0.0176327306842723,6.91732,2.0382422571813,0.5739576664658,0.0594614131374444,-0.07814,-0.07814,5.50348,11.6504450909253,-0.54049,0.149376034463969,-0.00782662923460466,0.004630376186818,-2.51034510195311,-1.25249561321797,-4.45055835920797
"4","2011_Q3",8.28390625,"Down",165557000,-139605000,25952000,-28629000,-28629000,-2677000,68000,-23000,91000,-2609000,-2609000,932000,-1677000,-1677000,-1677000,-1677000,29867000,24611000,111444000,111444000,40039000,35191000,18080000,216541000,167103000,107217000,18739000,66749000,21729000,286328000,502869000,62614000,39381000,23233000,40330000,39525000,103077000,30660000,47277000,37048000,77937000,181014000,119538000,201103000,1214000,321855000,321855000,502869000,-1677000,6854000,2124000,-1482000,5819000,-2014000,10242000,14437000,-4579000,-1050000,-128000,-5757000,14499000,14508000,-7000,14501000,4177000,30793000,-251000,0.15676,-0.01617,-0.01013,-0.00521000000000001,-0.00333,0.14967,2.10077,0.56241,0.06123,-0.06033,-0.06033,5.95614,11.57918,-0.00902999999999998,0.16474,0.00726000000000001,-0.00063,-2.73047,0.22169,-0.345909999999998
"5","2011_Q4",8.83190476190476,"Up",174853000,-140126000,34727000,-27571000,-27571000,7156000,-308000,-218000,-90000,6848000,6848000,-1312000,5536000,5536000,5536000,5536000,32758000,25924000,121480000,121480000,36917000,30225000,16011000,221380000,161770000,98075000,16921000,61635000,19519000,273206000,494586000,62555000,38057000,24498000,41363000,40574000,104134000,30773000,39267000,33024000,70040000,174174000,119797000,203121000,-2506000,320412000,320412000,494586000,5536000,6739000,1715000,-3993000,9997000,-2638000,1804000,-3849000,-2286000,84000,-46000,-4640000,1508000,1471000,-158000,1313000,13895000,30989000,8576000,0.19861,0.04093,0.03166,0.01728,0.01119,1.54913,2.12591,0.54359,0.06266,0.20014,0.19896,6.32128,11.58353,0.31004,0.08264,0.02002,0.02195,0.41293,-0.12731,-0.24721
"6","2012_Q1",11.28,"Up",168715000,-135960000,32755000,-29990000,-29990000,2765000,48999.9999999999,-88000,137000,2814000,2814000,149000,2963000,2963000,2963000,2963000,65691000,54027000,108424000,108424000,34045000,21279000,16985000,229439000,159547000,96182000,16092000,61617000,18473000,263665000,493104000,63297000,34025000,28367000,42366000,41567000,105771000,30521000,35614000,32847000,66135000,171906000,121655000,203558000,-4015000,321198000,321198000,493104000,2963000,6631000,-1718000,21398000,29274000,-3370000,61000.0000000009,-2579000,-2288000,-150000,609000,-1829000,24866000,28166000,-63000,28103000,9396000,30629000,27275000,0.19414,0.01639,0.01756,0.00922,0.00601,9.2052,2.16921,0.5352,0.06211,0.10718,0.1032,6.10291,11.61867,0.98662,0.08276,0.01355,0.0704,0.77219,-3.73159,-12.68065
"7","2012_Q2",12.321746031746,"Up",154134000,-123059000,31075000,-28757000,-28757000,2318000,-74000,-91000,17000,2244000,2244000,-638000,1606000,1606000,1606000,1606000,43937000,23028000,112046000,112046000,38876000,23305000,17514000,218164000,162921000,104222000,15767000,61694000,26761000,277422000,495586000,53367000,33665000,19702000,45942000,45166000,99392000,39591000,35671000,32748000,75262000,174654000,122574000,201844000,-3486000,320932000,320932000,495586000,1606000,6528000,1516000,-17307000,-7657000,-9495000,-9160000,-29780000,-2643000,9955000,-985000,6327000,-31110000,-31110000,111000,-30999000,8846000,39674000,-17318000,0.20161,0.01504,0.01042,0.005,0.00324,-10.78331,2.19499,0.54421,0.08005,0.05779,0.0569,5.54678,11.5493,-0.62322,0.09511,0.01072,-0.0437,1.6457,-0.48191,-1.83909
"8","2012_Q3",14.0269841269841,"Up",175940000,-139803000,36137000,-28585000,-28585000,7552000,186000,-208000,394000,7738000,7738000,-2681000,5057000,5057000,5057000,5057000,54644000,29553000,117688000,117688000,39409000,21903000,16836000,233644000,162898000,101534000,14552000,61393000,25589000,273831000,507475000,62538000,40133000,22405000,45359000,45007000,107947000,38782000,37607000,34617000,76389000,184336000,124356000,204300000,-5517000,323139000,323139000,507475000,5057000,6585000,1202000,5246000,18090000,-6166000,340000,-9294000,-2550000,-41000.0000000019,427000,-2164000,6632000,6632000,-107000,6524999.99999999,14137000,38832000,15898000,0.20539,0.04292,0.02874,0.01565,0.00997,3.14376,2.16443,0.57045,0.07652,0.18111,0.17783,6.30112,11.57292,0.56937,0.09133,0.01904,0.03979,0.50425,-1.11848,-2.09375
"9","2012_Q4",17.8359677419355,"Up",190416000,-148176000,42240000,-30828000,-30828000,11412000,121000,-77000,198000,11533000,11533000,-3481000,8052000,8052000,8052000,8052000,62572000,37418000,127361000,127361000,42538000,20760000,16738000,253231000,162358000,97736000,14281000,61375000,22080000,270450000,523681000,69183000,39310000,29484000,49128000,48783000,118394000,38402000,36743000,33562000,75145000,193539000,126391000,209379000,-5628000,330142000,330142000,523681000,8052000,6704000,629000,-2897000,12488000,-5556000,2617000,-2276000,-2558000,-39000,103000,-2494000,7718000,7718000,147000,7865000,18116000,38485000,13144000,0.22183,0.05993,0.04229,0.02439,0.01538,1.63239,2.13888,0.58623,0.07349,0.28727,0.27928,6.79354,11.77859,0.46894,0.09126,0.02617,0.03242,0.31769,-1.3296,-2.11067
"10","2013_Q1",21.9551666666667,"Up",179734000,-143453000,36281000,-30144000,-30144000,6137000,-745000,-360000,-385000,5392000,5392000,-996000,4396000,4396000,4396000,4396000,63774000,37767000,121170000,121170000,36052000,30845000,27256000,251841000,168948000,86545000,13675000,61342000,11528000,268300000,520141000,67112000,34235000,32877000,44998000,44998000,122167000,28786000,35870000,32390000,64656000,186823000,128503000,211135000,-6320000,333318000,333318000,520141000,4396000,6712000,3324000,3170000,17602000,-12369000,224000,-15782000,-2565000,-39000,1167000,-1437000,383000,382999.999999999,-34000,349000,12849000,38843000,4646000,0.20186,0.03414,0.02446,0.01319,0.00845,1.05687,2.06145,0.56049,0.07468,0.15657,0.15121,6.40147,11.87157,0.16547,0.09136,0.01706,0.01139,0.58348,-1.94031,-4.06241
