"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",27.6571875,"Down",2687000,-15084000,-3840000,-11244000,-12397000,-583000,-179000,-404000,-12980000,-12980000,-12980000,-12980000,-12980000,-13863000,193587000,193587000,7856000,5814000,201443000,1393000,1372000,1372000,2765000,204208000,8779000,1611000,7168000,5672000,5672000,14451000,14458000,14458000,20168000,34619000,276347000,-106758000,169589000,169589000,204208000,-12980000,202000,2610000,-887000,-11055000,-288000,-288000,49000,49000,154632000,143289000,143289000,143289000,-12195000,5710000,-4.6137,-5.15929,-0.08174,-0.06789,13.93973,0.20413,0.02796,-0.80694,-0.80694,0.15641,9.87148,-0.07306,15.40607,15.15504
"2","2015_Q4",22.5159375,"Down",3426000,-15903000,-4222000,-11681000,-12477000,-165000,-171000,6000.00000000006,-12642000,-12642000,-12642000,-12642000,-12642000,-12642000,179780000,179780000,8807000,6218000,188587000,4805000,1896000,1896000,6701000,195288000,12927000,1562000,11365000,6364000,6364000,19291000,12962000,12962000,17855000,37146000,277542000,-119400000,158142000,158142000,195288000,-12642000,204000,997000,-1024000,-12465000,-822000,-822000,-22000.0000000001,-22000.0000000001,-520000,-13807000,-13807000,-13806999.9999999,-12273000,4893000,-3.64186,-3.69002,-0.07994,-0.06474,9.77591,0.23489,0.02506,-0.46765,-0.46765,0.12673,5.85001,-0.07183,14.24974,14.01675
"3","2016_Q1",17.3509836065574,"Down",4635000,-20055000,-3624000,-16431000,-15420000,-155000,-161000,6000,-15575000,-15575000,-15575000,-15575000,-15575000,-15575000,162707000,162707000,7709000,4176000,170416000,6661000,1821000,1821000,8482000,178898000,12742000,2455000,10287000,5898000,5898000,18640000,12207000,12207000,16279000,34919000,278954000,-134975000,143979000,143979000,178898000,-15575000,333000,1220000,976000,-13046000,-3754000,-3684000,213000,213000,-343000,-17073000,-17073000,-17073000,-15087000,4072000,-3.32686,-3.3603,-0.10818,-0.08706,9.14249,0.24253,0.02276,-0.57578,-0.57581,0.17135,5.32264,-0.09719,10.51468,10.28761
"4","2016_Q2",18.17234375,"Up",6856000,-22281000,-4646000,-17635000,-15425000,-79000,-140000,61000,-15504000,-15504000,-15504000,-15504000,-15504000,-15504000,191507000,122289000,6160000,1928000,197667000,6537000,1806000,1806000,8343000,206010000,11958000,2773000,9185000,11824000,11824000,23782000,49323000,49323000,52569000,76351000,280107000,-150479000,129659000,129659000,206010000,-15504000,386000,1159000,44710000,30751000,-1262000,-70365000,29000,29000,-804000,-40418000,-40418000,-40418000,-15039000,3246000,-2.24985,-2.26138,-0.11958,-0.07526,8.31162,0.58886,0.01576,-0.57236,-0.57236,0.2531,4.78658,-0.08508,12.51819,12.20493
"5","2016_Q3",24.84109375,"Up",7065000,-25961000,-4688000,-21273000,-18896000,2000,-129000,131000,-18894000,-18894000,-18894000,-18894000,-18894000,-18894000,172553000,109386000,5567000,2216000,178120000,6565000,1835000,1835000,8400000,186520000,13948000,2730000,11218000,13806000,13806000,27754000,43532000,43532000,46204000,73958000,281880000,-169373000,112562000,112562000,186520000,-18894000,396000,1582000,-917000,-17833000,-552000,5448000,316000,316000,-518000,-12903000,-12903000,-12903000,-18500000,2672000,-2.67459,-2.67431,-0.16785,-0.1013,6.41781,0.65704,0.01433,-0.6954,-0.69539,0.26003,4.14288,-0.11901,9.18276,8.99032
"6","2016_Q4",30.1392063492064,"Up",6160000,-23043000,-4893000,-18150000,-16883000,49000,-109000,158000,-16834000,-16834000,-16834000,-16834000,-16834000,-16834000,152544000,74403000,6904000,3449000,159448000,6578000,1823000,1823000,8401000,167849000,12628000,1848000,10780000,11752000,11752000,24380000,43664000,43664000,45759000,70139000,283889000,-186206000,97710000,97710000,167849000,-16834000,407000,2016000,-4222999.99999999,-18634000,-522000,-15618000,102000,102000,-731000.000000007,-34983000,-34983000,-34983000,-16476000,2095000,-2.74075,-2.73279,-0.17229,-0.10029,6.54011,0.71783,0.01248,-0.61772,-0.61773,0.22604,3.58542,-0.11734,9.1314,8.91127
"7","2017_Q1",35.8067741935484,"Up",7691000,-29064000,-4991000,-24073000,-21373000,110000,-91000,201000,-21263000,-21263000,-21263000,-21263000,-21263000,-21263000,214159000,52069000,6266000,2689000,220425000,6188000,2123000,2123000,62370000,282795000,17086000,2211000,14875000,11426000,11426000,28512000,39687000,39687000,41205000,69717000,420566000,-207470000,213078000,213078000,282795000,-21263000,393000,1757000,316000,-18797000,-18000,-138286000,481000,481000,134630000,-22453000,-22453000,-22453000,-20980000,1518000,-2.77896,-2.76466,-0.09979,-0.07519,7.73096,0.32719,0.00537,-0.74717,-0.7472,0.27026,7.48746,-0.08362,10.13541,9.94905
"8","2017_Q2",42.4611111111111,"Up",5840000,-34170000,-5683000,-28487000,-28330000,353000,-72000,425000,-27977000,-27977000,-27977000,-27977000,-27977000,-27977000,206396000,56356000,7562000,4736000,213958000,6081000,2680000,2680000,38690000,252648000,15346000,2282000,13064000,10413000,10413000,25759000,37561000,37561000,38667000,64426000,423783000,-235447000,188222000,188222000,252648000,-27977000,398000,2337000,-5838000,-31080000,-210000,35787000,902000,902000,-420000.00000003,4287000,4287000,4287000,-27932000,1106000,-4.85103,-4.79058,-0.14864,-0.11074,8.30615,0.34229,0.00438,-0.84293,-0.84294,0.17596,5.67105,-0.12331,7.34963,7.24638
"9","2017_Q3",53.4395238095238,"Up",5890000,-40104000,-6833000,-33271000,-34214000,802000,-59000,861000,-33412000,-33412000,-33412000,-33412000,-33412000,-33412000,421014000,91346000,10314000,7239000,431328000,7774000,5619000,5619000,13393000,444721000,23670000,2581000,21089000,9322000,9322000,32992000,36948000,36948000,37640000,70632000,643262000,-268859000,374089000,374089000,444721000,-33412000,393000,2977000,2525000,-27517000,-247000,-150136000,754000,754000,216143000,38490000,38490000,38490000,-33821000,692000,-5.80883,-5.67267,-0.08932,-0.07513,13.07371,0.18881,0.00156,-0.861,-0.86101,0.15178,9.63998,-0.08115,12.42784,12.28509
"10","2017_Q4",70.3590476190476,"Up",8068000,-46678000,-7378000,-39300000,-38610000,907000,-47000,954000,-37703000,-37703000,-37703000,-37703000,-37703000,-37703000,390652000,57329000,9627000,6192000,400279000,13416000,6423000,6423000,19839000,420118000,29421000,2092000,27329000,6069000,6069000,35490000,43111000,43111000,43388000,78878000,647967000,-306562000,341240000,341240000,420118000,-37703000,396000,3497000,7292000,-26518000,-4475000,-7870999.99999997,1162000,1162000,372000.00000006,-34017000,-34017000,-34017000,-38214000,277000,-4.78557,-4.67315,-0.11049,-0.08974,11.27864,0.23115,0.00066,-0.96272,-0.96268,0.20601,8.71333,-0.09802,10.2155,10.11072
"11","2018_Q1",86.1972131147541,"Up",1628000,-51721000,-8092000,-43629000,-50093000,1066000,-43000,1109000,-49027000,-49027000,-49027000,-49027000,-49027000,-49027000,673356000,400304000,12149000,12149000,685505000,24363000,5869000,5869000,30232000,715737000,37517000,3744000,33773000,5373000,5373000,42890000,48877000,48877000,48877000,91767000,979828000,-355589000,623970000,623970000,715737000,-49027000,391000,3424000,10462000,-34750000,-10580000,49873000,2453000,2453000,327853000,342976000,342976000,342976000,-49702000,0,-30.76966,-30.11486,-0.07857,-0.0685,15.98286,0.14707,0,-1.22528,-1.2253,0.04069,15.59418,-0.07287,13.54787,13.44212
"12","2018_Q2",79.58046875,"Down",954000,-59865000,-9911000,-49954000,-58911000,2362000,-32000.0000000001,2394000,-56549000,-56549000,-56549000,-56549000,-56549000,-56549000,607325000,134886000,8373000,8373000,615698000,29074000,5898000,5898000,48770000,664468000,35195000,3288000,31907000,4803000,4803000,39998000,53597000,53597000,53597000,93595000,988916000,-417452000,570873000,570873000,664468000,-56549000,780000,4861000,1345000,-49563000,-6312000,-219128000,3643000,3643000,3062000.00000006,-265629000,-265629000,-265629000,-58131000,1.45519152283669e-11,-61.75157,-59.27568,-0.09906,-0.0851,15.39322,0.16395,0,-1.29403,-1.29402,0.02183,13.06346,-0.09056,10.44752,10.3092
"13","2018_Q3",69.5015873015873,"Down",41439000,-70906000,-12333000,-58573000,-29467000,2419000,-23000,2442000,-27048000,-27048000,-27048000,-27048000,-27048000,-27048000,613456000,117751000,8757000,8757000,622213000,30250000,9455000,9455000,42900000,665113000,45194000,2980000,42214000,5139000,5139000,50333000,61848000,61848000,61848000,112181000,997814000,-444501000,552932000,552932000,665113000,-27048000,1133000,6783000,16273000,-2859000,-3322000,-14791000,1087000,1087000,515000,-17135000,-17135000,-17135000,-28334000,0,-0.71109,-0.65272,-0.04892,-0.04067,12.36193,0.20288,0,-0.61672,-0.61673,0.94484,12.60732,-0.044,21.65088,20.81841
