"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",29.8195238095238,"Down",114690000,-43393000,71297000,-1.16e+08,-84610000,-31390000,-44703000,-2106000,-2106000,-46809000,-46809000,-11000,-46820000,-46820000,-46820000,-46820000,-274334254.207801,-256799143.619506,-17535110.5882952,-13401495.7129325,-13401495.7129325,-2944142.30766673,-12058392.2023114,9114249.89464472,-290679892.228401,45818001.6106079,-98169131.168398,-86353795.6328015,-51292706.7553874,39477371.2197909,-52351129.5577901,-343031021.786191,51495390.3730769,37578955.0072119,13916435.3658649,57943085.4234229,57943109.8215087,109438475.796908,109690309.82109,77790680.1021815,31899629.7189083,407114038.651932,516552514.44884,-2021754012.68475,-96365190.3271474,-555335.221219017,-859583536.235031,-859583536.235031,-343031021.786191,-46820000,7153000,6521000,35559000,2413000,-13398000,-27866000,-41264000,73187000,769000,769000,73956000,35105000,35105000,35105000,-37550000,0,-15378000,0.62165,-0.38977,-0.40823,6.94480022785519,0.511502528353435,0.32845,-0.380919240066068,-36.3945235057292,0.74482710839174,-1.05351,-1.05351,2.58067,-45.0035082054075,-0.34602,0.602920916394081,1.14620798277041,9.83055371991676,7.03460224081271
"2","2017_Q1",26.8487096774194,"Down",139785000,-54379000,85406000,-133335000,-98206000,-35129000,-47929000,-959000,-959000,-48888000,-48888000,-1041000,-49929000,-49929000,-49929000,-49929000,185200000,99209000,85991000,110659000,110659000,34002000,16138000,17864000,329861000,42218000,27007000,0,0,27007000,69225000,399086000,82195000,52111000,30084000,130569000,130569000,212764000,178998000,165896000,13102000,252258000,465022000,65630000,-441933000,-12000,-65936000,-65936000,399086000,-49929000,7433000,3555000,41307000,2366000,-8875000,14917000,6041999.99999999,-459000,402000,401999.999999999,87000,8495000,8495000,8495000,-40496000,73260000,-7023000,0.61098,-0.34288,-0.35718,0.75723,-0.12511,0.14066,1.55036,-7.05263,0.18357,-1.11117,-1.11117,3.11091,-8.37487,-0.1563,-0.26797,-0.03769,2.76422,2.33554
"3","2017_Q2",17.4509523809524,"Down",188561000,-69762000,118799000,-233278000,-157997000,-75281000,-114479000,-25712000,-25712000,-140191000,-140191000,-111000,-140302000,-140302000,-140302000,-140302000,347112000,225463000,121649000,147707000,147707000,35702000,16304000,19398000,530521000,46328000,71414000,27825000,16784000,26805000,117742000,648263000,92251000,57308000,34943000,165833000,165833000,258084000,218516000,209598000,8918000,218516000,476600000,775671000,-603988000,-20000,171663000,171663000,648263000,-140302000,8572000,115550000,20340000,4160000,-11915000,-35860000,-47959000,170088000,1472000,1472000,170053000,126254000,126254000,126254000,-105907000,0,-97371000,0.63003,-0.60712,-0.74407,-0.81731,-0.21643,0.69401,2.05561,2.77637,0,-1.88644,-1.88644,2.53532,2.30811,-1.30921,-0.35958,-0.24955,3.27752,3.0321
"4","2017_Q3",21.8750793650794,"Up",199214000,-76846000,122368000,-197769000,-126855000,-70914000,-75401000,-421000,-421000,-75822000,-75822000,-547000,-76369000,-76369000,-76369000,-76369000,355153000,226006000,129147000,151224000,151224000,37422000,18192000,19230000,543799000,51944000,74974000,27217000,16784000,30973000,126918000,670717000,108280000,65231000,43049000,186255000,186255000,294535000,244299000,234361000,9938000,244299000,538834000,829253000,-697200000,-170000,131883000,131883000,670717000,-76369000,9600000,53167000,33354000,19752000,-12701000,-7850000,-20551000,634000,708000,707999.999999999,1342000,543000,543000,543000,-65801000,7.45058059692383e-09,-44601000,0.61425,-0.37849,-0.38335,-0.57907,-0.11386,0.58402,1.8463,4.0857,0,-0.53782,-0.53782,1.40295,0.92878,-0.3141,-0.20301,-0.11856,5.39738,4.71019
"5","2017_Q4",30.2963492063492,"Up",205670000,-83206000,122464000,-216963000,-142356000,-74607000,-94499000,303000,303000,-94196000,-94196000,-2639000,-96835000,-96835000,-96835000,-96835000,350345000,200774000,149571000,170335000,170335000,66573000,44313000,22260000,587253000,53545000,77509000,26609000,16636000,34264000,131054000,718307000,149721000,83869000,65852000,207018000,207018000,356739000,266330000,255982000,10348000,266330000,623069000,904511000,-809177000,-96000,95238000,95238000,718307000,-96835000,9762000,50199000,20865000,-16009000,-13181000,-20528000,-33709000,0,24482000,24482000,24486000,-25232000,-25232000,-25232000,-84737000,0,-74414000,0.59544,-0.45947,-0.47083,-1.01677,-0.13481,0.76846,1.64617,6.54223,0,-0.67221,-0.67221,1.42772,0.66113,-0.51657,-0.26782,-0.20581,4.1345,3.70739
"6","2018_Q1",39.6668852459016,"Up",252458000,-97517000,154941000,-218971000,-151154000,-67817000,-64030000,-547000,-547000,-64577000,-64577000,-1555000,-66132000,-66132000,-66132000,-66132000,349053000,138359000,210694000,178876000,178876000,52205000,28362000,23843000,580134000,58072000,100006000,26001000,16672000,57333000,158078000,738212000,140953000,73725000,67228000,170123000,170123000,311076000,210073000,198933000,11140000,210073000,521149000,948138000,-730969000,-106000,217063000,217063000,738212000,-66132000,10465000,39716000,21870000,5919000,-12384000,-61491000,-73875000,-108000.000000015,5592000,5592000,5541000.00000001,-62415000,-62415000,-62415000,-53565000,4.65661287307739e-10,-42524000,0.61373,-0.25363,-0.26195,-0.30467,-0.08958,0.64302,1.86493,2.40091,0,-0.43292,-0.43292,1.65267,1.42097,-0.27838,-0.15483,-0.09956,6.51644,5.4514
"7","2018_Q2",54.96,"Up",275552000,-108622000,166930000,-225969000,-161457000,-64512000,-59039000,-189000,-189000,-59228000,-59228000,-2259000,-61487000,-61487000,-61487000,-61487000,365945000,132459000,233486000,171550000,171550000,55406000,28942000,26464000,592901000,67575000,104434000,24895000,16672000,62867000,172009000,764910000,128361000,68629000,59732000,190592000,190592000,318953000,229377000,218252000,11125000,229377000,548330000,1009272000,-792456000,-236000,216580000,216580000,764910000,-61487000,11333000,35928000,24324000,10098000,-17965000,-23188000,-41153000,-85000,25231000,25231000,25146000,-5909000,-5909000,-5909000,-47706000,0,-39088000,0.6058,-0.21426,-0.22314,-0.2839,-0.08038,0.63571,1.8589,2.53177,8.67361737988404e-19,-0.39218,-0.39218,1.75756,1.38142,-0.24932,-0.13788,-0.08765,7.67084,6.19836
"8","2018_Q3",52.7933333333333,"Down",286744000,-108528000,178216000,-238073000,-167149000,-70924000,-59857000,-861000,-861000,-60718000,-60718000,-1913000,-62631000,-62631000,-62631000,-62631000,918255000,610446000,307809000,179241000,179241000,65055000,31547000,33508000,1162551000,69074000,113571000,23539000,16672000,73360000,182645000,1345196000,142821000,56270000,86551000,231731000,231731000,374552000,670165000,246269000,423896000,670165000,1044717000,1156286000,-855087000,-720000,300479000,300479000,1345196000,-62631000,11682000,38522000,58831000,46404000,-14028000,-74987000,-89015000,564219000,11588000,11588000,520607000,477996000,477996000,477996000,-48175000,0,-1459000,0.62152,-0.20875,-0.21842,-0.20844,-0.04656,0.0233,3.10384,3.47684,0,-0.38724,-0.38724,1.7729,1.85782,-0.00901999999999997,-0.06453,-0.0015,19.06082,15.34081
"9","2018_Q4",41.2896825396825,"Down",289413000,-95615000,193798000,-276080000,-194789000,-81291000,-82282000,-4235000,-4235000,-86517000,-86517000,843000,-85674000,-85674000,-85674000,-85674000,923464000,376789000,546675000,194323000,194323000,66889000,36615000,30274000,1184676000,76322000,214400000,47790000,88324000,78286000,290722000,1475398000,144271000,71405000,72866000,243770000,243770000,388041000,732776000,296119000,436657000,732776000,1120817000,1296579000,-940761000,-1237000,354581000,354581000,1475398000,-85674000,12998000,52119000,33865000,13308000,-14096000,-239734000,-276622000,-1710000,31367000,31367000,29657000,-233657000,-233657000,-233657000,-69284000,0,-50358000,0.66962,-0.28431,-0.29603,-0.24162,-0.05807,0.58779,3.05297,3.16096,0,-0.51349,-0.51349,1.73462,2.12521,-0.30182,-0.07879,-0.04631,13.32868,11.22316
"10","2019_Q1",45.7473770491803,"Up",303748000,-73265000,230483000,-309713000,-212663000,-97050000,-79230000,-4021000,-4021000,-83251000,-83251000,-4118000,-87369000,-87369000,-87369000,-87369000,934303000,305975000,628328000,258289000,258289000,70509000,36818000,33691000,1263101000,85111000,251668000,45366000,87759000,118543000,336779000,1599880000,182583000,65503000,117080000,275648000,275648000,458231000,385272000,355559000,29713000,814870000,1273101000,1355911000,-1028130000,-1002000,326779000,326779000,1599880000,-87369000,14289000,62599000,33211000,22730000,-16283000,-81047000,-96765000,-533000,3824000,3823999.99999999,3206000,-70828999.9999999,-70828999.9999999,-70828999.9999999,-64941000,429598000,-43895000,0.7588,-0.26084,-0.28764,-0.26736,-0.05461,0.50241,2.75647,3.89591,0.26852,-0.51093,-0.51093,1.77629,1.91097,-0.25669,-0.07653,-0.03845,7.77175,6.37012
