"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",9.85819672131148,"Down",-1498000,-410000,-1088000,-1498000,105000,105000,-1393000,-1393000,-1393000,-1393000,-1393000,-1393000,49591000,49591000,323000,323000,49914000,2e+05,2e+05,50114000,640000,193000,447000,640000,72537469.3932697,72537469.3932697,72537469.3932697,640000,58544000,-9070000,49474000,49474000,50114000,-1393000,14000,58000,-806000,-2127000,-159000,-33319433.6670544,-159000,-693000,-693000,-693000,-2979000,-2979000,-2979000,-1484000,0,-0.02816,-0.0278,77.99062,0.01294,0,-0.09662,-0.09662,3.43149,-0.02816,33.41712,33.10481
"2","2018_Q2",11.2240625,"Up",-2277000,-757000,-1520000,-2277000,127000,127000,-2150000,-2150000,-2150000,-2150000,-2150000,-2150000,47228000,47228000,441000,441000,47669000,182000,182000,47851000,452000,89000,363000,452000,31001734.6966348,31001734.6966348,31001734.6966348,452000,58619000,-11220000,47399000,47399000,47851000,-2150000,18000,65000,-302000,-2369000,184553.954564604,-12564811.2223515,-4087793.5685184,6000,6000,6000,-2363000,-2363000,-2363000,-2259000,0,-0.04536,-0.04493,105.46239,0.00954,0,-0.14912,-0.14912,3.28757,-0.04536,20.9066,20.74133
"3","2018_Q3",16.7793650793651,"Up",-2449000,-924000,-1525000,-2449000,173000,173000,-2276000,-2276000,-2276000,-2276000,-2276000,-2276000,31199630.2962011,28812877.118423,441542.291108662,441542.291108662,31641172.5873097,646597.310123111,740471.436837143,32381644.0241469,1029697.5198535,112269.579269929,917427.940583572,1058841.23506305,8692578.23221161,8692578.23221161,8692578.23221161,1367288.02006241,44432234.578308,-13419060.3847198,31014356.0040845,31014356.0040845,32381644.0241469,-2276000,24000,147000,487000,-1618000,-162000,-3639000,-3801000,4000,4000,4000,-5415000,-5415000,-5415000,-2425000,0,-0.0577535302011479,-0.0559634019295143,61.980617495794,0.0331794188817169,0,-0.15786,-0.15786,2.14402821827695,-0.0575076186088209,14.5371840761469,14.4054086796608
"4","2018_Q4",20.9374603174603,"Up",-2971000,-1057000,-1914000,-2971000,216000,216000,-2755000,-2755000,-2755000,-2755000,-2755000,-2755000,52294000,46667000,527000,527000,52821000,1632000,1632000,54453000,1916000,378000,1538000,1916000,245000,245000,245000,2161000,68542000,-16251000,52292000,52292000,54453000,-2755000,38000,278000,499000,-1940000,-768000,-1987000,-2755000,9549000,9549000,9549000,4854000,4854000,4854000,-2933000,0,-0.05268,-0.05059,27.56837,0.04133,0,-0.19109,-0.19109,3.62694,-0.05244,17.82953,17.60148
"5","2019_Q1",23.5724590163934,"Up",-4219000,-1417000,-2802000,-4219000,511000,511000,-3708000,-3708000,-3708000,-3708000,-3708000,-3708000,111761000,103670000,889000,889000,112650000,3014000,3466000,116116000,2596000,888000,1708000,2596000,294000,294000,294000,2890000,133183000,-19959000,113226000,113226000,116116000,-3708000,61000,302000,-173000,-3518000,-1304000,-2463000,-3767000,64288000,64288000,64288000,57003000,57003000,57003000,-4158000,0,-0.03275,-0.03193,43.39368,0.02552,0,-0.25718,-0.25718,7.85329,-0.03266,26.87855,26.48993
"6","2019_Q2",32.6885714285714,"Up",-4694000,-1527000,-3167000,-4694000,583000,583000,-4111000,-4111000,-4111000,-4111000,-4111000,-4111000,106630000,98013000,1264000,1264000,107894000,4354000,7810000,115704000,2824000,1126000,1698000,3242000,2976000,2976000,2976000,6218000,133540000,-24070000,109486000,109486000,115704000,-4111000,132000,380000,384000,-3215000,-1970000,-512000,-2482000,40000.0000000149,40000.0000000149,40000.0000000149,-5657000,-5657000,-5657000,-4562000,0,-0.03755,-0.03553,33.28007,0.05679,0,-0.28514,-0.28514,7.59389,-0.03655,23.37352,22.71623
"7","2019_Q3",44.7034375,"Up",-5891000,-1675000,-4216000,-5891000,543000,543000,-5348000,-5348000,-5348000,-5348000,-5348000,-5348000,195466000,186587000,737000,737000,196203000,5961000,8953000,205156000,3502000,896000,2606000,3940000,2926000,2926000,2926000,6866000,227690000,-29418000,198290000,198290000,205156000,-5348000,320000,312000,507000,-4209000,-975000,-261000,-1236000,94019000,94019000,94019000,88574000,88574000,88574000,-5571000,0,-0.02697,-0.02607,49.79772,0.03463,0,-0.37093,-0.37093,13.75328,-0.02658,35.08634,33.18044
"8","2019_Q4",49.058125,"Up",-5342000,-1458000,-3884000,-5342000,1070000,1070000,-4272000,-4272000,-4272000,-4272000,-4272000,-4272000,203208000,194806000,1227000,1227000,204435000,6863000,9797000,214232000,3264000,1252000,2012000,3726000,2860000,2860000,2860000,6586000,241325000,-33690000,207646000,207646000,214232000,-4272000,301000,278000,-573000,-4266000,-1175000,493000,-682000,13167000,13167000,13167000,8219000,8219000,8219000,-5041000,0,-0.02057,-0.01994,54.86715,0.03172,0,-0.26866,-0.26866,13.05861,-0.02029,40.31105,38.03969
"9","2020_Q1",52.3035483870968,"Up",-6154000,-1805000,-4349000,-6154000,797000,797000,-5357000,-5357000,-5357000,-5357000,-5357000,-5357000,193685000,187514000,2195000,2195000,195880000,8475000,13143000,209023000,2847000,1021000,1826000,3327000,2782000,2782000,2782000,6109000,241951000,-39047000,202914000,202914000,209023000,-5357000,337000,336000,-2316000,-7e+06,-2279000,1688000,-591000,299000,299000,299000,-7292000,-7292000,-7292000,-5817000,0,-0.0264,-0.02563,58.87586,0.03011,0,-0.3369,-0.3369,12.76102,-0.02604,33.29637,31.47303
"10","2020_Q2",48.1096825396825,"Down",-5946000,-2421000,-3525000,-5946000,605000,605000,-5341000,-5341000,-5341000,-5341000,-5341000,-5341000,186704000,180225000,1625000,1625000,188329000,10264000,16802000,205131000,3552000,636000,2916000,4061000,2701000,2701000,2701000,6762000,242733000,-44388000,198369000,198369000,205131000,-5341000,412000,539000,-1837000,-6227000,-1508000,203000,-1305000,242999.999999993,242999.999999993,243000.000000007,-7289000.00000001,-7289000.00000001,-7289000.00000001,-5534000,0,-0.02692,-0.02604,46.37503,0.03409,0,-0.30767,-0.30767,11.42721,-0.02656,33.73762,31.39993
"11","2020_Q3",43.43,"Down",-6953000,-3314000,-3639000,-6953000,120000,120000,-6833000,-6833000,-6833000,-6833000,-6833000,-6833000,297174000,291678000,1365000,1365000,298539000,13215000,19606000,318145000,5292000,1613000,3679000,5831000,2618000,2618000,2618000,8449000,360877000,-51221000,309696000,309696000,318145000,-6833000,472000,810000,497000,-5054000,-1946000,984000,-962000,117469000,117469000,117469000,111453000,111453000,111453000,-6481000,0,-0.02206,-0.02148,51.19859,0.02728,0,-0.39362,-0.39362,17.84029,-0.02188,45.85311,42.7404
"12","2020_Q4",49.94078125,"Up",-9680000,-4580000,-5100000,-9680000,70000,69999.9999999999,-9610000,-9610000,-9610000,-9610000,-9610000,-9610000,286365000,282369000,1287000,1287000,287652000,17512000,23799000,311451000,6634000,2591000,4043000,7198000,2533000,2533000,2533000,9731000,362531000,-60831000,301720000,301720000,311451000,-9610000,477000,1386000,969000,-6778000,-4182000,1485000,-2697000,166000,166000,166000,-9309000,-9309000,-9309000,-9203000,0,-0.03185,-0.03086,39.96277,0.03225,0,-0.52009,-0.52009,16.32905,-0.03159,31.11648,29.58316
"13","2021_Q1",72.702131147541,"Up",-10420000,-4748000,-5672000,-10420000,37000,37000,-10383000,-10383000,-10383000,-10383000,-10383000,-10383000,271262000,268269000,3796000,3796000,275058000,30876000,35786000,310844000,7214000,2105000,5109000,15452000,3308000,3308000,3308000,18760000,363292000,-71214000,292084000,292084000,310844000,-10383000,490000,570000,1299000,-8024000,-7207000,990000,-6217000,141000,141000,141000,-14100000,-14100000,-14100000,-9930000,0,-0.03555,-0.0334,17.8008,0.06423,0,-0.52662,-0.52662,14.81445,-0.03515,27.31742,26.03282
"14","2021_Q2",69.797619047619,"Down",-14353000,-8152000,-6201000,-14353000,-1459000,33000,-15812000,-15812000,-15812000,-15812000,-15812000,-15812000,403420000,402172000,2406000,2406000,405826000,33883000,37192000,443018000,8496000,1844000,6652000,9144000,3222000,3222000,3222000,12366000,517675000,-87026000,430652000,430652000,443018000,-15812000,536000,3817000,1805000,-9654000,-2473000,1726000,-747000,152264000,152264000,144304000,133903000,133903000,133903000,-13817000,0,-0.03672,-0.03569,44.38167,0.02871,0,-0.84164,-0.84164,22.92268,-0.03644,29.19737,28.10702
"15","2021_Q3",59.19734375,"Down",-16393000,-9799000,-6594000,-16393000,31000,31000,-16362000,-16362000,-16362000,-16362000,-16362000,-16362000,367730000,329527000,2197000,2197000,369927000,44972000,73629000,443556000,17185000,1265000,15920000,18119000,6897000,6897000,6897000,25016000,521950000,-103389000,418540000,418540000,443556000,-16362000,666000,4066000,1501000,-10129000,-3989000,-58328000,-62317000,-199000,-199000,-199000,-72645000,-72645000,-72645000,-15727000,0,-0.03909,-0.03689,20.41652,0.05977,0,-0.74734,-0.74734,19.11695,-0.03846,23.38208,22.43214
"16","2021_Q4",58.2059375,"Down",-15652000,-9572000,-6080000,-15652000,63000,63000,-15589000,-15589000,-15589000,-15589000,-15589000,-15589000,343093000,286614000,2719000,2719000,345812000,78642000,105283000,451095000,34756000,4757000,29999000,35779000,7079000,7079000,7079000,42858000,527229000,-118978000,408237000,408237000,451095000,-15590000,783000,3559000,3993000,-7255000,-20991000,-16175000,-37166000,1508000,1508000,1508000,-42913000,-42913000,-42913000,-14869000,0,-0.03819,-0.03456,9.66522,0.10498,0,-0.71203,-0.71203,18.64636,-0.03754,23.07438,21.92007
