"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",65.1933333333333,"Up",4.273e+09,-1.105e+09,3.168e+09,-1.958e+09,-1.506e+09,-3.65e+08,-8.7e+07,1.21e+09,-5.6e+07,-5e+06,-9.7e+07,-5.1e+07,1.154e+09,-7.1e+07,1.083e+09,-2.12e+08,8.71e+08,8.71e+08,-637259.80955601,8.71e+08,8.71e+08,-191965197296.596,-63040081822.877,3270098703.19895,19838621539.4733,19838621539.4733,7355804518.15603,11199732419.4383,-300497774398.795,6007100014.57639,110104888886.788,65793024312.0402,41248871246.4274,-160169954.810812,3223163283.13104,116111988901.364,-1004083618859.32,-71676218506.933,-18345081765.8535,3327345134.2416,21189910042.6876,-102053795895.762,31679399882.6098,-100967382905.463,4871817456.55121,-85334076822.7141,-410546688202.188,-512600484097.95,-3804941397.0067,-496463464986.056,16713077206.7813,-491484555420.067,-491483134761.369,-1004083618859.32,8.71e+08,2.15e+08,1.33e+08,-9.09e+08,3.1e+08,-1.09e+08,2.53e+08,-1.46e+08,-4e+06,-6e+06,-3.04e+08,8.59e+08,-9.1e+08,-3.55e+08,-5.1e+07,-5.1e+07,-1.6e+07,-6.7e+07,1.425e+09,0,6.19e+08,0.7414,0.28317,0.20384,-268.664052107536,215999.364841576,0.71068,-24.743006483736,-19.7657465812535,-3.10423974679733,0.87749,0.86649,4.30486,-345.012825514594,0.62361,0.30627,-351.349975666954,-573.775776962671,0.34902,-109.12277880849,-199.832204643374
"2","2015_Q3",63.17078125,"Down",4.366e+09,-1.142e+09,3.224e+09,-1.97e+09,-1.507e+09,-3.74e+08,-8.9e+07,1.254e+09,-7.1e+07,-8000000.00000001,-9.4e+07,-6.3e+07,1.183e+09,-1.61e+08,1.022e+09,-1.94e+08,8.28e+08,8.28e+08,-339871.898429872,8.28e+08,8.28e+08,-63240701765.5318,-19970996607.6257,9154549351.59948,11677810769.7367,11677810769.7367,5175902259.07802,6056866209.71915,-99175894132.9315,5285550007.28819,87938944443.3939,51093012156.0201,33994935623.2137,434915022.594594,2416081641.56552,93224494450.6821,-333215508953.106,-23202072835.6443,-5855693921.95117,3952672567.1208,10898955021.3438,-32835931965.254,32723199941.3049,-33457127635.1543,2309908728.27561,-28252692274.238,-136627896067.396,-169463828032.65,-1268265132.33557,-165488204995.352,6414538603.39065,-163752154473.356,-163751680920.456,-333215508953.106,8.28e+08,2.08e+08,-9.7e+07,-2.6e+07,9.13e+08,-1.01e+08,-6.12e+08,-432000000.000001,-2e+06,-1.147e+09,-2.98e+08,8.95e+08,-3.69e+08,2.28e+08,-6e+06,-6e+06,-4.3e+07,-49000000.0000038,1.462e+09,0,1.529e+09,0.73843,0.28722,0.18965,-107.192424035845,86159.2023705254,1.84661999999989,-8.642188827912,-7.23187886041783,-1.03462658226578,0.84283,0.83333,4.44422,-114.986998504865,1.55639,0.30334,-140.161595222318,-228.820288987557,0.359900000000014,-35.4466662694967,-64.2209548811246
"3","2015_Q4",64.9253125,"Up",4.318e+09,-1.128e+09,3.19e+09,-1.949e+09,-1.487e+09,-3.73e+08,-8.9e+07,1.241e+09,-1.05e+08,-8.1e+07,-1.77e+08,-2.4e+07,1.136e+09,5.8e+07,1.194e+09,-2.17e+08,9.77e+08,9.77e+08,-127451.961911202,9.77e+08,9.77e+08,46000,46000,12815516450.5332,7084936923.24555,7084936923.24555,3965967419.69267,3538955403.23972,46000,4876516669.09606,75901981481.1313,43340337385.34,29905978541.0712,703971674.198198,1951693880.52184,80778498150.2274,46000,3.7e+07,3.7e+07,4148557522.3736,5048651673.78126,3.7e+07,33418733313.7683,0,787302909.425202,0,0,3.7e+07,73000,-37075000,927512867.796883,-36954000,-36954000,46000,9.77e+08,2.06e+08,5.9e+07,5.25e+08,1.767e+09,-1.06e+08,-6.17e+08,-3.3e+07,6.6e+07,-6.9e+08,-3e+08,1.5158e+10,6.7e+07,1.4925e+10,1.6002e+10,1.6002e+10,-5.8e+07,1.5944e+10,1.447e+09,0,2.083e+09,0.73877,0.2874,0.22626,-26.43827,21239.13043,2.13204,0.00124,-1.00124,0,0.99208,0.98023,4.38465,-0.03757,2.11515,0.30463,-34.55648,-56.36738,0.30706,-3e-05,-4e-05
"4","2016_Q1",65.282131147541,"Up",7.304e+09,-2.934e+09,4.37e+09,-3.4e+09,-2.404e+09,-5.28e+08,-4.68e+08,9.7e+08,-1.66e+08,-1.86e+08,-2.98e+08,2e+07,8.04e+08,-6.17e+08,1.87e+08,-1.88e+08,-999999.999999881,-999999.999999881,0,-1000000.00000012,-1000000.00000012,1.948e+10,4.843e+09,1.4637e+10,5.112e+09,5.112e+09,3.463e+09,2.789e+09,3.0844e+10,4.699e+09,7.1142e+10,4.053e+10,2.8101e+10,7.74e+08,1.737e+09,7.5841e+10,1.06685e+11,6.62e+09,1.61e+09,4.075e+09,2.434e+09,9.054e+09,3.3752e+10,1.0649e+10,1.19e+08,8.995e+09,4.4401e+10,5.3455e+10,0,5.4414e+10,-1.184e+09,5.323e+10,5.323e+10,1.06685e+11,-999999.999999881,6.77e+08,2.9e+07,1.207e+09,1.912e+09,-2.55e+08,-7.16e+08,-1.4273e+10,2.9e+07,-1.5215e+10,-4.35e+08,1.761e+09,-1.75e+08,1.151e+09,-1.2152e+10,-1.2152e+10,-2.36e+08,-1.2388e+10,1.647e+09,3.6186e+10,2.787e+09,0.5983,0.1328,-0.000140000000000001,-1.99999999956901e-05,-9.99999974737875e-06,-2787,3.40667,1.00423,0.33919,-0.000700000000000034,-0.00069000000000008,5.13571,37.42793,1.95964,0.30586,0.00433999999999202,0.0278500000000008,-435,10.14329,17.22268
"5","2016_Q2",70.40609375,"Up",7.274e+09,-2.456e+09,4.818e+09,-3.488e+09,-2.449e+09,-5.58e+08,-4.81e+08,1.33e+09,-2.52e+08,-1.91e+08,-3.06e+08,-6.1e+07,1.078e+09,-1.38e+08,9.4e+08,-1.2e+08,8.2e+08,8.2e+08,42483.987303734,8.2e+08,8.2e+08,1.7982e+10,2.979e+09,1.5003e+10,4.811e+09,4.811e+09,3.404e+09,2.95e+09,2.9147e+10,4.672e+09,7.0807e+10,4.0657e+10,2.7699e+10,7.72e+08,1.679e+09,7.5479e+10,1.04626e+11,5.69e+09,1.321e+09,3.892e+09,1.85e+09,7.54e+09,3.3709e+10,1.0568e+10,1.2e+08,8.899e+09,4.4277e+10,5.1817e+10,0,5.4165e+10,-1.356e+09,5.2809e+10,5.2809e+10,1.04626e+11,8.2e+08,7.01e+08,1.47e+08,-8.52e+08,8.16e+08,-2.24e+08,-5.85e+08,-1.79e+08,2e+06,-9.86e+08,-5.38e+08,-5.75e+08,-6.31e+08,-1.744e+09,-1.914e+09,-1.914e+09,5e+07,-1.864e+09,2.031e+09,3.5559e+10,1.075e+09,0.66236,0.18284,0.11273,0.01553,0.00784,1.31098,3.86565,0.98122,0.33987,0.57824,0.57087,5.1294,37.23926,0.75806,0.37938,0.01373,0.01087,0.6561,8.65436,13.21579
"6","2016_Q3",76.25109375,"Up",7.058e+09,-2.182e+09,4.876e+09,-3.371e+09,-2.343e+09,-5.45e+08,-4.83e+08,1.505e+09,-2.74e+08,-2.17e+08,-3.24e+08,-5.7e+07,1.231e+09,-1.48e+08,1.083e+09,-5.63e+08,5.2e+08,5.2e+08,0,5.2e+08,5.2e+08,1.7229e+10,2.378e+09,1.4851e+10,5.044e+09,5.044e+09,3.516e+09,2.934e+09,2.8723e+10,4.678e+09,7.1544e+10,4.1274e+10,2.7731e+10,8.25e+08,1.714e+09,7.6222e+10,1.04945e+11,5.826e+09,1.447e+09,3.846e+09,2.158e+09,7.984e+09,3.369e+10,1.1002e+10,1.42e+08,9.283e+09,4.4692e+10,5.2676e+10,0,5.374e+10,-1.471e+09,5.2269e+10,5.2269e+10,1.04945e+11,5.2e+08,6.96e+08,-3e+07,93000000.0000002,1.279e+09,-2.22e+08,-3.3e+07,-8.18e+08,-1.5e+07,-1.088e+09,-5.37e+08,2.92e+08,-5.36e+08,-7.81e+08,-5.9e+08,-5.9e+08,-1.1e+07,-601000000.000002,2.201e+09,3.5848e+10,2.635e+09,0.69085,0.21323,0.07368,0.00994999999999986,0.00495000000024796,5.06731000000016,3.59757,1.00779,0.34159,0.36799,0.36389,4.99469,36.98889,1.86469,0.38002,0.0106599999999994,0.0265800000000003,1.03269000000002,8.45934,12.37143
"7","2016_Q4",69.1187301587302,"Down",6.934e+09,-2.141e+09,4.793e+09,-3.347e+09,-2.317e+09,-5.46e+08,-4.84e+08,1.446e+09,-1.85e+08,-1.76e+08,-2.75e+08,-9e+06,1.261e+09,-8.2e+07,1.179e+09,-8.4e+07,1.095e+09,1.095e+09,0,1.095e+09,1.095e+09,1.7286e+10,2.721e+09,1.4565e+10,4.863e+09,4.863e+09,3.536e+09,1.884e+09,2.7569e+10,4.636e+09,7.0501e+10,4.0376e+10,2.7316e+10,1.06e+09,1.749e+09,7.5137e+10,1.02706e+11,5.988e+09,1.437e+09,4.097e+09,2.153e+09,8.141e+09,3.3681e+10,1.0068e+10,-2.38418579101562e-07,8.483e+09,4.3749e+10,5.189e+10,0,5.3781e+10,-2.965e+09,5.0816e+10,5.0816e+10,1.02706e+11,1.095e+09,7.15e+08,4.7e+07,-6e+07,1.797e+09,-2.47e+08,1.26e+08,-1.35e+08,2e+06,-2.54e+08,-5.33e+08,-1.5e+07,-6.04e+08,-1.152e+09,3.91e+08,3.91e+08,-4.8e+07,3.43e+08,2.161e+09,3.5834e+10,1.938e+09,0.69123,0.20854,0.15792,0.02155,0.01066,1.76986,3.38644,1.02114,0.3489,0.77864,0.76993,4.93067,36.13454,1.37808,0.37901,0.01683,0.02004,0.48676,8.58306,12.82711
"8","2017_Q1",69.1433870967742,"Up",7.567e+09,-2.363e+09,5.204e+09,-3.418e+09,-2.36e+09,-5.75e+08,-4.83e+08,1.786e+09,-3.51e+08,-3.71e+08,-4.81e+08,2e+07,1.435e+09,-3.01e+08,1.134e+09,-30999999.9999999,1.103e+09,1.103e+09,2.91038304567337e-11,1.103e+09,1.103e+09,1.2634e+10,2.876e+09,9.758e+09,5.562e+09,5.562e+09,3.473e+09,1.931e+09,2.36e+10,4.841e+09,7.1203e+10,4.15e+10,2.6899e+10,1.383e+09,1.421e+09,7.6044e+10,9.9644e+10,6.172e+09,1.709e+09,3.897e+09,9.93e+08,7.165e+09,3.0109e+10,1.0307e+10,3.729e+09,4.819e+09,4.0416e+10,4.7581e+10,3.2227e+10,2.1704e+10,-1.868e+09,5.2063e+10,5.2063e+10,9.9644e+10,1.103e+09,7.08e+08,9.9e+07,-5.84e+08,1.326e+09,-3.53e+08,5.01e+09,-8.1e+07,-3e+06,4.573e+09,-5.31e+08,-4.827e+09,-5.08e+08,-5.866e+09,32999999.9999998,32999999.9999998,1.22e+08,1.55e+08,2.494e+09,3.1102e+10,1.588e+09,0.68772,0.23602,0.14576,0.02119,0.011069999999988,1.43971000000003,3.29379,0.91391,0.31213,0.78735,0.77895,5.40153,37.16397,1.13356,0.37904,0.01748,0.0169899999999999,0.48141,7.40497,10.34043
"9","2017_Q2",74.9826984126984,"Up",7.166e+09,-2.261e+09,4.905e+09,-3.471e+09,-2.428e+09,-5.56e+08,-4.87e+08,1.434e+09,-2.18e+08,-1.79e+08,-2.72e+08,-3.9e+07,1.216e+09,-2.28e+08,9.88e+08,-5.9e+07,9.29e+08,9.29e+08,0,9.29e+08,9.29e+08,1.281e+10,3.06e+09,9.75e+09,5.357e+09,5.357e+09,3.58e+09,1.751e+09,2.3498e+10,4.814e+09,7.0289e+10,4.1309e+10,2.6437e+10,1.232e+09,1.311e+09,7.5103e+10,9.8601e+10,5.949e+09,1.615e+09,4.334e+09,1.947e+09,7.896e+09,3.0124e+10,9.689e+09,3.79e+09,4.129e+09,3.9813e+10,4.7709e+10,0,5.2848e+10,-2.024e+09,5.0824e+10,5.0892e+10,9.8601e+10,9.29e+08,7.37e+08,3.7e+07,-1.53e+08,1.55e+09,-3.3e+08,6e+07,-1.2e+07,-2e+06,-2.84e+08,-5.99e+08,9.42e+08,-1.503e+09,-1.16e+09,1.06e+08,1.06e+08,7.8e+07,1.84e+08,2.171e+09,3.2071e+10,1.747e+09,0.68448,0.20011,0.12964,0.01825,0.00942,1.88052,2.97594,0.93746,0.32526,0.66729,0.66022,5.14725,36.50625,1.25485,0.43025,0.01649,0.01886,0.64478,8.87195,13.43166
"10","2017_Q3",74.2165079365079,"Down",7.345e+09,-2.326e+09,5.019e+09,-3.47e+09,-2.416e+09,-5.54e+08,-5e+08,1.549e+09,-2.62e+08,-1.73e+08,-2.64e+08,-8.9e+07,1.287e+09,-7.5e+07,1.212e+09,-1.01e+08,1.111e+09,1.111e+09,4e+06,1.115e+09,1.115e+09,1.1257e+10,2.954e+09,8.303e+09,5.661e+09,5.661e+09,3.717e+09,1.891e+09,2.2526e+10,4.891e+09,7.0989e+10,4.1707e+10,2.6739e+10,1.25e+09,1.293e+09,7.588e+10,9.8406e+10,6.234e+09,1.659e+09,4.575e+09,3.367e+09,9.601e+09,2.901e+10,9.502e+09,3.754e+09,3.98e+09,3.8512e+10,4.8113e+10,-3.814697265625e-06,5.2514e+10,-2.328e+09,5.0186e+10,5.0293e+10,9.8406e+10,1.111e+09,7.32e+08,-1.7e+07,-3.54e+08,1.472e+09,-2.68e+08,1.455e+09,-1.294e+09,3.4e+07,-73000000.000001,-5.93e+08,9.5e+07,-9.93e+08,-1.491e+09,-9.2e+07,-9.2e+07,-1.4e+07,-1.06e+08,2.281e+09,3.2377e+10,1.76e+09,0.68332,0.21089,0.1518,0.02217,0.0113300000000005,1.57848,2.34621,0.95665,0.32901,0.8075,0.80026,5.31938,36.3456,1.27462,0.42946,0.01853,0.01909,0.53184,9.2591,13.6346
