"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.5212698412698,"Up",123820000,-69793000,54027000,-36546000,-31804000,-4742000,17481000,12000,17493000,-533000,16960000,-7130000,9830000,9199000,9199000,9199000,202843000,202843000,93030000,93030000,180684000,34598000,13054000,511155000,200975000,123219000,26889000,79608000,16722000,324798000,835953000,64894000,25606000,39288000,64894000,8924000,8924000,8924000,73818000,147204000,602754000,12177000,762135000,762135000,835953000,9199000,6276000,-3867000,-31114000,-19506000,-20247000,46000,46000,-20293000,-20293000,-21995000,-4939000,92000,45654.390333996,-4847000,-46348000,-46348000,-1190000,-47538000,23757000,0,-20474000,0.43634,0.14118,0.07429,0.01207,0.011,-2.22568,7.87677,0.09686,0,0.18626,0.18576,2.50709,15.43158,-0.41455,0.1,4,0.01834,-0.02655,0.53691,-8.53824,-11.60363
"2","2010_Q3",20.20875,"Down",165614000,-88827000,76787000,-42834000,-37135000,-5699000,33953000,25000,33978000,-146000,33832000,-12773000,21059000,6704000,6704000,6704000,219763000,219763000,104284000,104284000,150786000,69938000,10224000,544771000,184949000,112324000,23156000,72163000,17005000,297746000,842517000,77048000,27906000,48382000,79787000,9263000,9263000,9263000,89050000,148239000,604479000,749000,753467000,753467000,842517000,6704000,6225000,18758000,-6622000,25065000,-1321000,14000,14000,-1335000,-1335000,-1321000,-4940000,863000,10000,-4067000,19677000,19677000,-2757000,16920000,40178000,0,45008000,0.46365,0.20501,0.04048,0.0089,0.00796,6.7136,6.82782,0.11819,0,0.13566,0.13517,3.35129,15.24681,0.91076,0.09996,5,0.01527,0.05901,0.73687,-5.46973,-6.47257
"3","2010_Q4",22.8828125,"Up",146447000,-80750000,65697000,-41662000,-35947000,-5715000,24035000,111000,24146000,5063000,29209000,-10801000,18408000,17182000,17182000,17182000,291846000,291846000,93635000,93635000,150713000,34647000,16012000,570841000,176464000,114210000,23068000,75585000,15557000,290993000,861834000,74002000,23663000,50339000,74002000,8705000,8705000,8705000,82707000,148685000,616719000,13723000,779127000,779127000,861834000,17182000,5245000,7503000,4366000,34296000,11274000,14777000,14777000,-3503000,-3503000,38980000,-4942000,23000,0,-4919000,68357000,68357000,3726000,72083000,29280000,0,55721000,0.44861,0.16412,0.11733,0.02205,0.01994,3.24299,7.71386,0.10615,0,0.34762,0.34693,2.96289,15.76319,1.12734,0.09999,6,0.02808,0.07073,0.28763,-9.96742,-12.14254
"4","2011_Q1",24.6516129032258,"Up",119606000,-71979000,47627000,-43149000,-38195000,-4954000,4478000,-2.91038304567337e-11,4478000,-6442000,-1964000,-2535000,-4499000,-4499000,-4499000,-4499000,335049000,335049000,68256000,68256000,152297000,35654000,14678000,591256000,177072000,106168000,23466000,70069000,10054000,283453000,874709000,79616000,35164000,44452000,79616000,7300000,7300000,7300000,86916000,165925000,607241000,14627000,787793000,787793000,874709000,-4499000,5115000,10586000,26140000,37342000,-18047000,-14837000,-14837000,-3210000,-3210000,-7780000,-4943000,16970000,0,12027000,41589000,41589000,1614000,43203000,9593000,-9.09494701772928e-13,20221000,0.3982,0.03744,-0.03762,-0.00571,-0.00514,-4.49455,7.42635,0.11033,8.470329472543e-22,-0.09042,-0.09033,2.40371,15.83217,0.40638,0.09934,5,0.000559999999999998,0.02543,-1.09869,-34.9264,-74.82113
"5","2011_Q2",23.6715873015873,"Down",132536000,-75588000,56948000,-44690000,-38696000,-5994000,12258000,72000,12330000,11000,12341000,-5263000,7078000,7078000,7078000,7078000,301231000,301231000,91076000,91076000,166966000,31435000,11927000,590708000,184606000,107656000,22896000,71338000,13422000,292462000,883170000,78272000,29822000,48450000,78272000,7833000,7833000,7833000,86105000,167525000,608056000,21484000,797065000,797065000,883170000,7078000,4972000,1805000,-36263000,-22408000,-8309000,1786000,1786000,-10095000,-10095000,-8309000,-5010000,154000,-4000,-4860000,-35577000,-35577000,1759000,-33818000,17230000,0,-22079000,0.42968,0.09249,0.0534,0.00888,0.00801,-3.11938,7.54686,0.10803,0,0.14126,0.14109,2.64506,15.90726,-0.44064,0.09999,2,0.01502,-0.02743,0.70783,-17.48294,-24.57424
"6","2011_Q3",22.87296875,"Down",177812000,-94312000,83500000,-52220000,-45275000,-6945000,31280000,107000,31387000,-141000,31246000,-11753000,19493000,19493000,19493000,19493000,262013000,262013000,117975000,117975000,166934000,26489000,8813000,573411000,183698000,106627000,22051000,72111000,12465000,291164000,864575000,92877000,32060000,57763000,92877000,7246000,7246000,7246000,100123000,168344000,571229000,24879000,764452000,764452000,864575000,19493000,5083000,-1716000,-3797000.00000001,19063000,-2630000,1370000,1370000,-4e+06,-4e+06,-2604000,-6264000,-50075000,0,-56339000,-39880000,-39880000,662000,-39218000,36363000,-7.27595761418343e-12,41689000,0.4696,0.17592,0.10963,0.0255,0.02255,2.13867,6.17388,0.13097,0,0.3946,0.39417,3.59951,15.47505,0.84392,0.1268,6,0.03338,0.05402,0.32135,-7.20548,-8.37636999999999
"7","2011_Q4",26.3896825396825,"Up",162365000,-86919000,75446000,-50610000,-43806000,-6804000,24836000,79000,24915000,4518000,29433000,-10053000,19380000,19380000,19380000,19380000,265162000,265162000,98032000,98032000,172142000,28507000,9598000,563843000,191016000,100610000,20252000,69688000,10670000,291626000,855469000,86186000,27739000,57196000,86186000,7001000,7001000,7001000,93187000,169598000,581672000,11012000,762282000,762282000,855469000,19380000,4933000,-2442000,5554000,27425000,-9371000,49000,49000,-9420000,-9420000,-8845000,-6035000,-3133000,0,-9168000,9412000,9412000,-6263000,3149000,29769000,0,36005000,0.46467,0.15296,0.11936,0.02542,0.02265,1.85784,6.54216,0.12225,0,0.40178,0.40149,3.36612,15.8035,0.74645,0.12512,7,0.03304,0.0468,0.3114,-8.90732,-10.67652
"8","2012_Q1",27.6746774193548,"Up",130733000,-75823000,54910000,-47754000,-41611000,-6143000,7156000,82000,7238000,-1472000,5766000,-817000,4949000,4949000,4949000,4949000,213817000,213817000,76420000,76420000,180129000,31698000,13131000,502064000,195716000,138307000,27856000,99849000,7751000,334023000,836087000,71587000,22034000,49553000,71587000,6137000,6137000,6137000,77724000,170964000,580616000,6783000,758363000,758363000,836087000,4949000,5763000,3e+06,-2705000,11007000,-5753000,-3205000,-3205000,-2548000,-2548000,-54525000,-6020000,60000,4000,-5956000.00000001,-49474000,-49474000,-1871000,-51345000,12919000,-1.16415321826935e-10,5278000,0.42002,0.05474,0.03786,0.00653,0.00592,1.06648,7.01334,0.10249,0,0.10277,0.10267,2.71484,15.74838,0.1096,0.12501,7,0.01435,0.0069,1.21641,-16.55058,-29.8794
"9","2012_Q2",25.0777777777778,"Down",158734000,-89329000,69405000,-55874000,-46676000,-9198000,13531000,65000,13596000,-23000,13573000,-6372000,7201000,7201000,7201000,7201000,160092000,160092000,107257000,107257000,184068000,26234000,14095000,477651000,209460000,179900000,43484000,130556000,5860000,389360000,867011000,85814000,35109000,49512000,89370000,6300000,6300000,6540000,95910000,175313000,581779000,14009000,771101000,771101000,867011000,7201000,6721000,475000,-13757000,640000,3598000,6847000,6847000,-3249000,-3249000,-52442000,-6020000,1758000,99000,-4204000,-56006000,-56006000,2281000,-53725000,20252000,3796000,16465000,0.43724,0.08524,0.04537,0.00934,0.00831,2.28649,5.34465,0.12438,0.00438,0.14917,0.14897,3.28826,15.97375,0.34108,0.12471,6,0.01692,0.02108,0.836,-7.71756,-11.55096
"10","2012_Q3",23.4796825396825,"Down",181703000,-98557000,83146000,-56011000,-46969000,-9042000,27135000,58000,27193000,13000,27206000,-11347000,15859000,15859000,15859000,15859000,162719000,162719000,120119000,120119000,185217000,26640000,14516000,494695000,208685000,175525000,41529000,127983000,6013000,384210000,878905000,95188000,34740000,59052000,100025000,5936000,5936000,5936000,105961000,177291000,591595000,4058000,772944000,772944000,878905000,15859000,7092000,2656000,-9367000,16240000,-6269000,111000,111000,-6380000,-6380000,-6273000,-6039000,225000,0,-4606000,5361000.00000001,5361000.00000001,-2734000,2626999.99999999,34227000,4837000,29938000,0.45759,0.14934,0.08728,0.02052,0.01804,1.88776,4.94571,0.13709,0.0055,0.32807,0.32754,3.75878,15.98941,0.61931,0.12493,5,0.02794,0.0382,0.38079,-4.61279,-5.81839
