"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share"
"1","2014_Q3",15.31390625,"Up",33306000,-6365000,26941000,-23847000,-21838000,-937000,-1072000,3094000,-87000,587000,3007000,-1037000,444000,-593000,-593000,-593000,-593000,13968000,13968000,906000,906000,519000,321099000,1615000,315999000,336492000,45358000,58345000,51889000,554000,103703000,440195000,9356000,2620000,6736000,893000,319149000,1941000,317208000,329398000,26528000,16431000,13350000,0,42959000,372357000,67371000,467000,67838000,67838000,440195000,-593000,1680000,4047000,-972000,4162000,-4118000,93590000,89472000,-62954000,-29837000,-92791000,843000,843000,843000,4774000,27421000,-760000,0.80889,0.0929,-0.0178,1.28162,1.02154,5.48891,0.06229,-0.01179,-0.01179,0.66235,1.34909,-0.01511
"2","2014_Q4",22.11984375,"Up",36598000,-6436000,30162000,-25484000,-23266000,-1059000,-1159000,4678000,-299000,39000,4379000,4379000,-1689000,2690000,2690000,2690000,2690000,18473000,18473000,1468000,1468000,384000,398006000,1581000,394003000,418331000,46642000,57983000,51889000,595000,104625000,522956000,8660000,1976000,6684000,845000,398387000,2186000,396201000,407892000,26341000,18107000,15048000,0,44448000,452340000,67459000,3157000,70616000,70616000,522956000,2690000,1797000,1107000,1814000,7408000,-2670000,-78004000,-80674000,-235000.000000007,78005999.9999999,77771000,4505000,4505000,4505000,6475000,27186000,7308000,0.82414,0.12782,0.0735,2.71673,1.02559,6.40563,0.05199,0.05269,0.05078,0.71681,1.3831,0.14314
"3","2015_Q1",29.6813114754098,"Up",44040000,-7595000,36445000,-31658000,-28995000,-1447000,-1216000,4787000,-316000,26000,4471000,4471000,-1965000,2506000,2506000,2506000,2506000,25144000,25144000,2794000,2794000,195000,663815000,1952000,660928000,691948000,47919000,57630000,51889000,645000,105549000,797497000,9745000,3042000,6703000,855000,668172000,2535000,665637000,678772000,26123000,18464000,16802000,0,44587000,723359000,68475000,5663000,74138000,74138000,797497000,2506000,1964000,1261000,3305000,9036000,-2322000,-266927000,-269249000,-209000,267093000,266884000,6671000,6671000,6671000,6751000,26978000,9699000,0.82754,0.1087,0.0569,3.87031,1.01941,9.75693,0.03383,0.04812,0.04491,0.84572,1.4237,0.18625
"4","2015_Q2",34.5957142857143,"Up",55222000,-8281000,46941000,-36403000,-33213000,-1867000,-1323000,10538000,-299000,33000,10239000,10239000,-4244000,5995000,5995000,5995000,5995000,35673000,35673000,1684000,1684000,718000,595476000,3044000,591563000,633551000,48692000,57346000,51889000,764000,106038000,739589000,16349000,2527000,13822000,862000,595793000,2662000,593131000,613004000,25652000,20544000,18114000,0,46196000,659200000,68731000,11658000,80389000,80389000,739589000,5995000,2133000,166000,4842000,13136000,-2502000,69365000,66863000,-464000,-69006000,-69470000,10529000,10529000,10529000,12671000,26514000,19255000,0.85004,0.19083,0.10856,3.21184,1.03352,8.20013,0.03585,0.1095,0.10599,1.00862,1.46829,0.35169
"5","2015_Q3",36.29296875,"Up",48973000,-8021000,40952000,-30144000,-26837000,-1907000,-1400000,10808000,-373000,19000,10435000,10435000,-4489000,5946000,5946000,5946000,5946000,42667000,42667000,2562000,2562000,326000,546392000,3212000,542807000,591947000,50115000,57120000,51889000,941000,107235000,699182000,16330000,2968000,13362000,861000,548304000,2958000,545346000,565495000,25435000,21882000,20077000,0,47317000,612812000,68766000,17604000,86370000,86370000,699182000,5946000,2287000,-7000,1417000,9643000,-2420000,48756000,46336000,-218000,-48767000,-48985000,6994000,6994000,6994000,13095000,26296000,16581000,0.83622,0.22069,0.12141,2.7886,1.04678,7.0952,0.03761,0.10425,0.10187,0.8586,1.51425,0.2907
"6","2015_Q4",40.06390625,"Up",55340000,-8909000,46431000,-39576000,-35770000,-2349000,-1457000,6855000,-245000,98000,6610000,6610000,-2763000,3847000,3847000,3847000,3847000,48547000,48547000,3397000,3397000,639000,618637000,2426000,615895000,671220000,53674000,56688000,51889000,913000,110362000,781582000,16968000,3853000,13115000,875000,623733000,3329000,620404000,641576000,25206000,23121000,22657000,1.38777878078145e-17,48327000,689903000,70228000,21451000,91679000,91679000,781582000,3847000,2402000,257000,4844000,11350000,-5228000,-73088000,-78316000,-215000,73061000,72846000,5880000,5880000,5880000,9257000,26081000,11636000,0.83901,0.12387,0.06952,3.02469,1.0462,7.5252,0.03337,0.06743,0.06591,0.97001,1.60697,0.20396
"7","2016_Q1",31.21,"Down",65118000,-10262000,54856000,-48622000,-44560000,-2504000,-1558000,6234000,7000,367000,6241000,6241000,-1084000,5157000,5157000,5157000,5157000,50714000,50714000,2354000,2354000,1093000,706977000,3531000,696703000,761138000,58858000,56659000,51889000,1286000,115517000,876655000,17532000,4899000,12633000,886000,709116000,3726000,705390000,727534000,24856000,25951000,25310000,0,50807000,778341000,71706000,26608000,98314000,98314000,876655000,5157000,2599000,1954000,-867000,8843000,-6399000,-80808000,-87207000,-221000,80752000,80531000,2167000,2167000,2167000,8833000,25742000,2651000,0.84241,0.09573,0.07919,0.51406,1.04619,7.91689,0.02936,0.09025,0.08834,1.13958,1.72052,0.04639
"8","2016_Q2",39.08390625,"Up",90126000,-11971000,78155000,-49451000,-43868000,-3860000,-1723000,28704000,-277000,34000,28427000,28427000,-9839000,18588000,18588000,18588000,18588000,72075000,72075000,2580000,2580000,736000,1130412000,4793000,1125619000,1205803000,66990000,58839000,51889000,866000,125829000,1331632000,29496000,5694000,23802000,9e+05,1131397000,3994000,1127403000,1161793000,24650000,26825000,26825000,4.44089209850063e-16,51475000,1213268000,73168000,45196000,118364000,118364000,1331632000,18588000,2909000,-2389000,10840000,29948000,-8363000,-428916000,-437279000,-224000,428916000,428692000,21361000,21361000,21361000,31613000,25550000,43929000,0.86717,0.31849,0.20624,2.3633,1.03788,10.25031,0.01919,0.32535,0.31849,1.57748,2.07173,0.76889
"9","2016_Q3",48.82953125,"Up",73880000,-11865000,62015000,-46011000,-39986000,-4202000,-1823000,16004000,-54000,116000,15950000,15950000,-5529000,10421000,10421000,10421000,10421000,80893000,80893000,2775000,2775000,441000,1038450000,4136000,1034314000,1122559000,76627000,59797000,51889000,936000,136424000,1258983000,29831000,5530000,24301000,911000,1041755000,4389000,1037366000,1072497000,28349000,29322000,29322000,0,57671000,1130168000,76688000,55617000,128815000,128815000,1258983000,10421000,3209000,2336000,8640000,24606000,-15977000,91305000,75328000,3679000,-91305000,-91116000,8818000,8818000,8818000,19213000,29260000,17405000,0.8394,0.21662,0.14105,1.67019,1.04668,8.77357,0.02324,0.18095,0.17754,1.28283,2.2367,0.30221
"10","2016_Q4",46.4490476190476,"Down",77325000,-14748000,62577000,-61995000,-53731000,-6232000,-2032000,582000,-465000,-213000,117000,117000,6081000,6198000,6198000,6198000,6198000,74496000,74496000,1479000,1479000,355000,601348000,3991000,593041000,677678000,87285000,56032000,51889000,1010000,143317000,820995000,24561000,4850000,19711000,1090000,603243000,4821000,598422000,628894000,2.9e+07,32064000,32064000,3.5527136788005e-15,61064000,689958000,91997000,61815000,131037000,131037000,820995000,6198000,3553000,17621000,-7491000,19881000,-7790000,441273000,433483000,843000,-455715000,-459761000,-6397000,-6397000,-6397000,4135000,30090000,-17227000,0.80927,0.00752999999999995,0.08016,-2.77944,1.07757,5.26537,0.03665,0.1072,0.10522,1.33735,2.2663,-0.29794
