"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.69890625,"Up",2943000,-11658000,-2889000,-8769000,-8715000,20000,20000,-8695000,-8695000,-8695000,-8695000,-8695000,-8695000,-11871657.5945627,71664527.4155142,-83536185.0100769,-1588910.54947773,-1588910.54947773,469134.659729433,-93341.3370629271,562475.99679236,-12991433.484311,1857420.23621182,-31914.2918374245,-31877.959416846,2140423.90126165,-10851009.5830493,6617497.29730999,6617497.29730999,270144.808658797,270144.808658797,6887642.10596879,1121767.44750093,1121775.31837155,1121767.44752439,8009409.55349317,193356177.701363,-212081846.126356,-134750.711578812,-18860419.1365425,-18860419.1365425,-10851009.5830493,-8695000,170000,2097000,510000,-5918000,-99000,2291000,2192000,-8000,-8000,-8000,-3734000,-3734000,-3734000,-8545000,0,-2.96126,-2.95447,-0.270380598139845,-0.233912734736583,-7.29862052147543,0.216762058305321,1.26310025130637e-13,-0.19251,-0.19251,0.06516,-0.666080571807375,-0.269027564386156,-3.39216038794831,-3.25425062483067
"2","2011_Q1",7.62387096774194,"Up",4689000,-13027000,-3154000,-9873000,-8338000,17000,17000,-8321000,-8321000,-8321000,-8321000,-8321000,-8321000,60285000,10784000,49501000,366000,366000,663000,326000,337000,61314000,1673000,12000,12000,1685000,62999000,7011000,7011000,81000,81000,7092000,0,0,0,7092000,273408000,-217495000,-6000,55907000,55907000,62999000,-8321000,175000,2414000,3161000,-2571000,-61000,3849000,3788000,512000,512000,512000,1729000,1729000,1729000,-8163000,0,-1.7782,-1.77458,-0.14884,-0.13208,8.64552,0.12685,0,-0.18423,-0.18423,0.10381,1.23778,-0.14884,7.38515,7.23015
"3","2011_Q2",6.77539682539683,"Down",2200000,-11801000,-3539000,-8262000,-9601000,23000,23000,-9578000,-9578000,-9578000,-9578000,-9578000,-9578000,89283802.5315209,-3355842.47183808,92639645.003359,1234886.84982591,1234886.84982591,943288.446756856,571947.112354309,371341.334402547,91461977.8281037,1577526.58792939,33888.0972791415,33875.986472282,1506442.03291278,92968419.8610164,5532834.23423,5532834.23423,147785.063780401,147785.063780401,5680619.2980104,-373922.48250031,-373925.106123848,-373922.48250813,5306696.81550227,314280190.766212,-226649717.957881,31250.2371929373,87661723.0455142,87661723.0455142,92968419.8610164,-9578000,162000,2283000,-4825000,-11958000,-110000,7316000,7206000,847000,847000,847000,-3905000,-3905000,-3905000,-9439000,0,-4.36409,-4.35364,-0.108286467286718,-0.101158255087806,18.8644868404918,0.0682251472315596,-4.21033417102124e-14,-0.21206,-0.21206,0.04871,1.93496019060246,-0.108737478537948,10.2119892959828,10.0102002082769
"4","2011_Q3",5.336875,"Down",1514000,-11795000,-3676000,-8119000,-10281000,22000,22000,-10259000,-10259000,-10259000,-10259000,-10259000,-10259000,91487000,8421000.00000001,83066000,1381000,1381000,1162000,653000,509000,94030000,1550000,41000,41000,1591000,95621000,3651000,3651000,358000,358000,4009000,0,0,0,4009000,328927000,-237332000,17000,91612000,91612000,95621000,-10259000,157000,2432000,199000,-7471000,-86000,-41644000,-41730000,50743000,50743000,50743000,1542000,1542000,1542000,-10124000,8.470329472543e-22,-6.79062,-6.77609,-0.11198,-0.10729,23.45473,0.04376,0,-0.21146,-0.21146,0.03121,1.88836,-0.11198,9.03665,8.89865
"5","2011_Q4",2.9652380952381,"Down",1857000,-11431000,-3592000,-7839000,-9574000,20000,20000,-9554000,-9554000,-9554000,-9554000,-9554000,-9554000,84448000,21667000,62781000,1153000,1153000,1103000,561000,542000,86704000,1565000,41000,41000,1606000,88310000,3823000,3823000,321000,321000,4144000,0,0,0,4144000,331054000,-246886000,-2000,84166000,84166000,88310000,-9554000,160000,2504000,422000,-6468000,-175000,19815000,19640000,74000,74000,74000,13246000,13246000,13246000,-9414000,0,-5.15563,-5.14486,-0.11351,-0.10819,20.92278,0.04924,0,-0.1819,-0.1819,0.03536,1.60249,-0.11351,8.97047,8.82056
"6","2012_Q1",4.31064516129032,"Up",4748000,-11113000,-3235000,-7878000,-6365000,6000,6000,-6359000,-6359000,-6359000,-6359000,-6359000,-6359000,84132000,16766000,67366000,919000,919000,641000,310000,331000,85692000,1603000,41000,41000,1644000,87336000,7187000,7187000,17000,17000,7204000,-2.3283064365387e-10,-2.3283064365387e-10,-4.65661287307739e-10,7204000,333365000,-253245000,12000,80132000,80132000,87336000,-6359000,167000,2438000,3756000,2000,-205000,-4910000,-5114999.99999999,-49892000,-49892000,212000,-4901000,-4901000,-4901000,-6198000,-6.7762635780344e-21,-1.34056,-1.3393,-0.07936,-0.07281,11.89506,0.0899,2.52435489670724e-29,-0.12113,-0.12113,0.09044,1.52638,-0.07936,13.57406,13.21791
"7","2012_Q2",4.62190476190476,"Up",3242000,-10525000,-3242000,-7283000,-7283000,15000,15000,-7268000,-7268000,-7268000,-7268000,-7268000,-7268000,79696000,24490000,55206000,1508000,1508000,620000,250000,370000,81824000,1653000,41000,41000,8600000,90424000,3441000,3441000,2171000,2171000,5612000,10472000,10472000,10472000,16084000,334856000,-260513000,-3000,74340000,74340000,90424000,-7268000,168000,1655000,8312000,2867000,-218000,4967000,4749000,108000,108000,108000,7724000,7724000,7724000,-7115000,0,-2.24645,-2.24183,-0.09777,-0.08038,14.58019,0.21636,0,-0.13826,-0.13826,0.06167,1.4142,-0.0857,11.20112,10.94274
"8","2012_Q3",5.51777777777778,"Up",4574000,-10318000,-2744000,-7574000,-5744000,16000,16000,-5728000,-5728000,-5728000,-5728000,-5728000,-5728000,59643000,18476000,41167000,3241000,3241000,778000,579000,199000,63662000,1532000,41000,41000,22650000,86312000,3944000,3944000,2208000,2208000,6152000,9931000,9931000,9931000,16083000,336477000,-266241000,-7000,70229000,70229000,86312000,-5728000,166000,1442000,-1893000,-6013000,-45000,-351999.999999998,-397000,396000.000000007,396000.000000007,396000,-6014000,-6014000,-6014000,-5578000,-1.0842021724855e-19,-1.25579,-1.2523,-0.08156,-0.06636,10.34818,0.22901,-4.03896783473158e-28,-0.10878,-0.10878,0.08686,1.33371,-0.07146,10.69254,10.38353
"9","2012_Q4",5.70967741935484,"Up",4907000,-10709000,-3139000,-7570000,-5802000,12000,12000,-5790000,-5790000,-5790000,-5790000,-5790000,-5790000,57902000,13724000,44178000,3504000,3504000,985000,674000,311000,62391000,1467000,41000,41000,19422000,81813000,3576000,3576000,2446000,2446000,6022000,9389000,9389000,9389000,15411000,338418000,-272031000,15000,66402000,66402000,81813000,-5790000,166000,1606000,-1141000,-5159000,-1e+05,-30000,-130000,537000,537000,537000,-4752000,-4752000,-4752000,-5636000,0,-1.18239,-1.17995,-0.0872,-0.07077,10.36051,0.23209,0,-0.10973,-0.10973,0.09299,1.25838,-0.07639,10.2736,9.97966
"10","2013_Q1",8.94133333333333,"Up",8932000,-12301000,-3019000,-9282000,-3369000,-109000,-109000,-3478000,-3478000,-3478000,-3478000,-3478000,-3478000,63547000,21679000,41868000,4129000,4129000,689000,296000,393000,68365000,1543000,41000,41000,14168000,82533000,6486000,6486000,2304000,2304000,8790000,8847000,8847000,8847000,17637000,340379000,-275509000,26000,64896000,64896000,82533000,-3478000,160000,1647000,1894000,223000,-360000,7457000,7097000,635000,635000,635000,7955000,7955000,7955000,-3209000,0,-0.37718,-0.38939,-0.05359,-0.04214,7.77759,0.27177,-6.46234853557053e-27,-0.06566,-0.06566,0.16862,1.2251,-0.04716,19.80274,18.86227
