"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.3555555555556,"Up",393620000,-218354000,175266000,-144647000,-121586000,-23061000,30619000,-3122000,-3122000,27497000,-80717445.5978023,27497000,-7861000,19636000,4755000,4755000,24391000,24391000,24391000,652746651.858886,652746651.858886,617445395.377084,617445395.377084,267807871.263317,-438462876.734754,193185280.468969,1099537041.76453,340536127.945581,1193326488.87864,475915054.224775,1369692632.25833,27661337.726704,1535047478.06698,2634584519.83151,745830478.152143,344598609.742512,401231868.409631,30509260.251138,516755308.32759,-385530779.782806,331516707.621806,409824696.315247,-54014072.161001,462741236.166589,303599583.404232,113855982.942795,189743600.461436,1750031426.5797,118212273.680994,2171843283.66492,2171843283.66492,2634584519.83151,19636000,20001000,12298000,-698000,49392000,-7501000,-3089000,-12911000,-8227000,-30037000,-938000,-938000,12322000,-29724000,6757000,6757000,-4720000,2037000,50620000,0,50282000,0.44527,0.07779,0.06197,0.753019073916114,0.444741148391805,2.0615,2.10227127431439,0.133740912655542,-0.08819054019916,0.20813,0.20682,3.35885,18.6287711793215,0.42907,0.0702,0.533640783819361,0.0583955800922745,0.3373,-16.8439600921974,-27.9220409504041
"2","2010_Q3",19.6209375,"Down",421613000,-232360000,189253000,-146176000,-123254000,-22922000,43077000,21653000,21653000,64730000,-9833000,54897000,-7718000,47179000,10464000,10464000,57643000,57643000,57643000,215664000,215664000,365175000,365175000,232476000,110553000,108417000,923868000,205589000,2015444000,459429000,1525098000,30917000,2222171000,3146039000,488859000,174943000,313916000,147000,513913000,620138000,368296000,368296000,988434000,1502347000,387768000,117910000,269858000,1354073000,-98149000,1643692000,1643692000,3146039000,47179000,23076000,-2313000,-5141000,70667000,4683000,-124839000,-110861000,-8247000,89463000,-57000.0000000075,-57000,541000.000000002,81700000,41506000,41506000,-7586000,33920000,66153000,620285000,73413000,0.44888,0.10217,0.13672,0.03507,0.01832,1.27358,1.79771,0.91401,0.19716,0.49116,0.48724,3.59245,14.00544,0.62553,0.07027,0.02503,0.02789,0.14307,6.11644,9.39297
"3","2010_Q4",22.55765625,"Up",419143000,-233360000,185783000,-144366000,-120552000,-23814000,41417000,-6680000,-6680000,34737000,0,34737000,-8192000,26545000,-13154000,-13154000,13391000,13391000,13391000,250988000,250988000,323536000,323536000,210158000,192903000,90201000,977585000,161050000,2108148000,439440000,1528084000,31688000,2270426000,3248011000,445218000,143010000,302208000,150000,513845000,670131000,3.57e+08,344454000,1027131000,1540976000,392750000,118034000,274716000,1359201000,-44916000,1707035000,1707035000,3248011000,26545000,22793000,-32979000,-9458000,15272000,-9050000,-22260000,-33717000,-8255000,43617000,0,0,2182000,37544000,19099000,19099000,16225000,35324000,64210000,670281000,53894000,0.44324,0.09881,0.03195,0.00784000000000002,0.00412000000000004,4.02464,1.90249,0.90272,0.20637,0.11399,0.11328,3.5679,14.53093,0.45877,0.07027,0.00792000000000001,0.01971,0.61646,6.53003,10.12369
"4","2011_Q1",24.5922580645161,"Up",467391000,-259038000,208353000,-146935000,-121921000,-25014000,61418000,-3468000,-3468000,57950000,-9130000,48820000,-3272000,45548000,250010000,250010000,295558000,295558000,295558000,420086000,420086000,356763000,356763000,206851000,100912000,100685000,1084612000,161820000,1961164000,424248000,1504815000,32101000,2124334000,3208946000,484080000,161042000,323038000,2255000,515202000,4.24e+08,344353000,344353000,768353000,1283555000,339728000,115715000,224013000,1534635000,51028000,1925391000,1925391000,3208946000,45548000,23293000,-5025000,-17552000,28922000,-10764000,-1305999.99999999,452638000,-8263000,-244038000,-71773000,-71773000,16187000,-307887000,173673000,173673000,-4574999.99999999,169098000,84711000,426255000,59667000,0.44578,0.13141,0.63236,0.15351,0.0921,0.20188,2.10522,0.66665,0.13283,2.53894,2.51571,4.01504,16.53974,0.51256,0.07098,0.11269,0.02213,0.02796,0.07282,0.10044
"5","2011_Q2",25.3963492063492,"Up",447178000,-246867000,200311000,-158880000,-132695000,-26185000,41431000,-5756000,-5756000,35675000,0,35675000,-8384000,27291000,-2378000,-2378000,24913000,24913000,24913000,415848000,415848000,345492000,345492000,224832000,101528000,101297000,1087700000,165105000,2051906000,432472000,1585355000,34079000,2218400000,3306100000,490436000,149196000,341240000,2249999.99999999,511214000,5.14e+08,372954000,372954000,886954000,1398168000,258792000,112706000,146086000,1655223000,-6083000.00000001,1907932000,1907932000,3306100000,27291000,23953000,-2500000,-1464000,42651000,-7681000,-56602000,-64283000,-8106000,89762000,-109224000,-109224000,25665000,-3811000,-25443000,-25443000,21205000,-4238000,65384000,516250000,64623000,0.44794,0.09265,0.05571,0.01306,0.00754,2.59395,2.12768,0.73282,0.15615,0.21854,0.21637,3.92268,16.73654,0.56688,0.07111,0.0118,0.0231,0.32537,1.53557,2.42335
"6","2011_Q3",21.56140625,"Down",479065000,-269871000,209194000,-166435000,-138403000,-28032000,42759000,-4271000,-4271000,38488000,-3340000,35148000,-6047000,29101000,660000.00000003,660000.00000003,29761000,29761000,29761000,395208000,395208000,382717000,382717000,222238000,76008000,75777000,1076171000,167251000,2351260000,534965000,1781127000,35168000,2519688000,3595859000,540323000,149212000,391111000,256745184.728849,559352000,6.71e+08,409046000,409046000,1080046000,1639398000,270187000,113077000,157110000,1675879000,10395000,1956461000,1956461000,3595859000,29101000,26648000,17189000,-18036000,51900000,-8289000,-253329000,-233366000,-7891000,154935000,-773000.000000015,-773000.000000015,6341000,152612000,-28854000,-28854000,8214000,-20640000,69407000,6.71e+08,49129000,0.43667,0.08926,0.06212,0.01521,0.00828,1.65078,1.92396,0.83794,0.1866,0.26456,0.26193,4.25858,17.39169,0.43673,0.07015,0.0124,0.01618,0.26515,3.97355,6.44992
"7","2011_Q4",18.091746031746,"Down",452935000,-253579000,199356000,-163221000,-133119000,-30102000,36135000,-3916000,-3916000,32219000,0,32219000,-4215000,28004000,8618000,8618000,36622000,36622000,36622000,248102000,248102000,359672000,359672000,228549000,93502000,93296000,929825000,165858000,2305232000,512277000,1758405000,34550000,2472113000,3401938000,503331000,150813000,352518000,3.58e+08,875957000,1.5e+08,430841000,430841000,580841000,1456798000,273088000,113085000,160003000,1703277000,-31225000,1945140000,1945140000,3401938000,28004000,28117000,-10363000,3517000,47798000,-8553000,-215000,-4768000,-7916000,-1.63e+08,-7000,-7000,-170000,-171093000,-128063000,-128063000,-19043000,-147106000,64252000,5.08e+08,63431000,0.44014,0.07978,0.08085,0.01883,0.01077,1.73205,1.0615,0.74894,0.14933,0.32494,0.32287,4.01884,17.25899,0.56282,0.07024,0.01544,0.02199,0.21615,4.04498,7.19242
"8","2012_Q1",24.091935483871,"Up",539330000,-300391000,238939000,-251678000,-220176000,-31502000,-12739000,-12831000,-12831000,-25570000,-13118000,-38688000,-44536000,-83224000,-417000,-417000,-83641000,-83641000,-83641000,142342000,142342000,409888000,409888000,240763000,90059000,89857000,883052000,174567000,2796917000,661607000,2094235000,41075000,2972589000,3855641000,583295000,173153000,410142000,0,598682000,944908000,469835000,469835000,1414743000,2013425000,277447000,113157000,164290000,1510683000,54086000,1842216000,1842216000,3855641000,-83224000,32203000,142157000,-8590000,82525000,-5613000,-601831000,-607444000,-7916000,436860000,-1000,-999.999999996275,-9447000,419496000,-105423000,-105423000,-337000,-105760000,19464000,944908000,49797000,0.44303,-0.02362,-0.15508,-0.0454,-0.02169,-0.59537,1.47499,1.09294,0.24507,-0.7421,-0.73844,4.78515,16.34489,0.44182,0.07023,-0.02325,0.01529,-0.0946400000000001,41.23335,-63.00071
"9","2012_Q2",25.1146031746032,"Up",510890000,-278876000,232014000,-189473000,-156849000,-32624000,42541000,-12830000,-12830000,29711000,-6159000,23552000,-1476000,22076000,493000,493000,22569000,22569000,22569000,144757000,144757000,407867000,407867000,251858000,103582000,103380000,908064000,171683000,2783378000,638763000,2103059000,41556000,2956174000,3864238000,586520000,163003000,423517000,-161960856.329899,602786000,933971000,444898000,444898000,1378869000,1981655000,289250000,113831000,175419000,1525147000,68186000,1882583000,1882583000,3864238000,22076000,32007000,-19984000,-18839000,15539000,-5228000,0,-5228000,-7922000,-1.1e+07,-1632000,-1632000,10359000,-10195000,116000,116000,2299000,2415000,74548000,933971000,51957000,0.45414,0.08327,0.04418,0.01199,0.00584,2.30214,1.50645,1.05263,0.2417,0.19955,0.19777,4.51727,16.64574,0.4594,0.07005,0.00935,0.01593,0.35101,10.58666,18.55184
"10","2012_Q3",25.8230158730159,"Up",521790000,-282996000,238794000,-183804000,-149735000,-34069000,54990000,-11358000,-11358000,43632000,-5203000,38429000,-4861000,33568000,65000.0000000005,65000.0000000005,33633000,33633000,33633000,171403000,171403000,389466000,389466000,244436000,92495000,92293000,897800000,167177000,2734858000,613009000,2080031000,41818000,2903137000,3800937000,571381000,174028000,397353000,-95523017.2676558,587685000,911043000,416879000,416879000,1327922000,1915607000,296381000,114060000,182321000,1550821000,38128000,1885330000,1885330000,3800937000,33568000,32156000,-9616000,21305000,76390000,-6221000,2e+05,-5032999.99999994,-7969000,-2.3e+07,-431000.000000001,-430999.999999999,-7233000,-38633000.0000001,32724000,32724000,-6078000,26646000,87146000,911043000,107091000,0.45764,0.10539,0.06446,0.01784,0.00885,3.1841,1.52769,1.01606,0.23969,0.29629,0.29354,4.59666,16.60864,0.94341,0.0702,0.01295,0.03333,0.23694,8.48737,13.45045
