"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.36873015873016,"Down",4165429,-1231690,2933739,-2685981,-2487595,-198386,247758,-59688,-59688,188070,188070,-76000,112070,112070,112070,112070,-2077586.98104785,-2077586.98104785,-2264100.02994015,-2264100.02994015,2056338.33301397,291179.771932485,61677.5273159309,-1994168.90604154,2678639.39611669,1587409.55488353,924836.939144562,-13402.991181852,4266048.95100022,2271880.04495868,-9236368.29595997,-4516123.60517061,-4720244.69078936,-1450773.41238008,-1450773.41238008,-7777477.34756145,950787.684147594,-6826689.66341386,12530657.3125415,-3432087.60416899,9098569.70837254,9098569.70837254,2271880.04495868,112070,104405,58693,-336277,-61109,-293876,-293876,5760031,5405046,5405046,5405046,352163,0,-201990,0.70431,0.05948,0.0269,-0.556202624249105,-0.396016018211776,-1.80236,9.73316117239445,-0.292905981115988,0.275743782290666,0.01604,0.016,0.59619,1.15790822327906,-0.02891,-0.490548728479365,0.107191343107192,12.9560694617706,29.6957606806448
"2","2011_Q3",3.37625,"Up",4685546,-1145402,3540144,-2997107,-2778404,-218703,543037,-53164,-53164,489873,489873,-198000,291873,291873,291873,291873,2483170.00947608,2483170.00947608,3846561.98502992,3846561.98502992,1656709.16650699,307690.385966242,192939.263657965,8294131.54697923,2502981.69805835,1890272.27744176,1106453.46957228,84831.004409074,4393253.97550011,12687385.5224793,-2830979.14797998,-1506201.8025853,-1324777.34539468,477930.79380996,477930.79380996,-849267.673780725,1447946.8420738,598679.168293071,12709265.6562708,-620559.302084495,12088706.3541863,12088706.3541863,12687385.5224793,291873,112389,60813,-639900,-174825,-562993,-562993,-116684.999999999,-854503,-854503,-854503,655426,0,-349467,0.75555,0.1159,0.06229,-0.235841312124552,-0.167978009105888,-1.19733,6.27579058619722,0.120102009442006,0.177976891145333,0.03609,0.03584,0.57933,1.50716911163953,-0.04321,-0.208119364239682,0.123030671553596,1.43011973088531,7.1693003403224
"3","2011_Q4",3.70380952380952,"Up",5198828,-1495473,3703355,-3031850,-2759579,-272271,671505,-38077,-38077,633428,633428,-146000,487428,487428,487428,487428,4238508.33649203,4238508.33649203,7603716.99500997,7603716.99500997,1638420.722169,334234.461988747,295984.087885989,13814880.5156597,2581825.56601945,2067561.42581392,1202786.15652409,150446.001469691,4649386.99183337,18464267.5074931,659300.950673338,111135.732471565,548165.218201773,1522821.93126999,1522821.93126999,2924586.44207309,1678958.94735793,4603545.38943102,12816611.8854236,1044110.2326385,13860722.1180621,13860722.1180621,18464267.5074931,487428,113480,53426,-1693906,-1039572,-107203,-107203,-62463,-1209238,-1209238,-1209238,784985,0,-870124,0.71234,0.12916,0.09376,-0.0598204373748508,-0.0426693363686293,-1.78513,4.37350019539907,0.338387336480669,0.122192297048444,0.06024,0.06013,0.6425,1.71539970387984,-0.10754,-0.0529031214132275,0.083363557184532,-3.5259700897049,-3.17606655322587
"4","2012_Q1",3.14709677419355,"Down",4953704,-1353436,3600268,-3192659,-2848326,-344333,407609,-40403,-40403,367206,367206,-203000,164206,164206,164206,164206,4091739,4091739,9593105,9593105,1855957,371257,371257,15912058,2807082,2149792,1235828,191964,4956874,20868932,2045946,733621,1312325,1929294,1929294,4413507,1726602,6140109,12875373,1853450,14728823,14728823,20868932,164206,119196,-145075,-277925,-139598,-146641,-146641,425946,139707,139707,139707,526805,2020369,305239,0.72678,0.08228,0.03315,0.01115,0.00787,1.85888,3.60531,0.41688,0.09681,0.02027,0.02024,0.61163,1.81854,0.03769,0.00972,0.01807,-3.93195,-5.08176
"5","2012_Q2",2.53142857142857,"Down",5378918,-1309565,4069353,-3616891,-3399806,-217085,452462,-43923,-43923,408539,408539,-163000,245539,245539,245539,245539,2946173,2946173,10400466,10400466,2163802,419203,419203,15929644,3070662,2167479,1227572,217907,5238141,21167785,2140430,758986,1381444,1942741,1942741,4486916,1673654,6160570,12908226,2098989,15007215,15007215,21167785,245539,120558,44214,-1233146,-822835,-237061,-237061,-85670,-1145566,-1145566,-1145566,573020,1910399,-734187,0.75654,0.08412,0.04565,0.01636,0.0116,-2.9901,3.55024,0.41051,0.09025,0.03031,0.03024,0.66399,1.85253,-0.09063,0.01437,-0.04297,-1.80757,-2.2892
"6","2012_Q3",1.91650793650794,"Down",4790344,-1309066,3481278,-3381136,-3130796,-250340,100142,-43588,-43588,56554,56554,-32000,24554,24554,24554,24554,1745468,1745468,10704705,10704705,2397634,466976,466976,15314783,3255311,2159611,1198279,239332,5414922,20729705,1795268,623370,1171898,1836881,1836881,4069446,1593934,5663380,12942782,2123543,15066325,15066325,20729705,24554,133431,33825,-901849,-710039,-404555,-404555,-86111,-1200705,-1200705,-1200705,233573,1864231,-1040831,0.72673,0.0209,0.00513,0.00163,0.00118,-42.38947,3.76336,0.3759,0.08993,0.00303,0.00302,0.59127,1.85964,-0.12847,0.00144,-0.06088,0.50846,1.18595
"7","2012_Q4",1.49145161290323,"Down",4774350,-1405946,3368404,-3142623,-2904393,-238230,225781,-42683,-42683,183098,183098,-88000,95098,95098,95098,95098,1392935,1392935,11091562,11091562,2411937,515021,515021,15411455,3252940,2156703,1169942,264761,5409643,20821098,1821934,724505,1097429,1857108,1857108,4030519,1570220,5600739,13001718,2218641,15220359,15220359,20821098,95098,137291,51475,-430349,-146485,-119727,-119727,-86321,-352533,-352533,-352533,363072,1754697,-99004,0.70552,0.04729,0.01992,0.00625,0.00457,-1.04107,3.82369,0.36798,0.08427,0.01172,0.01173,0.58841,1.87581,-0.0122,0.00555,-0.00578,0.99639,1.60227
"8","2013_Q1",1.45166666666667,"Down",4580877,-1354833,3226044,-3398092,-3182978,-215114,-172048,-38537,-38537,-210585,-210585,32000,-178585,-178585,-178585,-178585,1702435,1702435,10850859,10850859,2392416,700327,359583,15646037,3170014,2104973,1174033,274940,5274987,20921024,1996980,749985,1246995,1919686,1919686,4170686,1670003,5840689,13040279,2040056,15080335,15080335,20921024,-178585,141346,245821,299000,507582,-87408,-87408,-110674,309500,309500,309500,-30702,1644023,148890,0.70424,-0.03756,-0.03898,-0.01184,-0.00854,-0.833720000000002,3.75143,0.3873,0.07858,-0.02201,-0.02204,0.56455,1.85851,0.01835,-0.0105,0.00876,1.90255,0.33951
"9","2013_Q2",1.304375,"Down",4031286,-1210452,2820834,-2917204,-2816015,-101189,-96370,-36738,-36738,-133108,-133108,62000,-71108,-71108,-71108,-71108,1482555,1482555,10415488,10415488,2305276,868920,463426,15072239,3254872,2113825,1167136,290689,5368697,20440936,1642898,554086,1088812,1933272,1933272,3736039,1654353,5390392,13081596,1968948,15050544,15050544,20440936,-71108,148948,48595,-12421,114014,-224093,-224093,-109801,-219880,-219880,-219880,52578,1534222,-245936,0.69974,-0.02391,-0.01764,-0.00472,-0.00348,3.45863,4.03428,0.35815,0.07506,-0.00876,-0.00876,0.49682,1.85483,-0.03031,-0.00422,-0.01458,0.98267,-0.53613
"10","2013_Q3",1.10890625,"Down",3856370,-1342003,2514367,-3109780,-3000529,-109251,-595413,-25778,-25778,-621191,-621191,210000,-411191,-411191,-411191,-411191,1005616,1005616,9725142,9725142,1899028,964679,358935,13594465,3481373,2068473,1135891,276582,5549846,19144311,2029664,753098,1276566,727077,727077,2822932,1636961,4459893,13126661,1557757,14684418,14684418,19144311,-411191,149204,66184,1284183,1088380,-286121,-286121,-1279198,-476939,-476939,-476939,-446209,1423152,341853,0.652,-0.1544,-0.10663,-0.028,-0.02148,-0.831369999999999,4.81573,0.30372,0.07434,-0.05068,-0.05068,0.47526,1.80971,0.04213,-0.02509,0.02086,-0.93574,-0.70125
"11","2013_Q4",1.125,"Up",3198534,-756693,2441841,-3135650,-3034191,-101459,-693809,-29157,-29157,-722966,-722966,292000,-430966,-430966,-430966,-430966,504950,504950,9198044,9198044,2141445,1306943,464965,13151382,3633916,2059436,1111606,291830,5693352,18844734,2118393,835715,1282678,739831,739831,4247159,298326,4545485,13172458,1126791,14299249,14299249,18844734,-430966,144612,69234,4913,-212207,-232568,-232568,-55891,-500666,-500666,-500666,-549197,1407261,-1068852,0.76343,-0.21691,-0.13474,-0.03014,-0.02287,2.48013,3.09651,0.31788,0.07468,-0.05311,-0.05311,0.39419,1.76224,-0.13173,-0.02696,-0.06686,-1.64296,-1.30052
"12","2014_Q1",1.73475409836066,"Up",4018232,-1346224,2672008,-3113809,-2822333,-291476,-441801,-25210,-25210,-467011,-467011,51000,-416011,-416011,-416011,-416011,503564,503564,9014043,9014043,1379594,967128,428843,11864329,3743675,1947823,1080734,310089,5691498,17555827,1888704,643681,1245023,247267,247267,2193511,1435455,3628966,13216081,710780,13926861,13926861,17555827,-416011,147100,-26777,1182158,886470,-310590,-310590,-577266,-1386,-1386,-1386,-294701,1389995,525867,0.66497,-0.10995,-0.10353,-0.02987,-0.0237,-1.26407,5.40883,0.26057,0.07918,-0.05127,-0.05127,0.49521,1.71635,0.06481,-0.02698,0.0341,-3.0079,-2.0064
"13","2014_Q2",1.27952380952381,"Down",3418178,-1062346,2355832,-2933035,-2723927,-209108,-577203,-15202,-15202,-592405,-592405,257000,-335405,-335405,-335405,-335405,1077382,1077382,7989355,7989355,1432222,1240558,460914,11739517,3761298,1910720,1049115,304605,5672018,17411535,1964705,950152,1014553,342169,342169,2359536,1421083,3780619,13255541,375375,13630916,13630916,17411535,-335405,154542,59908,862938,741983,-148915,-148915,-19250,573818,573818,573818,-422661,1370745,34362,0.68921,-0.16886,-0.09812,-0.02461,-0.01926,-0.10245,4.97535,0.27736,0.07873,-0.04134,-0.04134,0.42126,1.67987,0.00423,-0.02221,0.00227000000000002,-0.69409,-0.50825
"14","2014_Q3",1.465625,"Up",3501075,-978029,2523046,-2831840,-2739105,-92735,-308794,-19468,-19468,-328262,-328262,89000,-239262,-239262,-239262,-239262,1236576,1236576,7040935,7040935,2266734,1167256,298611,11711501,3761465,1924817,1019724,348093,5686282,17397783,2322907,1301835,1021072,234337,234337,2602400,1377775,3980175,13281495,136113,13417608,13417608,17397783,-239262,167767,41820,419333,389658,-144354,-144354,-86110,159194,159194,159194,-141027,1319931,44952.0000000001,0.72065,-0.0882,-0.06834,-0.01783,-0.01375,-0.18788,4.50027,0.29664,0.07587,-0.02949,-0.02949,0.43147,1.65359,0.00554000000000001,-0.01612,0.00303,-0.59106,-0.26994
