"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",12.0209375,"Up",56962000,41986000,58576000,-16590000,14976000,981000,10536000,2474000,-11778000,45184000,-35886000,-35886000,9298000,9298000,9504000,-351000,9153000,9153000,9153000,9153000,310748755.853884,1313997037.43211,3205586259.11038,-38013179.6804069,3243599438.79079,85880563.0164552,286091374.673206,23589844.6819687,266078529.877787,5491972364.6458,4536174300.70738,2343650650.45429,2192523650.25309,89326719.359837,229079060.644623,12062441.0351914,4866642521.74703,6.13329609988334e-12,248882964.456289,354448292.108583,24529707.6328635,625329842.898764,625329842.898764,5491972364.6458,20527000,-783000,-112893000,60335000,-53341000,-3723000,-52171000,0,57312000,1418000,-31396000,-31396000,-31396000,0,0.16323,0.16069,0.00852605472300812,0.000929520609674481,7.79502992265677,0.0580917298887856,0.34426,0.34426,2.14246,23.4889689713192,0.14003,0.00151392737994019,0.40675,32.6908729850673
"2","2011_Q1",13.2696774193548,"Up",57323000,42326000,57790000,-15464000,14997000,78000,8329000,5784000,-9625000,47698000,-35337000,-35337000,12361000,12361000,12186000,-1877000,10309000,10309000,10309000,10309000,79136000,1426191000,3227625000,-61051000,3288676000,85928000,285559000,20536000,236483000,5361458000,4172423000,2245406000,1927017000,187385000,359640000,35147000,4754595000,0,247474000,361513000,-1061000,606863000,606863000,5361458000,34031000,-1029000,-63112000,20962000,-43179000,-3721000,1651000.00000001,7.27595761418343e-12,1400000,-670000,-9818000.00000001,-9818000.00000001,-9818000.00000001,547025000,0.21564,0.17984,0.01699,0.00192,7.83471,0.10203,0.38775,0.38774,2.15605,22.82552,0.13996,0.00262,0.36095,37.85203
"3","2011_Q2",13.2696825396825,"Up",55980000,41476000,56098000,-14622000,14504000,17000,10080000,3825000,-8041000,47939000,-35491000,-35491000,12448000,12448000,12448000,-2208000,10240000,10240000,10240000,10240000,30187664.715372,1488648487.52263,3221840830.29654,-66260690.106531,3288101520.40307,85321978.9945149,284972958.442265,20011218.4393438,226385573.374071,5357368711.78473,4110315816.43087,2204101366.51524,1906214449.91564,217739093.546721,377622146.451792,42052352.9882695,4747729409.41766,-2.04443203329445e-12,246858011.847904,368631652.630472,-5518485.87762115,609639302.367079,609639302.367079,5357368711.78473,30527000,-540000,-44400000,36740000,-8200000,-3721000,-40515000,26000,39823000,-4387000,17940000,17940000,17940000,0,0.22237,0.18292,0.0197538150923306,0.00225682646344184,7.78607919244774,0.110861923370405,0.38512,0.3851,2.10538,22.927803676227,0.13995,0.00299285754001994,0.36338,35.4703406716442
"4","2011_Q3",12.6840625,"Down",58070000,43053000,57041000,-13988000,15017000,13000,10249000,4366000,-6802000,51268000,-35703000,-35703000,15565000,15565000,15565000,-3646000,11919000,11919000,11919000,11919000,83345000,1524695000,3201628000,-61418000,3263046000,84325000,284336000,20683000,226895000,5425907000,4221339000,2198174000,2023165000,208704000,332947000,39880000,4802870000,0,246750000,375689000,694000,623037000,623037000,5425907000,28211000,-809000,-54823000,-27011000,-82643000,-3990000,20544000,0,9147000.00000001,40701000,-13731000,-13731000,-13731000,541651000,0.26804,0.20525,0.01913,0.0022,7.7088,0.09983,0.4479,0.44788,2.18222,23.41314,0.14994,0.00293,0.33476,29.44465
"5","2011_Q4",13.2846031746032,"Up",57501000,42902000,56288000,-13386000,14599000,67000,10003000,4202000,-10837000,46664000,-33607000,-33607000,13057000,13057000,13057000,-2044000,11013000,11013000,11013000,11013000,145518000,1557059000,3185280000,-55098000,3240378000,83198000,283737000,20837000,226529000,5502158000,4356408000,2204224000,2152184000,192780000,282639000,35929000,4867756000,0,246958000,382442000,5098000,634402000,634402000,5502158000,20128000,-598000,-27058000,4640000,-23016000,-3993000,-51047000,0,135101000,65061000,62173000,62173000,62173000,475419000,0.22707,0.19153,0.01736,0.002,7.67298,0.08641,0.41356,0.41357,2.15928,23.82311,0.14995,0.00273,0.36257,25.26622
"6","2012_Q1",14.0529032258065,"Up",57702000,41934000,54740000,-12806000,15768000,866000,9883000,4340000,-9631000,48071000,-35494000,-35494000,12577000,12577000,12577000,-1940000,10637000,10637000,10637000,10637000,140325000,1609265000,3184558000,-54810000,3239368000,82204000,283150000,19268000,217260000,5536030000,4393866000,2201301000,2192565000,196887000,274252000,37235000,4902240000,-1.61558713389263e-27,247166000,388818000,-2098000,633790000,633790000,5536030000,29834000,-567000,-53779000,-9792000,-64138000,-4261000,-4100000,9.09494701772928e-13,37472000,29111000,-5193000,-5193000,-5193000,471139000,0.21796,0.18434,0.01678,0.00192,7.7348,0.0851,0.39944,0.39944,2.16684,23.80028,0.16001,0.00269,0.40058,26.30309
"7","2012_Q2",14.1733333333333,"Up",57152000,41830000,53680000,-11850000,15322000,1e+05,9821000,5133000,-6202000,50950000,-35665000,-35665000,15285000,15285000,15285000,-3295000,11990000,11990000,11990000,11990000,157243000,1665759000,3169302000,-54395000,3223697000,81592000,282612000,19501000,224634000,5600643000,4473857000,2192430000,2281427000,187632000,253987000,43166000,4958642000,0,247378000,396281000,-1531000,642001000,642001000,5600643000,20648000,-916000,-57873000,8689000,-50100000,-4261000,-29347000,-9000,79987000,46370000,16918000,16918000,16918000,441619000,0.26744,0.20979,0.01868,0.00214,7.72373,0.07885,0.45028,0.45022,2.14631,24.10997,0.16002,0.0029,0.35538,18.60491
"8","2012_Q3",14.8553968253968,"Up",57434000,41541000,52546000,-11005000,15893000,1294000,9590000,4410000,-5903000,51531000,-36084000,-36084000,15447000,15447000,15447000,-3449000,11998000,11998000,11998000,11998000,102815000,1595795000,3222220000,-53610000,3275830000,80668000,282088000,18233000,223586000,5525405000,4393782000,2151518000,2242264000,191275000,247960000,43276000,4876293000,0,247484000,403746000,-2057000,649112000,649112000,5525405000,25628000,-581000,68181000,-60772000,6828000,-4527000,-2219000,-61000,-80077000,-86884000,-54428000,-54428000,-54428000,439235000,0.26895,0.2089,0.01848,0.00217,7.51225,0.07949,0.45026,0.4502,2.15536,24.35962,0.16989,0.00299,0.37731,21.77899
"9","2012_Q4",15.1490322580645,"Up",57656000,41693000,52288000,-10595000,15963000,317000,9872000,4781000,-4497000,53159000,-35271000,-35271000,17888000,17888000,16370000,-3464000,12906000,12906000,12906000,12906000,116411000,1552910000,3299490000,-53476000,3352966000,80176000,281570000,19171000,227231000,5576959000,4488212000,2165035000,2323177000,186886000,197708000,44831000,4917637000,0,247717000,411853000,-204000,659322000,659322000,5576959000,17733000,-1007000,44004000,-82570000,-39573000,-4532000,-54478000,17000,94429000,35436000,13596000,13596000,13596000,384594000,0.31025,0.22384,0.01957,0.00231,7.45863,0.06896,0.484,0.48387,2.16223,24.72604,0.16996,0.00313,0.35115,14.99234
"10","2013_Q1",16.7238333333333,"Up",60884000,43287000,53172000,-9885000,17597000,752000,10503000,5326000,-3272000,57612000,-39212000,-39212000,18400000,18400000,16030000,-3380000,12650000,12650000,12650000,12650000,125605000,1623753000,3635063000,-52699000,3687762000,88866000,324465000,19354000,261611000,6078717000,4944284000,2390188000,2554096000,142971000,225019000,52259000,5364533000,0,302535000,419246000,-7597000,714184000,714184000,6078717000,12806000,-3466000,150031000,-19230000,138280000,-4799000,-137822000,67000,662000,-141892000,9194000.00000001,9194000.00000001,9194000.00000001,367990000,0.30221,0.20777,0.01771,0.00208,7.51142,0.06054,0.45952,0.45831,2.21165,25.9432,0.17433,0.00287,0.37937,13.1731
