"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"20","2019_Q2",1.07714285714286,"Down",5036346,-2043028,2993318,-3080145,-2069040,-1011105,-86827,-54596,-54596,-141423,56608.544472273,-141423,-141423,-141423,-141423,-141423,4346466,4346466,2778901,2778901,1231753,373453,110869,8730573,8165336,10493543,3074444,7419099,18658879,27389452,2250127,1345440,904687,4357957,6608084,5963508,5963508,12571592,39647481,-24829621,14817860,14817860,27389452,-141423,1011105,183455,-76782,976355,-338765,-338765,-495141,-555891,81699.0000000001,81699.0000000001,81699.0000000001,924278,10321465,0.59434,-0.0172400000000001,-0.02808,-0.00953999999999999,-0.00516,1.3212,0.84841,0.37684,-0.00565,-0.00565000000000002,0.20131,0.59229,-0.00563000000000001,6.4645,-68.81499
"21","2019_Q3",0.89765625,"Down",4543442,-2013598,2529844,-2746605,-1816195,-930410,-216761,-299263,-299263,-516024,14147,-501877,-501877,-501877,-501877,-501877,3214651,3214651,3313330,3313330,1162504,494205,235358,8184690,8172914,2627723,2569445,58278,10800637,18985327,1981816,784292,1197524,4820299,6802115,5098327,5098327,11900442,39783595,-32698710,7084885,7084885,18985327,-501877,930410,126543,-601787,-46711,-346849,-346849,-728902,-738255,-1131815,-1131815,-1131815,713649,9918626,0.55681,-0.04771,-0.11046,-0.07084,-0.02643,1.20326,1.67969,0.52244,-0.02005,-0.02005,0.18149,0.283,-0.02952,9.39394,-30.92796
"22","2019_Q4",0.88546875,"Down",5076215,-2062803,3013412,-3240525,-2501970,-738555,-227113,-184502,-184502,-411615,-6143,-417758,-417758,-417758,-417758,-417758,2791956,2791956,4098536,4098536,960330,420168,167464,8270990,7868520,2335806,2277778,58028,10204326,18475316,2884306,1274041,1610265,4591811,7476117,4176321,4176321,11652438,39939346,-33116468,6822878,6822878,18475316,-417758,738555,166276,-195277,291796,292923,292923,-1007414,-1007414,-422695,-422695,-422695,511442,8768132,0.59363,-0.04474,-0.0823,-0.06123,-0.02261,1.10632,1.70785,0.47459,-0.01666,-0.01666,0.20244,0.2721,-0.02679,11.68495,-26.31367
"23","2020_Q1",0.626451612903226,"Down",4341011,-2063117,2277894,-2648960,-1900627,-748333,-371066,-165397,-165397,-536463,679648,143185,124635,124635,124635,124635,1217014,1217014,3850509,3850509,924032,643952,139070,6635507,8045692,2079730,1986111,93619,10125422,16760929,1645126,945414,683832,4102543,5809090,3848863,3848863,9657953,40094809,-32991833,7102976,7102976,16760929,124635,748333,195912,-1352557,-283677,-116364,-116364,-1171401,-1174901,-1574942,-1574942,-1574942,377267,7951406,0.52474,-0.08548,0.02871,0.01755,0.00744,1.14226,1.35971,0.4744,0.00494,0.00494,0.17203,0.28149,0.00828,17.85047,-18.14877
"24","2020_Q2",0.638730158730159,"Up",5357763,-2314508,3043255,-2778663,-2017899,-760764,264592,-172570,-172570,92021.9999999999,112234,204256,198046,198046,198046,198046,3349252,3349252,3225090,3225090,1179247,134856,94856,7888445,7657789,2026855,1694445,332410,9684644,17573089,2289984,1551104,738880,5054692,7494487,2581604,2670584,10165071,40201805,-32793787,7408018,7408018,17573089,198046,760764,-607,1224209,2182412,79982.9999999999,79983,-130157,-130157,2132238,2132238,2132238,1025356,7636296,0.56801,0.04938,0.03696,0.02673,0.01127,1.05257,1.37217,0.43454,0.00779,0.00779,0.21079,0.29145,0.01309,4.18103,16.20247
"25","2020_Q3",0.53390625,"Down",2024388,-1099553,924835,-2020588,-1340213,-680375,-1095753,-145528,-145528,-1241281,5.82076609134674e-11,-1241281,-1241506,-1241506,-1241506,-1241506,2532940,2532940,1414774,1414774,1302181,116380,76380,5366275,7755738,1673700,1402778,270922,9429438,14795713,1398419,669306,729113,3990716,5503205,2957758,3020991,8524196,40306810,-34035293,6271517,6271517,14795713,-1241506,680375,109637,379918,-71576,-52282,-52282,-692454,-692454,-816312,-816312,-816312,-415378,6948474,0.45685,-0.54128,-0.61327,-0.19796,-0.08391,0.97512,1.35919,0.46963,-0.04881,-0.04881,0.07959,0.24657,-0.09346,-10.63016,-4.02968
"26","2020_Q4",0.47453125,"Down",1547442,-870655,676787,-2223146,-1529887,-693259,-1546359,-126337,-126337,-1672696,41403,-1631293,-1731272,-1731272,-1731272,-1731272,1412370,1412370,1441783,1441783,943870,113785,73785,3911808,7859200,1375367,1111111,229564,9234567,13146375,1604315,663090,843197,4760252,6472671,1937271,1975617,8448288,40464652,-35766565,4698087,4698087,13146375,-1731272,693259,121070,74894.9999999998,-842048,-64343,-64343,-214179,-214179,-1120570,-1120570,-1120570,-853100,6697523,0.43736,-0.9993,-1.1188,-0.36851,-0.13169,0.60436,1.79824,0.50946,-0.06774,-0.06774,0.06055,0.18383,-0.15141,-6.19523,-3.4178
"27","2021_Q1",0.949016393442623,"Up",1541205,-820961,720244,-2165336,-1483338,-681998,-1445092,-125068,-125068,-1570160,923600,-646560,-655142,-655142,-655142,-655142,1961441,1961441,1345622,1345622,1020008,170889,90269,4497960,7535098,1006765,819444,187321,8541863,13039823,1627979,430014,1091519,1459028,3166320,5629310,5649828,8816148,40645382,-36421707,4223675,4223675,13039823,-655142,681998,-714590,939892,252158,-980871,-980871,386184,1277784,549071,549071,549071,-763094,7088338,0.46733,-0.93764,-0.42508,-0.15511,-0.05024,1.42056,2.08732,0.54359,-0.02554,-0.02554,0.06008,0.16465,-0.05781,-6.71857,-3.5478
"28","2021_Q2",0.837936507936508,"Down",2424653,-1175593,1249060,-2205664,-1515590,-690074,-956604,-138009,-138009,-1094613,10000,-1084613,-1101793,-1101793,-1101793,-1101793,2262251,2262251,1601837,1601837,996083,152105,109354,5012276,7211648,677517,527778,149739,7889165,12901441,2332810,741727,1468257,1710703,4097576,5502950,5514511,9612087,40812854,-37523500,3289354,3289354,12901441,-1101793,690074,162104,454698,205083,-24956,-24956,120683,120683,300810,300810,300810,-266530,7213653,0.51515,-0.39453,-0.45441,-0.33496,-0.0854,1.22323,2.92218,0.55914,-0.04277,-0.04277,0.09412,0.12768,-0.10479,-18.57728,-5.17602
"29","2021_Q3",0.8021875,"Down",3399108,-1224179,2174929,-2058583,-1473080,-585503,116346,-145470,-145470,-29124,-11187,-40311,-66780,-66780,-66780,-66780,2689113,2689113,1930402,1930402,1060233,434889,392138,6114637,6814895,431495,319444,112051,7246390,13361027,2537714,597643,1801476,2009695,4577212,5376265,5394209,9971421,40979887,-37590281,3389606,3389606,13361027,-66780,585501,182850,-572124,129447,129736,129736,167679,167679,426862,426862,426862,701847,7385960,0.63985,0.03423,-0.01965,-0.0197,-0.005,1.33589,2.94176,0.5528,-0.00259,-0.00259,0.13194,0.13157,-0.00619,6.69212,40.36965
"30","2021_Q4",1.049375,"Up",3561919,-1441943,2119976,-1956687,-1551462,-405225,163289,-130172,-130172,33117.0000000001,399493.44370959,33116.9999999999,-6210,-6210,-6210,-6210,2469398,2469398,2046073,2046073,1067738,314063,266371,5897272,6963777,365850,277778,88072,7329627,13226899,2867672,802157,1887693,1508791,4390295,5248755,5257115,9647410,41175981,-37596492,3579489,3579489,13226899,-6212.00000000012,405229,200721,457473,1057211,-643879,-643879,-633047,-633047,-219715,-219715,-219715,568518,6757546,0.59518,0.04584,-0.00173999999999996,-0.00173000000000001,-0.000469999999999987,1.34325,2.69519,0.51089,-0.000240000000000002,-0.000239999999999995,0.1396,0.14029,-0.000600000000000002,7.54268,26.2611
"31","2022_Q1",0.942096774193548,"Down",3950469,-1777129,2173340,-2083122,-1660390,-422732,90218,-125511,-125511,-35293,708050,672757,644982,644982,644982,644982,2822100,2822100,2871932,2871932,1174635,490754,435595,7359421,6930329,322509,236111,86398,7252838,14612259,1813043,1139091,467462,2261437,4088196,4369333,4376135,8464331,43099436,-36951508,6147928,6147928,14612259,644984,422730,229839,-2163138,-865585,-347619,-347619,-131405,1565906,352702,352702,352702,512948,6630770,0.55015,0.02284,0.16327,0.10491,0.04414,1.80016,1.37678,0.45378,0.02528,0.02528,0.15483,0.24095,0.05045,7.42506,42.2163
"32","2022_Q2",1.03758064516129,"Up",4130164,-1767903,2362261,-2057376,-1646643,-410733,304885,-123664,-123664,181221,681624.003145205,181221,149837,149837,149837,149837,2854093,2854093,3155906,3155906,1024345,304246,248502,7338590,7480390,279197,194444,84753,7759587,15098177,2067991,1245122,609991,2184333,4263885,4319082,4326394,8590279,43309569,-36801671,6507898,6507898,15098177,149837,410733,214764,307772,1083106,-919127,-919127,-131986,-131986,31993,31993,31993,715618,6503415,0.57195,0.07382,0.03628,0.02302,0.00991999999999999,1.7211,1.31998,0.43074,0.00539,0.00539,0.14848,0.23396,0.01151,5.09954,11.9695
"33","2022_Q3",0.85375,"Down",4540843,-2116092,2424751,-2297054,-1894408,-402646,127697,-129760,-129760,-2063,-22146,-24209,-56508,-56508,-56508,-56508,2827426,2827426,2799480,2799480,1324724,731743,643155,7683373,7426690,423598,152778,270820,7850288,15533661,2168658,1095552,853194,2274533,4603492,4266311,4266311,8869803,43522037,-36858179,6663858,6663858,15533661,-56508,402646,239245,-314556,270827,-330292,-330292,32798,32798,-26667,-26667,-26667,530343,6540844,0.53399,0.02812,-0.01244,-0.00848,-0.00364,1.66903,1.33103,0.42108,-0.00203,-0.00203,0.16324,0.23956,-0.00428,7.00192,29.07992
